	Month of Period End
Region	Apr-23
Aaronsburg, PA	83
Abanda, AL	
Abbeville, AL	77
Abbeville, LA	122
Abbeville, MS	
Abbotsford, WI	102
Abbottstown, PA	127
Abbs Valley, VA	
Abbyville, KS	
Aberdeen Gardens, WA	
Aberdeen Proving Ground, MD	
Aberdeen, ID	
Aberdeen, IN	
Aberdeen, MD	173
Aberdeen, NC	179
Aberdeen, OH	135
Aberdeen, SD	107
Aberdeen, WA	141
Abernathy, TX	91
Abilene, TX	139
Abingdon, IL	48
Abingdon, MD	202
Abingdon, VA	129
Abington, MA	334
Abiquiu, NM	
Abita Springs, LA	160
Abram, TX	
Abrams, WI	162
Absarokee, MT	
Absecon Highlands, NJ	145
Absecon, NJ	190
Acacia Villas, FL	
Acala, TX	
Acalanes Ridge, CA	767
Acampo, CA	476
Accokeek, MD	188
Accord, NY	
Acequia, ID	
Achille, OK	66
Ackerly, TX	
Ackermanville, PA	
Ackworth, IA	
Acme, WA	
Acres Green, CO	279
Acton, CA	334
Acton, MA	334
Acton, MT	
Acushnet Center, MA	312
Acushnet, MA	313
Acworth, GA	192
Ada, KS	
Ada, OK	99
Adair Village, OR	257
Adair, IL	62
Adairsville, GA	158
Adams Center, NY	
Adams Run, SC	127
Adams, IL	
Adams, MA	126
Adams, MN	84
Adams, NE	121
Adams, NY	
Adams, OR	
Adams, TN	254
Adamsburg, PA	
Adamson, OK	
Adamstown, MD	
Adamstown, PA	110
Adamsville, AL	90
Adamsville, OH	
Adamsville, PA	
Addis, LA	141
Addison, IL	223
Addison, MI	121
Addison, NY	95
Addison, PA	248
Addison, TX	250
Addy, WA	99
Addyston, OH	
Adel, IA	207
Adelanto, CA	246
Adeline, IL	
Adell, WI	
Adelphi, MD	173
Adelphi, OH	
Adena, OH	130
Admire, KS	
Adona, AR	
Adrian, GA	
Adrian, MI	143
Adrian, MN	
Adrian, MO	149
Adrian, OR	
Adrian, TX	
Advance, IN	117
Advance, NC	131
Affton, MO	184
Afton, MN	208
Afton, OK	
Afton, VA	
Agawam Town, MA	213
Agawam, MA	213
Agency, IA	
Agency, MO	
Agnew, NE	
Agoura Hills, CA	564
Agra, OK	
Agua Dulce, CA	262
Agua Dulce, TX	
Agua Fria, NM	
Aguanga, CA	271
Aguila, AZ	
Ahmeek, MI	
Ahtanum, WA	235
Ahuimanu, HI	637
Ahwahnee, CA	189
Ai, OH	
Aiea, HI	571
Aiken, SC	156
Ailey, GA	145
Ainaloa, HI	292
Ainsworth, IA	
Airmont, NY	364
Airport Drive, MO	
Airport Heights, TX	
Airport, CA	317
Airway Heights, WA	272
Ajo, AZ	98
Akins, OK	
Akron, AL	
Akron, NY	
Akron, OH	103
Akron, PA	163
Akwesasne, NY	
Alabama, NY	169
Alabaster, AL	149
Alachua, FL	174
Alafaya, FL	225
Alamance, NC	
Alameda, CA	680
Alamo Beach, TX	
Alamo Heights, TX	401
Alamo, CA	756
Alamo, IN	
Alamo, TN	
Alamo, TX	116
Alamogordo, NM	136
Alba, MO	
Alba, PA	
Albany, CA	873
Albany, GA	
Albany, IL	88
Albany, IN	71
Albany, LA	121
Albany, MN	150
Albany, NY	139
Albany, OH	
Albany, OK	
Albany, OR	265
Albany, WI	
Albemarle, NC	172
Albers, IL	
Albert City, IA	85
Albert Lea, MN	113
Albert, KS	
Albertson, NY	621
Albertville, AL	131
Albertville, MN	175
Albion, CA	
Albion, IA	
Albion, ID	
Albion, IN	100
Albion, MI	113
Albion, NY	51
Albion, PA	
Albion, WA	211
Albrightsville, PA	136
Alburgh, VT	125
Alburnett, IA	
Alburtis, PA	184
Alcalde, NM	
Alcester, SD	96
Alcoa, TN	251
Alcolu, SC	
Alda, NE	
Aldan, PA	185
Alden, IL	47
Alden, MN	103
Alden, NY	203
Alder, WA	
Alderpoint, CA	
Alderson, OK	
Alderton, WA	
Alderwood Manor, WA	472
Aldine, TX	151
Aldrich, MO	
Aledo, IL	92
Aledo, TX	207
Alex, OK	
Alexander City, AL	117
Alexander, AR	144
