city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 400k. (0 mile search radius)
Aventura,Florida,37151,,
Boca Raton,Florida,98776,,
Boynton Beach,Florida,78060,,
Coconut Creek,Florida,60935,,
Cooper City,Florida,35715,,
Coral Gables,Florida,49937,,
Coral Springs,Florida,133370,,
Coral Terrace,Florida,25529,,
Country Club,Florida,50436,,
Cutler Bay,Florida,43928,,
Dania Beach,Florida,32125,,
Davie,Florida,105594,,
Deerfield Beach,Florida,80822,,
Delray Beach,Florida,68916,,
Doral,Florida,62367,,
Fort Lauderdale,Florida,181818,,
Fountainebleau,Florida,59174,,
Golden Glades,Florida,33843,,
Greenacres,Florida,41242,,
Hallandale Beach,Florida,39782,,
Hialeah,Florida,233876,,
Hialeah Gardens,Florida,23546,,
Hollywood,Florida,153834,,
Homestead,Florida,68937,,
Ives Estates,Florida,24732,,
Jupiter,Florida,65139,,
Kendale Lakes,Florida,55732,,
Kendall,Florida,77228,,
Kendall West,Florida,38029,,
Lake Worth,Florida,37354,,
Lauderdale Lakes,Florida,36063,,
Lauderhill,Florida,71827,,
Leisure City,Florida,26708,,
Margate,Florida,58465,,
Miami,Florida,461080,,
Miami Beach,Florida,89439,,
Miami Gardens,Florida,110767,,
Miami Lakes,Florida,31021,,
Miramar,Florida,140479,,
North Lauderdale,Florida,44189,,
North Miami,Florida,62468,,
North Miami Beach,Florida,42824,,
Oakland Park,Florida,44950,,
Palm Beach Gardens,Florida,56979,,
Palm Springs,Florida,25168,,
Palmetto Bay,Florida,24308,,
Parkland,Florida,32878,,
Pembroke Pines,Florida,171979,,
Plantation,Florida,94366,,
Pompano Beach,Florida,111202,,
Princeton,Florida,35564,,
Richmond West,Florida,37123,,
Riviera Beach,Florida,35025,,
Royal Palm Beach,Florida,39615,,
South Miami Heights,Florida,35683,,
Sunny Isles Beach,Florida,21853,,
Sunrise,Florida,94657,,
Sweetwater,Florida,20852,,
Tamarac,Florida,66432,,
Tamiami,Florida,55757,,
The Acreage,Florida,39863,,
The Crossings,Florida,23102,,
The Hammocks,Florida,63687,,
University Park,Florida,26565,,
Wellington,Florida,64990,,
West Little River,Florida,32293,,
West Palm Beach,Florida,111006,,
Westchester,Florida,54470,,
Weston,Florida,70965,,
