city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 400k. (0 mile search radius)
Auburn,Washington,80914,,
Bellevue,Washington,146145,,
Bonney Lake,Washington,21247,,
Bothell,Washington,46386,,
Burien,Washington,51588,,
Cottage Lake,Washington,23239,,
Covington,Washington,21131,,
Des Moines,Washington,31983,,
Eastmont,Washington,22829,,
Edmonds,Washington,42347,,
Everett,Washington,110840,,
Federal Way,Washington,96812,,
Frederickson,Washington,22290,,
Graham,Washington,32505,,
Issaquah,Washington,38707,,
Kenmore,Washington,22969,,
Kent,Washington,130038,,
Kirkland,Washington,91146,,
Lake Stevens,Washington,33470,,
Lakewood,Washington,60564,,
Lynnwood,Washington,38538,,
Maple Valley,Washington,26739,,
Martha Lake,Washington,21987,,
Marysville,Washington,69629,,
Mercer Island,Washington,25820,,
Mill Creek,Washington,20750,,
Mill Creek East,Washington,24643,,
Mountlake Terrace,Washington,21328,,
Mukilteo,Washington,21414,,
North Lynnwood,Washington,24084,,
Parkland,Washington,37946,,
Puyallup,Washington,41666,,
Redmond,Washington,67959,,
Renton,Washington,101871,,
Sammamish,Washington,65265,,
SeaTac,Washington,29102,,
Seattle,Washington,741251,,
Shoreline,Washington,56835,,
Silver Firs,Washington,22564,,
South Hill,Washington,64104,,
Spanaway,Washington,33776,,
Tacoma,Washington,215766,,
Tukwila,Washington,20265,,
Union Hill-Novelty Hill,Washington,23114,,
University Place,Washington,33661,,
