Company Name,Median Salary
Navy-Federal-Credit-Union,148
Starbucks,148
Circle,147
DraftKings,147
Front,147
G-Research,147
GoPro,147
MoneyGram-International,147
RetailMeNot,147
Applied-Systems,146
Carvana,146
HPE,146
Stanford-Health-Care,146
98point6,145
Barracuda-Networks,145
Bumble,145
Chainlink-Labs,145
Change-Healthcare,145
Labcorp,145
Lucidworks,145
MathWorks,145
Mimecast,145
Modern-Health,145
Pluralsight,145
Sema4,145
Shift,145
Shutterfly,145
Afterpay,144
CSX,144
McKesson,144
Nike,144
Omnicell,144
SAP-Concur,144
SAP-NS2,144
Synopsys,144
Dow-Jones,143
Enova-International,143
GOAT,143
Juniper-Networks,143
Khan-Academy,143
MarkLogic,143
PEAK6,143
Refinitiv,143
TigerGraph,143
Blizzard-Entertainment,142
Clever,142
Grainger,142
Guidewire-Software,142
McMaster-Carr,142
Recurly,142
Spectrum,142
Athenahealth,141
23andMe,140
Anheuser-Busch-InBev,140
Battelle,140
BlackRock,140
BlockFi,140
Clumio,140
Cognizant-Softvision,140
Crown-Castle,140
Dollar-Shave-Club,140
Gap,140
Insight-Global,140
Kajabi,140
McKinsey,140
Namely,140
Nasdaq,140
Nintendo,140
Nordstrom,140
Qorvo,140
Shippo,140
Skillsoft,140
Tempus,140
TOAST,140
Sinch,139
Tapestry,139
7-Eleven,138
Appian,138
Cadence-Design-Systems,138
ExtraHop,138
Genpact,138
Align-Technology,137
Avalara,137
AXA,137
Commvault,137
Granular,137
Rent-the-Runway,137
GoHealth,136
Alaska-Airlines,135
Ameriprise-Financial,135
Amount,135
AppFolio,135
Applied-Materials,135
Degreed,135
DRW,135
Grid-Dynamics,135
Johnson-and-Johnson,135
Lazada,135
Match,135
May-Mobility,135
Nextiva,135
Novetta,135
Ordermark,135
Overstock,135
PlayVS,135
Rescale,135
SwissRe,135
Tradeweb,135
Amgen,134
ChargePoint,134
Infoblox,134
Medidata-Solutions,134
Bungie,133
Ibotta,133
Rokt,133
The-RealReal,133
DataRobot,132
edX,132
Gartner,132
GE,132
