city,state,population,number of job postings,job postings per 100k people
Seattle,Washington,688245,5010,727
San Francisco,California,864263,2141,247
Atlanta,Georgia,465230,980,210
Austin,Texas,916906,1820,198
Boston,Massachusetts,669158,1159,173
Pittsburgh,Pennsylvania,305012,446,146
Minneapolis,Minnesota,411452,343,83
Denver,Colorado,678467,555,81
San Jose,California,1023031,787,76
Raleigh,North Carolina,449477,325,72
San Diego,California,1390966,807,58
Charlotte,North Carolina,826060,459,55
St. Louis,Missouri,314867,168,53
Tampa,Florida,368087,193,52
Portland,Oregon,630331,330,52
Dallas,Texas,1300122,553,42
Chicago,Illinois,2722586,1042,38
Colorado Springs,Colorado,450000,169,37
Detroit,Michigan,679865,199,29
Baltimore,Maryland,619796,179,28
Kansas City,Missouri,476974,138,28
Columbus,Ohio,852144,247,28
Miami,Florida,443007,123,27
New York,New York,8560072,2334,27
Indianapolis,Indiana,853431,201,23
Oakland,California,417442,76,18
Sacramento,California,489650,91,18
Cleveland,Ohio,388812,73,18
Milwaukee,Wisconsin,599086,102,17
Tucson,Arizona,530905,87,16
Omaha,Nebraska,463081,76,16
Phoenix,Arizona,1574421,240,15
Aurora,Colorado,357323,54,15
Albuquerque,New Mexico,556718,85,15
Oklahoma City,Oklahoma,629191,95,15
Philadelphia,Pennsylvania,1569657,244,15
Los Angeles,California,3949776,566,14
Jacksonville,Florida,867313,126,14
Louisville,Kentucky,615478,92,14
Las Vegas,Nevada,621662,93,14
Houston,Texas,2267336,326,14
Wichita,Kansas,389054,46,11
Fort Worth,Texas,835129,92,11
San Antonio,Texas,1461623,165,11
Anaheim,California,349007,38,10
Honolulu,Hawaii,350788,36,10
Memphis,Tennessee,654723,69,10
New Orleans,Louisiana,388182,37,9
Long Beach,California,470489,33,7
Santa Ana,California,334493,25,7
Tulsa,Oklahoma,401352,31,7
Arlington,Texas,388225,27,6
Virginia Beach,Virginia,450057,21,4
Mesa,Arizona,479317,14,2
Brooklyn,New York,2635121,73,2
El Paso,Texas,678266,19,2
Bakersfield,California,372680,5,1
Fresno,California,519037,8,1
Riverside,California,321570,2,0
Stockton,California,304358,3,0
Islip,New York,335302,1,0
Manhattan,New York,1653877,15,0
Corpus Christi,Texas,322726,2,0
