city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 400k. (0 mile search radius)
Brandon,Florida,115909,,
Cape Coral,Florida,189633,,
Clearwater,Florida,115975,,
Coral Springs,Florida,133370,,
Davie,Florida,105594,,
Fort Lauderdale,Florida,181818,,
Gainesville,Florida,133611,,
Hialeah,Florida,233876,,
Hollywood,Florida,153834,,
Jacksonville,Florida,902488,,
Lakeland,Florida,110335,,
Lehigh Acres,Florida,124523,,
Miami,Florida,461080,,
Miami Gardens,Florida,110767,,
Miramar,Florida,140479,,
Orlando,Florida,284817,,
Palm Bay,Florida,113751,,
Pembroke Pines,Florida,171979,,
Pompano Beach,Florida,111202,,
Port St. Lucie,Florida,195773,,
Spring Hill,Florida,113742,,
St. Petersburg,Florida,264001,,
Tallahassee,Florida,192885,,
Tampa,Florida,395912,,
West Palm Beach,Florida,111006,,
