city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 200k. (0 mile search radius)
Mesa,Arizona,508918,,
Phoenix,Arizona,1658422,,
Tucson,Arizona,545340,,
Tucson Estates,Arizona,545340,,
Fresno,California,526147,,
Long Beach,California,462081,,
Los Angeles,California,3973278,,
Oakland,California,422575,,
Sacramento,California,503482,,
San Diego,California,1414545,,
San Francisco,California,874784,,
San Jose,California,1029409,,
Colorado Springs,Colorado,471686,,
Denver,Colorado,715878,,
Jacksonville,Florida,902488,,
Miami,Florida,461080,,
Atlanta,Georgia,497642,,
Chicago,Illinois,2699347,,
Indianapolis,Indiana,869387,,
Louisville,Kentucky,615478,,
Baltimore,Maryland,602274,,
Boston,Massachusetts,689326,,
Detroit,Michigan,672351,,
Minneapolis,Minnesota,424536,,
Kansas City,Missouri,491158,,
Omaha,Nebraska,479529,,
Las Vegas,Nevada,644594,,
Albuquerque,New Mexico,560447,,
Brooklyn,New York,2635121,,
Manhattan,New York,1653877,,
New York,New York,8560072,,
Queens,New York,2339280,,
Staten Island,New York,475948,,
The Bronx,New York,1455846,,
Charlotte,North Carolina,873570,,
Raleigh,North Carolina,469698,,
Columbus,Ohio,889079,,
Oklahoma City,Oklahoma,629191,,
Tulsa,Oklahoma,402441,,
Portland,Oregon,650380,,
Philadelphia,Pennsylvania,1581531,,
Memphis,Tennessee,650910,,
Nashville-Davidson,Tennessee,654187,,
Austin,Texas,965872,,
Dallas,Texas,1338846,,
El Paso,Texas,679879,,
Fort Worth,Texas,892221,,
Houston,Texas,2313238,,
San Antonio,Texas,1529133,,
Virginia Beach,Virginia,450882,,
Seattle,Washington,741251,,
Milwaukee,Wisconsin,592649,,
Washington,District of Columbia,701974,,
