city,state,population,number of job postings,job postings per 100k people
Redmond,Washington,60712,2090,3442
Seattle,Washington,688245,10791,1567
Bellevue,Washington,139014,1858,1336
Tukwila,Washington,20025,70,349
Bothell,Washington,44082,125,283
Kirkland,Washington,86772,176,202
Everett,Washington,107560,177,164
Issaquah,Washington,35629,43,120
Kent,Washington,126561,149,117
Renton,Washington,99692,111,111
Mountlake Terrace,Washington,20922,14,66
Tacoma,Washington,207280,108,52
Lynnwood,Washington,37242,17,45
Auburn,Washington,77440,26,33
Kenmore,Washington,22154,4,18
Mukilteo,Washington,21101,4,18
Edmonds,Washington,41309,5,12
Sammamish,Washington,62877,8,12
Puyallup,Washington,39637,4,10
Marysville,Washington,66178,6,9
Federal Way,Washington,94905,8,8
Des Moines,Washington,31080,2,6
SeaTac,Washington,28597,2,6
Lakewood,Washington,59102,3,5
Shoreline,Washington,55431,3,5
Bothell West,Washington,20472,1,4
Mercer Island,Washington,24768,1,4
Maple Valley,Washington,25375,1,3
Burien,Washington,50729,1,1
Cottage Lake,Washington,23941,0,0
Eastmont,Washington,21951,0,0
Frederickson,Washington,21737,0,0
Graham,Washington,26939,0,0
Lake Stevens,Washington,31022,0,0
Mill Creek East,Washington,20514,0,0
North Lynnwood,Washington,20626,0,0
Parkland,Washington,37019,0,0
Silver Firs,Washington,22937,0,0
South Hill,Washington,56379,0,0
Spanaway,Washington,30528,0,0
Union Hill-Novelty Hill,Washington,22109,0,0
University Place,Washington,32528,0,0
,,,,
,,,,
,,2763121,15808,174.7925734
