city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 400k. (0 mile search radius)
Abilene,Texas,124691,,
Allen,Texas,104040,,
Amarillo,Texas,199225,,
Arlington,Texas,397269,,
Austin,Texas,965872,,
Beaumont,Texas,117321,,
Brownsville,Texas,182230,,
Carrollton,Texas,137319,,
College Station,Texas,115802,,
Corpus Christi,Texas,326332,,
Dallas,Texas,1338846,,
Denton,Texas,139734,,
El Paso,Texas,679879,,
Fort Worth,Texas,892221,,
Frisco,Texas,188387,,
Garland,Texas,238622,,
Grand Prairie,Texas,193835,,
Houston,Texas,2313238,,
Irving,Texas,240475,,
Killeen,Texas,148573,,
Laredo,Texas,260571,,
League City,Texas,105410,,
Lewisville,Texas,107740,,
Lubbock,Texas,257013,,
McAllen,Texas,142557,,
McKinney,Texas,191197,,
Mesquite,Texas,142429,,
Midland,Texas,141194,,
Odessa,Texas,122630,,
Pasadena,Texas,152537,,
Pearland,Texas,125817,,
Plano,Texas,288870,,
Richardson,Texas,118583,,
Round Rock,Texas,128812,,
San Angelo,Texas,100509,,
San Antonio,Texas,1529133,,
Sugar Land,Texas,118563,,
The Woodlands,Texas,114532,,
Tyler,Texas,105859,,
Waco,Texas,137779,,
Wichita Falls,Texas,104657,,
