city,state,population,number of job postings,job postings per 100k people,,,,Data queried from an Indeed.com search of the text 'Computer Science' for all USA cities with a population greater than 400k. (0 mile search radius)
Campbell,California,42891,,
Cupertino,California,59799,,
Gilroy,California,55227,,
Hollister,California,40100,,
Los Altos,California,30878,,
Los Gatos,California,31943,,
Milpitas,California,75182,,
Morgan Hill,California,44789,,
Mountain View,California,80104,,
Palo Alto,California,67973,,
San Jose,California,1029409,,
Santa Clara,California,126723,,
Saratoga,California,31084,,
Sunnyvale,California,152569,,
