City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Richfield,Utah,7589,1338,None,0,91,40,51,9,73,254,36,37.8,27.1,6,9,49,30,20.93%,$42363,12.1%,N/A,N/A,$219600,N/A,N/A,42,58.10%,8%,32%,28%,87,12 mins,3.50%,-0.10%,2.00%,Sevier County,8.00%,77.90%,N/A,1.25%,93.53%,4.60%,1.3%,N/A,N/A,4.9,42.00%,59,N/A,N/A,17.8%,54.48,0,0,218
Richmond,Utah,2580,750,Logan,144219,89,32,57,19,103,218,64,39.4,29.3,5,8,22,31,27.81%,$53226,7.2%,N/A,N/A,$257000,N/A,N/A,42,68.90%,11%,38%,34%,94,17 mins,2.70%,1.00%,-2.30%,Cache County,18.30%,45.20%,N/A,N/A,97.04%,3.00%,1.9%,Mountain Standard Time,4507,4.7,38.80%,18,N/A,38,18.5%,36.76,0,0,200
River Heights,Utah,2028,3000,Logan,144219,89,31,58,18,99,221,53,39.7,29.6,5,7,18,32,53.39%,$67778,3.8%,N/A,N/A,$308500,N/A,N/A,38,86.70%,12%,37%,34%,84,17 mins,2.70%,1.00%,8.90%,Cache County,18.30%,45.20%,N/A,N/A,94.13%,2.00%,2.5%,Mountain Standard Time,4507,4.7,33.80%,28,N/A,N/A,18.0%,0.00,0,0,244
Riverdale,Utah,8685,1855,Ogden-Clearfield,691359,91,36,55,23,79,222,33,40.5,30.6,6,15,87,34,21.36%,$52195,10.4%,$1113,969,$284100,N/A,N/A,37,70.00%,14%,53%,43%,71,19 mins,3.30%,0.90%,6.10%,Weber County,26.90%,46.80%,2.70%,1.99%,86.97%,13.80%,7.7%,Mountain Standard Time,4300,4.5,42.50%,61,N/A,70,18.3%,4.75,0,0,242
Riverside,Utah,619,92,Ogden-Clearfield,691359,91,33,58,17,84,220,43,40.5,30.8,5,7,18,30,N/A,$63237,0%,N/A,N/A,$277900,N/A,N/A,59,78.60%,12%,47%,45%,89,23 mins,3.00%,0.40%,-1.40%,Box Elder County,11.50%,61.50%,1.85%,N/A,98.15%,N/A,0%,Mountain Standard Time,4300,4.7,35.00%,12,N/A,27,9.0%,0.00,0,0,390
Riverton,Utah,41997,3324,Salt Lake City,1240029,92,39,53,16,84,225,43,42.1,32.3,5,7,21,30,38.04%,$84718,1.5%,$1392,1080,$510000,2756,$185,19,87.80%,11%,47%,40%,79,23 mins,2.60%,1.50%,16.70%,Salt Lake County,41.50%,32.60%,1.88%,N/A,94.75%,7.10%,3.9%,Mountain Standard Time,4260,4.7,34.80%,25,19,43,18.9%,15.15,0,1,357
Rockville,Utah,313,37,St. George,184913,100,53,47,14,60,253,3,38.3,27.7,6,9,24,59,43.79%,$49000,0%,N/A,N/A,$579400,N/A,N/A,33,44.70%,12%,48%,27%,92,18 mins,3.40%,3.50%,35.50%,Washington County,16.50%,68.40%,N/A,N/A,100.00%,N/A,8.5%,Mountain Standard Time,2880,6,51.10%,0,N/A,37,17.4%,0.00,1,0,187
Rocky Ridge,Utah,1235,721,Provo-Orem,663181,90,37,53,16,83,226,47,36.7,27.2,N/A,14,36,15,8.22%,$40536,28%,N/A,N/A,$221800,N/A,N/A,17,53.30%,14%,45%,37%,96,22 mins,2.90%,N/A,64.50%,Juab County,10.50%,67.00%,N/A,N/A,100.00%,N/A,1.5%,Mountain Standard Time,4227,4.5,62.70%,0,N/A,N/A,9.0%,0.00,0,0,127
Roosevelt,Utah,6771,1004,None,0,92,30,62,7,52,226,15,38,25.1,5,37,61,27,19.44%,$60613,12.2%,N/A,N/A,$226400,N/A,N/A,33,57.80%,9%,24%,20%,81,17 mins,4.60%,-0.70%,21.00%,Duchesne County,7.20%,78.80%,1.09%,N/A,83.38%,11.50%,4.8%,N/A,N/A,4.7,37.60%,58,N/A,N/A,17.4%,87.92,0,0,7
Roy,Utah,38013,4831,Ogden-Clearfield,691359,92,36,56,20,74,229,32,41.8,31.8,6,11,28,30,18.85%,$60100,9.2%,$1249,1061,$272300,N/A,N/A,33,81.80%,15%,52%,43%,70,23 mins,3.50%,0.90%,6.10%,Weber County,26.90%,46.80%,1.64%,N/A,84.94%,14.90%,5.9%,Mountain Standard Time,4300,4.5,42.20%,28,28,47,18.5%,32.73,0,0,261
Rush Valley,Utah,517,29,Salt Lake City,1240029,91,39,52,16,82,225,64,38.1,28.6,6,8,22,40,13.07%,$57125,4.2%,N/A,N/A,$266900,N/A,N/A,39,65.80%,13%,51%,49%,92,27 mins,3.50%,1.50%,19.40%,Tooele County,20.80%,50.90%,N/A,N/A,99.07%,6.80%,0%,Mountain Standard Time,4260,4.5,38.90%,0,N/A,N/A,16.2%,54.25,0,0,70
