City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Enosburgh,Vermont,2758,57,Burlington-South Burlington,231329,$52569,20.35%,N/A,N/A,N/A,N/A,43,56.20%,N/A,N/A,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,3.11%,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,48.39,VT-24050,44.8806038,-72.7477918,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30
Essex,Vermont,20901,538,Burlington-South Burlington,231329,$73530,52.20%,N/A,N/A,N/A,N/A,36,68.70%,N/A,42.20%,59,1362,N/A,1.90%,N/A,Chittenden County,65.70%,22.30%,5.08%,2.62%,N/A,2.10%,N/A,Eastern Standard Time,83,30,53,39.59,86.2,8.2,82,303,3,38.85,VT-24175,44.5195976,-73.0655871,49%,60%,42%,58%,54%,23.6,35,57,63,15,12.2,7.12,43.81%,42.64%,48.67%,49
Essex Junction,Vermont,10761,2355,Burlington-South Burlington,231329,$76845,47.99%,38,$422000,1991,$212,40,72.45%,$1301,50.02%,N/A,N/A,8.16%,3.64%,75.2%,Chittenden County,65.70%,22.30%,10.25%,1.17%,81.41%,2.36%,15.44%,Eastern Standard Time,83,30,53,39.59,86.2,8.2,77,303,3,4.57,VT-24400,44.4902189,-73.1140064,49%,60%,42%,58%,54%,23.6,35,57,63,15,12.2,7.12,43.81%,42.64%,48.67%,49
Fair Haven,Vermont,2273,809,Rutland,61186,$58631,19.83%,40,$150000,1402,$107,78,78.49%,$837,50.08%,N/A,N/A,17.15%,4.68%,62.96%,Rutland County,46.00%,42.10%,0.0%,0.09%,92.12%,2.64%,2.02%,N/A,84,31,53,44.92,73.4,8.2,86,108,2.9,2.81,VT-25450,43.5930709,-73.2692512,49%,60%,42%,58%,54%,23.6,37,58,63,13,14.29,9.25,40.0%,40.44%,43.0%,33
Fairfax,Vermont,1145,606,Burlington-South Burlington,231329,$53605,55.78%,35,$375000,1847,$203,53,42.97%,$1129,23.98%,N/A,N/A,10.83%,8.88%,74.73%,Franklin County,43.70%,40.90%,0.0%,0.0%,100.0%,0.0%,1.75%,Eastern Standard Time,70,22,48,50.16,48.8,8.2,89,855,2.9,1.89,VT-24850,44.6694853,-73.0106664,49%,60%,42%,58%,54%,23.6,35,57,56,7,14.98,9.53,52.96%,50.99%,60.78%,30
Fairfield,Vermont,1899,28,Burlington-South Burlington,231329,$68700,31.98%,N/A,N/A,N/A,N/A,37,63.40%,N/A,38.80%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,1.80%,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,67.82,VT-25225,44.808435,-72.9325282,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30
Fairlee,Vermont,163,276,Claremont-Lebanon,228819,$49886,25.37%,52,N/A,N/A,N/A,56,66.87%,$882,55.07%,N/A,N/A,17.79%,4.23%,51.45%,Orange County,51.50%,34.20%,1.23%,0.0%,98.77%,0.0%,4.91%,N/A,83,29,54,43.52,74.3,6.0,86,420,3.1,0.59,VT-25600,43.8987403,-72.1549285,55%,62%,53%,53%,51%,17.7,35,57,58,8,13.74,8.85,43.1%,50.0%,39.0%,35
Fayston,Vermont,1298,36,Barre,66247,$86042,57.92%,N/A,N/A,N/A,N/A,40,35.30%,N/A,41.10%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,N/A,N/A,N/A,N/A,N/A,N/A,78,29,49,46.55,118.2,8.2,92,1044,2.9,36.06,VT-25825,44.2130306,-72.8748925,49%,60%,42%,58%,54%,23.6,35,57,57,12,14.51,8.97,51.92%,49.89%,60.78%,69
Fletcher,Vermont,1424,38,Burlington-South Burlington,231329,$80625,37.98%,N/A,N/A,N/A,N/A,31,76.20%,N/A,34.30%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,76,26,50,50.16,48.8,8.2,89,855,2.9,37.47,VT-26500,44.7108816,-72.9009983,49%,60%,42%,58%,54%,23.6,35,57,57,7,14.98,9.53,52.96%,50.99%,60.78%,30
Franklin,Vermont,1414,37,Burlington-South Burlington,231329,$53333,18.17%,N/A,N/A,N/A,N/A,42,50.10%,N/A,33.20%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,88,390,2.9,38.22,VT-27100,44.9765314,-72.8980543,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30
Georgia,Vermont,4691,119,Burlington-South Burlington,231329,$74978,31.53%,N/A,N/A,N/A,N/A,35,78.50%,N/A,44.00%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,1.33%,N/A,N/A,3.50%,N/A,Eastern Standard Time,83,29,54,36.54,48.8,8.2,86,102,2.9,39.42,VT-27700,44.7282388,-73.1276314,49%,60%,42%,58%,54%,23.6,35,57,63,13,12.05,6.22,36.74%,40.22%,36.33%,30
Granby,Vermont,103,3,Berlin,40670,$46250,N/A,N/A,N/A,N/A,N/A,25,28.40%,N/A,22.60%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,80,26,54,47.41,141.7,8.2,91,1347,3,34.33,VT-29125,44.6023405,-71.7206278,49%,60%,42%,58%,54%,23.6,35,57,56,4,14.32,9.89,47.73%,49.67%,54.22%,84
Grand Isle,Vermont,2229,136,Burlington-South Burlington,231329,$61286,44.55%,N/A,N/A,N/A,N/A,33,65.50%,N/A,39.90%,N/A,N/A,N/A,2.20%,N/A,Grand Isle County,51.00%,36.20%,N/A,N/A,N/A,1.80%,N/A,Eastern Standard Time,83,29,54,36.54,48.8,8.2,84,102,3.1,16.39,VT-29275,44.7203507,-73.2989753,49%,60%,42%,58%,54%,23.6,35,57,63,13,12.05,6.22,36.74%,40.22%,36.33%,30
Graniteville,Vermont,907,537,Barre,66247,$42917,31.1%,32,N/A,N/A,N/A,60,60.31%,$909,73.1%,N/A,N/A,10.69%,16.64%,67.43%,Washington County,59.80%,25.70%,0.0%,11.69%,86.88%,0.0%,5.29%,N/A,79,27,52,42.14,118.2,8.2,84,1029,2.9,1.69,VT-29425,44.14634,-72.4818365,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
Guildhall,Vermont,185,6,Berlin,40670,$45938,N/A,N/A,N/A,N/A,N/A,38,63.30%,N/A,44.40%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,80,26,54,44.09,96.9,8.2,91,786,3,30.83,VT-30775,44.5479105,-71.6287922,49%,60%,42%,58%,54%,23.6,35,57,55,5,14.24,8.03,47.73%,49.67%,54.22%,65
Hartford,Vermont,334,285,Claremont-Lebanon,228819,$46150,54.33%,38,$350000,1259,$278,41,51.5%,$1092,46.06%,261,1327,6.59%,2.96%,79.92%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,21.86%,N/A,84,32,52,40.34,68.9,6.0,68,546,3.3,1.17,VT-32205,43.6638102,-72.3364955,55%,62%,53%,53%,51%,17.7,35,57,59,11,13.18,7.66,40.99%,46.59%,37.67%,27
Hartland,Vermont,537,493,Claremont-Lebanon,228819,$53631,5.94%,38,$369000,1932,$191,42,74.3%,$929,39.95%,N/A,N/A,19.37%,9.49%,59.11%,Windsor County,58.70%,28.80%,2.05%,0.74%,90.32%,0.0%,16.76%,N/A,81,29,52,40.34,68.9,6.0,85,522,3.3,1.09,VT-32350,43.5423345,-72.4000705,55%,62%,53%,53%,51%,17.7,35,57,58,10,13.18,7.66,40.99%,46.59%,37.67%,27
Highgate,Vermont,3627,71,Burlington-South Burlington,231329,$46165,13.12%,N/A,N/A,N/A,N/A,44,65.10%,N/A,37.80%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,88,390,2.9,51.08,VT-33025,44.9655727,-73.0561906,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,36.74%,40.22%,36.33%,30
Hinesburg,Vermont,595,480,Burlington-South Burlington,231329,$52313,63.32%,32,$380000,1532,$248,30,54.07%,$1194,75.05%,65,393,0.5%,4.62%,84.39%,Chittenden County,65.70%,22.30%,0.0%,0.0%,100.0%,0.0%,2.69%,Eastern Standard Time,83,30,53,46.55,86.2,8.2,88,651,3,1.24,VT-33400,44.3336413,-73.1085505,49%,60%,42%,58%,54%,23.6,35,57,63,15,14.51,8.97,43.81%,42.64%,48.67%,49
Hubbardton,Vermont,559,20,Rutland,61186,$65855,39.87%,N/A,N/A,N/A,N/A,41,37.10%,N/A,48.60%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,N/A,N/A,N/A,N/A,N/A,N/A,81,30,51,44.71,84.9,8.2,88,621,2.9,27.95,VT-34450,43.712841,-73.1765771,49%,60%,42%,58%,54%,23.6,37,58,57,10,14.72,8.98,41.32%,44.18%,43.11%,34
Huntington,Vermont,584,712,Burlington-South Burlington,231329,$87813,34.33%,44,N/A,N/A,N/A,41,94.01%,$1643,47.27%,N/A,N/A,7.19%,2.45%,69.94%,Chittenden County,65.70%,22.30%,0.51%,0.0%,88.87%,3.77%,3.6%,Eastern Standard Time,83,30,53,46.55,86.2,8.2,91,651,3,0.82,VT-34525,44.3275514,-72.9893609,49%,60%,42%,58%,54%,23.6,35,57,63,15,14.51,8.97,51.92%,49.89%,60.78%,49
Hyde Park village,Vermont,399,347,None,8027993,$72880,49.51%,50,N/A,N/A,N/A,76,86.22%,$1019,54.2%,N/A,N/A,4.01%,2.11%,68.7%,Lamoille County,56.70%,28.00%,2.51%,0.0%,96.24%,0.0%,4.51%,N/A,80,28,52,47.18,118.2,8.2,90,945,3.1,1.15,VT-34975,44.5960805,-72.6123863,49%,60%,42%,58%,54%,23.6,35,57,56,7,14.61,9.59,43.29%,48.24%,39.78%,69
Ira,Vermont,424,19,Rutland,61186,$66875,N/A,N/A,N/A,N/A,N/A,41,77.40%,N/A,39.10%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,N/A,N/A,N/A,N/A,N/A,N/A,81,30,51,44.71,73.4,8.2,91,621,2.9,22.32,VT-35425,43.5537489,-73.0813329,49%,60%,42%,58%,54%,23.6,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
Island Pond,Vermont,758,182,Berlin,40670,$38689,21.1%,53,N/A,N/A,N/A,58,65.07%,$669,49.55%,N/A,N/A,11.61%,1.4%,53.83%,Essex County,34.80%,51.50%,0.0%,0.0%,94.2%,0.66%,0.4%,N/A,77,25,52,46.33,109.5,8.2,93,1098,3,4.17,VT-35725,44.8125381,-71.8862023,49%,60%,42%,58%,54%,23.6,35,57,56,6,15.35,8.49,51.78%,53.52%,56.33%,60
Isle La Motte,Vermont,494,63,Burlington-South Burlington,231329,$52083,34.39%,N/A,N/A,N/A,N/A,40,38.20%,N/A,43.10%,N/A,N/A,N/A,2.20%,N/A,Grand Isle County,51.00%,36.20%,N/A,N/A,N/A,1.00%,N/A,Eastern Standard Time,81,30,51,36.36,48.8,8.2,84,162,3.1,7.84,VT-35875,44.863036,-73.3424544,49%,60%,42%,58%,54%,23.6,35,57,59,12,11.7,6.61,39.67%,46.15%,33.89%,30
Jacksonville,Vermont,252,221,None,8027993,$40625,22.64%,45,N/A,N/A,N/A,78,82.14%,$923,55.51%,N/A,N/A,12.3%,18.46%,60.19%,Windham County,63.40%,24.10%,5.16%,2.38%,90.87%,1.59%,7.54%,N/A,76,30,46,54.08,59.9,7.9,92,1587,3.5,1.14,VT-36025,42.7975732,-72.8192225,50%,58%,45%,57%,55%,22.7,37,58,58,12,15.34,13.63,40.66%,45.71%,39.0%,29
Jeffersonville,Vermont,667,855,None,8027993,$54917,39.01%,33,N/A,N/A,N/A,42,39.88%,$1017,58.43%,N/A,N/A,14.54%,5.26%,84.53%,Lamoille County,56.70%,28.00%,0.0%,0.0%,86.81%,0.3%,1.8%,N/A,76,26,50,54.92,86.2,8.2,91,1065,3.1,0.78,VT-36475,44.6427032,-72.8282358,49%,60%,42%,58%,54%,23.6,35,57,57,7,15.24,11.41,52.96%,50.99%,60.78%,49
Jericho,Vermont,1077,775,Burlington-South Burlington,231329,$92188,63.02%,34,N/A,N/A,N/A,46,95.36%,N/A,37.5%,N/A,N/A,3.62%,0.0%,72.3%,Chittenden County,65.70%,22.30%,0.0%,0.74%,95.45%,0.84%,1.58%,Eastern Standard Time,83,30,53,50.16,86.2,8.2,90,855,3,1.39,VT-36625,44.5048644,-72.9878497,49%,60%,42%,58%,54%,23.6,35,57,63,15,14.98,9.53,52.96%,50.99%,60.78%,49
Johnson village,Vermont,1627,1391,None,8027993,$40907,36.29%,21,N/A,N/A,N/A,53,38.65%,$928,71.48%,N/A,N/A,18.53%,8.91%,75.02%,Lamoille County,56.70%,28.00%,0.8%,2.09%,90.66%,2.09%,1.6%,N/A,76,26,50,47.2,118.2,8.2,90,897,3.1,1.17,VT-37000,44.6366037,-72.6785728,49%,60%,42%,58%,54%,23.6,35,57,57,7,14.12,9.14,43.29%,48.24%,39.78%,69
Killington,Vermont,445,74,Rutland,61186,$57917,57.45%,46,$412000,1161,$355,39,76.04%,$1181,43.45%,N/A,N/A,0.0%,0.0%,69.64%,Rutland County,46.00%,42.10%,5.62%,0.0%,82.47%,4.72%,16.4%,N/A,81,30,51,47.87,84.9,8.2,93,1065,2.9,6.02,VT-37750,43.6505469,-72.7851021,49%,60%,42%,58%,54%,23.6,35,57,57,10,15.3,9.38,41.32%,44.18%,43.11%,34
Landgrove,Vermont,109,12,Bennington,39057,$79375,N/A,N/A,N/A,N/A,N/A,35,30.30%,N/A,22.40%,N/A,N/A,N/A,2.60%,N/A,Bennington County,54.90%,34.10%,5.36%,N/A,N/A,N/A,N/A,N/A,76,28,48,52.16,73.4,7.9,93,1554,3.4,9.08,VT-39025,43.263662,-72.8464422,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,40.44%,49.23%,37.11%,33
Lemington,Vermont,133,4,Berlin,40670,$31429,N/A,N/A,N/A,N/A,N/A,44,70.90%,N/A,37.60%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,9.80%,N/A,N/A,78,25,53,44.85,109.5,8.2,94,1023,3,33.25,VT-39700,44.8906848,-71.5829463,49%,60%,42%,58%,54%,23.6,36,57,53,3,13.95,8.55,47.73%,49.67%,54.22%,60
Ludlow,Vermont,646,482,Claremont-Lebanon,228819,$41339,25.7%,53,$678000,1863,$364,79,45.66%,$856,70.03%,160,641,18.07%,4.21%,58.94%,Windsor County,58.70%,28.80%,0.62%,0.15%,95.51%,0.31%,4.49%,N/A,83,31,52,46.66,73.4,6.0,91,888,3.3,1.34,VT-41200,43.3972429,-72.6969261,55%,62%,53%,53%,51%,17.7,35,57,59,12,13.47,10.45,40.44%,49.23%,37.11%,33
Ludlow village,Vermont,646,482,Claremont-Lebanon,228819,$41339,25.7%,53,$678000,1863,$364,79,45.66%,$856,70.03%,160,641,18.07%,4.21%,58.94%,Windsor County,58.70%,28.80%,0.62%,0.15%,95.51%,0.31%,4.49%,N/A,83,31,52,46.66,73.4,6.0,91,888,3.3,1.34,VT-41200,43.3972429,-72.6969261,55%,62%,53%,53%,51%,17.7,35,57,59,12,13.47,10.45,40.44%,49.23%,37.11%,33
Lunenburg,Vermont,376,148,Berlin,40670,$41250,20.53%,48,N/A,N/A,N/A,48,78.46%,$544,47.7%,N/A,N/A,42.29%,25.53%,50.36%,Essex County,34.80%,51.50%,0.0%,0.0%,95.74%,3.46%,0.0%,N/A,80,26,54,47.41,96.9,8.2,91,1347,3,2.54,VT-41350,44.456999,-71.6803018,49%,60%,42%,58%,54%,23.6,35,57,55,5,14.32,9.89,45.84%,53.96%,40.22%,65
Lyndonville,Vermont,1407,1982,None,8027993,$35865,19.12%,30,N/A,N/A,N/A,78,42.57%,$725,58.52%,345,1987,30.63%,3.99%,69.91%,Caledonia County,45.80%,39.30%,0.0%,0.0%,94.88%,0.21%,0.0%,N/A,77,24,53,49.59,141.7,8.2,89,1371,3.1,0.71,VT-41950,44.5351896,-72.0016708,49%,60%,42%,58%,54%,23.6,35,57,57,6,15.11,10.54,54.49%,50.44%,67.0%,84
Maidstone,Vermont,186,6,Berlin,40670,$36339,N/A,N/A,N/A,N/A,N/A,50,28.80%,N/A,29.70%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,7.50%,N/A,N/A,80,26,54,41.61,96.9,8.2,94,870,3,31.0,VT-42475,44.6409464,-71.6166885,49%,60%,42%,58%,54%,23.6,35,57,56,4,13.47,8.11,47.73%,49.67%,54.22%,65
Manchester,Vermont,583,165,Bennington,39057,$25114,43.84%,67,$360000,1978,$182,44,64.89%,$513,61.58%,118,1087,29.41%,0.0%,28.3%,Bennington County,54.90%,34.10%,0.0%,0.0%,97.08%,2.92%,13.55%,N/A,76,28,48,52.16,73.4,7.9,91,1554,3.4,3.54,VT-42700,43.161082,-73.0712055,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,41.04%,45.16%,40.44%,33
Manchester village,Vermont,583,165,Bennington,39057,$25114,43.84%,67,$360000,1978,$182,44,64.89%,$513,61.58%,118,1087,29.41%,0.0%,28.3%,Bennington County,54.90%,34.10%,0.0%,0.0%,97.08%,2.92%,13.55%,N/A,76,28,48,52.16,73.4,7.9,91,1554,3.4,3.54,VT-42700,43.161082,-73.0712055,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,41.04%,45.16%,40.44%,33
Marshfield,Vermont,367,1412,Barre,66247,$54583,29.89%,36,$100000,1639,$61,41,87.47%,$857,55.56%,N/A,N/A,6.54%,4.19%,59.01%,Washington County,59.80%,25.70%,0.0%,0.0%,89.65%,4.63%,0.54%,N/A,81,26,55,43.29,118.2,8.2,90,732,2.9,0.26,VT-43525,44.351923,-72.352028,49%,60%,42%,58%,54%,23.6,35,57,54,4,14.19,8.42,48.82%,46.37%,56.0%,69
Marshfield village,Vermont,367,1412,Barre,66247,$54583,29.89%,36,$100000,1639,$61,78,87.47%,$857,55.56%,N/A,N/A,6.54%,4.19%,59.01%,Washington County,59.80%,25.70%,0.0%,0.0%,89.65%,4.63%,0.54%,N/A,81,26,55,43.29,118.2,8.2,90,732,2.9,0.26,VT-43525,44.351923,-72.352028,49%,60%,42%,58%,54%,23.6,35,57,54,4,14.19,8.42,48.82%,46.37%,56.0%,69
Mendon,Vermont,968,25,Rutland,61186,$55547,53.24%,N/A,N/A,N/A,N/A,43,55.10%,N/A,45.80%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,1.94%,N/A,N/A,1.10%,N/A,N/A,81,30,51,40.62,73.4,8.2,93,567,2.9,38.72,VT-44125,43.6261836,-72.8788141,49%,60%,42%,58%,54%,23.6,35,57,57,10,13.18,8.48,40.0%,40.44%,43.0%,33
Middlesex,Vermont,1672,42,Barre,66247,$66125,51.22%,N/A,N/A,N/A,N/A,38,84.30%,N/A,37.40%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,N/A,N/A,N/A,1.30%,N/A,N/A,78,27,51,48.78,118.2,8.2,89,1245,2.9,39.81,VT-44500,44.3269555,-72.6305418,49%,60%,42%,58%,54%,23.6,35,57,58,10,15.24,10.68,48.82%,46.37%,56.0%,69
Middletown Springs,Vermont,117,170,Rutland,61186,$58125,42.65%,36,N/A,N/A,N/A,44,77.78%,$1125,56.25%,N/A,N/A,5.31%,6.78%,75.64%,Rutland County,46.00%,42.10%,0.0%,0.0%,96.58%,3.42%,0.85%,N/A,81,30,51,44.71,73.4,7.9,91,621,2.9,0.69,VT-44725,43.4865715,-73.1230877,50%,58%,45%,57%,55%,22.7,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
Milton,Vermont,3913,1254,Burlington-South Burlington,231329,$62292,16.82%,40,$318000,1452,$219,32,67.83%,$1331,44.26%,145,943,9.89%,14.16%,65.15%,Chittenden County,65.70%,22.30%,0.0%,2.63%,96.37%,0.0%,2.53%,Eastern Standard Time,83,29,54,36.54,48.8,8.2,85,102,3,3.12,VT-45175,44.6309973,-73.1221034,49%,60%,42%,58%,54%,23.6,35,57,63,13,12.05,6.22,36.74%,40.22%,36.33%,30
Montgomery,Vermont,998,18,Burlington-South Burlington,231329,$48533,29.42%,N/A,N/A,N/A,N/A,43,37.90%,N/A,40.90%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,4.90%,N/A,Eastern Standard Time,82,28,54,51.6,141.7,8.2,92,978,2.9,55.44,VT-45850,44.8599088,-72.6039599,49%,60%,42%,58%,54%,23.6,35,57,56,5,15.25,11.46,43.29%,48.24%,39.78%,84
Montpelier,Vermont,7434,739,Barre,66247,$65668,61.25%,45,$245000,1043,$235,68,60.2%,$1060,57.23%,94,2165,4.02%,2.82%,71.26%,Washington County,59.80%,25.70%,2.17%,0.56%,92.0%,2.35%,5.72%,N/A,82,29,53,43.63,118.2,8.2,70,486,2.9,10.06,VT-46000,44.265916,-72.5717266,49%,60%,42%,58%,54%,23.6,35,57,60,10,13.86,8.73,45.53%,46.92%,47.22%,69
Moretown,Vermont,1739,44,Barre,66247,$69250,48.97%,N/A,N/A,N/A,N/A,40,74.20%,N/A,39.70%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,1.18%,N/A,N/A,N/A,N/A,N/A,82,29,53,43.63,118.2,8.2,90,486,2.9,39.52,VT-46225,44.2564886,-72.7147496,49%,60%,42%,58%,54%,23.6,35,57,60,10,13.86,8.73,45.53%,46.92%,47.22%,69
Morrisville,Vermont,2017,1029,None,8027993,$53138,35.63%,35,N/A,N/A,N/A,61,49.82%,$945,63.22%,N/A,N/A,15.61%,9.55%,66.75%,Lamoille County,56.70%,28.00%,0.64%,2.48%,94.55%,2.73%,2.33%,N/A,80,28,52,35.87,118.2,8.2,88,669,3.1,1.96,VT-46825,44.5583578,-72.5932668,49%,60%,42%,58%,54%,23.6,35,57,56,7,12.2,6.18,43.29%,48.24%,39.78%,69
Mount Holly,Vermont,1231,25,Rutland,61186,$56625,39.25%,N/A,N/A,N/A,N/A,39,46.70%,N/A,34.20%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,N/A,N/A,N/A,N/A,N/A,N/A,76,28,48,46.66,73.4,6.0,92,888,2.9,49.24,VT-47200,43.4288129,-72.8036563,55%,62%,53%,53%,51%,17.7,35,57,58,9,13.47,10.45,40.44%,49.23%,37.11%,33
Mount Tabor,Vermont,265,6,Rutland,61186,$48542,32.03%,N/A,N/A,N/A,N/A,45,44.10%,N/A,59.40%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,4.82%,N/A,N/A,3.00%,N/A,N/A,76,28,48,52.16,73.4,7.9,93,1554,2.9,44.17,VT-47425,43.3492433,-72.928083,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,40.0%,40.44%,43.0%,33
Newbury,Vermont,397,80,Claremont-Lebanon,228819,$54844,37.02%,49,$450000,1875,$240,45,70.03%,$825,38.54%,N/A,N/A,15.62%,3.16%,50.97%,Orange County,51.50%,34.20%,0.0%,0.5%,98.49%,1.01%,1.51%,N/A,77,27,50,45.97,74.3,6.0,86,1080,3.1,4.97,VT-48100,44.080928,-72.0599473,55%,62%,53%,53%,51%,17.7,35,57,56,7,13.98,9.99,43.1%,50.0%,39.0%,35
Newbury village,Vermont,397,80,Claremont-Lebanon,228819,$54844,37.02%,49,$450000,1875,$240,78,70.03%,$825,38.54%,N/A,N/A,15.62%,3.16%,50.97%,Orange County,51.50%,34.20%,0.0%,0.5%,98.49%,1.01%,1.51%,N/A,77,27,50,45.97,74.3,6.0,86,1080,3.1,4.97,VT-48100,44.080928,-72.0599473,55%,62%,53%,53%,51%,17.7,35,57,56,7,13.98,9.99,43.1%,50.0%,39.0%,35
Newfane village,Vermont,137,761,None,8027993,$90833,72.37%,35,N/A,N/A,N/A,78,57.66%,$983,64.71%,N/A,N/A,8.03%,3.85%,87.39%,Windham County,63.40%,24.10%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,82,32,50,51.13,59.9,6.0,90,363,3.5,0.18,VT-48325,42.9874534,-72.6548213,55%,62%,53%,53%,51%,17.7,35,57,59,14,14.77,12.0,36.96%,37.8%,37.56%,29
Newport,Vermont,4372,746,None,8027993,$31038,17.52%,N/A,N/A,N/A,N/A,66,43.00%,N/A,59.50%,517,2448,9.4%,3.30%,N/A,Orleans County,43.00%,42.80%,N/A,N/A,N/A,N/A,5.6%,N/A,79,25,54,46.05,109.5,8.2,81,723,3,5.86,VT-48925,44.9357742,-72.3041389,49%,60%,42%,58%,54%,23.6,35,57,57,6,14.65,8.9,51.78%,53.52%,56.33%,60
North Bennington,Vermont,1551,829,Bennington,39057,$55682,43.47%,24,$250000,1025,$244,80,63.91%,$996,74.72%,N/A,N/A,13.49%,4.94%,55.72%,Bennington County,54.90%,34.10%,4.19%,1.68%,81.69%,2.77%,10.51%,N/A,82,33,49,39.98,54.0,7.9,87,756,3.4,1.87,VT-49075,42.9240557,-73.2411014,50%,58%,45%,57%,55%,22.7,37,58,58,15,13.3,7.55,41.04%,45.16%,40.44%,29
North Hartland,Vermont,274,274,Claremont-Lebanon,228819,$64362,39.89%,37,N/A,N/A,N/A,76,75.18%,N/A,77.45%,N/A,N/A,0.0%,0.0%,72.77%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,6.93%,N/A,81,29,52,40.34,68.9,6.0,85,522,3.3,1.0,VT-50500,43.5936689,-72.3578192,55%,62%,53%,53%,51%,17.7,35,57,58,10,13.18,7.66,40.99%,46.59%,37.67%,27
North Hero,Vermont,968,72,Burlington-South Burlington,231329,$68750,45.30%,N/A,N/A,N/A,N/A,41,35.20%,N/A,32.50%,N/A,N/A,N/A,2.20%,N/A,Grand Isle County,51.00%,36.20%,N/A,N/A,N/A,4.00%,N/A,Eastern Standard Time,83,29,54,36.36,48.8,8.2,84,162,3.1,13.44,VT-50650,44.8370665,-73.2653266,49%,60%,42%,58%,54%,23.6,35,57,63,13,11.7,6.61,36.74%,40.22%,36.33%,30
