City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Barre town,Vermont,7787,1952,Barre,66247,$64800,N/A,N/A,$240000,1538,$156,48,76.80%,N/A,41.70%,103,571,N/A,2.00%,N/A,Washington County,59.80%,25.70%,N/A,N/A,N/A,1.50%,N/A,N/A,79,27,52,42.14,118.2,8.2,83,1029,2.9,3.99,VT-03250,44.1858459,-72.4818107,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
Barton village,Vermont,594,526,None,8027993,$30170,10.46%,53,N/A,N/A,N/A,59,52.97%,$700,64.63%,N/A,N/A,25.82%,10.86%,51.35%,Orleans County,43.00%,42.80%,0.0%,8.08%,90.4%,0.84%,9.93%,N/A,77,24,53,45.98,141.7,8.2,78,1371,3,1.13,VT-03475,44.7481194,-72.1785014,49%,60%,42%,58%,54%,23.6,35,57,57,6,14.16,8.94,54.49%,50.44%,67.0%,84
Beecher Falls,Vermont,174,137,Berlin,40670,$38333,5.66%,58,N/A,N/A,N/A,75,82.76%,N/A,39.62%,N/A,N/A,18.97%,6.74%,55.97%,Essex County,34.80%,51.50%,0.0%,0.0%,95.4%,0.0%,14.94%,N/A,76,23,53,44.85,146.6,8.2,94,1554,3,1.27,VT-04150,45.0090817,-71.4936347,49%,60%,42%,58%,54%,23.6,36,57,54,2,13.95,8.55,51.23%,49.89%,59.56%,67
Bellows Falls,Vermont,2908,2123,None,8027993,$42907,21.22%,36,N/A,N/A,N/A,78,47.36%,$868,72.02%,100,1871,20.54%,4.68%,64.6%,Windham County,63.40%,24.10%,0.48%,3.03%,89.55%,1.75%,4.4%,N/A,82,32,50,46.49,59.9,6.0,72,663,3.5,1.37,VT-04225,43.1343339,-72.4549773,55%,62%,53%,53%,51%,17.7,35,57,59,14,13.73,10.94,33.51%,36.48%,31.89%,29
Bennington,Vermont,8539,1768,Bennington,39057,$46460,34.11%,49,$180000,1525,$118,72,65.44%,$866,60.6%,208,2785,13.18%,4.08%,51.46%,Bennington County,54.90%,34.10%,0.55%,0.45%,93.86%,2.04%,1.04%,N/A,82,33,49,39.98,54.0,7.9,83,756,3.4,4.83,VT-04750,42.8746123,-73.1852188,50%,58%,45%,57%,55%,22.7,37,58,58,15,13.3,7.55,41.04%,45.16%,40.44%,29
Benson,Vermont,259,67,Rutland,61186,$36875,9.63%,46,N/A,N/A,N/A,44,80.31%,$763,47.75%,N/A,N/A,13.9%,3.88%,47.69%,Rutland County,46.00%,42.10%,0.0%,0.0%,94.98%,0.0%,0.0%,N/A,84,31,53,44.92,84.9,8.2,88,108,2.9,3.87,VT-05125,43.707186,-73.3093978,49%,60%,42%,58%,54%,23.6,37,58,63,13,14.29,9.25,41.32%,44.18%,43.11%,34
Berkshire,Vermont,1711,41,Burlington-South Burlington,231329,$54375,13.89%,N/A,N/A,N/A,N/A,42,73.40%,N/A,51.50%,N/A,N/A,N/A,2.30%,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,3.20%,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,41.73,VT-05425,44.9698828,-72.7582703,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30
Berlin,Vermont,2832,78,Barre,66247,$57891,22.84%,N/A,N/A,N/A,N/A,40,71.30%,N/A,49.90%,143,4291,N/A,2.00%,N/A,Washington County,59.80%,25.70%,N/A,N/A,N/A,N/A,N/A,N/A,79,27,52,42.14,118.2,8.2,86,1029,2.9,36.31,VT-05650,44.209727,-72.6040286,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
Bethel,Vermont,891,466,Claremont-Lebanon,228819,$51471,8.92%,27,$214000,829,$258,54,60.72%,$779,69.66%,N/A,N/A,13.73%,17.5%,69.18%,Windsor County,58.70%,28.80%,0.34%,1.46%,89.11%,2.24%,0.0%,N/A,80,30,50,48.23,84.9,8.2,90,1854,3.3,1.91,VT-05725,43.8293735,-72.6353824,49%,60%,42%,58%,54%,23.6,35,57,56,10,14.66,10.17,41.32%,44.18%,43.11%,34
Bloomfield,Vermont,228,6,Berlin,40670,$29375,N/A,N/A,N/A,N/A,N/A,40,37.10%,N/A,51.00%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,78,25,53,41.61,109.5,8.2,94,1023,3,38.0,VT-06325,44.8120124,-71.6445998,49%,60%,42%,58%,54%,23.6,36,57,53,3,13.47,8.11,47.73%,49.67%,54.22%,60
Bolton,Vermont,50,714,Burlington-South Burlington,231329,$75568,11.43%,55,N/A,N/A,N/A,40,80.0%,N/A,72.0%,N/A,N/A,0.0%,27.91%,86.0%,Chittenden County,65.70%,22.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,70,22,48,46.73,86.2,8.2,91,669,3,0.07,VT-06475,44.374215,-72.8860101,49%,60%,42%,58%,54%,23.6,35,57,56,7,14.47,8.78,51.92%,49.89%,60.78%,49
Bradford,Vermont,925,974,Claremont-Lebanon,228819,$57125,28.21%,37,$442000,2232,$198,44,73.93%,$875,52.41%,0,815,17.02%,6.38%,63.51%,Orange County,51.50%,34.20%,0.43%,0.65%,93.51%,5.19%,2.38%,N/A,77,27,50,45.97,74.3,6.0,83,1080,3.1,0.95,VT-07225,43.9924743,-72.1250678,55%,62%,53%,53%,51%,17.7,35,57,56,7,13.98,9.99,43.1%,50.0%,39.0%,35
Braintree,Vermont,1105,29,Claremont-Lebanon,228819,$43688,24.30%,N/A,N/A,N/A,N/A,42,69.10%,N/A,41.60%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,2.80%,N/A,N/A,80,30,50,48.23,84.9,8.2,89,1854,3.1,38.1,VT-07600,43.9693067,-72.7202174,49%,60%,42%,58%,54%,23.6,35,57,56,10,14.66,10.17,45.53%,46.92%,47.22%,34
Brandon,Vermont,1552,548,Rutland,61186,$38265,38.77%,44,N/A,N/A,N/A,51,77.58%,$928,50.92%,238,1088,10.05%,1.05%,63.06%,Rutland County,46.00%,42.10%,4.32%,2.06%,90.79%,0.0%,4.32%,N/A,81,28,53,47.87,84.9,8.2,90,1065,2.9,2.83,VT-07675,43.8010576,-73.084267,49%,60%,42%,58%,54%,23.6,35,57,60,11,15.3,9.38,41.32%,44.18%,43.11%,34
Bridgewater,Vermont,898,18,Claremont-Lebanon,228819,$65000,29.20%,N/A,N/A,N/A,N/A,48,52.70%,N/A,33.60%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,82,31,51,45.66,73.4,6.0,91,549,3.3,49.89,VT-08275,43.6252692,-72.666772,55%,62%,53%,53%,51%,17.7,35,57,58,9,13.76,9.84,40.0%,40.44%,43.0%,33
Brighton,Vermont,1103,21,Berlin,40670,$28239,17.51%,N/A,N/A,N/A,N/A,44,33.60%,N/A,52.40%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,1.18%,N/A,N/A,N/A,N/A,N/A,77,25,52,46.33,109.5,8.2,93,1098,3,52.52,VT-08725,44.8026445,-71.8695294,49%,60%,42%,58%,54%,23.6,35,57,56,6,15.35,8.49,51.78%,53.52%,56.33%,60
Brookfield,Vermont,1462,36,Claremont-Lebanon,228819,$61042,42.24%,N/A,N/A,N/A,N/A,41,63.40%,N/A,37.30%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,2.72%,N/A,1.10%,N/A,N/A,82,30,52,42.14,118.2,8.2,89,612,3.1,40.61,VT-09325,44.0286909,-72.5920797,49%,60%,42%,58%,54%,23.6,35,57,56,8,14.03,7.66,45.53%,46.92%,47.22%,69
Brunswick,Vermont,77,3,Berlin,40670,$33750,N/A,N/A,N/A,N/A,N/A,33,34.00%,N/A,20.00%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,80,26,54,41.61,109.5,8.2,94,870,3,25.67,VT-10075,44.7323225,-71.6619622,49%,60%,42%,58%,54%,23.6,35,57,56,4,13.47,8.11,47.73%,49.67%,54.22%,60
Burlington,Vermont,42645,4136,Burlington-South Burlington,231329,$55461,53.97%,27,$494000,1583,$312,63,39.78%,$1279,74.83%,272,1982,24.95%,4.21%,64.45%,Chittenden County,65.70%,22.30%,4.77%,5.14%,82.63%,3.76%,10.66%,Eastern Standard Time,83,30,53,39.59,86.2,8.2,64,303,3,10.31,VT-10675,44.4876126,-73.2315393,49%,60%,42%,58%,54%,23.6,35,57,63,15,12.2,7.12,43.81%,42.64%,48.67%,49
Cabot,Vermont,228,198,Barre,66247,$33500,40.85%,47,N/A,N/A,N/A,38,83.77%,$567,56.67%,N/A,N/A,18.4%,10.81%,66.87%,Washington County,59.80%,25.70%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,81,26,55,43.29,118.2,8.2,90,732,2.9,1.15,VT-11050,44.4048174,-72.3117368,49%,60%,42%,58%,54%,23.6,35,57,54,4,14.19,8.42,48.82%,46.37%,56.0%,69
Calais,Vermont,1534,40,Barre,66247,$61333,46.27%,N/A,N/A,N/A,N/A,45,69.10%,N/A,47.50%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,1.24%,N/A,N/A,2.30%,N/A,N/A,78,27,51,48.78,118.2,8.2,89,1245,2.9,38.35,VT-11350,44.364938,-72.4658497,49%,60%,42%,58%,54%,23.6,35,57,58,10,15.24,10.68,48.82%,46.37%,56.0%,69
