City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment Sqft,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home Ownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score, % of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Evansville,Wyoming,2929,846,Casper,72826,88,36,52,13,74,219,69,41.1,28.5,10,46,26,32,10.21%,$37948,6.9%,N/A,N/A,$308200,N/A,N/A,40,53.00%,8%,20%,1%,87,17 mins,3.90%,-1.40%,18.30%,Natrona County,19.70%,70.60%,1.52%,2.60%,92.95%,14.10%,6%,Mountain Standard Time,5237,4.9,51.70%,46,N/A,43,14.2%,101.85,0,1,4
Fairview,Wyoming,293,107,None,8027993,81,27,54,19,109,212,83,35.9,24.8,4,12,15,18,N/A,$73250,0%,N/A,N/A,$236600,N/A,N/A,38,32.20%,-1%,9%,13%,97,26 mins,3.20%,-0.60%,51.80%,Lincoln County,12.50%,76.40%,N/A,N/A,100.00%,8.50%,0%,N/A,N/A,4.5,38.00%,0,N/A,N/A,N/A,35.34,0,0,659
Farson,Wyoming,114,5,Rock Springs,43061,83,29,54,9,62,234,36,34.8,22.2,10,16,20,24,N/A,$93788,N/A,N/A,N/A,$321200,N/A,N/A,38,23.80%,0%,16%,20%,93,20 mins,4.10%,-2.00%,-58.40%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,59.30%,9,N/A,N/A,N/A,16.16,0,0,2
Fort Bridger,Wyoming,233,117,Evanston,16858,82,32,50,10,67,227,45,34.8,23.8,9,12,15,41,N/A,$36607,0%,N/A,N/A,$124600,N/A,N/A,24,100.00%,0%,12%,12%,96,19 mins,4.00%,-2.70%,5.40%,Uinta County,14.20%,72.70%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,50.20%,14,N/A,33,10.4%,84.03,0,0,14
Fort Laramie,Wyoming,238,895,None,8027993,90,41,49,14,71,229,29,46.5,30.4,10,14,18,54,16.97%,$41591,13.4%,N/A,N/A,$95800,N/A,N/A,51,71.40%,3%,8%,8%,93,28 mins,3.80%,-3.80%,38.40%,Goshen County,15.90%,76.20%,N/A,N/A,94.83%,3.40%,0%,N/A,N/A,4.9,41.90%,10,N/A,N/A,15.1%,242.42,0,1,1
Fort Washakie,Wyoming,1928,92,Riverton,26687,86,33,53,11,51,235,54,37.3,24.6,7,22,27,25,10.16%,$44286,22%,N/A,N/A,$131800,N/A,N/A,38,45.80%,2%,15%,14%,98,17 mins,4.60%,-2.40%,42.80%,Fremont County,24.70%,65.60%,N/A,N/A,5.11%,5.00%,0.7%,N/A,N/A,3.7,64.20%,9,N/A,N/A,9.0%,6.11,0,0,9
Fox Farm-College,Wyoming,4736,1561,Cheyenne,82593,84,39,45,17,92,234,58,44.9,29.2,N/A,19,43,26,2.64%,$37109,11.5%,N/A,N/A,$33400,N/A,N/A,35,46.20%,7%,24%,33%,79,15 mins,3.60%,-2.10%,26.60%,Laramie County,28.20%,60.60%,N/A,N/A,80.66%,32.20%,12.4%,Mountain Standard Time,6115,4.7,69.20%,14,N/A,N/A,19.5%,0.00,0,2,0
Frannie,Wyoming,113,255,None,8027993,87,32,55,6,44,204,11,41.6,27.8,7,19,23,39,9.09%,$44375,15.6%,N/A,N/A,$31200,N/A,N/A,52,50.00%,-1%,11%,8%,93,18 mins,4.40%,-3.30%,-28.90%,Big Horn County,11.40%,76.50%,N/A,N/A,91.95%,14.20%,2.2%,N/A,N/A,3.6,44.00%,3,N/A,N/A,17.3%,N/A,N/A,1,N/A
Freedom,Wyoming,356,88,None,8027993,82,29,53,19,104,212,77,38,26.7,4,17,22,18,N/A,$31071,0%,N/A,N/A,$129600,N/A,N/A,36,47.40%,-1%,10%,13%,96,26 mins,3.20%,-0.60%,100.00%,Lincoln County,12.50%,76.40%,N/A,N/A,100.00%,25.30%,6.9%,N/A,N/A,4.5,44.50%,0,N/A,N/A,N/A,107.53,0,0,523
Garland,Wyoming,165,49,None,8027993,86,33,53,7,54,212,19,38.2,25.1,7,16,19,67,N/A,$50893,0%,N/A,N/A,$283200,N/A,N/A,23,35.50%,3%,19%,18%,94,17 mins,3.50%,-2.00%,230.00%,Park County,16.80%,73.60%,N/A,N/A,77.72%,N/A,10.3%,N/A,N/A,3.6,51.50%,0,N/A,N/A,N/A,0.00,0,0,0
Gillette,Wyoming,31783,1383,Gillette,36180,87,35,52,15,80,209,53,43.6,29.5,10,9,36,30,19.20%,$73426,11.2%,N/A,N/A,$264800,N/A,N/A,27,60.30%,0%,10%,9%,80,18 mins,6.10%,-0.80%,17.10%,Campbell County,7.30%,86.70%,N/A,N/A,92.97%,10.20%,3.7%,N/A,N/A,3.6,45.10%,21,N/A,34,17.2%,68.06,0,1,12
Glendo,Wyoming,246,417,None,8027993,87,37,50,15,74,230,52,44,28.9,10,14,18,47,10.42%,$32212,6.7%,N/A,N/A,$91400,N/A,N/A,45,45.60%,0%,10%,12%,93,16 mins,3.70%,-1.60%,-0.80%,Platte County,15.90%,75.90%,N/A,N/A,95.57%,N/A,0%,N/A,N/A,4.6,44.60%,18,N/A,39,19.3%,40.49,0,1,4
Glenrock,Wyoming,2671,1160,None,8027993,88,37,51,12,72,223,64,42.3,28.8,N/A,11,22,35,19.34%,$64779,6.6%,N/A,N/A,$221000,N/A,N/A,42,49.90%,1%,16%,17%,91,23 mins,2.90%,0.00%,6.90%,Converse County,10.00%,83.00%,N/A,N/A,97.19%,5.70%,0.8%,N/A,N/A,4.9,43.90%,50,N/A,N/A,14.0%,31.40,0,1,9
Granger,Wyoming,124,49,Rock Springs,43061,82,30,52,8,61,236,35,36.4,24.4,N/A,15,19,42,N/A,$53250,11.1%,N/A,N/A,$200900,N/A,N/A,40,34.30%,0%,16%,19%,89,20 mins,4.10%,-2.00%,-9.50%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,9.70%,8%,N/A,N/A,4.6,29.10%,6,N/A,N/A,15.3%,220.59,0,0,15
Green River,Wyoming,12396,905,Rock Springs,43061,87,34,53,9,71,235,39,35,23.6,10,19,21,36,22.11%,$71766,9%,N/A,N/A,$220200,N/A,N/A,39,65.90%,0%,18%,20%,88,22 mins,4.10%,-2.00%,1.10%,Sweetwater County,18.90%,71.00%,1.28%,N/A,91.54%,16.70%,4.6%,N/A,N/A,4.6,44.00%,43,N/A,35,14.7%,19.15,0,0,14
Greybull,Wyoming,1876,993,None,8027993,90,29,61,7,45,207,19,41.4,27.7,6,22,14,32,15.86%,$46450,8.2%,N/A,N/A,$115600,N/A,N/A,66,60.70%,-1%,11%,8%,93,18 mins,4.40%,-3.30%,12.30%,Big Horn County,11.40%,76.50%,N/A,N/A,81.22%,19.00%,6%,N/A,N/A,3.6,46.40%,45,N/A,59,17.6%,21.18,0,1,2
Grover,Wyoming,295,345,None,8027993,79,27,52,18,96,206,64,36.3,25.1,4,11,13,15,N/A,$84583,0%,N/A,N/A,$154700,N/A,N/A,33,100.00%,-1%,9%,13%,97,26 mins,3.20%,-0.60%,283.10%,Lincoln County,12.50%,76.40%,3.42%,N/A,93.15%,N/A,2.6%,N/A,N/A,4.5,25.60%,0,N/A,N/A,9.0%,103.63,0,0,600
Guernsey,Wyoming,1137,1109,None,8027993,90,41,49,14,69,231,30,46.3,30.4,10,15,7,38,12.80%,$46641,15.9%,N/A,N/A,$152500,N/A,N/A,47,69.50%,0%,10%,13%,93,16 mins,3.70%,-1.60%,-0.90%,Platte County,15.90%,75.90%,N/A,N/A,96.23%,16.60%,4%,N/A,N/A,4.6,38.60%,31,N/A,N/A,13.9%,25.66,0,1,1
Hanna,Wyoming,693,339,None,8027993,83,32,51,12,72,219,63,36.9,24.2,10,12,11,46,26.72%,$33636,11.1%,N/A,N/A,$77300,N/A,N/A,42,41.30%,-1%,11%,8%,96,16 mins,3.30%,-3.20%,-11.70%,Carbon County,20.10%,69.20%,N/A,3.17%,89.93%,N/A,1%,N/A,N/A,4.6,43.10%,9,N/A,N/A,12.2%,24.97,0,0,17
Hartrandt,Wyoming,583,373,Casper,72826,88,36,52,13,79,218,70,39.8,27,N/A,18,23,38,2.08%,$48782,33.1%,N/A,N/A,$188900,N/A,N/A,45,61.90%,4%,14%,11%,92,17 mins,3.90%,-1.40%,-24.80%,Natrona County,19.70%,70.60%,N/A,N/A,98.02%,12.50%,0%,Mountain Standard Time,5237,4.9,18.80%,3,N/A,28,9.0%,0.00,0,1,4
Hartville,Wyoming,66,255,None,8027993,88,38,50,14,68,233,35,44.2,28.8,10,11,14,58,16.66%,$67500,0%,N/A,N/A,$127500,N/A,N/A,78,57.10%,0%,10%,12%,93,7 mins,3.70%,-1.60%,-15.40%,Platte County,15.90%,75.90%,N/A,N/A,95.83%,12.10%,0%,N/A,N/A,4.6,30.80%,6,N/A,N/A,13.5%,0.00,0,1,1
Hill View Heights,Wyoming,41,19,None,8027993,86,36,50,18,83,226,42,44.8,28.8,N/A,9,12,66,N/A,$84000,0%,N/A,N/A,$249400,N/A,N/A,39,100.00%,-1%,12%,8%,90,0 mins,3.20%,-2.00%,-76.30%,Weston County,8.50%,86.00%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,31.70%,0,N/A,16,17.8%,0.00,0,0,2
Hillsdale,Wyoming,139,165,Cheyenne,82593,87,40,47,15,78,233,42,45.6,29.8,11,22,27,7,N/A,$0,N/A,N/A,N/A,$253600,N/A,N/A,40,0.56229,8%,25%,34%,92,15 mins,3.60%,-2.10%,100.00%,Laramie County,28.20%,60.60%,N/A,N/A,N/A,N/A,N/A,Mountain Standard Time,6115,4.7,100.00%,6,N/A,23,N/A,0.00,0,2,0
Hoback,Wyoming,1409,32,Jackson,55341,81,27,54,20,113,219,109,34.9,23.5,N/A,13,16,42,46.80%,$103559,2.8%,N/A,N/A,$579800,N/A,N/A,31,54.30%,-1%,12%,8%,96,14 mins,2.00%,-1.60%,8.90%,Teton County,57.90%,31.10%,2.85%,N/A,84.36%,8.90%,4.6%,N/A,N/A,3.7,48.20%,0,N/A,N/A,11.6%,0.00,0,0,291
Homa Hills,Wyoming,280,31,Casper,72826,88,36,52,13,79,218,70,39.8,27,N/A,15,17,52,N/A,$23472,22.2%,N/A,N/A,$127000,N/A,N/A,38,68.10%,4%,14%,11%,92,17 mins,3.90%,-1.40%,-17.40%,Natrona County,19.70%,70.60%,N/A,N/A,100.00%,N/A,0%,Mountain Standard Time,5237,4.9,29.30%,0,N/A,25,51.0%,0.00,0,1,5
Hudson,Wyoming,465,1092,Riverton,26687,87,32,55,11,55,236,55,38.6,25.6,7,17,22,32,14.85%,$41875,6.3%,N/A,N/A,$162400,N/A,N/A,46,69.30%,2%,15%,14%,96,17 mins,4.60%,-2.40%,4.70%,Fremont County,24.70%,65.60%,N/A,N/A,92.38%,1.70%,0.2%,N/A,N/A,3.7,51.90%,9,N/A,N/A,17.9%,24.15,0,0,17
Hulett,Wyoming,340,394,None,8027993,86,35,51,18,89,220,55,45.2,29.5,9,27,19,41,10.26%,$56250,9.8%,N/A,N/A,$183800,N/A,N/A,41,53.00%,-1%,11%,8%,90,28 mins,3.60%,-1.00%,-30.20%,Crook County,7.10%,87.50%,N/A,N/A,97.41%,3.50%,0.5%,N/A,N/A,3.8,47.90%,30,N/A,N/A,17.9%,97.66,0,0,0
Hyattville,Wyoming,81,20,None,8027993,88,35,53,11,62,208,33,39.7,27.2,5,10,12,58,N/A,$52375,0%,N/A,N/A,$497600,N/A,N/A,46,31.70%,-1%,11%,8%,92,18 mins,4.40%,-3.30%,30.70%,Big Horn County,11.40%,76.50%,N/A,N/A,65.98%,N/A,0%,N/A,N/A,3.6,28.40%,11,N/A,N/A,9.0%,357.14,0,0,5
Jackson,Wyoming,10413,3520,Jackson,55341,81,27,54,20,113,215,109,34.5,23.9,4,17,29,32,53.87%,$64345,1.8%,N/A,N/A,$802800,N/A,N/A,27,30.20%,-1%,11%,8%,92,14 mins,2.00%,-1.60%,10.30%,Teton County,57.90%,31.10%,N/A,N/A,85.97%,25.30%,15%,N/A,N/A,3.7,60.10%,79,N/A,76,20.8%,7.26,0,0,331
James Town,Wyoming,516,161,Rock Springs,43061,87,34,53,9,71,234,39,35.2,23.7,N/A,11,13,47,N/A,$90394,16.3%,N/A,N/A,$167600,N/A,N/A,35,88.80%,0%,16%,20%,89,20 mins,4.10%,-2.00%,-1.90%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,15.30%,2%,N/A,N/A,4.6,21.10%,0,N/A,12,9.0%,0.00,0,0,13
Johnstown,Wyoming,194,6,Riverton,26687,86,32,54,9,47,235,50,37.2,24.6,N/A,19,23,44,16.80%,$67750,11.3%,N/A,N/A,$473600,N/A,N/A,44,57.80%,2%,15%,14%,95,17 mins,4.60%,-2.40%,-23.00%,Fremont County,24.70%,65.60%,N/A,N/A,45.11%,N/A,0%,N/A,N/A,3.7,55.90%,0,N/A,25,23.8%,0.00,0,0,10
Kemmerer,Wyoming,2730,350,None,8027993,81,29,52,10,63,214,47,34.9,22.9,8,14,20,38,23.88%,$71250,2%,N/A,N/A,$176600,N/A,N/A,46,62.90%,-1%,10%,12%,94,12 mins,3.20%,-0.60%,2.90%,Lincoln County,12.50%,76.40%,N/A,N/A,96.21%,8.20%,3.3%,N/A,N/A,4.5,42.40%,54,N/A,39,16.3%,18.82,0,0,25
Kirby,Wyoming,110,719,None,8027993,90,34,56,11,61,238,23,41.3,27.5,5,12,15,44,N/A,$68150,20%,N/A,N/A,$94500,N/A,N/A,45,76.90%,0%,8%,8%,94,19 mins,3.50%,-4.20%,-9.10%,Hot Springs County,15.50%,75.00%,N/A,N/A,94.20%,N/A,0%,N/A,N/A,3.6,23.20%,7,N/A,N/A,18.5%,0.00,0,0,6
La Barge,Wyoming,395,407,None,8027993,82,28,54,8,52,208,38,35.3,22.1,7,14,11,28,4.17%,$57045,8.8%,N/A,N/A,$115200,N/A,N/A,35,27.40%,-1%,9%,12%,93,26 mins,3.20%,-0.60%,-23.30%,Lincoln County,12.50%,76.40%,4.13%,N/A,93.33%,1.00%,4.3%,N/A,N/A,4.5,38.70%,17,N/A,N/A,23.3%,36.76,0,1,11
La Grange,Wyoming,429,1054,None,8027993,89,42,47,17,77,231,51,47.7,31.3,N/A,14,17,27,30.77%,$27778,27%,N/A,N/A,$75200,N/A,N/A,67,50.40%,3%,8%,7%,93,18 mins,3.80%,-3.80%,-14.90%,Goshen County,15.90%,76.20%,N/A,N/A,94.72%,12.60%,2.8%,N/A,N/A,4.9,53.30%,3,N/A,23,11.8%,0.00,0,2,0
Lance Creek,Wyoming,10,0,None,8027993,89,37,52,16,72,227,49,46,29.9,10,16,20,6,N/A,$0,100%,N/A,N/A,$168600,N/A,N/A,72,56.00%,-1%,11%,8%,94,0 mins,2.90%,-2.60%,-56.50%,Niobrara County,8.80%,84.90%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.9,0.00%,0,N/A,N/A,N/A,0.00,0,1,3
Lander,Wyoming,7683,819,Riverton,26687,87,33,54,11,53,239,58,38,25.3,7,8,46,41,36.37%,$53028,6.2%,N/A,N/A,$236200,N/A,N/A,48,60.80%,3%,16%,15%,93,14 mins,4.60%,-2.40%,5.30%,Fremont County,24.70%,65.60%,N/A,N/A,88.43%,3.40%,1.4%,N/A,N/A,3.7,53.50%,56,N/A,67,17.4%,32.02,0,0,14
Laramie,Wyoming,32104,1751,Laramie,32529,80,34,46,12,93,231,64,40.5,25.7,12,8,27,25,52.67%,$38451,8.2%,N/A,N/A,$300000,1923,$156,40,39.80%,4%,12%,12%,77,12 mins,3.90%,-2.20%,8.20%,Albany County,40.40%,44.60%,3.70%,2.02%,88.26%,10.40%,8%,N/A,N/A,5,62.60%,34,N/A,67,17.1%,17.77,0,0,0
Lingle,Wyoming,705,2267,None,8027993,90,40,50,14,71,230,30,47.4,31.1,10,12,15,36,27.57%,$50769,2.9%,N/A,N/A,$166200,N/A,N/A,59,67.40%,3%,8%,8%,93,18 mins,3.80%,-3.80%,10.50%,Goshen County,15.90%,76.20%,N/A,N/A,94.99%,3.40%,2.5%,N/A,N/A,4.9,37.00%,22,N/A,28,14.6%,18.90,0,1,1
Lost Springs,Wyoming,1,11,None,8027993,86,37,49,15,72,217,58,43.3,28.3,10,16,20,6,N/A,$0,N/A,N/A,N/A,$233900,N/A,N/A,40,100.00%,1%,16%,15%,92,23 mins,2.90%,0.00%,100.00%,Converse County,10.00%,83.00%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.9,100.00%,0,N/A,N/A,N/A,0.00,0,1,5
Lovell,Wyoming,2622,2379,None,8027993,88,31,57,6,40,201,14,41.8,28.1,7,11,14,35,13.21%,$44543,10.9%,N/A,N/A,$152100,N/A,N/A,59,51.30%,-1%,12%,8%,93,18 mins,4.40%,-3.30%,10.30%,Big Horn County,11.40%,76.50%,N/A,1.34%,93.12%,16.80%,4.4%,N/A,N/A,3.6,51.70%,56,N/A,N/A,13.6%,29.35,0,0,1
Lucerne,Wyoming,486,24,None,8027993,90,34,56,11,61,235,22,40.6,27,N/A,12,15,50,N/A,$61667,23.8%,N/A,N/A,$164000,N/A,N/A,32,61.10%,0%,8%,8%,94,19 mins,3.50%,-4.20%,-8.70%,Hot Springs County,15.50%,75.00%,N/A,N/A,90.26%,N/A,2%,N/A,N/A,3.6,36.10%,0,N/A,29,17.0%,0.00,0,0,6
Lusk,Wyoming,1783,862,None,8027993,85,36,49,17,73,225,51,44.3,28.9,10,12,10,33,12.81%,$38365,20.1%,N/A,N/A,$130700,N/A,N/A,74,49.90%,-1%,12%,8%,94,0 mins,2.90%,-2.60%,2.10%,Niobrara County,8.80%,84.90%,N/A,N/A,91.34%,4.80%,0.4%,N/A,N/A,4.9,54.70%,55,N/A,43,16.8%,90.29,0,1,5
Lyman,Wyoming,2045,1315,Evanston,16858,82,31,51,9,64,223,40,34.7,23.5,9,9,42,31,27.44%,$74474,7.3%,N/A,N/A,$212300,N/A,N/A,35,81.20%,0%,11%,12%,96,19 mins,4.00%,-2.70%,15.50%,Uinta County,14.20%,72.70%,N/A,N/A,94.14%,1.00%,0.8%,N/A,N/A,4.6,29.80%,27,N/A,38,15.5%,28.67,0,0,13
Mammoth,Wyoming,57,72,None,8027993,72,25,47,22,149,212,199,32.3,20.2,N/A,21,27,55,N/A,$95023,N/A,N/A,N/A,$260000,N/A,N/A,38,0.00%,3%,19%,19%,96,17 mins,3.50%,-2.00%,-73.90%,Park County,16.80%,73.60%,8.16%,6.12%,85.71%,N/A,13.7%,N/A,N/A,3.6,91.20%,18,N/A,10,N/A,0.00,0,0,2626
Manderson,Wyoming,102,120,None,8027993,90,30,60,7,55,206,19,42.2,28.2,6,17,21,46,N/A,$25469,13.6%,N/A,N/A,$34600,N/A,N/A,43,67.30%,-1%,11%,8%,92,18 mins,4.40%,-3.30%,79.00%,Big Horn County,11.40%,76.50%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,3.6,40.70%,16,N/A,32,17.5%,136.99,0,0,4
Manville,Wyoming,74,272,None,8027993,86,37,49,17,74,228,55,43.8,28.6,10,14,18,67,N/A,$23250,0%,N/A,N/A,$159500,N/A,N/A,45,78.90%,-1%,11%,8%,94,0 mins,2.90%,-2.60%,23.30%,Niobrara County,8.80%,84.90%,N/A,N/A,100.00%,28.40%,0%,N/A,N/A,4.9,39.20%,6,N/A,25,13.6%,0.00,0,1,4
Marbleton,Wyoming,1396,1539,None,8027993,81,27,54,8,59,234,46,34.4,21.3,6,14,18,38,16.13%,$75500,6.2%,N/A,N/A,$170000,N/A,N/A,32,60.10%,-1%,11%,8%,96,21 mins,4.10%,1.50%,-1.80%,Sublette County,14.70%,77.70%,N/A,N/A,84.33%,8.20%,3.6%,N/A,N/A,4.7,50.50%,20,N/A,31,9.0%,27.93,0,0,9
Meadow Acres,Wyoming,135,96,Casper,72826,88,36,52,13,73,218,69,39.8,27,N/A,15,19,57,N/A,$171786,0%,N/A,N/A,$287200,N/A,N/A,27,89.70%,4%,14%,12%,95,17 mins,3.90%,-1.40%,-49.80%,Natrona County,19.70%,70.60%,N/A,N/A,76.92%,N/A,0%,Mountain Standard Time,5237,4.9,52.60%,0,N/A,25,23.2%,0.00,0,1,4
Medicine Bow,Wyoming,359,104,None,8027993,83,32,51,11,78,224,58,38.3,25,12,17,22,59,15.99%,$41118,18.4%,N/A,N/A,$99400,N/A,N/A,46,54.90%,-1%,12%,8%,96,16 mins,3.30%,-3.20%,65.40%,Carbon County,20.10%,69.20%,N/A,N/A,97.18%,N/A,0%,N/A,N/A,4.6,57.20%,9,N/A,N/A,21.7%,173.16,0,0,9
Meeteetse,Wyoming,302,347,None,8027993,81,37,44,13,72,213,59,36.3,23.8,6,12,16,54,18.21%,$37386,0%,N/A,N/A,$142600,N/A,N/A,60,54.20%,3%,18%,19%,96,17 mins,3.50%,-2.00%,-11.70%,Park County,16.80%,73.60%,N/A,24.62%,72.55%,2.00%,1.7%,N/A,N/A,3.6,34.20%,28,N/A,N/A,14.0%,28.82,0,0,1
Midwest,Wyoming,316,731,Casper,72826,88,35,53,13,68,219,49,42.2,28.6,10,16,20,34,9.90%,$51875,0%,N/A,N/A,$58300,N/A,N/A,78,51.50%,4%,14%,11%,92,17 mins,3.90%,-1.40%,-33.30%,Natrona County,19.70%,70.60%,N/A,N/A,98.71%,4.10%,0%,Mountain Standard Time,5237,4.9,41.20%,6,N/A,N/A,11.7%,45.87,0,0,7
Mills,Wyoming,3817,1352,Casper,72826,88,36,52,13,80,222,70,40.5,28.1,10,25,39,36,5.90%,$33571,9%,N/A,N/A,$114800,N/A,N/A,44,63.20%,4%,14%,11%,91,17 mins,3.90%,-1.40%,12.50%,Natrona County,19.70%,70.60%,N/A,N/A,96.94%,8.80%,0.9%,Mountain Standard Time,5237,4.9,59.30%,28,N/A,58,15.5%,127.57,0,1,4
Moorcroft,Wyoming,962,762,None,8027993,87,33,54,15,65,222,43,45.3,29.9,8,11,35,25,11.49%,$59286,0%,N/A,N/A,$168200,N/A,N/A,39,45.20%,-1%,12%,8%,90,28 mins,3.60%,-1.00%,-25.00%,Crook County,7.10%,87.50%,N/A,N/A,100.00%,4.10%,0%,N/A,N/A,3.8,33.90%,42,N/A,33,17.6%,65.57,0,1,7
Moose Wilson Road,Wyoming,1443,214,Jackson,55341,81,27,54,20,110,219,108,37,25.3,N/A,12,16,42,52.56%,$67262,3.4%,N/A,N/A,$1190300,N/A,N/A,29,28.80%,-1%,11%,7%,93,14 mins,2.00%,-1.60%,-21.80%,Teton County,57.90%,31.10%,1.65%,N/A,98.21%,N/A,4.2%,N/A,N/A,3.7,48.20%,29,N/A,71,14.6%,0.00,0,0,329
Mountain View,Wyoming,1173,1358,Evanston,16858,82,32,50,10,67,231,45,35,23.9,N/A,14,17,30,N/A,$65625,N/A,N/A,N/A,$189900,N/A,N/A,34,60.10%,0%,11%,12%,96,19 mins,4.00%,-2.70%,12.60%,Uinta County,14.20%,72.70%,N/A,N/A,100.00%,6.30%,0%,N/A,N/A,4.6,31.80%,21,N/A,N/A,N/A,15.44,0,0,14
Newcastle,Wyoming,3480,1359,None,8027993,86,36,50,18,83,223,42,46.6,30.4,N/A,16,29,38,20.64%,$47598,10.5%,N/A,N/A,$152200,N/A,N/A,60,65.00%,-1%,11%,8%,87,0 mins,3.20%,-2.00%,0.30%,Weston County,8.50%,86.00%,N/A,N/A,98.17%,1.70%,5.4%,N/A,N/A,4.6,47.70%,53,N/A,38,15.0%,51.19,0,1,2
Nordic,Wyoming,420,83,None,8027993,81,28,53,19,109,212,84,36.5,25.5,N/A,13,17,42,N/A,$92937,0%,N/A,N/A,$477000,N/A,N/A,17,81.50%,-1%,9%,13%,96,26 mins,3.20%,-0.60%,238.70%,Lincoln County,12.50%,76.40%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.5,44.70%,0,N/A,15,21.7%,0.00,N/A,0,478
North Rock Springs,Wyoming,2027,137,Rock Springs,43061,86,33,53,9,72,231,41,35.2,23.7,N/A,14,18,30,N/A,$59127,10.4%,N/A,N/A,$277300,N/A,N/A,29,66.90%,0%,17%,20%,83,20 mins,4.10%,-2.00%,-37.80%,Sweetwater County,18.90%,71.00%,N/A,N/A,99.81%,N/A,0.8%,N/A,N/A,4.6,44.90%,2,N/A,42,15.0%,0.00,0,0,14
Opal,Wyoming,118,299,None,8027993,81,29,52,9,61,210,42,35.2,23.1,8,14,17,48,N/A,$83750,0%,N/A,N/A,$61700,N/A,N/A,35,66.20%,-1%,10%,13%,93,26 mins,3.20%,-0.60%,24.20%,Lincoln County,12.50%,76.40%,N/A,N/A,96.69%,N/A,13.3%,N/A,N/A,4.5,50.90%,0,N/A,N/A,9.0%,175.44,N/A,0,24
Osage,Wyoming,229,119,None,8027993,88,34,54,15,72,226,43,45.8,29.9,8,17,21,34,N/A,$59044,0%,N/A,N/A,$147000,N/A,N/A,43,70.50%,-1%,12%,8%,90,0 mins,3.20%,-2.00%,14.50%,Weston County,8.50%,86.00%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,47.60%,0,N/A,N/A,21.4%,83.33,N/A,1,0
Osmond,Wyoming,242,75,None,8027993,81,27,54,19,109,212,87,35.9,24.4,N/A,9,11,59,N/A,$71458,12.7%,N/A,N/A,$182400,N/A,N/A,44,89.20%,-1%,10%,13%,97,26 mins,3.20%,-0.60%,-38.00%,Lincoln County,12.50%,76.40%,N/A,N/A,86.40%,4.50%,3%,N/A,N/A,4.5,0.00%,3,N/A,34,9.0%,0.00,N/A,0,648
Parkman,Wyoming,108,11,Sheridan,21409,87,35,52,16,93,208,56,40.4,27.2,6,12,14,55,N/A,$44583,0%,N/A,N/A,$241000,N/A,N/A,21,100.00%,3%,15%,8%,91,16 mins,3.50%,-1.80%,-34.90%,Sheridan County,20.20%,70.80%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,3.7,24.10%,7,N/A,3,13.5%,0.00,N/A,0,3
Pavillion,Wyoming,220,1095,Riverton,26687,86,32,54,9,46,235,46,38.1,25,6,16,20,32,14.84%,$48182,14%,N/A,N/A,$92200,N/A,N/A,36,56.70%,2%,15%,14%,94,17 mins,4.60%,-2.40%,41.90%,Fremont County,24.70%,65.60%,N/A,N/A,85.05%,10.90%,0.5%,N/A,N/A,3.7,45.70%,4,N/A,30,16.6%,180.72,N/A,0,5
Pine Bluffs,Wyoming,1108,344,Cheyenne,82593,88,40,48,18,78,234,62,47.2,30.9,11,19,23,46,16.00%,$52804,7.3%,N/A,N/A,$203000,N/A,N/A,44,56.70%,9%,22%,35%,92,15 mins,3.60%,-2.10%,7.00%,Laramie County,28.20%,60.60%,N/A,N/A,97.46%,12.00%,5.7%,Mountain Standard Time,6115,4.7,45.10%,40,N/A,N/A,14.9%,20.12,N/A,2,0
