City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment Sqft,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home Ownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score, % of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Big Horn,Wyoming,512,283,Sheridan,21409,87,35,52,13,80,208,35,42.2,28.4,6,15,19,53,N/A,$69968,0%,N/A,N/A,$191900,N/A,N/A,37,48.90%,3%,15%,8%,91,16 mins,3.50%,-1.80%,-20.60%,Sheridan County,20.20%,70.80%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,3.7,46.30%,0,N/A,N/A,27.7%,0.00,0,0,2
Big Piney,Wyoming,614,1209,None,8027993,81,27,54,8,59,234,46,34.3,21.7,6,14,19,32,15.32%,$49444,5.5%,N/A,N/A,$199100,N/A,N/A,53,24.20%,-1%,12%,8%,96,21 mins,4.10%,1.50%,-11.70%,Sublette County,14.70%,77.70%,N/A,N/A,80.65%,1.60%,0%,N/A,N/A,4.7,35.30%,23,N/A,39,15.3%,78.86,0,0,11
Boulder Flats,Wyoming,387,21,Riverton,26687,87,33,54,11,53,235,58,37.9,25.1,N/A,18,22,34,21.96%,$49464,7.1%,N/A,N/A,$156600,N/A,N/A,38,72.20%,2%,15%,14%,96,17 mins,4.60%,-2.40%,-17.30%,Fremont County,24.70%,65.60%,N/A,N/A,27.60%,5.90%,0%,N/A,N/A,3.7,58.10%,0,N/A,32,12.9%,0.00,0,0,11
Brookhurst,Wyoming,195,298,Casper,72826,88,36,52,13,73,218,69,39.8,27,N/A,8,10,57,N/A,$121250,0%,N/A,N/A,$351300,N/A,N/A,42,67.40%,4%,14%,12%,95,17 mins,3.90%,-1.40%,8.30%,Natrona County,19.70%,70.60%,N/A,N/A,100.00%,N/A,0%,Mountain Standard Time,5237,4.9,24.20%,0,N/A,27,19.6%,0.00,0,1,4
Buffalo,Wyoming,4606,1029,None,8027993,84,37,47,13,87,213,62,41.7,28.2,8,13,30,45,34.39%,$49475,8.2%,N/A,N/A,$252500,N/A,N/A,44,55.80%,1%,15%,12%,93,24 mins,3.30%,-0.80%,3.10%,Johnson County,14.40%,78.70%,N/A,N/A,91.55%,1.50%,0.5%,N/A,N/A,3.8,50.80%,61,N/A,42,17.8%,45.70,0,0,5
Burlington,Wyoming,268,265,None,8027993,87,31,56,7,50,202,17,41.3,27.5,6,14,18,32,N/A,$40000,1.7%,N/A,N/A,$153900,N/A,N/A,29,77.60%,-1%,11%,8%,93,18 mins,4.40%,-3.30%,21.80%,Big Horn County,11.40%,76.50%,N/A,N/A,86.38%,10.10%,1.6%,N/A,N/A,3.6,48.60%,17,N/A,39,13.7%,46.08,0,1,1
Burns,Wyoming,428,140,Cheyenne,82593,87,39,48,16,75,232,49,46.2,30.2,11,17,21,38,21.60%,$46957,5.5%,N/A,N/A,$222900,N/A,N/A,62,62.70%,7%,25%,36%,92,15 mins,3.60%,-2.10%,9.50%,Laramie County,28.20%,60.60%,N/A,N/A,99.05%,3.50%,1.2%,Mountain Standard Time,6115,4.7,59.60%,11,N/A,29,19.5%,356.08,0,2,0
Byron,Wyoming,560,618,None,8027993,87,32,55,6,44,207,11,41.7,27.9,7,12,15,42,19.00%,$56071,1.7%,N/A,N/A,$134500,N/A,N/A,44,70.20%,-1%,11%,7%,93,18 mins,4.40%,-3.30%,-18.80%,Big Horn County,11.40%,76.50%,N/A,N/A,99.61%,4.10%,2.5%,N/A,N/A,3.6,36.70%,7,N/A,25,14.9%,29.50,0,0,1
Carpenter,Wyoming,317,1332,Cheyenne,82593,87,40,47,15,78,233,41,46.5,30.4,11,12,15,50,N/A,$0,0%,N/A,N/A,$253600,N/A,N/A,40,64.30%,7%,26%,36%,92,15 mins,3.60%,-2.10%,63.40%,Laramie County,28.20%,60.60%,N/A,11.43%,88.57%,N/A,0%,Mountain Standard Time,6115,4.7,19.00%,0,N/A,N/A,11.9%,85.47,0,2,0
Casper,Wyoming,59171,2230,Casper,72826,88,36,52,13,79,220,70,40.3,27.9,10,11,42,35,25.07%,$57511,6%,N/A,N/A,$201200,N/A,N/A,45,57.90%,2%,10%,12%,86,16 mins,3.90%,-1.40%,9.30%,Natrona County,19.70%,70.60%,N/A,1.44%,94.20%,8.80%,2.8%,Mountain Standard Time,5237,4.9,50.00%,39,N/A,44,16.9%,48.59,0,1,4
