City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents
Aguila,Arizona,Maricopa County,1240,789,100,61,39,13,35,296,2,54.5,39.6,6,31,47,28,1.89%,$22361,$628,$150000,769,$195,23,7%,45%,39%,77,25 mins,4.80%,3.30%,134.90%,44.80%,47.70%,N/A,N/A,86.71%,95.00%,Phoenix-Mesa-Scottsdale,Mountain Standard Time,1107,6.4,53.80%,40.20%,12,N/A,N/A,42%,9.0%,58.8%,19.69
Ajo,Arizona,Pima County,3525,106,104,67,37,8,30,286,0,54.6,37.2,6,43,72,48,13.83%,$28914,$860,$62800,N/A,N/A,54,1%,21%,0%,81,24 mins,5.30%,2.00%,10.00%,53.30%,39.70%,N/A,N/A,76.70%,43.60%,Tucson,Mountain Standard Time,2555,6.5,41.80%,54.90%,36,N/A,35,15.6%,12.3%,8%,40.98
Ak Chin,Arizona,Pima County,33,63,101,65,36,11,39,285,0,54.6,37.2,N/A,22,33,50,N/A,$0,N/A,$207100,N/A,N/A,33,7%,31%,8%,80,24 mins,5.30%,2.00%,100.00%,53.30%,39.70%,N/A,N/A,N/A,N/A,Tucson,Mountain Standard Time,2555,6.5,0.56229,48.50%,0,N/A,29,N/A,N/A,N/A,0.00
Ak-Chin Village,Arizona,Pinal County,1101,104,108,67,41,8,29,287,0,54.5,38.3,N/A,34,52,25,N/A,$28920,N/A,$109100,N/A,N/A,19,10%,50%,42%,76,31 mins,5.80%,3.10%,21.90%,37.00%,56.20%,N/A,N/A,3.34%,13.60%,Phoenix-Mesa-Scottsdale,Mountain Standard Time,1107,6.2,10.20%,70.40%,1,N/A,30,37.5%,9.0%,0.9%,0.00
Alamo Lake,Arizona,La Paz County,3,0,104,64,40,8,24,310,0,53.4,37.9,7,23,36,7,N/A,$0,N/A,$100200,N/A,N/A,36,6%,31%,3%,78,12 mins,6.90%,1.70%,-92.30%,26.50%,67.30%,N/A,N/A,100.00%,N/A,None,N/A,N/A,6.1,50.00%,100.00%,1,N/A,26,0%,N/A,0%,0.00
Ali Chuk,Arizona,Pima County,120,83,104,67,37,8,30,285,0,54.6,37.2,N/A,34,53,36,N/A,$18846,N/A,$207100,N/A,N/A,23,7%,32%,8%,81,24 mins,5.30%,2.00%,160.90%,53.30%,39.70%,N/A,N/A,N/A,23.30%,Tucson,Mountain Standard Time,2555,6.5,66.70%,100.00%,0,N/A,25,52.6%,14.3%,0%,0.00
Ali Chukson,Arizona,Pima County,107,52,101,65,36,11,39,285,0,54.6,37.2,N/A,28,42,18,N/A,$17500,N/A,$139000,N/A,N/A,76,7%,32%,8%,83,24 mins,5.30%,2.00%,55.10%,53.30%,39.70%,N/A,N/A,N/A,N/A,Tucson,Mountain Standard Time,2555,6.5,10.60%,52.20%,0,N/A,25,0%,N/A,0%,0.00
Ali Molina,Arizona,Pima County,63,82,101,65,36,11,39,285,0,54.6,37.2,N/A,20,31,15,N/A,$2499,N/A,$85200,N/A,N/A,24,7%,32%,8%,83,24 mins,5.30%,2.00%,293.80%,53.30%,39.70%,N/A,N/A,N/A,N/A,Tucson,Mountain Standard Time,2555,6.5,72.40%,60.50%,0,N/A,25,100%,N/A,0%,0.00
Anegam,Arizona,Pima County,86,37,101,65,36,11,39,285,0,54.6,37.2,N/A,32,48,40,N/A,$13250,N/A,$207100,N/A,N/A,35,6%,30%,8%,80,24 mins,5.30%,2.00%,760.00%,53.30%,39.70%,N/A,N/A,N/A,N/A,Tucson,Mountain Standard Time,2555,6.5,72.40%,67.10%,0,N/A,N/A,34.3%,25.0%,0%,0.00
Antares,Arizona,Mohave County,147,227,96,54,42,8,28,290,0,44.9,31.6,N/A,21,32,58,13.81%,$35938,$687,$101300,N/A,N/A,31,10%,47%,23%,87,20 mins,6.50%,3.30%,-3.90%,21.80%,72.90%,N/A,N/A,96.39%,5.40%,Lake Havasu City-Kingman,Mountain Standard Time,738,6,60.90%,52.20%,0,N/A,N/A,27.3%,10.4%,0%,0.00
