City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year
Charleston,Michigan,Kalamazoo County,1974,57,84,32,52,36,139,161,56,N/A,N/A,N/A,11,23,40,28.19%,$59545,$808,$158600,N/A,N/A,46,9%,35%,26%,79,20 mins,4.40%,1.00%,0.90%,53.20%,40.40%,N/A,N/A,98.63%,4.30%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,93.30%,42.20%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,2
Charlevoix,Michigan,Charlevoix County,2457,1200,79,29,50,32,156,165,119,55.9,36.3,11,12,56,50,32.01%,$32868,$567,$189000,N/A,N/A,59,8%,23%,9%,81,20 mins,4.20%,0.80%,-6.20%,35.10%,59.20%,N/A,2.40%,94.01%,3.20%,None,N/A,N/A,3.1,28.20%,51.20%,68,N/A,50,19.5%,19.7%,4.2%,157.23,1,0
Charlotte,Michigan,Eaton County,9062,1405,82,30,52,35,132,174,43,58.1,39.6,9,16,35,37,14.46%,$43163,$736,$134900,N/A,N/A,58,5%,33%,19%,72,19 mins,4.60%,1.30%,-0.70%,44.10%,48.80%,N/A,N/A,96.31%,6.40%,Lansing-East Lansing,Eastern Standard Time,841,3.4,55.40%,54.80%,81,N/A,63,11.1%,14.9%,1.9%,168.60,6,1
Chassell,Michigan,Houghton County,1925,40,77,23,54,32,150,186,202,N/A,N/A,10,11,25,35,37.61%,$49000,$672,$136200,N/A,N/A,52,7%,31%,15%,95,15 mins,6.20%,0.60%,10.10%,38.20%,53.80%,N/A,N/A,97.26%,1.40%,Houghton,N/A,N/A,3.2,58.20%,43.90%,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Chatham,Michigan,Alger County,196,80,76,24,52,35,161,174,156,53.9,33.7,10,12,26,49,15.83%,$30625,$546,$104300,N/A,N/A,49,7%,30%,16%,96,21 mins,7.00%,1.70%,-18.00%,36.80%,57.20%,N/A,N/A,98.96%,N/A,None,N/A,N/A,3.1,58.10%,54.70%,14,N/A,45,10%,16.1%,0.5%,179.86,0,0
Cheboygan,Michigan,Cheboygan County,4732,696,78,26,52,31,135,163,94,54.8,35.4,8,18,44,40,14.63%,$24451,$719,$100500,N/A,N/A,55,7%,27%,6%,88,23 mins,4.30%,0.50%,-5.80%,31.50%,63.50%,N/A,2.86%,91.46%,3.50%,None,N/A,N/A,3.4,49.10%,51.30%,67,N/A,51,13.3%,16.7%,2.5%,247.39,2,0
Chelsea,Michigan,Washtenaw County,5169,1429,82,31,51,34,133,182,40,58.2,39.2,8,12,20,40,53.32%,$57163,$1084,$329900,1773,$186,45,6%,38%,49%,61,22 mins,4.20%,1.30%,6.00%,67.60%,26.60%,N/A,N/A,95.74%,3.30%,Ann Arbor,Eastern Standard Time,664,3.3,66.70%,45.90%,65,N/A,49,3.5%,17.3%,3.5%,34.39,6,2
Cherry Grove,Michigan,Wexford County,2099,63,80,27,53,34,152,165,69,N/A,N/A,N/A,11,24,49,28.84%,$50197,$860,$153500,N/A,N/A,35,7%,32%,15%,90,20 mins,5.10%,1.20%,-15.60%,28.90%,65.10%,N/A,N/A,96.92%,1.20%,Cadillac,N/A,N/A,3.3,64.80%,31.10%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Chesaning,Michigan,Saginaw County,2382,781,82,30,52,33,117,172,36,57.4,38.7,8,11,14,37,20.67%,$31690,$647,$116600,N/A,N/A,60,6%,36%,18%,80,29 mins,5.70%,0.40%,4.80%,46.80%,48.00%,N/A,N/A,95.34%,7.20%,Saginaw,Eastern Standard Time,595,3.3,55.40%,54.10%,53,N/A,52,13.3%,19.0%,1.8%,107.05,5,2
Chesaning township,Michigan,Saginaw County,4475,131,82,30,52,33,117,172,36,N/A,N/A,N/A,12,24,43,N/A,$42011,N/A,$111500,N/A,N/A,53,7%,29%,17%,80,31 mins,5.70%,0.40%,-4.80%,46.80%,48.00%,N/A,N/A,N/A,6.40%,Saginaw,Eastern Standard Time,595,3.3,70.30%,43.50%,0,N/A,18,N/A,N/A,N/A,0.00,5,2
Cheshire,Michigan,Allegan County,1844,53,82,31,51,39,132,161,83,N/A,N/A,N/A,12,25,45,14.98%,$46698,$667,$123200,N/A,N/A,36,7%,41%,26%,84,30 mins,3.90%,0.90%,-21.20%,32.20%,60.90%,N/A,2.49%,94.20%,N/A,Holland,N/A,N/A,3.4,53.40%,40.40%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Chester township (Eaton Cnty),Michigan,Eaton County,1846,51,82,30,52,35,132,175,43,N/A,N/A,N/A,9,20,45,N/A,$63750,N/A,$161200,N/A,N/A,42,5%,32%,17%,83,30 mins,4.60%,1.30%,12.20%,44.10%,48.80%,N/A,N/A,N/A,1.40%,Lansing-East Lansing,Eastern Standard Time,841,3.4,88.50%,36.50%,0,N/A,19,N/A,N/A,N/A,N/A,N/A,2
Chester township (Ottawa Cnty),Michigan,Ottawa County,1964,55,81,30,51,38,131,162,70,N/A,N/A,N/A,9,21,44,N/A,$64531,N/A,$185800,N/A,N/A,47,9%,47%,47%,82,25 mins,3.70%,1.90%,-9.30%,31.30%,61.50%,N/A,N/A,N/A,2.00%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,79.00%,37.90%,0,N/A,27,N/A,N/A,N/A,N/A,N/A,0
Chesterfield,Michigan,Macomb County,44726,1624,83,32,51,33,129,179,32,N/A,N/A,9,12,27,39,25.46%,$67391,$969,$277400,1733,$160,26,7%,37%,33%,63,30 mins,4.80%,0.20%,5.00%,42.00%,53.60%,1.11%,6.03%,88.28%,2.90%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,77.30%,48.70%,38,N/A,45,N/A,N/A,N/A,N/A,N/A,1
Chikaming,Michigan,Berrien County,3093,141,83,32,51,39,141,173,68,N/A,N/A,N/A,13,25,58,39.84%,$50000,$938,$243100,N/A,N/A,56,10%,31%,16%,79,19 mins,5.00%,0.10%,-3.10%,40.90%,53.70%,N/A,1.71%,98.29%,N/A,Niles-Benton Harbor,Eastern Standard Time,623,3.8,36.00%,31.80%,30,N/A,44,N/A,N/A,N/A,N/A,N/A,1
China,Michigan,St. Clair County,3465,102,82,31,51,34,131,177,33,N/A,N/A,9,8,16,45,23.09%,$74250,$1645,$259300,N/A,N/A,39,9%,44%,28%,80,34 mins,5.50%,0.20%,-2.90%,31.50%,62.90%,1.10%,N/A,96.72%,N/A,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,87.40%,29.60%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Chippewa township (Chippewa Cnty),Michigan,Chippewa County,170,2,77,24,53,34,143,156,103,N/A,N/A,N/A,15,32,44,N/A,$28750,N/A,$88600,N/A,N/A,44,6%,27%,17%,95,16 mins,6.50%,1.00%,-24.80%,34.60%,58.70%,N/A,N/A,N/A,N/A,Sault Ste. Marie,N/A,N/A,3.2,20.40%,46.80%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Chippewa township (Isabella Cnty),Michigan,Isabella County,4661,130,83,29,54,33,109,166,42,N/A,N/A,N/A,14,27,38,N/A,$45688,N/A,$142800,N/A,N/A,31,7%,30%,15%,83,17 mins,5.20%,0.40%,-0.20%,44.70%,48.30%,N/A,N/A,N/A,5.70%,Mount Pleasant,N/A,N/A,3.3,74.70%,52.40%,0,N/A,34,N/A,N/A,N/A,N/A,N/A,1
Chippewa township (Mecosta Cnty),Michigan,Mecosta County,1257,38,81,28,53,36,135,162,63,N/A,N/A,N/A,12,26,54,N/A,$43950,N/A,$109400,N/A,N/A,37,10%,32%,20%,88,29 mins,5.80%,0.20%,26.20%,33.80%,59.70%,N/A,N/A,N/A,N/A,Big Rapids,N/A,N/A,3.3,37.70%,39.80%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Chocolay charter township,Michigan,Marquette County,5956,101,76,24,52,31,158,186,155,N/A,N/A,N/A,8,16,45,N/A,$56858,N/A,$172200,N/A,N/A,43,7%,35%,30%,93,15 mins,5.60%,0.00%,0.70%,48.30%,44.10%,N/A,N/A,N/A,1.40%,Marquette,N/A,N/A,3.1,73.00%,44.40%,5,N/A,18,N/A,N/A,N/A,0.00,0,0
Chums Corner,Michigan,Grand Traverse County,1303,490,80,28,52,33,143,165,119,55.7,36.5,N/A,10,22,36,N/A,$52067,N/A,$227700,N/A,N/A,24,8%,35%,36%,87,20 mins,3.70%,1.70%,56.40%,40.30%,52.70%,N/A,N/A,100.00%,1.80%,Traverse City,N/A,N/A,3.2,76.70%,45.00%,35,N/A,38,5.1%,15.3%,0%,0.00,1,0
Clam Lake,Michigan,Wexford County,2309,75,80,27,53,34,152,165,69,N/A,N/A,8,10,22,48,25.92%,$58375,$746,$141800,N/A,N/A,31,7%,31%,16%,86,19 mins,5.10%,1.20%,-11.00%,28.90%,65.10%,N/A,N/A,95.67%,1.00%,Cadillac,N/A,N/A,3.3,81.30%,32.90%,0,N/A,14,N/A,N/A,N/A,N/A,N/A,1
Clam Union,Michigan,Missaukee County,957,27,80,27,53,32,147,165,68,N/A,N/A,N/A,12,27,34,9.95%,$39688,$742,$131200,N/A,N/A,44,7%,30%,16%,90,17 mins,5.00%,0.40%,-1.50%,21.40%,73.60%,N/A,N/A,99.11%,5.60%,Cadillac,N/A,N/A,3.3,53.60%,36.80%,4,N/A,42,N/A,N/A,N/A,N/A,N/A,1
Clare,Michigan,Clare County,3087,829,83,29,54,32,106,164,41,56.6,37.6,8,21,34,43,27.61%,$26767,$634,$112400,N/A,N/A,50,10%,38%,28%,81,21 mins,6.70%,1.30%,-3.40%,31.60%,63.20%,N/A,N/A,96.88%,1.80%,None,N/A,N/A,3.3,48.00%,57.80%,72,N/A,79,12.7%,15.4%,3.1%,152.80,4,1
Clarence,Michigan,Calhoun County,1997,61,82,31,51,35,128,169,44,N/A,N/A,N/A,11,25,46,20.93%,$45197,$835,$127400,N/A,N/A,45,9%,37%,16%,82,27 mins,5.20%,0.10%,-10.40%,41.00%,53.50%,N/A,1.55%,96.56%,3.10%,Battle Creek,Eastern Standard Time,830,3.2,66.50%,41.90%,0,N/A,26,N/A,N/A,N/A,N/A,N/A,1
Clarendon,Michigan,Calhoun County,1220,34,82,30,52,37,133,169,47,N/A,N/A,N/A,12,27,38,12.96%,$53438,$744,$94500,N/A,N/A,45,8%,38%,16%,84,23 mins,5.20%,0.10%,5.40%,41.00%,53.50%,N/A,N/A,99.63%,2.90%,Battle Creek,Eastern Standard Time,830,3.2,74.80%,46.10%,1,N/A,26,N/A,N/A,N/A,N/A,N/A,1
Clarksville,Michigan,Ionia County,372,738,82,30,52,36,119,167,60,57.8,39,9,11,24,33,24.91%,$42045,$358,$164200,N/A,N/A,67,7%,41%,32%,81,30 mins,5.00%,1.30%,11.40%,30.90%,61.50%,N/A,N/A,97.76%,N/A,Ionia,N/A,N/A,3.4,64.20%,40.20%,22,N/A,34,0%,18.3%,0.7%,216.22,5,1
Clawson,Michigan,Oakland County,12006,5457,83,32,51,33,123,176,32,57.1,39.2,8,9,13,39,40.97%,$54021,$933,$201700,N/A,N/A,60,8%,38%,39%,61,22 mins,4.10%,0.30%,0.10%,51.30%,43.20%,1.90%,1.15%,93.89%,4.30%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,69.60%,54.50%,87,N/A,52,4.6%,16.9%,7.1%,12.61,7,1
Clay,Michigan,St. Clair County,8867,251,83,32,51,33,129,177,32,N/A,N/A,9,12,22,51,17.43%,$51705,$1011,$224700,N/A,N/A,47,10%,48%,23%,81,37 mins,5.50%,0.20%,-5.20%,31.50%,62.90%,N/A,N/A,97.60%,N/A,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,62.50%,41.10%,1,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Clayton,Michigan,Lenawee County,350,492,83,31,52,35,120,179,32,58.6,39.7,8,14,30,34,5.34%,$35000,$631,$160100,N/A,N/A,78,6%,33%,24%,83,26 mins,5.00%,0.80%,-2.50%,36.20%,57.10%,N/A,N/A,97.30%,14.00%,Adrian,N/A,N/A,3.4,64.50%,49.20%,12,N/A,30,10.1%,17.0%,7.1%,380.12,6,1
Clayton charter township,Michigan,Genesee County,7301,214,82,30,52,32,124,171,38,N/A,N/A,N/A,10,19,45,N/A,$54351,N/A,$158900,N/A,N/A,41,5%,40%,30%,76,26 mins,6.10%,0.40%,-4.90%,52.00%,42.60%,N/A,N/A,N/A,2.50%,Flint,Eastern Standard Time,771,3.3,85.40%,35.20%,3,N/A,26,N/A,N/A,N/A,0.00,6,2
Clearwater,Michigan,Kalkaska County,2466,79,80,28,52,32,140,165,118,N/A,N/A,N/A,13,28,44,14.71%,$37837,$731,$133000,N/A,N/A,38,7%,33%,24%,86,29 mins,5.50%,1.60%,-10.20%,25.80%,69.20%,N/A,1.93%,95.51%,2.30%,Traverse City,N/A,N/A,3.3,59.10%,41.50%,0,N/A,16,N/A,N/A,N/A,N/A,N/A,1
Cleveland,Michigan,Leelanau County,1137,37,80,28,52,33,139,165,120,N/A,N/A,N/A,11,24,52,39.58%,$52632,$810,$305700,N/A,N/A,34,8%,32%,36%,92,32 mins,3.60%,1.40%,2.20%,45.50%,48.60%,N/A,N/A,98.25%,3.10%,Traverse City,N/A,N/A,3.3,51.80%,38.00%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Clifford,Michigan,Lapeer County,341,226,81,29,52,32,116,171,36,57.5,38.7,9,13,28,44,1.52%,$37500,$563,$58100,N/A,N/A,63,8%,36%,26%,86,34 mins,6.10%,0.10%,-2.00%,28.20%,66.50%,N/A,N/A,98.95%,2.10%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,65.70%,46.40%,17,N/A,35,7.8%,16.6%,0%,394.37,6,1
Climax,Michigan,Kalamazoo County,753,714,84,32,52,36,139,159,54,58.5,39.7,9,11,25,41,21.80%,$54479,$691,$155100,N/A,N/A,53,10%,25%,19%,80,20 mins,4.40%,1.00%,16.90%,53.20%,40.40%,1.18%,N/A,95.36%,N/A,Kalamazoo-Portage,Eastern Standard Time,803,3.4,72.10%,43.70%,28,N/A,33,5%,17.7%,1.2%,152.44,8,2
Climax township,Michigan,Kalamazoo County,2514,70,84,32,52,36,139,161,52,N/A,N/A,N/A,10,21,43,N/A,$67546,N/A,$138000,N/A,N/A,44,8%,34%,24%,80,26 mins,4.40%,1.00%,14.20%,53.20%,40.40%,N/A,N/A,N/A,N/A,Kalamazoo-Portage,Eastern Standard Time,803,3.4,82.20%,36.10%,0,N/A,25,N/A,N/A,N/A,0.00,7,2
Clinton,Michigan,Lenawee County,2494,1360,84,31,53,35,133,179,39,58.6,39.7,8,11,16,36,27.73%,$48304,$721,$150100,N/A,N/A,46,7%,32%,26%,79,31 mins,5.00%,0.80%,-2.00%,36.20%,57.10%,N/A,N/A,97.35%,1.10%,Adrian,N/A,N/A,3.4,75.50%,45.00%,16,N/A,31,7.4%,17.7%,1.9%,82.04,5,2
Clinton charter township,Michigan,Macomb County,99726,3548,83,32,51,33,124,179,31,N/A,N/A,N/A,19,29,41,N/A,$47706,N/A,$178200,N/A,N/A,38,8%,44%,31%,65,28 mins,5.90%,0.20%,2.50%,42.00%,53.60%,N/A,N/A,N/A,2.30%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,57.70%,55.50%,16,N/A,31,N/A,N/A,N/A,0.00,6,1
Clinton township (Lenawee Cnty),Michigan,Lenawee County,3537,195,84,31,53,35,132,180,38,N/A,N/A,N/A,12,22,41,N/A,$53961,N/A,$148800,N/A,N/A,42,8%,35%,26%,79,31 mins,5.00%,0.80%,-3.10%,36.20%,57.10%,N/A,N/A,N/A,1.60%,Adrian,N/A,N/A,3.4,79.30%,42.20%,0,N/A,26,N/A,N/A,N/A,N/A,N/A,2
Clio,Michigan,Genesee County,2541,2295,82,30,52,32,121,172,39,57.7,38.9,9,15,35,41,17.49%,$31136,$632,$94100,N/A,N/A,45,13%,53%,31%,63,27 mins,6.10%,0.40%,-4.00%,52.00%,42.60%,N/A,N/A,95.17%,2.80%,Flint,Eastern Standard Time,771,3.3,42.70%,60.80%,67,N/A,79,22.8%,19.9%,1.9%,258.65,5,2
Clyde township (Allegan Cnty),Michigan,Allegan County,2266,65,82,33,49,37,129,161,82,N/A,N/A,N/A,13,27,41,N/A,$35991,N/A,$107900,N/A,N/A,41,7%,40%,27%,83,30 mins,3.90%,0.90%,18.00%,32.20%,60.90%,N/A,N/A,N/A,32.60%,Holland,N/A,N/A,3.4,71.40%,41.70%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Clyde township (St. Clair Cnty),Michigan,St. Clair County,5470,153,80,30,50,34,128,177,37,N/A,N/A,N/A,9,18,46,N/A,$55833,N/A,$168500,N/A,N/A,42,10%,47%,22%,85,26 mins,5.50%,0.20%,-3.30%,31.50%,62.90%,N/A,N/A,N/A,1.90%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,88.30%,34.40%,0,N/A,28,N/A,N/A,N/A,N/A,N/A,1
Coe,Michigan,Isabella County,3063,85,83,29,54,33,110,166,41,N/A,N/A,N/A,12,24,39,21.41%,$47936,$640,$128000,N/A,N/A,48,7%,31%,16%,85,20 mins,5.20%,0.40%,-0.30%,44.70%,48.30%,N/A,1.63%,92.87%,8.60%,Mount Pleasant,N/A,N/A,3.3,71.50%,47.30%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Cohoctah,Michigan,Livingston County,3346,88,82,30,52,33,121,172,37,N/A,N/A,8,10,19,46,15.63%,$66949,$958,$225600,N/A,N/A,39,8%,41%,40%,81,36 mins,3.70%,0.20%,-2.50%,32.30%,61.70%,N/A,N/A,96.58%,N/A,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.4,84.60%,43.70%,0,N/A,27,N/A,N/A,N/A,N/A,N/A,2
Coldsprings,Michigan,Kalkaska County,1505,44,78,26,52,34,154,165,122,N/A,N/A,N/A,12,27,49,11.81%,$42419,$824,$109900,N/A,N/A,38,7%,33%,23%,88,31 mins,5.50%,1.60%,8.60%,25.80%,69.20%,N/A,N/A,97.76%,N/A,Traverse City,N/A,N/A,3.3,39.00%,42.50%,0,N/A,21,N/A,N/A,N/A,N/A,N/A,1
Coldwater,Michigan,Branch County,10819,1125,82,30,52,38,136,178,46,59.5,40.6,8,19,37,34,12.68%,$34260,$740,$116300,N/A,N/A,53,7%,30%,20%,69,17 mins,5.10%,0.50%,-1.50%,28.70%,66.70%,1.59%,7.61%,86.25%,6.30%,Coldwater,N/A,N/A,3.4,49.50%,53.70%,72,N/A,56,10.1%,16.9%,6.3%,144.48,6,1
Coldwater township (Branch Cnty),Michigan,Branch County,4865,177,82,30,52,38,136,176,46,N/A,N/A,N/A,13,24,45,N/A,$49514,N/A,$112700,N/A,N/A,44,11%,31%,17%,80,22 mins,5.10%,0.50%,-24.50%,28.70%,66.70%,N/A,N/A,N/A,7.40%,Coldwater,N/A,N/A,3.4,68.20%,58.30%,15,N/A,36,N/A,N/A,N/A,N/A,N/A,1
Coldwater township (Isabella Cnty),Michigan,Isabella County,711,20,82,28,54,34,128,166,64,N/A,N/A,N/A,12,27,49,N/A,$39688,N/A,$105200,N/A,N/A,38,7%,30%,15%,87,31 mins,5.20%,0.40%,-17.00%,44.70%,48.30%,N/A,N/A,N/A,1.40%,Mount Pleasant,N/A,N/A,3.3,62.00%,40.50%,0,N/A,14,N/A,N/A,N/A,N/A,N/A,1
Coleman,Michigan,Midland County,1495,1199,83,29,54,32,105,165,41,57.5,38.7,8,8,32,33,13.96%,$27695,$622,$100700,N/A,N/A,53,9%,25%,18%,86,21 mins,4.50%,0.00%,24.00%,36.60%,55.70%,1.21%,N/A,97.36%,4.60%,Midland,Eastern Standard Time,627,3.3,57.00%,54.20%,41,N/A,59,21.6%,19.3%,1.1%,267.56,4,1
Colfax township (Benzie Cnty),Michigan,Benzie County,670,19,79,29,50,35,136,164,114,N/A,N/A,N/A,13,27,46,N/A,$44028,N/A,$128800,N/A,N/A,29,10%,48%,37%,91,36 mins,4.80%,1.60%,11.10%,40.20%,54.20%,N/A,N/A,N/A,3.90%,Traverse City,N/A,N/A,3.3,58.40%,46.90%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Colfax township (Mecosta Cnty),Michigan,Mecosta County,2025,58,82,29,53,36,130,162,64,N/A,N/A,N/A,11,23,42,N/A,$60219,N/A,$83600,N/A,N/A,40,9%,32%,19%,88,22 mins,5.80%,0.20%,-3.30%,33.80%,59.70%,N/A,N/A,N/A,1.20%,Big Rapids,N/A,N/A,3.3,70.50%,38.10%,0,N/A,21,N/A,N/A,N/A,N/A,N/A,1
Colfax township (Wexford Cnty),Michigan,Wexford County,1026,29,80,28,52,34,150,165,82,N/A,N/A,N/A,12,27,37,N/A,$41397,N/A,$138800,N/A,N/A,34,7%,30%,16%,90,33 mins,5.10%,1.20%,14.40%,28.90%,65.10%,N/A,N/A,N/A,N/A,Cadillac,N/A,N/A,3.3,56.20%,37.10%,0,N/A,21,N/A,N/A,N/A,N/A,N/A,1
Coloma,Michigan,Berrien County,1669,1880,82,33,49,38,129,171,79,59.5,40.4,9,37,94,34,16.86%,$46681,$781,$122900,N/A,N/A,62,15%,37%,22%,81,19 mins,5.00%,0.10%,9.30%,40.90%,53.70%,N/A,2.70%,93.54%,2.90%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,63.70%,52.10%,0,N/A,N/A,22.8%,18.7%,1.7%,356.92,7,1
Coloma charter township,Michigan,Berrien County,4966,276,82,33,49,38,129,173,79,N/A,N/A,N/A,21,30,45,N/A,$60708,N/A,$111000,N/A,N/A,46,10%,31%,17%,81,22 mins,5.00%,0.10%,-1.60%,40.90%,53.70%,N/A,N/A,N/A,1.30%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,56.00%,50.50%,0,N/A,N/A,N/A,N/A,N/A,0.00,N/A,1
Colon,Michigan,St. Joseph County,1126,820,83,31,52,38,136,174,38,58.9,40.2,8,11,37,39,18.12%,$44688,$731,$120500,N/A,N/A,59,12%,32%,16%,82,25 mins,6.60%,0.60%,-20.00%,31.40%,62.10%,N/A,N/A,98.31%,N/A,Sturgis,N/A,N/A,3.5,44.30%,49.70%,41,N/A,49,6%,17.5%,0.6%,149.25,7,1
Colon township,Michigan,St. Joseph County,3322,97,83,31,52,38,135,174,38,N/A,N/A,N/A,14,27,38,N/A,$43547,N/A,$121900,N/A,N/A,44,11%,32%,15%,82,24 mins,6.60%,0.60%,-1.20%,31.40%,62.10%,N/A,N/A,N/A,1.30%,Sturgis,N/A,N/A,3.5,54.30%,41.40%,0,N/A,39,N/A,N/A,N/A,0.00,N/A,1
Columbia township (Jackson Cnty),Michigan,Jackson County,7392,202,83,31,52,34,122,175,36,N/A,N/A,N/A,9,28,47,N/A,$60072,N/A,$168300,N/A,N/A,42,10%,42%,30%,80,29 mins,4.90%,0.40%,-0.90%,36.80%,56.70%,N/A,N/A,N/A,1.50%,Jackson,Eastern Standard Time,841,3.2,66.80%,38.90%,2,N/A,16,N/A,N/A,N/A,N/A,N/A,1
Columbia township (Van Buren Cnty),Michigan,Van Buren County,2544,75,81,32,49,39,133,168,87,N/A,N/A,N/A,14,30,42,N/A,$40800,N/A,$108800,N/A,N/A,44,9%,31%,26%,84,22 mins,5.30%,0.40%,-2.60%,39.80%,53.80%,N/A,N/A,N/A,19.60%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,54.60%,52.50%,0,N/A,23,N/A,N/A,N/A,N/A,N/A,1
Columbiaville,Michigan,Lapeer County,881,999,82,31,51,33,118,174,35,57.5,38.7,9,16,36,30,11.13%,$39432,$902,$143100,N/A,N/A,63,10%,37%,26%,83,33 mins,6.10%,0.10%,5.60%,28.20%,66.50%,N/A,N/A,96.37%,2.00%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,69.50%,55.20%,41,N/A,39,21.7%,19.9%,0.4%,360.14,6,2
Columbus township (St. Clair Cnty),Michigan,St. Clair County,4019,110,82,30,52,34,128,177,36,N/A,N/A,N/A,11,21,44,N/A,$59167,N/A,$212200,N/A,N/A,38,10%,48%,22%,81,30 mins,5.50%,0.20%,-5.10%,31.50%,62.90%,N/A,N/A,N/A,1.20%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,80.60%,41.90%,0,N/A,30,N/A,N/A,N/A,N/A,N/A,1
Commerce charter township,Michigan,Oakland County,42258,1540,82,30,52,32,136,178,41,N/A,N/A,N/A,7,18,41,N/A,$81489,N/A,$282700,N/A,N/A,31,4%,34%,34%,74,30 mins,3.90%,0.30%,7.70%,51.30%,43.20%,N/A,N/A,N/A,3.40%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,84.10%,37.10%,3,N/A,21,N/A,N/A,N/A,0.00,6,2
Comstock charter township,Michigan,Kalamazoo County,15377,462,84,32,52,36,137,161,60,N/A,N/A,N/A,19,31,36,N/A,$50364,N/A,$125600,N/A,N/A,36,9%,35%,26%,73,19 mins,4.40%,1.00%,5.10%,53.20%,40.40%,N/A,N/A,N/A,3.40%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,65.40%,48.90%,12,N/A,34,N/A,N/A,N/A,0.00,7,2
Comstock Northwest,Michigan,Kalamazoo County,5957,1844,84,32,52,36,136,160,61,58.5,39.7,N/A,14,29,33,37.61%,$47056,$805,$161600,N/A,N/A,28,9%,33%,26%,70,19 mins,4.40%,1.00%,-6.60%,53.20%,40.40%,8.06%,14.96%,70.91%,2.90%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,45.20%,57.00%,43,N/A,N/A,13.5%,18.5%,8.8%,0.00,N/A,2
Comstock Park,Michigan,Kent County,10292,2653,82,30,52,37,128,160,63,58,39,8,25,41,35,25.70%,$40451,$821,$229900,1854,$124,35,8%,47%,46%,67,22 mins,3.90%,2.00%,-0.30%,44.60%,47.70%,2.66%,7.18%,83.59%,13.20%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.4,47.10%,58.00%,39,N/A,45,10%,16.5%,8.6%,38.47,N/A,1
Concord,Michigan,Jackson County,1257,842,82,30,52,35,129,177,41,58.4,39.4,8,10,19,35,27.74%,$45742,$732,$129700,N/A,N/A,62,12%,47%,32%,83,22 mins,4.90%,0.40%,14.10%,36.80%,56.70%,N/A,4.21%,93.73%,2.50%,Jackson,Eastern Standard Time,841,3.2,66.20%,50.30%,33,N/A,46,7.5%,16.6%,0%,78.06,6,2
Concord township,Michigan,Jackson County,2713,76,82,30,52,35,128,175,42,N/A,N/A,N/A,10,22,39,N/A,$55858,N/A,$118100,N/A,N/A,57,10%,43%,31%,83,24 mins,4.90%,0.40%,-1.10%,36.80%,56.70%,N/A,N/A,N/A,3.00%,Jackson,Eastern Standard Time,841,3.2,80.90%,39.80%,0,N/A,19,N/A,N/A,N/A,0.00,N/A,1
