City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Avon,Wisconsin,538,15,Janesville-Beloit,153583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,84,28,56,40.72,39.7,8.1,83,714,3.7,35.87,WI-04100,42.5424682,-89.3068759,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.93,6.02,35.07%,37.25%,32.56%,26,86
Beloit,Wisconsin,36733,2120,Janesville-Beloit,153583,N/A,N/A,N/A,$156000,1357,$115,N/A,N/A,N/A,N/A,90,1634,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,26,54,38.69,39.7,8.1,62,720,3.7,17.33,WI-06525,42.54742,-89.0794986,52%,64%,45%,60%,57%,40.5,37,58,60,11,13.86,5.4,29.7%,30.99%,27.67%,26,81
Beloit town,Wisconsin,7653,442,Janesville-Beloit,153583,N/A,N/A,N/A,$156000,1357,$115,N/A,N/A,N/A,N/A,90,1634,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,26,54,38.69,39.7,8.1,71,720,3.7,17.33,WI-06525,42.54742,-89.0794986,52%,64%,45%,60%,57%,40.5,37,58,60,11,13.86,5.4,29.7%,30.99%,27.67%,26,81
Bradford,Wisconsin,1197,33,Janesville-Beloit,153583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,28,54,41.9,39.7,8.1,81,846,3.7,36.27,WI-09175,42.6249844,-88.8353763,52%,64%,45%,60%,57%,40.5,37,58,61,11,15.07,6.26,32.82%,33.41%,31.44%,26,84
Center (Rock Cnty),Wisconsin,1028,29,Janesville-Beloit,153583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,84,29,55,40.28,39.7,8.1,82,696,3.7,35.45,WI-13625,42.7161173,-89.1897192,52%,64%,45%,60%,57%,40.5,37,58,62,12,14.98,5.73,34.85%,36.92%,32.56%,26,86
Clinton (Rock Cnty),Wisconsin,827,578,Janesville-Beloit,153583,N/A,N/A,N/A,$195000,1275,$153,N/A,N/A,N/A,N/A,278,557,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,28,54,41.9,39.7,8.1,80,846,3.7,1.43,WI-15650,42.5361927,-88.8340544,52%,64%,45%,60%,57%,40.5,37,58,61,11,15.07,6.26,32.82%,33.41%,31.44%,26,84
Edgerton,Wisconsin,5594,1345,Madison,593060,$65183,27.05%,37,$266000,1323,$201,60,66.0%,$798,53.14%,17,991,12.85%,5.35%,72.26%,Rock County,51.70%,41.40%,0.0%,0.0%,86.77%,11.57%,4.68%,Central Standard Time,83,28,55,41.88,55.1,8.1,74,801,3.7,4.16,WI-22575,42.8384774,-89.0698727,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.78,6.51,34.85%,33.41%,34.22%,34,85
Evansville,Wisconsin,5374,1648,Janesville-Beloit,153583,$70216,28.59%,36,$280000,1609,$174,45,75.11%,$769,42.03%,N/A,N/A,5.14%,2.65%,73.18%,Rock County,51.70%,41.40%,0.0%,1.12%,95.65%,2.57%,0.54%,Central Standard Time,83,28,55,40.42,55.1,8.1,80,768,3.7,3.26,WI-24550,42.7781374,-89.2967691,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.41,5.64,28.14%,30.88%,25.0%,34,85
Footville,Wisconsin,1018,909,Janesville-Beloit,153583,$62206,11.89%,36,N/A,N/A,N/A,64,75.9%,$802,45.34%,N/A,N/A,7.78%,5.19%,68.52%,Rock County,51.70%,41.40%,0.0%,0.98%,94.5%,3.54%,0.2%,Central Standard Time,84,29,55,40.28,39.7,8.1,82,696,3.7,1.12,WI-26400,42.6714874,-89.2083868,52%,64%,45%,60%,57%,40.5,37,58,62,12,14.98,5.73,34.85%,36.92%,32.56%,26,86
Fulton,Wisconsin,61,381,Janesville-Beloit,153583,N/A,0.0%,66,N/A,N/A,N/A,N/A,100.0%,N/A,61.29%,0,117,68.85%,0.0%,0.0%,Rock County,51.70%,41.40%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,83,28,55,40.42,55.1,8.1,79,768,3.7,0.16,WI-28050,42.8075001,-89.1268136,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.41,5.64,28.14%,30.88%,25.0%,34,85
Hanover,Wisconsin,119,205,Janesville-Beloit,153583,$51094,20.48%,34,N/A,N/A,N/A,N/A,90.76%,N/A,48.98%,N/A,N/A,0.0%,12.7%,64.29%,Rock County,51.70%,41.40%,0.0%,0.0%,100.0%,0.0%,2.52%,Central Standard Time,84,29,55,40.28,39.7,8.1,82,696,3.7,0.58,WI-32550,42.6388834,-89.1710339,52%,64%,45%,60%,57%,40.5,37,58,62,12,14.98,5.73,34.85%,36.92%,32.56%,26,86
Harmony (Rock Cnty),Wisconsin,2562,118,Janesville-Beloit,153583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,84,29,55,41.88,39.7,8.1,76,801,3.7,21.71,WI-32700,42.7201974,-88.9350028,52%,64%,45%,60%,57%,40.5,37,58,62,12,14.78,6.51,34.85%,33.41%,34.22%,26,86
Janesville,Wisconsin,63957,1872,Janesville-Beloit,153583,N/A,N/A,N/A,$245000,1775,$138,N/A,N/A,N/A,N/A,228,2437,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,84,29,55,40.28,39.7,8.1,63,696,3.7,34.16,WI-37850,42.7222031,-89.0828209,52%,64%,45%,60%,57%,40.5,37,58,62,12,14.98,5.73,34.85%,36.92%,32.56%,26,86
Janesville town,Wisconsin,3496,102,Janesville-Beloit,153583,N/A,N/A,N/A,$245000,1775,$138,N/A,N/A,N/A,N/A,228,2437,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,84,29,55,40.28,39.7,8.1,76,696,3.7,34.16,WI-37850,42.7222031,-89.0828209,52%,64%,45%,60%,57%,40.5,37,58,62,12,14.98,5.73,34.85%,36.92%,32.56%,26,86
Johnstown (Rock Cnty),Wisconsin,811,23,Janesville-Beloit,153583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rock County,51.70%,41.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,30,53,41.88,39.7,8.1,82,801,3.7,35.26,WI-38450,42.7123926,-88.8365855,52%,64%,45%,60%,57%,40.5,37,58,61,14,14.78,6.51,34.85%,33.41%,34.22%,26,85
