City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Atlas,Pennsylvania,842,3119,Sunbury,103432,$40221,3.7%,50,N/A,N/A,N/A,78,78.66%,$683,55.38%,N/A,N/A,11.4%,8.92%,54.55%,Northumberland County,26.50%,68.90%,0.95%,1.07%,97.86%,0.12%,0.95%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.27,PA-03464,40.7974224,-76.4283299,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Coal,Pennsylvania,10432,396,Sunbury,103432,$37588,9.32%,N/A,N/A,N/A,N/A,78,62.50%,N/A,62.50%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,13.68%,N/A,5.70%,N/A,N/A,84,35,49,50.06,36.6,6.5,75,927,3.8,26.34,PA-14536,40.7909486,-76.5209697,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Dalmatia,Pennsylvania,404,594,Sunbury,103432,$66667,13.62%,50,N/A,N/A,N/A,76,76.49%,$713,44.16%,N/A,N/A,10.64%,3.57%,52.41%,Northumberland County,26.50%,68.90%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,86,36,50,43.27,23.9,6.5,78,384,3.8,0.68,PA-18080,40.6500514,-76.902541,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Dewart,Pennsylvania,1298,636,Sunbury,103432,$50078,21.63%,42,N/A,N/A,N/A,46,77.2%,$639,37.66%,N/A,N/A,0.0%,8.14%,61.3%,Northumberland County,26.50%,68.90%,0.0%,0.0%,99.0%,0.0%,0.0%,N/A,86,36,50,44.44,29.3,6.5,70,477,3.8,2.04,PA-19048,41.1099373,-76.8706548,50%,62%,42%,56%,55%,33.5,40,61,64,20,13.46,9.23,38.25%,38.68%,40.11%,20
East Cameron,Pennsylvania,558,46,Sunbury,103432,$44625,13.27%,N/A,N/A,N/A,N/A,52,77.70%,N/A,45.70%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,84,35,49,50.06,36.6,6.5,80,927,3.8,12.13,PA-20928,40.7460146,-76.5192574,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
East Chillisquaque,Pennsylvania,681,85,Sunbury,103432,$55455,16.28%,N/A,N/A,N/A,N/A,75,78.30%,N/A,38.80%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,1.10%,N/A,N/A,1.00%,N/A,N/A,85,35,50,44.62,28.0,6.5,69,456,3.8,8.01,PA-20976,40.9835138,-76.797851,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Edgewood,Pennsylvania,2616,5232,Sunbury,103432,$33750,15.9%,39,$222000,1805,$123,78,57.45%,$578,52.93%,N/A,N/A,28.27%,11.99%,51.23%,Northumberland County,26.50%,68.90%,0.23%,4.85%,90.52%,4.74%,0.69%,N/A,84,35,49,50.06,36.6,6.5,69,927,3.8,0.5,PA-22528,40.7882515,-76.5780247,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Elysburg,Pennsylvania,2147,735,Sunbury,103432,$100397,33.59%,58,$296000,1711,$173,38,94.04%,$370,29.71%,N/A,N/A,0.0%,0.0%,56.32%,Northumberland County,26.50%,68.90%,0.0%,0.28%,96.51%,0.47%,0.0%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,2.92,PA-23472,40.8679903,-76.5491596,50%,62%,42%,56%,55%,33.5,40,61,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Fairview-Ferndale,Pennsylvania,2047,2110,Sunbury,103432,$38139,12.15%,52,N/A,N/A,N/A,79,79.82%,$743,52.67%,N/A,N/A,15.0%,4.95%,54.1%,Northumberland County,26.50%,68.90%,0.05%,0.0%,98.29%,0.73%,1.42%,N/A,84,35,49,50.06,36.6,6.5,71,927,3.8,0.97,PA-24948,40.7799,-76.575102,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Herndon,Pennsylvania,374,473,Sunbury,103432,$50833,16.48%,37,N/A,N/A,N/A,78,69.25%,$692,33.56%,N/A,N/A,10.96%,4.55%,54.23%,Northumberland County,26.50%,68.90%,0.0%,1.07%,94.92%,1.87%,0.0%,N/A,86,36,50,43.27,23.9,6.5,78,384,3.8,0.79,PA-34080,40.7104127,-76.8519141,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Jackson township (Northumberland Cnty),Pennsylvania,861,68,Sunbury,103432,$49125,N/A,N/A,N/A,N/A,N/A,44,51.40%,N/A,37.30%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,3.10%,N/A,N/A,86,36,50,43.27,23.9,6.5,78,384,3.8,12.66,PA-37432,40.7142492,-76.8172089,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Jordan township (Northumberland Cnty),Pennsylvania,689,40,Sunbury,103432,$49063,N/A,N/A,N/A,N/A,N/A,42,86.70%,N/A,30.10%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,86,36,50,43.27,23.9,6.5,78,384,3.8,17.23,PA-38456,40.6682397,-76.7608448,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Kapp Heights,Pennsylvania,697,1991,Sunbury,103432,$49821,14.44%,55,$135000,839,$161,46,75.9%,$653,38.94%,N/A,N/A,5.07%,2.35%,58.49%,Northumberland County,26.50%,68.90%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,85,36,49,45.25,28.1,6.5,69,525,3.8,0.35,PA-38744,40.8994949,-76.8089334,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Kulpmont,Pennsylvania,2670,2781,Sunbury,103432,$44583,14.09%,48,$113000,1202,$94,78,65.55%,$721,55.57%,N/A,N/A,18.05%,0.75%,54.91%,Northumberland County,26.50%,68.90%,1.31%,0.15%,95.09%,3.45%,1.16%,N/A,84,35,49,50.06,36.6,6.5,69,927,3.8,0.96,PA-40584,40.7954353,-76.4720566,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Lewis township (Northumberland Cnty),Pennsylvania,2102,80,Sunbury,103432,$52500,N/A,N/A,N/A,N/A,N/A,42,83.90%,N/A,27.50%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,1.00%,N/A,N/A,86,36,50,44.44,29.3,6.5,70,477,3.8,26.28,PA-42952,41.1148872,-76.7687591,50%,62%,42%,56%,55%,33.5,40,61,64,20,13.46,9.23,38.25%,38.68%,40.11%,20
