City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon)
Fellsmere,Florida,5692,99,Sebastian-Vero Beach,162518,$37143,13.36%,30,N/A,N/A,N/A,28,63.06%,$775,63.7%,85,823,16.55%,12.33%,65.87%,Indian River County,36.00%,60.20%,0.0%,13.16%,16.46%,70.38%,27.53%,Eastern Standard Time,90,73,17,54,123,0,8.2,75,17,6.1,57.57,FL-22100,27.7240942,-80.5974399,69%,67%,65%,61%,66%
Florida Ridge,Florida,21081,1957,Sebastian-Vero Beach,162518,$49973,19.54%,44,$245000,1231,$199,31,77.71%,$1060,56.1%,N/A,N/A,10.34%,6.49%,55.26%,Indian River County,36.00%,60.20%,0.36%,17.48%,62.16%,18.05%,13.49%,Eastern Standard Time,90,72,18,55,126,0,8.2,79,17,6.1,10.77,FL-23050,27.5805337,-80.3847513,70%,73%,67%,61%,66%
Gifford,Florida,4481,1647,Sebastian-Vero Beach,162518,$21719,16.09%,41,$83000,822,$101,39,35.65%,$683,62.65%,N/A,N/A,35.68%,15.15%,57.03%,Indian River County,36.00%,60.20%,0.0%,85.7%,11.25%,3.06%,13.01%,Eastern Standard Time,90,72,18,54,126,0,8.2,79,17,6.1,2.72,FL-25925,27.6756208,-80.4251574,69%,67%,65%,61%,66%
Indian River Shores,Florida,4255,831,Sebastian-Vero Beach,162518,$156447,73.87%,74,$2200000,2500,$880,33,96.92%,$1563,23.29%,0,209,1.73%,3.03%,20.44%,Indian River County,36.00%,60.20%,3.29%,0.0%,92.9%,1.97%,9.82%,Eastern Standard Time,90,72,18,54,126,0,8.2,83,17,6.1,5.12,FL-33600,27.7085378,-80.3851213,69%,67%,65%,61%,66%
Orchid,Florida,480,387,Sebastian-Vero Beach,162518,$142444,72.75%,72,N/A,N/A,N/A,17,94.58%,N/A,18.24%,N/A,N/A,0.21%,0.0%,17.61%,Indian River County,36.00%,60.20%,2.92%,5.0%,90.21%,1.46%,5.0%,Eastern Standard Time,90,72,18,54,126,0,8.2,84,17,6.1,1.24,FL-52175,27.7733042,-80.4182512,69%,67%,65%,61%,66%
Roseland,Florida,1554,822,Sebastian-Vero Beach,162518,$45636,15.59%,63,$390000,1554,$251,47,87.32%,$738,43.62%,N/A,N/A,9.65%,3.3%,47.06%,Indian River County,36.00%,60.20%,0.0%,3.93%,94.4%,0.0%,7.27%,Eastern Standard Time,90,72,18,54,124,0,8.2,80,17,6.1,1.89,FL-61875,27.8360024,-80.4885207,69%,67%,65%,61%,66%
Sebastian,Florida,25613,1623,Sebastian-Vero Beach,162518,$54986,27.05%,57,$325000,1533,$212,27,80.72%,$1156,42.4%,72,1132,10.64%,6.23%,45.63%,Indian River County,36.00%,60.20%,0.44%,3.22%,86.69%,6.74%,6.66%,Eastern Standard Time,90,72,18,54,124,0,8.2,80,17,6.1,15.78,FL-64825,27.7822382,-80.4819257,69%,67%,65%,61%,66%
South Beach,Florida,3296,1212,Sebastian-Vero Beach,162518,$141847,69.86%,70,$790000,2005,$394,36,95.72%,N/A,21.62%,N/A,N/A,4.61%,4.06%,29.04%,Indian River County,36.00%,60.20%,0.0%,0.0%,98.39%,0.94%,7.04%,Eastern Standard Time,90,72,18,54,126,0,8.2,83,17,6.1,2.72,FL-67192,27.5883147,-80.3435029,70%,73%,67%,61%,66%
Vero Beach,Florida,17163,1499,Sebastian-Vero Beach,162518,$51036,38.45%,54,$325000,1526,$213,46,70.38%,$906,49.16%,308,1959,11.05%,6.33%,55.55%,Indian River County,36.00%,60.20%,1.93%,6.0%,81.48%,7.35%,8.54%,Eastern Standard Time,90,72,18,54,126,0,8.2,75,17,6.1,11.45,FL-74150,27.6462873,-80.3930106,69%,67%,65%,61%,66%
Vero Beach South,Florida,28676,2432,Sebastian-Vero Beach,162518,$61538,27.99%,49,$300000,1493,$201,33,77.91%,$1004,44.7%,N/A,N/A,7.74%,5.22%,57.99%,Indian River County,36.00%,60.20%,3.25%,2.47%,79.4%,12.2%,11.37%,Eastern Standard Time,90,72,18,55,126,0,8.2,76,17,6.1,11.79,FL-74200,27.6132213,-80.4162635,70%,73%,67%,61%,66%
