City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Lavelle,Pennsylvania,503,445,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,6,9,16,60,9.09%,$61439,0.0%,N/A,N/A,N/A,N/A,N/A,74,96.62%,3%,10%,10%,83,25 mins,0.0%,-1.10%,-39.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,88.87%,9.54%,0.0%,N/A,N/A,3.7,39.50%,14,N/A,13,20.9%,0.00,17,1,2,N/A,N/A,PA-41904,1.13,69.49%
Mahanoy,Pennsylvania,3277,6425,Pottsville,140709,81,33,48,50,126,193,40,N/A,N/A,6,6,6,N/A,4.76%,$44583,N/A,N/A,N/A,$50000,1515,$33,78,68.20%,3%,10%,10%,83,28 mins,5.40%,-1.10%,2.90%,Schuylkill County,26.50%,69.40%,1.0%,35.6%,46.8%,12.4%,N/A,N/A,N/A,3.7,75.10%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-46584,0.51,N/A
Mahanoy City,Pennsylvania,3963,7771,Pottsville,140709,81,33,48,52,127,189,41,57.9,38.5,6,11,27,N/A,5.78%,$29552,43.81%,N/A,N/A,$50000,1515,$33,78,42.93%,3%,10%,10%,66,23 mins,7.73%,-1.10%,-4.70%,Schuylkill County,26.50%,69.40%,0.98%,4.19%,87.69%,5.63%,1.74%,N/A,N/A,3.7,65.50%,71,N/A,48,20.2%,0.00,18,1,2,N/A,N/A,PA-46584,0.51,50.32%
Marlin,Pennsylvania,389,2992,Pottsville,140709,84,35,49,50,125,193,37,59.6,40.2,6,10,18,27,10.96%,$125043,0.0%,N/A,N/A,N/A,N/A,N/A,58,100.0%,3%,9%,10%,76,25 mins,5.07%,-1.10%,-38.30%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,1.03%,N/A,N/A,3.7,37.70%,31,N/A,26,17.3%,0.00,18,1,17,N/A,N/A,PA-47600,0.13,89.7%
McAdoo,Pennsylvania,2631,7517,Pottsville,140709,79,32,47,50,126,191,47,59,39,6,11,28,33,8.23%,$34046,24.67%,$752,N/A,$200000,2174,$92,78,63.06%,3%,10%,10%,72,25 mins,9.34%,-1.10%,-5.10%,Schuylkill County,26.50%,69.40%,0.19%,0.76%,66.25%,26.91%,11.86%,N/A,N/A,3.7,52.80%,55,N/A,46,20.1%,0.00,19,1,1,N/A,N/A,PA-45824,0.35,62.93%
McKeansburg,Pennsylvania,106,312,Pottsville,140709,84,36,48,51,117,193,38,59,39.6,6,9,16,42,15.85%,$62500,3.77%,N/A,N/A,$145000,2071,$70,78,90.57%,3%,10%,10%,76,25 mins,4.48%,-1.10%,-5.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.17%,0.0%,2.83%,N/A,N/A,3.7,35.50%,15,N/A,18,22.6%,0.00,19,1,18,N/A,N/A,PA-46232,0.34,70.53%
Mechanicsville,Pennsylvania,407,1233,Pottsville,140709,84,36,48,50,125,191,37,59,39.6,6,11,19,47,14.94%,$63750,17.0%,$986,N/A,$170000,1232,$138,78,79.85%,3%,10%,10%,71,21 mins,4.02%,-1.10%,9.10%,Schuylkill County,26.50%,69.40%,0.0%,0.49%,98.28%,0.98%,0.0%,N/A,N/A,3.7,50.90%,0,N/A,32,15.0%,0.00,18,1,17,N/A,N/A,PA-48448,0.33,65.69%
Middleport,Pennsylvania,319,725,Pottsville,140709,84,36,48,51,127,193,34,58.8,39.4,6,11,19,52,9.09%,$49375,9.78%,$658,N/A,N/A,N/A,N/A,78,80.88%,3%,9%,10%,81,25 mins,10.42%,-1.10%,2.40%,Schuylkill County,26.50%,69.40%,1.25%,0.0%,98.12%,0.0%,2.82%,N/A,N/A,3.7,53.40%,6,N/A,29,20.0%,0.00,19,1,15,N/A,N/A,PA-49048,0.44,68.33%
Minersville,Pennsylvania,4174,6324,Pottsville,140709,84,36,48,50,125,196,37,59.7,40.3,7,16,16,45,12.44%,$30814,16.66%,$568,N/A,$38000,1462,$26,78,63.12%,3%,9%,10%,63,25 mins,2.51%,-1.10%,-3.50%,Schuylkill County,26.50%,69.40%,0.38%,0.0%,92.41%,3.91%,0.53%,N/A,N/A,3.7,48.60%,69,N/A,25,18.5%,4.56,18,1,16,N/A,N/A,PA-50088,0.66,53.61%
Mount Carbon,Pennsylvania,56,800,Pottsville,140709,84,36,48,50,125,189,37,59,39.6,N/A,10,19,55,13.64%,$57917,5.36%,N/A,N/A,N/A,N/A,N/A,78,92.86%,3%,10%,10%,74,25 mins,0.0%,-1.10%,-27.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,92.86%,7.14%,1.79%,N/A,N/A,3.7,53.50%,38,N/A,13,17.1%,0.00,18,1,18,N/A,N/A,PA-51488,0.07,54.72%
Muir,Pennsylvania,448,896,Pottsville,140709,83,36,47,48,123,193,34,59.8,40.4,7,7,13,44,26.35%,$100750,3.13%,N/A,N/A,$181000,2207,$82,78,94.87%,3%,10%,11%,78,25 mins,0.0%,-1.10%,26.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,34.70%,15,N/A,23,14.8%,0.00,17,1,1,N/A,N/A,PA-52224,0.5,64.81%
New Castle township,Pennsylvania,389,47,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,12,37,N/A,N/A,$40500,N/A,N/A,N/A,$117000,1330,$88,78,67.40%,3%,9%,10%,81,25 mins,5.40%,-1.10%,-13.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.5%,1.5%,N/A,N/A,N/A,3.7,55.00%,0,N/A,21,N/A,0.00,18,1,9,N/A,N/A,PA-53376,8.31,N/A
New Philadelphia,Pennsylvania,971,643,Pottsville,140709,84,36,48,51,127,191,34,59,39.5,6,11,8,42,13.04%,$49628,15.31%,$603,N/A,$25000,1250,$20,78,79.09%,3%,10%,11%,81,28 mins,4.79%,-1.10%,-9.90%,Schuylkill County,26.50%,69.40%,0.21%,0.62%,90.94%,4.53%,1.03%,N/A,N/A,3.7,54.00%,34,N/A,N/A,14.8%,0.00,19,1,16,N/A,N/A,PA-53944,1.51,63.5%
New Ringgold,Pennsylvania,305,381,Pottsville,140709,84,36,48,51,117,196,38,59,39.6,6,9,17,43,8.78%,$47679,10.49%,$679,N/A,$80000,1667,$48,78,79.67%,3%,10%,10%,80,25 mins,7.97%,-1.10%,-0.70%,Schuylkill County,26.50%,69.40%,0.0%,0.98%,96.39%,0.0%,0.33%,N/A,N/A,3.7,33.80%,22,N/A,28,21.8%,0.00,19,1,17,N/A,N/A,PA-54016,0.8,55.82%
Newtown,Pennsylvania,244,381,Pottsville,140709,83,35,48,47,126,203,32,59,39.6,7,10,19,52,16.82%,$72857,5.33%,$2093,964,$736000,2777,$265,71,95.08%,3%,9%,10%,78,25 mins,1.86%,-1.10%,-21.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.8,34.40%,74,N/A,55,21.1%,0.00,17,1,15,N/A,N/A,PA-54264,0.64,71.56%
North Manheim,Pennsylvania,3689,181,Pottsville,140709,84,36,48,49,124,193,32,N/A,N/A,6,13,22,N/A,21.94%,$65284,N/A,N/A,N/A,N/A,N/A,N/A,47,74.00%,4%,13%,12%,74,25 mins,5.40%,-1.10%,-0.90%,Schuylkill County,26.50%,69.40%,0.5%,0.2%,98.0%,0.8%,N/A,N/A,N/A,3.7,44.90%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-55192,20.38,N/A
North Union township (Schuylkill Cnty),Pennsylvania,1221,59,Pottsville,140709,81,33,48,50,125,193,39,N/A,N/A,N/A,5,6,N/A,N/A,$58897,N/A,N/A,N/A,N/A,N/A,N/A,42,60.90%,3%,9%,11%,84,30 mins,5.40%,-1.10%,-4.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,96.6%,2.8%,N/A,N/A,N/A,3.7,46.50%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-55472,20.69,N/A
Norwegian,Pennsylvania,1870,319,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,7,36,N/A,24.65%,$55952,N/A,N/A,N/A,N/A,N/A,N/A,43,73.60%,2%,8%,8%,76,25 mins,5.40%,-1.10%,-12.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.1%,1.4%,N/A,N/A,N/A,3.7,40.20%,9,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-55624,5.86,N/A
Nuremberg,Pennsylvania,434,723,Scranton--Wilkes-Barre--Hazleton,552528,81,33,48,52,127,193,41,57.3,38.2,6,13,25,57,11.65%,$55804,10.83%,$723,N/A,$190000,3958,$48,78,62.67%,3%,10%,10%,84,25 mins,0.0%,-1.10%,9.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,92.86%,6.22%,4.15%,Eastern Standard Time,930,3.7,66.00%,11,N/A,N/A,18.4%,N/A,N/A,1,N/A,N/A,N/A,PA-55808,0.6,49.87%
Oneida,Pennsylvania,361,2124,Pottsville,140709,81,33,48,50,127,193,41,59,39.6,6,13,23,37,0.0%,$135514,7.2%,N/A,N/A,N/A,N/A,N/A,78,90.03%,3%,10%,11%,84,25 mins,0.0%,-1.10%,-26.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,52.91%,47.09%,4.16%,N/A,N/A,3.7,72.50%,9,N/A,16,15.9%,0.00,18,1,1,N/A,N/A,PA-56816,0.17,82.49%
Orwigsburg,Pennsylvania,2964,1366,Pottsville,140709,85,37,48,49,122,190,30,59.6,40.1,6,12,15,43,23.86%,$56642,2.76%,$734,N/A,$231000,1805,$128,58,86.84%,4%,12%,9%,71,33 mins,1.2%,-1.10%,-3.30%,Schuylkill County,26.50%,69.40%,0.84%,0.2%,92.58%,0.57%,2.33%,N/A,N/A,3.7,42.10%,66,N/A,33,17.9%,0.00,19,1,18,N/A,N/A,PA-57184,2.17,56.86%
Orwin,Pennsylvania,196,316,Pottsville,140709,83,36,47,46,120,193,28,59,39.6,7,9,16,49,11.84%,$76750,0.0%,N/A,N/A,N/A,N/A,N/A,78,100.0%,3%,10%,10%,78,25 mins,0.0%,-1.10%,80.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,88.78%,6.63%,0.0%,N/A,N/A,3.7,50.20%,4,N/A,15,18.2%,0.00,17,1,2,N/A,N/A,PA-57192,0.62,58.6%
Palo Alto,Pennsylvania,889,855,Pottsville,140709,84,36,48,50,125,196,37,59,39.6,6,8,16,42,6.86%,$43889,6.22%,$736,N/A,$95000,1267,$75,78,81.1%,3%,10%,10%,71,18 mins,3.0%,-1.10%,-7.30%,Schuylkill County,26.50%,69.40%,0.56%,0.0%,96.85%,2.47%,1.57%,N/A,N/A,3.7,39.70%,23,N/A,10,18.5%,0.00,19,1,18,N/A,N/A,PA-57752,1.04,64.24%
Park Crest,Pennsylvania,542,695,Pottsville,140709,81,33,48,52,127,193,41,59,39.6,N/A,9,16,55,20.71%,$50598,16.42%,N/A,N/A,$100000,980,$102,46,97.79%,3%,10%,11%,83,25 mins,10.48%,-1.10%,-11.20%,Schuylkill County,26.50%,69.40%,0.18%,0.0%,98.71%,1.11%,0.18%,N/A,N/A,3.7,46.90%,5,N/A,6,22.0%,0.00,19,1,2,N/A,N/A,PA-57968,0.78,54.51%
Pine Grove borough,Pennsylvania,1960,1832,Pottsville,140709,84,37,47,46,122,196,24,N/A,N/A,N/A,13,13,N/A,N/A,$46750,N/A,N/A,N/A,$130000,1461,$89,78,51.20%,3%,10%,10%,61,21 mins,5.40%,-1.10%,-8.90%,Schuylkill County,26.50%,69.40%,0.0%,2.0%,89.5%,6.5%,N/A,N/A,N/A,3.7,46.60%,44,N/A,42,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-60464,1.07,N/A
Pine Grove township (Schuylkill Cnty),Pennsylvania,4069,3803,Pottsville,140709,84,37,47,46,122,193,24,N/A,N/A,N/A,12,21,N/A,N/A,$58077,N/A,N/A,N/A,$130000,1461,$89,28,77.20%,0%,7%,7%,75,27 mins,5.40%,-1.10%,0.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.5%,0.0%,N/A,N/A,N/A,3.7,37.50%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-60464,1.07,N/A
Port Carbon,Pennsylvania,1701,2268,Pottsville,140709,84,36,48,51,127,191,33,59.4,40,6,6,6,46,14.97%,$50798,6.94%,$563,N/A,$120000,1277,$94,78,85.54%,-6%,0%,10%,75,23 mins,3.34%,-1.10%,-0.30%,Schuylkill County,26.50%,69.40%,0.53%,0.0%,95.12%,4.35%,0.88%,N/A,N/A,3.7,51.30%,42,N/A,18,16.4%,0.00,18,1,17,N/A,N/A,PA-62128,0.75,61.66%
Port Clinton,Pennsylvania,373,491,Pottsville,140709,85,37,48,46,116,196,20,59.3,40.1,6,12,23,37,12.55%,$55139,10.46%,$1060,N/A,N/A,N/A,N/A,78,59.52%,3%,9%,10%,76,25 mins,9.42%,-1.10%,-35.40%,Schuylkill County,26.50%,69.40%,2.41%,0.0%,89.54%,1.61%,3.49%,N/A,N/A,3.7,51.30%,16,N/A,N/A,19.5%,0.00,19,1,22,N/A,N/A,PA-62136,0.76,65.86%
Porter township (Schuylkill Cnty),Pennsylvania,2066,115,Pottsville,140709,83,36,47,46,122,193,29,N/A,N/A,N/A,10,18,N/A,N/A,$51103,N/A,N/A,N/A,N/A,N/A,N/A,75,78.00%,3%,10%,10%,78,30 mins,5.40%,-1.10%,13.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.6%,0.9%,N/A,N/A,N/A,3.7,46.00%,4,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-62200,17.97,N/A
Pottsville,Pennsylvania,13549,3249,Pottsville,140709,84,36,48,50,125,193,37,59.3,40,6,20,31,41,19.94%,$39154,19.84%,$720,N/A,$106000,1582,$67,78,60.7%,4%,6%,11%,56,19 mins,8.19%,-1.10%,-4.80%,Schuylkill County,26.50%,69.40%,0.05%,3.62%,91.59%,4.32%,1.01%,N/A,N/A,3.7,52.90%,82,N/A,48,16.5%,0.70,18,1,18,N/A,N/A,PA-62432,4.17,61.59%
Ravine,Pennsylvania,670,615,Pottsville,140709,84,37,47,46,122,193,24,59,39.6,7,9,17,42,20.89%,$56976,9.7%,$613,N/A,$140000,1591,$88,30,82.54%,3%,10%,11%,75,25 mins,12.47%,-1.10%,-26.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.96%,1.04%,0.0%,N/A,N/A,3.7,44.40%,4,N/A,25,18.3%,0.00,17,1,18,N/A,N/A,PA-63536,1.09,68.11%
Reilly,Pennsylvania,810,52,Pottsville,140709,83,35,48,49,126,193,35,N/A,N/A,7,9,23,N/A,7.95%,$51364,N/A,N/A,N/A,N/A,N/A,N/A,78,59.90%,3%,10%,11%,78,23 mins,5.40%,-1.10%,13.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,N/A,N/A,N/A,3.7,47.60%,0,N/A,12,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-64088,15.58,N/A
Reinerton,Pennsylvania,446,970,Pottsville,140709,83,36,47,46,120,193,28,59,39.6,7,11,20,42,10.91%,$48250,0.0%,N/A,N/A,$100000,1538,$65,73,71.97%,3%,9%,11%,78,25 mins,16.58%,-1.10%,-3.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,45.70%,19,N/A,12,14.3%,0.00,17,1,1,N/A,N/A,PA-64104,0.46,49.49%
Renningers,Pennsylvania,501,428,Pottsville,140709,85,37,48,49,122,193,27,59,39.6,N/A,9,16,35,24.77%,$69648,0.0%,N/A,N/A,$225000,1619,$139,17,100.0%,3%,10%,10%,74,25 mins,6.28%,-1.10%,-9.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,38.80%,6,N/A,3,9.0%,0.00,19,1,18,N/A,N/A,PA-64188,1.17,58.22%
Ringtown,Pennsylvania,737,1675,Pottsville,140709,82,34,48,50,124,196,37,59,39.6,6,6,9,46,16.52%,$58333,5.44%,$588,N/A,N/A,N/A,N/A,75,86.57%,3%,10%,11%,84,30 mins,6.53%,-1.10%,15.10%,Schuylkill County,26.50%,69.40%,0.0%,0.14%,95.66%,1.63%,0.95%,N/A,N/A,3.7,46.60%,24,N/A,20,16.8%,0.00,17,1,1,N/A,N/A,PA-65000,0.44,55.52%
Rush township (Schuylkill Cnty),Pennsylvania,3316,143,Pottsville,140709,83,35,48,52,124,193,39,N/A,N/A,N/A,11,19,N/A,N/A,$65650,N/A,N/A,N/A,N/A,N/A,N/A,51,77.90%,3%,10%,10%,83,30 mins,5.40%,-1.10%,-3.90%,Schuylkill County,26.50%,69.40%,0.7%,0.0%,97.3%,1.2%,N/A,N/A,N/A,3.7,36.70%,15,N/A,21,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-66760,23.19,N/A
Ryan,Pennsylvania,2523,143,Pottsville,140709,81,33,48,51,126,193,40,N/A,N/A,N/A,5,7,N/A,14.82%,$63947,N/A,N/A,N/A,N/A,N/A,N/A,44,79.30%,3%,9%,10%,83,26 mins,5.40%,-1.10%,5.80%,Schuylkill County,26.50%,69.40%,1.0%,25.7%,62.9%,8.6%,N/A,N/A,N/A,3.7,61.70%,0,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-66944,17.64,N/A
Schuylkill Haven,Pennsylvania,5137,3669,Pottsville,140709,85,37,48,49,122,193,27,59.8,40.5,6,11,22,41,22.71%,$43358,8.57%,$623,N/A,$170000,1828,$93,78,68.12%,8%,13%,11%,56,22 mins,8.28%,-1.10%,-3.40%,Schuylkill County,26.50%,69.40%,1.01%,1.07%,95.58%,2.04%,1.52%,N/A,N/A,3.7,40.30%,73,N/A,36,16.2%,0.00,19,1,19,N/A,N/A,PA-68312,1.4,62.16%
Schuylkill township (Schuylkill Cnty),Pennsylvania,1138,118,Pottsville,140709,84,36,48,51,125,193,38,N/A,N/A,N/A,12,22,N/A,N/A,$36548,N/A,N/A,N/A,N/A,N/A,N/A,78,79.90%,3%,10%,10%,81,29 mins,5.40%,-1.10%,22.50%,Schuylkill County,26.50%,69.40%,1.0%,0.2%,98.9%,0.0%,N/A,N/A,N/A,3.7,56.90%,0,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-68304,9.64,N/A
Seltzer,Pennsylvania,306,3400,Pottsville,140709,84,35,49,50,125,193,37,59.4,40,6,12,22,43,13.95%,$53214,24.84%,N/A,N/A,$305000,1667,$183,78,84.31%,3%,10%,10%,76,25 mins,17.12%,-1.10%,-12.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,57.60%,1,N/A,18,28.0%,0.00,18,1,15,N/A,N/A,PA-69256,0.09,42.05%
Shenandoah,Pennsylvania,4789,3172,Pottsville,140709,82,34,48,52,127,193,41,57.9,38.7,6,13,33,35,12.63%,$29208,39.64%,$522,N/A,$38000,1462,$26,78,65.81%,3%,9%,10%,63,23 mins,9.62%,-1.10%,-5.30%,Schuylkill County,26.50%,69.40%,0.08%,3.47%,61.04%,34.39%,9.92%,N/A,N/A,3.7,60.30%,76,N/A,N/A,16.2%,0.00,18,1,2,N/A,N/A,PA-70056,1.51,48.14%
Shenandoah Heights,Pennsylvania,1564,1862,Pottsville,140709,82,34,48,52,127,195,41,59,39.6,6,11,20,48,20.71%,$72046,18.01%,$1028,N/A,N/A,N/A,N/A,78,88.63%,3%,9%,10%,79,25 mins,1.0%,-1.10%,9.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,85.42%,14.58%,7.29%,N/A,N/A,3.7,40.10%,14,N/A,8,17.0%,0.00,18,1,1,N/A,N/A,PA-70064,0.84,67.24%
Sheppton,Pennsylvania,602,2076,Pottsville,140709,81,33,48,50,127,179,42,59,39.6,6,13,24,40,16.26%,$36544,46.4%,$750,N/A,$180000,1935,$93,78,73.82%,3%,10%,11%,84,25 mins,3.11%,-1.10%,1.40%,Schuylkill County,26.50%,69.40%,9.14%,5.15%,77.41%,13.12%,14.78%,N/A,N/A,3.7,72.30%,25,N/A,33,27.5%,0.00,18,1,1,N/A,N/A,PA-70128,0.29,55.15%
South Manheim,Pennsylvania,2398,115,Pottsville,140709,85,37,48,49,123,193,32,N/A,N/A,6,8,15,N/A,21.85%,$59063,N/A,N/A,N/A,N/A,N/A,N/A,30,78.90%,3%,9%,10%,78,32 mins,5.40%,-1.10%,-1.50%,Schuylkill County,26.50%,69.40%,0.0%,0.2%,95.5%,4.2%,N/A,N/A,N/A,3.7,32.90%,0,N/A,9,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-72312,20.85,N/A
St. Clair borough,Pennsylvania,2842,2311,Pottsville,140709,84,36,48,50,125,196,37,N/A,N/A,N/A,10,44,48,16.27%,$47820,17.81%,$702,N/A,$144000,1655,$87,78,82.66%,3%,9%,10%,70,21 mins,6.22%,-1.10%,-4.50%,Schuylkill County,26.50%,69.40%,0.35%,0.04%,98.35%,0.77%,0.25%,N/A,N/A,3.7,54.50%,61,N/A,46,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-67224,1.23,61.15%
Summit Station,Pennsylvania,154,120,Pottsville,140709,85,37,48,49,123,193,27,59.3,40,6,9,16,62,9.49%,$45000,0.0%,N/A,N/A,$185000,1888,$98,78,100.0%,3%,10%,11%,78,25 mins,0.0%,-1.10%,44.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,26.90%,8,N/A,11,22.1%,0.00,19,1,22,N/A,N/A,PA-75272,1.28,41.61%
Tamaqua,Pennsylvania,6699,701,Pottsville,140709,84,36,48,52,124,196,38,58.1,38.7,6,12,39,42,15.6%,$37043,21.19%,$672,N/A,$150000,2000,$75,78,63.79%,3%,10%,10%,78,27 mins,8.38%,-1.10%,-3.60%,Schuylkill County,26.50%,69.40%,0.0%,0.33%,91.0%,5.4%,1.07%,N/A,N/A,3.7,52.60%,75,N/A,52,14.6%,1.42,20,1,2,N/A,N/A,PA-76032,9.56,64.51%
Tower City,Pennsylvania,1187,3709,Pottsville,140709,83,36,47,46,120,191,28,59,39.6,7,8,8,37,14.29%,$57083,11.15%,$750,N/A,$110000,1692,$65,78,78.18%,3%,10%,10%,78,30 mins,3.81%,-1.10%,-15.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.99%,0.67%,0.51%,N/A,N/A,3.7,48.00%,25,N/A,13,18.6%,7.08,17,1,1,N/A,N/A,PA-77184,0.32,66.74%
Tremont,Pennsylvania,299,410,Pottsville,140709,84,36,48,46,123,193,26,59.6,40.1,7,13,23,N/A,7.86%,$46250,13.5%,N/A,N/A,$95000,1218,$78,55,77.20%,3%,10%,10%,78,25 mins,5.40%,-1.10%,49.50%,Schuylkill County,26.50%,69.40%,0.0%,0.7%,99.3%,0.0%,2.1%,N/A,N/A,3.7,55.90%,29,N/A,22,16.3%,0.00,17,1,15,N/A,N/A,PA-77400,0.73,N/A
Tremont borough,Pennsylvania,1790,2452,Pottsville,140709,83,35,48,47,126,191,32,N/A,N/A,N/A,12,22,N/A,N/A,$40375,N/A,N/A,N/A,$95000,1218,$78,78,64.20%,3%,10%,10%,78,25 mins,5.40%,-1.10%,5.90%,Schuylkill County,26.50%,69.40%,3.1%,0.4%,95.9%,0.2%,N/A,N/A,N/A,3.7,54.30%,29,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-77400,0.73,N/A
Tuscarora,Pennsylvania,397,1985,Pottsville,140709,84,36,48,51,125,193,38,58.6,39.3,6,12,22,61,8.85%,$39958,12.59%,$1054,N/A,$165000,1854,$89,78,89.17%,3%,10%,10%,81,29 mins,4.65%,-1.10%,17.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.5%,N/A,N/A,3.7,55.80%,7,N/A,26,16.4%,0.00,19,1,10,N/A,N/A,PA-77968,0.2,47.38%
Union township (Schuylkill Cnty),Pennsylvania,1277,698,Pottsville,140709,82,34,48,50,124,193,37,N/A,N/A,N/A,5,5,N/A,N/A,$44492,N/A,N/A,N/A,$52000,2167,$24,39,76.30%,3%,9%,10%,84,27 mins,5.40%,-1.10%,-5.80%,Schuylkill County,26.50%,69.40%,0.0%,0.2%,95.9%,2.9%,N/A,N/A,N/A,3.7,41.60%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-78400,1.83,N/A
Upper Mahantongo,Pennsylvania,650,44,Pottsville,140709,84,35,49,43,125,193,30,N/A,N/A,7,9,17,N/A,14.69%,$46458,N/A,N/A,N/A,N/A,N/A,N/A,65,68.80%,3%,9%,11%,81,30 mins,5.40%,-1.10%,-1.50%,Schuylkill County,26.50%,69.40%,0.0%,0.9%,97.4%,1.7%,N/A,N/A,N/A,3.7,38.30%,1,N/A,15,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-79120,14.77,N/A
Valley View (Schuylkill Cnty),Pennsylvania,1363,363,Pottsville,140709,83,35,48,46,122,192,31,N/A,N/A,N/A,12,22,37,15.13%,$58571,16.75%,$770,N/A,$204000,1316,$155,78,57.15%,-2%,6%,7%,80,26 mins,0.41%,-1.10%,-11.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.8%,0.0%,1.17%,N/A,N/A,3.7,51.50%,26,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-79680,3.75,64.94%
Walker township (Schuylkill Cnty),Pennsylvania,1120,49,Pottsville,140709,84,36,48,52,124,193,38,N/A,N/A,N/A,6,7,N/A,N/A,$60156,N/A,N/A,N/A,N/A,N/A,N/A,57,74.80%,3%,10%,10%,81,24 mins,5.40%,-1.10%,5.90%,Schuylkill County,26.50%,69.40%,0.0%,1.4%,96.0%,1.9%,N/A,N/A,N/A,3.7,46.00%,0,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-80576,22.86,N/A
Washington township (Schuylkill Cnty),Pennsylvania,2934,1005,Pottsville,140709,84,37,47,47,122,193,24,N/A,N/A,N/A,8,15,N/A,N/A,$60455,N/A,N/A,N/A,$190000,1242,$153,36,82.70%,3%,10%,10%,79,31 mins,5.40%,-1.10%,-1.20%,Schuylkill County,26.50%,69.40%,0.8%,2.3%,94.8%,1.6%,N/A,N/A,N/A,3.7,35.10%,1,N/A,9,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-81312,2.92,N/A
