City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Albin,Wyoming,183,1220,Cheyenne,100595,87,39,48,16,76,232,55,46.7,30.8,11,21,26,34,8.33%,$41250,29.3%,N/A,N/A,$108800,N/A,N/A,42,52.20%,7%,26%,33%,92,15 mins,3.60%,-2.10%,79.40%,Laramie County,28.20%,60.60%,0.0%,0.0%,49.7%,50.3%,22.9%,Mountain Standard Time,6115,4.7,46.80%,3,N/A,28,16.9%,143.88,0,2,0,N/A,N/A,WY-00825,0.15
Burns,Wyoming,453,149,Cheyenne,100595,87,39,48,16,75,232,49,46.2,30.2,11,17,21,54,13.45%,$42105,2.87%,N/A,N/A,$222900,N/A,N/A,62,62.70%,7%,25%,36%,92,15 mins,3.60%,-2.10%,9.50%,Laramie County,28.20%,60.60%,0.0%,0.0%,88.52%,0.0%,5.52%,Mountain Standard Time,6115,4.7,59.60%,11,N/A,29,19.5%,356.08,0,2,0,N/A,N/A,WY-11265,3.05
Carpenter,Wyoming,181,754,Cheyenne,100595,87,40,47,15,78,233,41,46.5,30.4,11,12,15,50,33.83%,$0,0.0%,N/A,N/A,$253600,N/A,N/A,40,64.30%,7%,26%,36%,92,15 mins,3.60%,-2.10%,63.40%,Laramie County,28.20%,60.60%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,6115,4.7,19.00%,0,N/A,N/A,11.9%,85.47,0,2,0,N/A,N/A,WY-12860,0.24
Cheyenne,Wyoming,64099,1987,Cheyenne,100595,84,39,45,17,92,236,58,44.7,29,11,15,47,38,32.18%,$68611,9.09%,N/A,N/A,$253900,N/A,N/A,45,60.40%,7%,27%,33%,72,14 mins,3.60%,-2.10%,8.70%,Laramie County,28.20%,60.60%,1.53%,1.68%,77.13%,15.88%,2.81%,Mountain Standard Time,6115,4.7,48.40%,37,N/A,51,18.3%,42.98,0,2,0,341,3099,WY-13900,32.26
Fox Farm-College,Wyoming,4105,1364,Cheyenne,100595,84,39,45,17,92,234,58,44.9,29.2,N/A,19,43,29,2.56%,$48254,17.42%,N/A,N/A,$33400,N/A,N/A,35,46.20%,7%,24%,33%,79,15 mins,3.60%,-2.10%,26.60%,Laramie County,28.20%,60.60%,0.0%,0.12%,72.42%,20.32%,5.94%,Mountain Standard Time,6115,4.7,69.20%,14,N/A,N/A,19.5%,0.00,0,2,0,N/A,N/A,WY-29300,3.01
Hillsdale,Wyoming,139,165,Cheyenne,100595,87,40,47,15,78,233,42,45.6,29.8,11,22,27,-666666666,N/A,$0,0.0%,N/A,N/A,$253600,N/A,N/A,40,0.56229,8%,25%,34%,92,15 mins,3.60%,-2.10%,100.00%,Laramie County,28.20%,60.60%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,6115,4.7,100.00%,6,N/A,23,N/A,0.00,0,2,0,N/A,N/A,WY-37510,0.84
Pine Bluffs,Wyoming,1409,355,Cheyenne,100595,88,40,48,18,78,234,62,47.2,30.9,11,19,23,39,22.56%,$56192,12.28%,N/A,N/A,$203000,N/A,N/A,44,56.70%,9%,22%,35%,92,15 mins,3.60%,-2.10%,7.00%,Laramie County,28.20%,60.60%,0.0%,0.0%,76.72%,23.28%,5.39%,Mountain Standard Time,6115,4.7,45.10%,40,N/A,N/A,14.9%,20.12,N/A,2,0,170,427,WY-61435,3.97
Ranchettes,Wyoming,6384,130,Cheyenne,100595,84,39,45,17,92,234,59,44.9,29.2,N/A,9,20,50,40.04%,$106513,2.75%,N/A,N/A,$458200,N/A,N/A,28,88.40%,8%,25%,35%,87,15 mins,3.60%,-2.10%,7.40%,Laramie County,28.20%,60.60%,0.72%,0.14%,83.44%,12.41%,1.83%,Mountain Standard Time,6115,4.7,30.40%,0,N/A,36,16.3%,0.00,N/A,1,0,N/A,N/A,WY-63800,48.96
South Greeley,Wyoming,4473,2678,Cheyenne,100595,84,39,45,17,92,230,58,44.9,29.2,N/A,16,35,33,9.54%,$46548,16.21%,N/A,N/A,$67200,N/A,N/A,34,66.40%,7%,26%,35%,81,15 mins,3.60%,-2.10%,-6.90%,Laramie County,28.20%,60.60%,0.47%,1.56%,74.51%,21.28%,3.02%,Mountain Standard Time,6115,4.7,50.90%,16,N/A,53,19.5%,0.00,0,2,0,N/A,N/A,WY-71800,1.67
Warren AFB,Wyoming,2208,459,Cheyenne,100595,84,39,45,17,92,234,58,44.7,29,N/A,15,19,21,46.61%,$46689,0%,N/A,N/A,$250900,N/A,N/A,30,1.00%,8%,26%,34%,90,15 mins,3.60%,-2.10%,-23.60%,Laramie County,28.20%,60.60%,2.9%,5.0%,67.1%,18.1%,3.3%,Mountain Standard Time,6115,4.7,46.20%,16,N/A,32,N/A,0.00,0,2,0,N/A,N/A,N/A,4.81
