City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Keedysville,Maryland,1243,1366,Hagerstown-Martinsburg,291560,$143611,40.84%,39,$460000,2911,$158,18,94.91%,$1556,34.66%,N/A,N/A,2.11%,3.97%,65.79%,Washington County,32.00%,62.10%,1.53%,0.0%,90.83%,1.37%,3.22%,Eastern Standard Time,87,42,45,63,22,53%,53%,43,63,90,55%,61%,52%,44.86,12.33,9.28,37.42%,39.01%,35.67%,35.0,10,7.2,26.6,72,366,3.9,0.91,MD-43100,39.4866902,-77.697973
Kemps Mill,Maryland,62,238,Hagerstown-Martinsburg,291560,N/A,55.56%,65,N/A,N/A,N/A,82,0.0%,N/A,27.78%,N/A,N/A,0.0%,0.0%,12.96%,Washington County,32.00%,62.10%,12.9%,0.0%,87.1%,0.0%,12.9%,Eastern Standard Time,87,40,47,67,23,53%,53%,41,62,90,55%,61%,52%,42.36,11.72,8.78,37.42%,39.01%,35.67%,35.0,10,7.2,30.2,55,330,3.9,0.26,MD-43280,39.6268699,-77.8139015
Leitersburg,Maryland,351,201,Hagerstown-Martinsburg,291560,N/A,14.86%,50,N/A,N/A,N/A,29,79.51%,N/A,57.45%,N/A,N/A,25.93%,0.0%,49.09%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,2.56%,Eastern Standard Time,85,39,46,63,22,53%,53%,41,62,87,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,30.2,76,612,3.9,1.75,MD-46400,39.6928059,-77.6206415
Mapleville,Maryland,440,1100,Hagerstown-Martinsburg,291560,N/A,3.46%,46,N/A,N/A,N/A,74,50.97%,N/A,27.73%,N/A,N/A,16.36%,0.0%,61.82%,Washington County,32.00%,62.10%,2.5%,0.0%,97.5%,0.0%,2.5%,Eastern Standard Time,87,40,47,67,23,53%,53%,43,63,90,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,72,486,3.9,0.4,MD-50375,39.5357022,-77.6462439
Maugansville,Maryland,3057,1248,Hagerstown-Martinsburg,291560,$75840,20.3%,45,$450000,2261,$199,34,79.17%,$899,48.99%,N/A,N/A,8.64%,4.79%,56.31%,Washington County,32.00%,62.10%,6.25%,8.47%,83.35%,1.54%,8.57%,Eastern Standard Time,88,41,47,68,25,53%,53%,41,62,92,55%,61%,52%,35.87,10.21,7.3,34.08%,36.15%,31.78%,35.0,10,7.2,30.2,69,639,3.9,2.45,MD-51425,39.6936819,-77.7471503
Mercersville,Maryland,233,728,Hagerstown-Martinsburg,291560,$51333,20.87%,59,N/A,N/A,N/A,45,98.4%,N/A,14.08%,N/A,N/A,0.0%,0.0%,41.75%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,42,45,63,22,53%,53%,43,63,90,55%,61%,52%,44.86,12.33,9.28,37.42%,39.01%,35.67%,35.0,10,7.2,26.6,69,366,3.9,0.32,MD-51945,39.4992177,-77.7658253
Middleburg,Maryland,16,160,Hagerstown-Martinsburg,291560,N/A,N/A,N/A,$221000,1122,$197,N/A,0.0%,N/A,0.0%,N/A,N/A,0.0%,0.0%,0.0%,Washington County,32.00%,62.10%,0.0%,0.0%,0.0%,0.0%,0.0%,Eastern Standard Time,88,41,47,68,25,53%,53%,41,62,92,55%,61%,52%,35.87,10.21,7.3,34.08%,36.15%,31.78%,35.0,10,7.2,30.2,67,639,3.9,0.1,MD-52225,39.7176801,-77.7238782
Mount Aetna,Maryland,581,412,Hagerstown-Martinsburg,291560,$120417,62.57%,48,$460000,2347,$196,35,82.28%,$1184,36.94%,N/A,N/A,4.51%,1.08%,75.31%,Washington County,32.00%,62.10%,0.0%,3.1%,65.92%,24.27%,9.64%,Eastern Standard Time,85,39,46,63,22,53%,53%,43,63,87,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,70,612,3.9,1.41,MD-53750,39.59888,-77.6127684
Mount Briar,Maryland,115,185,Hagerstown-Martinsburg,291560,N/A,36.78%,47,N/A,N/A,N/A,82,88.89%,N/A,12.64%,N/A,N/A,7.83%,0.0%,77.01%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,42,45,63,22,53%,53%,43,63,90,55%,61%,52%,44.86,12.33,9.28,37.42%,39.01%,35.67%,32.6,13,7.2,26.6,72,366,3.9,0.62,MD-53925,39.4425714,-77.6873467
Mount Lena,Maryland,380,304,Hagerstown-Martinsburg,291560,$43523,10.0%,55,N/A,N/A,N/A,44,75.77%,N/A,21.64%,N/A,N/A,15.53%,0.0%,48.99%,Washington County,32.00%,62.10%,0.0%,0.0%,77.63%,19.47%,2.11%,Eastern Standard Time,87,40,47,67,23,53%,53%,43,63,90,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,70,486,3.9,1.25,MD-54125,39.5540291,-77.6218915
Paramount-Long Meadow,Maryland,2660,1220,Hagerstown-Martinsburg,291560,$101763,44.95%,43,$399000,2306,$173,29,86.14%,$1421,36.68%,N/A,N/A,1.63%,4.06%,64.23%,Washington County,32.00%,62.10%,0.3%,4.32%,85.0%,5.56%,2.44%,Eastern Standard Time,87,40,47,67,23,53%,53%,41,62,90,55%,61%,52%,44.71,11.96,9.56,34.08%,36.15%,31.78%,35.0,10,7.2,30.2,70,480,3.9,2.18,MD-59787,39.6797719,-77.6921086
Pecktonville,Maryland,132,224,Hagerstown-Martinsburg,291560,N/A,6.06%,53,$50000,588,$85,64,75.96%,N/A,29.55%,N/A,N/A,70.45%,0.0%,12.88%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,42,46,64,23,53%,53%,41,62,92,55%,61%,52%,43.89,12.46,9.15,37.42%,39.01%,35.67%,25.4,9,7.2,30.2,74,447,3.9,0.59,MD-60770,39.6659713,-78.0481842
