City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Bristol,Rhode Island,22318,2273,Providence-Warwick,1623890,$60988,41.09%,N/A,$500000,1792,$279,53,59.60%,N/A,54.30%,72,466,N/A,3.10%,N/A,Bristol County,57.30%,35.20%,1.6%,2.3%,92.1%,3.2%,N/A,Eastern Standard Time,N/A,N/A,N/A,51.08,127,32,7.8,73,51,3.6,9.82,RI-09460,41.6761682,-71.273304,57%,61%,55%,55%,56%,19.7,39,59,N/A,N/A,11.7,13.86
Warren,Rhode Island,10492,1714,Providence-Warwick,1623890,$53706,36.17%,N/A,$615000,2375,$259,59,49.30%,N/A,55.30%,172,1276,N/A,3.50%,N/A,Bristol County,57.30%,35.20%,0.2%,0.2%,96.5%,1.8%,N/A,Eastern Standard Time,N/A,N/A,N/A,50.22,124,33,7.8,67,51,3.6,6.12,RI-73760,41.7241895,-71.2577304,57%,61%,55%,55%,56%,19.7,39,59,N/A,N/A,11.57,12.8
