City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year
Dunn (Dane Cnty),Wisconsin,5195,186,Madison,670447,$72666,N/A,N/A,N/A,N/A,N/A,40,78.50%,N/A,33.50%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.1%,1.0%,94.1%,2.7%,N/A,Central Standard Time,82,27,55,36,113,42,8.1,76,863,3.3,27.93,WI-21125,42.9733971,-89.3091575,52%,64%,45%,60%,57%,40.5
Fitchburg,Wisconsin,30032,860,Madison,670447,$76240,56.82%,34,$396000,1980,$200,27,55.0%,$1098,53.87%,301,1714,11.12%,2.06%,70.38%,Dane County,70.40%,23.00%,4.92%,8.17%,67.56%,15.45%,11.32%,Central Standard Time,82,27,55,36,114,44,8.1,66,863,3.3,34.92,WI-25950,42.9858664,-89.4255059,52%,64%,45%,60%,57%,40.5
Madison,Wisconsin,248856,3128,Madison,670447,$53933,57.87%,N/A,$361000,1619,$223,41,45.00%,$1364,61.20%,359,2474,7.4%,2.50%,N/A,Dane County,70.40%,23.00%,8.7%,6.4%,74.5%,7.0%,12%,Central Standard Time,82,27,55,36,115,42,8.1,55,863,3.3,79.57,WI-48025,43.0412076,-89.3918681,52%,64%,45%,60%,57%,40.5
Madison town,Wisconsin,6829,86,Madison,670447,$30227,N/A,N/A,$361000,1619,$223,41,25.70%,N/A,70.50%,359,2474,N/A,2.60%,N/A,Dane County,70.40%,23.00%,3.9%,15.4%,47.2%,28.5%,N/A,Central Standard Time,82,27,55,36,116,42,8.1,62,863,3.3,79.57,WI-48025,43.0412076,-89.3918681,52%,64%,45%,60%,57%,40.5
Maple Bluff,Wisconsin,1288,1840,Madison,670447,$157917,76.91%,46,$665000,2866,$232,67,93.4%,$971,31.97%,0,758,0.62%,1.37%,64.47%,Dane County,70.40%,23.00%,0.0%,0.0%,90.92%,8.62%,2.1%,Central Standard Time,82,27,55,36,116,42,8.1,61,863,3.3,0.7,WI-48750,43.1131115,-89.3718065,52%,64%,45%,60%,57%,40.5
Mazomanie,Wisconsin,1085,616,Madison,670447,$70400,27.76%,N/A,$230000,1620,$142,39,82.60%,N/A,39.20%,N/A,N/A,8.9%,2.60%,N/A,Dane County,70.40%,23.00%,1.1%,0.4%,93.5%,2.3%,1.5%,Central Standard Time,83,28,55,35,110,44,8.1,80,863,3.3,1.76,WI-50250,43.2034528,-89.7722157,52%,64%,45%,60%,57%,40.5
McFarland,Wisconsin,8845,1858,Madison,670447,$82583,42.0%,41,$490000,2450,$200,34,75.88%,$1185,47.17%,55,580,1.98%,3.87%,75.35%,Dane County,70.40%,23.00%,2.33%,2.97%,91.81%,1.45%,3.2%,Central Standard Time,82,27,55,36,114,41,8.1,70,863,3.3,4.76,WI-46850,43.0202365,-89.2829327,52%,64%,45%,60%,57%,40.5
Medina,Wisconsin,1263,38,Madison,670447,$72692,23.93%,N/A,N/A,N/A,N/A,41,77.50%,N/A,33.00%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.0%,2.5%,89.6%,5.2%,N/A,Central Standard Time,82,27,55,35,117,43,8.1,80,863,3.3,33.24,WI-50475,43.1514103,-89.0696492,52%,64%,45%,60%,57%,40.5
Middleton,Wisconsin,18951,2120,Madison,670447,$62238,61.97%,N/A,$485000,2215,$219,36,50.60%,$1189,47.90%,59,1335,4.6%,2.60%,N/A,Dane County,70.40%,23.00%,4.5%,6.7%,80.6%,4.5%,9.3%,Central Standard Time,82,27,55,36,116,43,8.1,69,863,3.3,8.94,WI-51600,43.0776634,-89.5729514,52%,64%,45%,60%,57%,40.5
Middleton town,Wisconsin,6172,690,Madison,670447,$126755,N/A,N/A,$485000,2215,$219,26,100.00%,N/A,22.40%,59,1335,N/A,2.60%,N/A,Dane County,70.40%,23.00%,9.3%,0.4%,87.2%,1.5%,N/A,Central Standard Time,82,27,55,37,112,44,8.1,79,863,3.3,8.94,WI-51600,43.0776634,-89.5729514,52%,64%,45%,60%,57%,40.5
Monona,Wisconsin,8141,2497,Madison,670447,$76719,54.17%,45,$401000,1610,$249,59,68.47%,$961,45.88%,111,7698,6.05%,1.62%,62.55%,Dane County,70.40%,23.00%,1.81%,1.62%,89.78%,4.46%,3.78%,Central Standard Time,82,27,55,36,116,42,8.1,62,863,3.3,3.26,WI-53675,43.0540078,-89.3334476,52%,64%,45%,60%,57%,40.5
Montrose,Wisconsin,1198,35,Madison,670447,$71667,41.41%,N/A,N/A,N/A,N/A,38,71.50%,N/A,28.50%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.4%,0.3%,90.8%,5.8%,N/A,Central Standard Time,83,27,56,37,110,37,8.1,82,863,3.3,34.23,WI-54100,42.9021034,-89.5443716,52%,64%,45%,60%,57%,40.5
Mount Horeb,Wisconsin,7494,2320,Madison,670447,$81297,47.02%,36,$520000,2766,$188,30,70.1%,$1036,42.15%,93,307,3.69%,1.06%,78.37%,Dane County,70.40%,23.00%,1.0%,1.99%,86.82%,4.6%,1.13%,Central Standard Time,82,27,55,37,107,41,8.1,79,863,3.3,3.23,WI-54725,43.006002,-89.7317037,52%,64%,45%,60%,57%,40.5
Oregon,Wisconsin,3295,734,Madison,670447,$103750,51.41%,N/A,$375000,2155,$174,33,92.20%,$1011,28.40%,74,496,2.2%,2.60%,N/A,Dane County,70.40%,23.00%,0.4%,0.5%,95.8%,0.3%,1.9%,Central Standard Time,83,27,56,36,111,40,8.1,79,863,3.3,4.49,WI-60225,42.8963271,-89.4330878,52%,64%,45%,60%,57%,40.5
Perry,Wisconsin,892,25,Madison,670447,$76125,38.40%,N/A,N/A,N/A,N/A,73,86.10%,N/A,41.90%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.0%,2.4%,89.1%,8.5%,N/A,Central Standard Time,82,27,55,37,106,41,8.1,82,863,3.3,35.68,WI-62050,42.9011012,-89.7792506,52%,64%,45%,60%,57%,40.5
Pleasant Springs,Wisconsin,3340,103,Madison,670447,$90815,45.50%,N/A,N/A,N/A,N/A,42,86.20%,N/A,36.20%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,1.9%,0.5%,94.4%,1.4%,N/A,Central Standard Time,82,27,55,36,111,41,8.1,73,863,3.3,32.43,WI-63375,42.9784808,-89.1886187,52%,64%,45%,60%,57%,40.5
Primrose,Wisconsin,699,20,Madison,670447,$67500,29.47%,N/A,N/A,N/A,N/A,42,81.80%,N/A,28.00%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.0%,0.0%,96.0%,3.4%,N/A,Central Standard Time,82,27,55,37,108,39,8.1,82,863,3.3,34.95,WI-65575,42.9010508,-89.6614879,52%,64%,45%,60%,57%,40.5
Rockdale,Wisconsin,210,750,Madison,670447,$61094,29.17%,39,$438000,2940,$149,70,69.52%,$868,51.23%,N/A,N/A,9.05%,0.93%,69.93%,Dane County,70.40%,23.00%,0.48%,0.0%,88.57%,1.43%,0.48%,Central Standard Time,82,27,55,35,112,38,8.1,77,863,3.3,0.28,WI-68725,42.9717151,-89.0317542,52%,64%,45%,60%,57%,40.5
Roxbury,Wisconsin,1909,56,Madison,670447,$75893,32.45%,N/A,N/A,N/A,N/A,37,77.10%,N/A,31.50%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.5%,0.2%,97.3%,1.8%,N/A,Central Standard Time,83,28,55,35,112,41,8.1,82,863,3.3,34.09,WI-69850,43.2492612,-89.6596408,52%,64%,45%,60%,57%,40.5
Rutland,Wisconsin,1939,56,Madison,670447,$85547,37.50%,N/A,N/A,N/A,N/A,40,89.50%,N/A,33.10%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,1.0%,0.2%,93.3%,3.7%,N/A,Central Standard Time,83,27,56,36,111,40,8.1,79,863,3.3,34.63,WI-70400,42.8887542,-89.3094695,52%,64%,45%,60%,57%,40.5
