City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Andover,Vermont,534,19,Claremont-Lebanon,228819,$46304,40.81%,N/A,N/A,N/A,N/A,37,38.70%,N/A,41.40%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,76,28,48,50.64,73.4,6.0,89,1578,3.3,28.11,VT-01300,43.2863686,-72.7228999,55%,62%,53%,53%,51%,17.7,35,57,58,9,14.35,12.54,40.44%,49.23%,37.11%,33,76
Ascutney,Vermont,380,225,Claremont-Lebanon,228819,$53056,15.73%,58,$175000,2397,$73,54,97.89%,N/A,61.49%,N/A,N/A,15.58%,10.37%,45.0%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,84,31,53,44.81,68.9,6.0,84,513,3.3,1.69,VT-01750,43.4080052,-72.4068432,55%,62%,53%,53%,51%,17.7,35,57,58,11,12.86,9.84,33.51%,36.48%,31.89%,27,85
Baltimore,Vermont,282,61,Claremont-Lebanon,228819,$75625,15.76%,N/A,N/A,N/A,N/A,42,85.70%,N/A,41.80%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,83,31,52,41.18,68.9,6.0,90,528,3.3,4.62,VT-02575,43.3596264,-72.5659379,55%,62%,53%,53%,51%,17.7,35,57,59,12,11.99,8.8,40.44%,49.23%,37.11%,27,84
Barnard,Vermont,760,16,Claremont-Lebanon,228819,$59476,41.63%,N/A,N/A,N/A,N/A,35,44.40%,N/A,34.10%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,82,31,51,46.7,84.9,8.2,89,1449,3.3,47.5,VT-02725,43.7294189,-72.6246918,49%,60%,42%,58%,54%,23.6,35,57,58,9,13.98,10.04,41.32%,44.18%,43.11%,34,83
Bethel,Vermont,891,466,Claremont-Lebanon,228819,$51471,8.92%,27,$214000,829,$258,54,60.72%,$779,69.66%,N/A,N/A,13.73%,17.5%,69.18%,Windsor County,58.70%,28.80%,0.34%,1.46%,89.11%,2.24%,0.0%,N/A,80,30,50,48.23,84.9,8.2,90,1854,3.3,1.91,VT-05725,43.8293735,-72.6353824,49%,60%,42%,58%,54%,23.6,35,57,56,10,14.66,10.17,41.32%,44.18%,43.11%,34,81
Bridgewater,Vermont,898,18,Claremont-Lebanon,228819,$65000,29.20%,N/A,N/A,N/A,N/A,48,52.70%,N/A,33.60%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,82,31,51,45.66,73.4,6.0,91,549,3.3,49.89,VT-08275,43.6252692,-72.666772,55%,62%,53%,53%,51%,17.7,35,57,58,9,13.76,9.84,40.0%,40.44%,43.0%,33,83
Cavendish,Vermont,184,222,Claremont-Lebanon,228819,$49565,21.01%,41,N/A,N/A,N/A,37,68.48%,$1318,38.96%,N/A,N/A,3.8%,10.26%,75.97%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,83,31,52,46.66,68.9,6.0,90,888,3.3,0.83,VT-12175,43.3853834,-72.6062919,55%,62%,53%,53%,51%,17.7,35,57,59,12,13.47,10.45,40.44%,49.23%,37.11%,27,84
Chester,Vermont,1023,639,Claremont-Lebanon,228819,$58462,44.6%,55,$287000,1761,$163,44,73.02%,$842,25.09%,99,931,2.93%,0.0%,57.83%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,9.68%,N/A,83,31,52,41.18,68.9,6.0,89,528,3.3,1.6,VT-13600,43.2650996,-72.592715,55%,62%,53%,53%,51%,17.7,35,57,59,12,11.99,8.8,40.44%,49.23%,37.11%,27,84
Hartford,Vermont,334,285,Claremont-Lebanon,228819,$46150,54.33%,38,$350000,1259,$278,41,51.5%,$1092,46.06%,261,1327,6.59%,2.96%,79.92%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,21.86%,N/A,84,32,52,40.34,68.9,6.0,68,546,3.3,1.17,VT-32205,43.6638102,-72.3364955,55%,62%,53%,53%,51%,17.7,35,57,59,11,13.18,7.66,40.99%,46.59%,37.67%,27,85
Hartland,Vermont,537,493,Claremont-Lebanon,228819,$53631,5.94%,38,$369000,1932,$191,42,74.3%,$929,39.95%,N/A,N/A,19.37%,9.49%,59.11%,Windsor County,58.70%,28.80%,2.05%,0.74%,90.32%,0.0%,16.76%,N/A,81,29,52,40.34,68.9,6.0,85,522,3.3,1.09,VT-32350,43.5423345,-72.4000705,55%,62%,53%,53%,51%,17.7,35,57,58,10,13.18,7.66,40.99%,46.59%,37.67%,27,82
Ludlow,Vermont,646,482,Claremont-Lebanon,228819,$41339,25.7%,53,$678000,1863,$364,79,45.66%,$856,70.03%,160,641,18.07%,4.21%,58.94%,Windsor County,58.70%,28.80%,0.62%,0.15%,95.51%,0.31%,4.49%,N/A,83,31,52,46.66,73.4,6.0,91,888,3.3,1.34,VT-41200,43.3972429,-72.6969261,55%,62%,53%,53%,51%,17.7,35,57,59,12,13.47,10.45,40.44%,49.23%,37.11%,33,84
