City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Auberry,California,3321,72,Fresno,844213,$67092,19.03%,49,$265000,1113,$238,39,80.21%,$1158,33.74%,N/A,N/A,9.74%,5.7%,47.57%,Fresno County,49.20%,43.20%,0.6%,0.9%,77.02%,10.48%,1.2%,Pacific Standard Time,96,54,42,22.65,0.0,6.0,76,1911,5.3,46.43,CA-03190,37.0852442,-119.4493961,76%,95%,49%,40%,22%,5.8,46,52,69,37,0.26,12.32,13.7%,1.43%,26.22%,0
Big Creek,California,159,346,Fresno,844213,$63250,36.67%,33,N/A,N/A,N/A,18,24.53%,$1021,21.36%,N/A,N/A,22.01%,21.74%,46.46%,Fresno County,49.20%,43.20%,0.0%,0.0%,82.39%,3.14%,0.0%,Pacific Standard Time,96,54,42,22.65,0.0,6.0,83,1911,5.3,0.46,CA-06518,37.2035645,-119.2484884,76%,95%,49%,40%,22%,5.8,46,52,69,37,0.26,12.32,13.7%,1.43%,26.22%,0
Biola,California,1440,2215,Fresno,844213,$54375,12.73%,23,N/A,N/A,N/A,19,47.01%,$1044,57.77%,N/A,N/A,38.33%,18.29%,73.22%,Fresno County,49.20%,43.20%,13.47%,3.82%,0.97%,82.71%,30.56%,Pacific Standard Time,97,56,41,8.91,0.0,6.0,63,246,5.3,0.65,CA-06728,36.7999381,-120.0210374,76%,95%,49%,40%,22%,5.8,46,52,65,37,0.11,5.0,13.56%,0.88%,27.11%,0
Bowles,California,287,755,Fresno,844213,$31250,18.75%,45,N/A,N/A,N/A,46,42.31%,$950,64.62%,N/A,N/A,53.42%,7.41%,43.55%,Fresno County,49.20%,43.20%,0.0%,0.0%,39.02%,57.49%,6.97%,Pacific Standard Time,103,61,42,10.07,0.0,6.0,54,309,5.3,0.38,CA-07750,36.6088739,-119.7525639,76%,95%,49%,40%,22%,5.8,46,52,68,38,0.13,5.0,11.97%,0.99%,23.33%,0
Calwa,California,2363,4146,Fresno,844213,$45458,0.0%,24,N/A,N/A,N/A,56,36.73%,$842,58.8%,N/A,N/A,35.72%,21.09%,62.89%,Fresno County,49.20%,43.20%,5.33%,5.5%,3.3%,89.8%,27.47%,Pacific Standard Time,103,61,42,10.07,0.0,6.0,35,309,5.3,0.57,CA-10032,36.7135698,-119.7607535,76%,95%,49%,40%,22%,5.8,46,52,68,38,0.13,5.0,11.97%,0.99%,23.33%,0
Cantua Creek,California,376,99,Fresno,844213,$36694,0.0%,32,N/A,N/A,N/A,30,26.09%,$576,29.41%,N/A,N/A,45.21%,0.0%,51.26%,Fresno County,49.20%,43.20%,0.0%,0.0%,0.53%,99.47%,44.95%,Pacific Standard Time,101,59,42,9.25,0.0,6.0,74,261,5.3,3.8,CA-10816,36.5000454,-120.3163613,76%,95%,49%,40%,22%,5.8,46,52,64,38,0.12,4.8,13.12%,0.88%,31.0%,0
Caruthers,California,2245,1111,Fresno,844213,$55357,17.48%,32,$300000,1648,$182,50,75.46%,$1050,47.91%,N/A,N/A,16.85%,10.41%,50.84%,Fresno County,49.20%,43.20%,2.58%,1.02%,25.79%,69.35%,25.79%,Pacific Standard Time,100,58,42,9.25,0.0,6.0,64,168,5.3,2.02,CA-11614,36.5399068,-119.8450271,76%,95%,49%,40%,22%,5.8,46,52,63,36,0.12,4.8,13.12%,0.88%,31.0%,0
Centerville,California,314,39,Fresno,844213,$85469,3.63%,39,N/A,N/A,N/A,53,47.45%,$851,57.14%,N/A,N/A,7.64%,11.76%,41.18%,Fresno County,49.20%,43.20%,1.27%,0.0%,65.29%,31.21%,26.43%,Pacific Standard Time,103,61,42,10.07,0.0,6.0,65,309,5.3,8.11,CA-12412,36.7361167,-119.496003,76%,95%,49%,40%,22%,5.8,46,52,68,38,0.13,5.0,11.97%,0.99%,23.33%,0
Clovis,California,112663,4432,Fresno,844213,$84119,34.52%,35,$450000,1737,$259,28,66.86%,$1247,46.52%,212,1993,8.84%,6.25%,66.1%,Fresno County,49.20%,43.20%,10.91%,2.72%,49.54%,32.68%,12.94%,Pacific Standard Time,99,56,43,13.58,0.0,6.0,48,348,5.3,25.42,CA-14218,36.8278255,-119.6830311,76%,95%,49%,40%,22%,5.8,46,52,70,40,0.26,6.53,11.97%,0.99%,23.33%,0
Coalinga,California,17252,2519,Fresno,844213,$62420,12.59%,34,$285000,1500,$190,35,63.54%,$851,58.59%,250,1326,18.91%,9.62%,44.49%,Fresno County,49.20%,43.20%,1.9%,2.87%,28.15%,61.96%,21.61%,Pacific Standard Time,102,61,41,8.65,0.0,6.0,78,612,5.3,6.85,CA-14274,36.1455444,-120.354653,76%,95%,49%,40%,22%,5.8,46,52,70,38,0.29,4.92,13.12%,0.88%,31.0%,0
