City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Crofton,Kentucky,434,678,Clarksville,314364,$28750,8.78%,53,$125000,1116,$112,50,71.2%,$319,48.79%,N/A,N/A,26.28%,2.84%,47.44%,Christian County,32.50%,63.90%,0.0%,13.59%,81.11%,0.46%,0.46%,Central Standard Time,N/A,N/A,N/A,N/A,117,9.3,6.9,73,605,4.5,0.64,KY-18658,37.0477825,-87.4843248,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
Fairview CDP,Kentucky,235,194,Clarksville,314364,$74821,0.0%,15,N/A,N/A,N/A,44,100.0%,N/A,19.47%,N/A,N/A,0.0%,0.0%,41.59%,Christian County,32.50%,63.90%,0.0%,11.06%,88.94%,0.0%,0.0%,Central Standard Time,N/A,N/A,N/A,N/A,117,9.3,6.9,70,605,4.5,1.21,KY-26182,36.8425543,-87.3052307,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
Fort Campbell North,Kentucky,14363,1684,Clarksville,314364,$40151,21.91%,22,N/A,N/A,N/A,41,0.68%,$1233,48.41%,N/A,N/A,11.0%,18.38%,83.72%,Christian County,32.50%,63.90%,3.5%,16.36%,54.38%,21.6%,6.52%,Central Standard Time,N/A,N/A,N/A,N/A,119,9.3,6.9,64,605,4.5,8.53,KY-28486,36.663198,-87.476483,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
Gracey,Kentucky,71,296,Clarksville,314364,$0,0.0%,40,N/A,N/A,N/A,40,49.3%,N/A,69.01%,N/A,N/A,0.0%,0.0%,28.17%,Christian County,32.50%,63.90%,0.0%,0.0%,77.46%,22.54%,0.0%,Central Standard Time,N/A,N/A,N/A,N/A,111,9.3,6.9,71,605,4.5,0.24,KY-32032,36.8791859,-87.6638503,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
Hopkinsville,Kentucky,31052,976,Clarksville,314364,$39743,19.51%,37,$210000,1533,$137,44,46.86%,$729,57.67%,291,3505,23.05%,7.67%,52.49%,Christian County,32.50%,63.90%,1.82%,28.66%,61.28%,2.86%,2.46%,Central Standard Time,N/A,N/A,N/A,N/A,112,9.3,6.9,59,605,4.5,31.83,KY-37918,36.8381865,-87.4776114,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
LaFayette,Kentucky,168,646,Clarksville,314364,$35000,5.8%,54,N/A,N/A,N/A,54,64.29%,$850,59.18%,N/A,N/A,14.88%,0.0%,72.6%,Christian County,32.50%,63.90%,0.0%,5.95%,89.29%,2.38%,0.6%,Central Standard Time,N/A,N/A,N/A,N/A,108,9.3,6.9,68,605,4.5,0.26,KY-43444,36.6598738,-87.6583874,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
Oak Grove,Kentucky,7332,685,Clarksville,314364,$39219,12.21%,26,$176000,1100,$160,22,26.61%,$912,50.73%,326,4239,17.65%,10.05%,75.28%,Christian County,32.50%,63.90%,0.49%,31.18%,49.4%,15.3%,1.21%,Central Standard Time,N/A,N/A,N/A,N/A,119,9.3,6.9,58,605,4.5,10.71,KY-57090,36.6685989,-87.4216241,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
Pembroke,Kentucky,725,653,Clarksville,314364,$56964,20.11%,38,$400000,3008,$133,37,76.16%,$549,38.88%,111,447,5.85%,4.13%,54.67%,Christian County,32.50%,63.90%,4.14%,9.24%,80.69%,3.03%,1.66%,Central Standard Time,N/A,N/A,N/A,N/A,118,9.3,6.9,69,605,4.5,1.11,KY-59934,36.7751819,-87.3579418,64%,77%,54%,58%,57%,42.8,45,65,N/A,N/A,N/A,N/A
