City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Cass township (Ohio Cnty),Indiana,796,43,Cincinnati,2232907,$60104,N/A,N/A,N/A,N/A,N/A,26,87.80%,N/A,29.80%,N/A,N/A,N/A,3.30%,N/A,Ohio County,23.50%,72.50%,1.1%,0.0%,96.4%,0.0%,N/A,Eastern Standard Time,86,43,43,44,114,15,8.3,74,550,3.6,18.51,IN-10738,38.929235,-84.9926315,55%,65%,46%,59%,56%,45.1,45,65
Pike township (Ohio Cnty),Indiana,401,21,Cincinnati,2232907,$51625,N/A,N/A,N/A,N/A,N/A,25,67.90%,N/A,26.70%,N/A,N/A,N/A,3.30%,N/A,Ohio County,23.50%,72.50%,1.7%,0.0%,98.3%,0.0%,N/A,Eastern Standard Time,86,43,43,45,111,15,8.3,74,550,3.6,19.1,IN-59760,38.9308814,-85.0786544,55%,65%,46%,59%,56%,45.1,45,65
Randolph township (Ohio Cnty),Indiana,4212,113,Cincinnati,2232907,$43869,N/A,N/A,N/A,N/A,N/A,44,65.60%,N/A,39.00%,N/A,N/A,N/A,3.30%,N/A,Ohio County,23.50%,72.50%,0.1%,1.8%,96.3%,1.4%,N/A,Eastern Standard Time,85,40,45,44,115,15,8.3,70,550,3.6,37.27,IN-62928,38.9610457,-84.8947201,53%,66%,41%,59%,56%,38.6,41,61
Rising Sun,Indiana,2108,1405,Cincinnati,2232907,$41000,16.92%,51,$186000,1265,$147,50,68.56%,$598,50.23%,N/A,N/A,19.6%,1.64%,52.29%,Ohio County,23.50%,72.50%,0.14%,1.47%,91.79%,3.8%,1.66%,Eastern Standard Time,86,40,46,44,115,15,8.3,69,550,3.6,1.5,IN-64674,38.9531094,-84.8543474,53%,66%,41%,59%,56%,38.6,41,61
Union township (Ohio Cnty),Indiana,502,222,Cincinnati,2232907,$51563,N/A,N/A,N/A,N/A,N/A,39,70.30%,N/A,33.20%,N/A,N/A,N/A,3.30%,N/A,Ohio County,23.50%,72.50%,0.0%,0.0%,100.0%,0.0%,N/A,Eastern Standard Time,86,43,43,45,112,16,8.3,74,550,3.6,2.26,IN-77498,38.9780472,-84.9710303,55%,65%,46%,59%,56%,45.1,45,65
