City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Ashippun,Wisconsin,1027,997,Beaver Dam,100249,$91186,18.37%,41,$359000,2720,$132,25,81.99%,$1063,37.0%,N/A,N/A,5.39%,3.67%,78.04%,Dodge County,32.40%,61.80%,0.0%,0.58%,96.3%,1.66%,0.39%,N/A,83,28,55,38.77,50.9,8.1,84,840,3.6,1.03,WI-03175,43.2182129,-88.515942,53%,66%,44%,63%,61%,34.2,37,58,62,12,13.57,5.93,36.08%,34.95%,37.11%,32,86
Beaver Dam,Wisconsin,16346,2236,Beaver Dam,100249,$45840,19.78%,N/A,$210000,1579,$133,56,50.80%,N/A,54.20%,164,1587,8.7%,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,2.98%,N/A,7.40%,2.4%,N/A,81,25,56,39.1,55.1,8.1,70,786,3.6,7.31,WI-05925,43.4407699,-88.8177494,52%,64%,45%,60%,57%,40.5,37,58,60,9,14.06,5.1,34.14%,34.73%,33.89%,34,83
Beaver Dam town,Wisconsin,3909,535,Beaver Dam,100249,$65755,N/A,N/A,$210000,1579,$133,37,85.60%,N/A,40.50%,164,1587,N/A,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,N/A,N/A,3.50%,N/A,N/A,81,25,56,39.1,55.1,8.1,82,786,3.6,7.31,WI-05925,43.4407699,-88.8177494,52%,64%,45%,60%,57%,40.5,37,58,60,9,14.06,5.1,34.14%,34.73%,33.89%,34,83
Brownsville,Wisconsin,692,1134,Beaver Dam,100249,$80893,22.27%,44,$427000,2083,$205,53,81.5%,$837,33.86%,0,349,3.91%,9.47%,77.46%,Dodge County,32.40%,61.80%,1.73%,0.0%,94.08%,5.35%,4.19%,N/A,82,27,55,35.07,41.0,8.1,83,705,3.6,0.61,WI-10450,43.6146075,-88.4952153,53%,66%,44%,63%,61%,34.2,37,58,64,13,12.39,4.77,31.45%,34.29%,24.89%,24,85
Burnett,Wisconsin,327,1308,Beaver Dam,100249,$68333,22.86%,42,N/A,N/A,N/A,67,93.58%,$581,63.0%,N/A,N/A,1.83%,17.9%,76.33%,Dodge County,32.40%,61.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,81,26,55,38.13,41.0,8.1,85,807,3.6,0.25,WI-11250,43.5064962,-88.7084406,52%,64%,45%,60%,57%,40.5,37,58,61,9,13.59,5.16,32.33%,32.97%,31.56%,24,83
Calamus,Wisconsin,997,28,Beaver Dam,100249,$68083,18.34%,N/A,N/A,N/A,N/A,40,72.50%,N/A,36.50%,N/A,N/A,N/A,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,N/A,N/A,13.30%,N/A,N/A,82,26,56,40.66,55.1,8.1,85,804,3.6,35.61,WI-11850,43.415345,-88.944777,52%,64%,45%,60%,57%,40.5,37,58,61,9,13.84,5.99,37.12%,37.25%,37.56%,34,84
Chester,Wisconsin,629,19,Beaver Dam,100249,$67250,17.13%,N/A,N/A,N/A,N/A,57,85.50%,N/A,36.00%,N/A,N/A,N/A,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,N/A,N/A,2.70%,N/A,N/A,81,26,55,37.46,41.0,8.1,84,921,3.6,33.11,WI-14300,43.5870181,-88.70302,52%,64%,45%,60%,57%,40.5,37,58,61,9,13.49,5.58,32.33%,32.97%,31.56%,24,83
Clyman,Wisconsin,793,2087,Beaver Dam,100249,$62000,10.63%,N/A,$65000,1275,$51,78,79.30%,N/A,37.20%,N/A,N/A,3%,3.00%,N/A,Dodge County,32.40%,61.80%,5.49%,9.23%,N/A,3.90%,3.5%,N/A,82,27,55,37.49,55.1,8.1,82,828,3.6,0.38,WI-15925,43.328291,-88.7142302,52%,64%,45%,60%,57%,40.5,37,58,61,11,13.47,5.56,28.41%,27.25%,29.44%,34,84
Elba,Wisconsin,1151,33,Beaver Dam,100249,$63884,23.90%,N/A,N/A,N/A,N/A,53,81.30%,N/A,23.40%,N/A,N/A,N/A,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,N/A,N/A,N/A,N/A,N/A,81,25,56,39.66,55.1,8.1,84,759,3.6,34.88,WI-23000,43.3284369,-88.9501708,52%,64%,45%,60%,57%,40.5,37,58,60,9,14.68,5.27,34.14%,34.73%,33.89%,34,83
Emmet (Dodge Cnty),Wisconsin,1202,38,Beaver Dam,100249,$62500,N/A,N/A,N/A,N/A,N/A,39,83.10%,N/A,37.00%,N/A,N/A,N/A,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,N/A,N/A,2.40%,N/A,N/A,82,27,55,37.49,55.1,8.1,81,828,3.6,31.63,WI-24000,43.2457082,-88.7116499,52%,64%,45%,60%,57%,40.5,37,58,62,12,13.47,5.56,28.41%,27.25%,29.44%,34,84
Fox Lake,Wisconsin,1724,1098,Beaver Dam,100249,$50726,14.93%,N/A,$335000,1509,$222,59,47.40%,N/A,55.20%,0,138,13.8%,3.00%,N/A,Dodge County,32.40%,61.80%,N/A,3.48%,N/A,3.90%,0.4%,N/A,82,26,56,40.66,46.4,8.1,85,804,3.6,1.57,WI-27025,43.5851487,-88.9437604,52%,64%,45%,60%,57%,40.5,37,58,61,9,13.84,5.99,37.12%,37.25%,37.56%,26,84
