City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Messiah College,Pennsylvania,2052,6413,Harrisburg-Carlisle,661513,$250001,89.29%,20,N/A,N/A,N/A,37,75.0%,$1359,98.73%,N/A,N/A,0.0%,6.36%,65.94%,Cumberland County,38.10%,55.90%,3.31%,7.46%,83.14%,3.85%,4.14%,Eastern Standard Time,89,41,48,47.09,22.6,7.2,67,402,4,0.32,PA-48868,40.1575915,-76.9840371,55%,61%,52%,53%,53%,30.2,41,62,68,25,13.85,9.67,35.07%,38.24%,32.78%,11,94
Middlesex township (Cumberland Cnty),Pennsylvania,7345,286,Harrisburg-Carlisle,661513,$69032,N/A,N/A,N/A,N/A,N/A,32,83.20%,N/A,41.80%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,4.00%,N/A,Eastern Standard Time,87,38,49,47.73,27.7,6.5,52,393,4,25.68,PA-49072,40.2501633,-77.1356319,55%,61%,52%,56%,55%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,91
Monroe township (Cumberland Cnty),Pennsylvania,6038,12322,Harrisburg-Carlisle,661513,$84191,N/A,N/A,N/A,N/A,N/A,42,81.80%,N/A,38.50%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,2.90%,N/A,Eastern Standard Time,87,38,49,47.09,27.7,7.2,69,402,4,0.49,PA-50472,40.1612296,-77.0701893,55%,61%,52%,53%,53%,30.2,41,62,63,21,13.85,9.67,34.27%,37.47%,31.44%,8,90
Mount Holly Springs,Pennsylvania,2037,1498,Harrisburg-Carlisle,661513,$46433,9.73%,44,$164000,854,$192,65,64.46%,$807,58.87%,N/A,N/A,7.66%,1.3%,58.39%,Cumberland County,38.10%,55.90%,0.69%,0.93%,85.03%,10.75%,6.73%,Eastern Standard Time,87,38,49,47.73,27.7,7.2,74,393,4,1.36,PA-51592,40.1125694,-77.1853686,55%,61%,52%,53%,53%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,90
New Cumberland,Pennsylvania,7305,4348,Harrisburg-Carlisle,661513,$62470,32.2%,46,$223000,1448,$154,69,73.36%,$814,45.28%,N/A,N/A,9.77%,7.17%,65.76%,Cumberland County,38.10%,55.90%,1.1%,1.92%,90.18%,6.12%,3.55%,Eastern Standard Time,89,41,48,42.1,22.6,7.2,48,312,4,1.68,PA-53464,40.2297094,-76.8763813,55%,61%,52%,53%,53%,30.2,41,62,68,25,12.63,8.28,35.07%,38.24%,32.78%,11,94
New Kingstown,Pennsylvania,804,506,Harrisburg-Carlisle,661513,$156071,25.2%,51,N/A,N/A,N/A,58,54.1%,$1111,49.92%,N/A,N/A,28.36%,12.46%,44.12%,Cumberland County,38.10%,55.90%,0.0%,6.72%,90.92%,0.0%,0.0%,Eastern Standard Time,87,38,49,47.09,27.7,7.2,61,402,4,1.59,PA-53752,40.2310581,-77.0727214,55%,61%,52%,53%,53%,30.2,41,62,63,21,13.85,9.67,34.27%,37.47%,31.44%,8,90
Newburg (Cumberland Cnty),Pennsylvania,326,1716,Harrisburg-Carlisle,661513,$82826,9.88%,48,$225000,974,$231,78,53.07%,$1082,43.62%,N/A,N/A,12.88%,5.63%,75.53%,Cumberland County,38.10%,55.90%,0.0%,0.61%,99.08%,0.31%,1.23%,Eastern Standard Time,89,39,50,43.24,29.2,7.2,78,621,4,0.19,PA-53344,40.1369854,-77.5546417,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
Newville,Pennsylvania,1231,2931,Harrisburg-Carlisle,661513,$44545,11.26%,38,$163000,1283,$127,78,59.71%,$768,61.23%,N/A,N/A,8.77%,2.36%,69.54%,Cumberland County,38.10%,55.90%,0.24%,0.89%,94.23%,3.66%,1.79%,Eastern Standard Time,89,39,50,43.24,29.2,7.2,53,621,4,0.42,PA-54320,40.1701878,-77.4014715,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
North Middleton,Pennsylvania,11478,495,Harrisburg-Carlisle,661513,$65061,35.08%,N/A,N/A,N/A,N/A,38,70.70%,N/A,40.40%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,3.98%,N/A,4.50%,N/A,Eastern Standard Time,87,38,49,47.73,27.7,6.5,64,393,4,23.19,PA-55216,40.2461414,-77.216754,55%,61%,52%,56%,55%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,91
North Newton,Pennsylvania,2505,110,Harrisburg-Carlisle,661513,$60119,16.65%,N/A,N/A,N/A,N/A,41,78.40%,N/A,40.40%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,39,50,43.24,29.2,7.2,75,621,4,22.77,PA-55248,40.1437883,-77.4445479,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
