City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Barnstable Town,Massachusetts,44325,740,Barnstable Town,213164,79,39,40,47,104,201,25,60.8,41.9,N/A,33,30,48,38.64%,$58933,5.6%,N/A,N/A,$382400,N/A,N/A,42,53.40%,5%,25%,22%,86,21 mins,2.60%,3.70%,-3.20%,Barnstable County,53.30%,39.80%,0.6%,4.4%,87.7%,4.2%,14.2%,Eastern Standard Time,60,3.4,47.40%,23,14,36,22.8%,N/A,N/A,0,N/A,N/A,N/A,MA-03690,59.93
Bourne,Massachusetts,19814,11587,Barnstable Town,213164,80,38,42,49,106,201,30,N/A,N/A,13,16,26,46,37.38%,$63664,4.9%,N/A,N/A,$392100,N/A,N/A,46,53.70%,5%,25%,21%,86,23 mins,2.60%,3.70%,1.20%,Barnstable County,53.30%,39.80%,1.1%,2.3%,89.9%,3.7%,2.7%,Eastern Standard Time,60,3.4,48.10%,51,N/A,59,29.9%,0.00,37,0,16,N/A,N/A,MA-07140,1.71
Brewster,Massachusetts,9856,2527,Barnstable Town,213164,78,38,40,48,107,201,26,N/A,N/A,15,12,21,55,49.02%,$66306,2.3%,N/A,N/A,$455000,N/A,N/A,35,44.60%,4%,22%,19%,92,23 mins,2.60%,3.70%,-0.40%,Barnstable County,53.30%,39.80%,0.6%,0.6%,96.0%,1.8%,0.9%,Eastern Standard Time,60,3.4,38.60%,39,N/A,24,18.8%,0.00,38,0,2,N/A,N/A,MA-07945,3.9
Buzzards Bay,Massachusetts,3208,1671,Barnstable Town,213164,80,38,42,50,106,199,30,60.7,41.9,12,11,17,54,33.51%,$76629,7.62%,N/A,N/A,$296100,N/A,N/A,62,54.40%,5%,25%,20%,85,24 mins,2.60%,3.70%,-7.30%,Barnstable County,53.30%,39.80%,2.52%,0.65%,91.74%,3.09%,3.43%,Eastern Standard Time,60,3.4,54.00%,42,N/A,56,23.0%,6.64,40,0,17,N/A,N/A,MA-10015,1.92
Chatham,Massachusetts,1550,587,Barnstable Town,213164,78,38,40,48,109,201,23,N/A,N/A,15,13,28,68,72.88%,$80625,4.57%,N/A,N/A,$672500,N/A,N/A,46,32.70%,7%,24%,20%,90,23 mins,2.60%,3.70%,-1.20%,Barnstable County,53.30%,39.80%,0.0%,0.0%,100.0%,0.0%,4.65%,Eastern Standard Time,60,3.4,41.00%,61,N/A,42,21.5%,0.00,38,0,1,N/A,N/A,MA-12960,2.64
Dennis,Massachusetts,1962,400,Barnstable Town,213164,79,38,41,47,106,201,25,60.7,41.9,15,12,20,66,54.21%,$93726,1.53%,N/A,N/A,$366800,N/A,N/A,47,31.50%,5%,24%,22%,90,23 mins,2.60%,3.70%,-3.90%,Barnstable County,53.30%,39.80%,0.92%,0.0%,92.46%,0.46%,5.76%,Eastern Standard Time,60,3.4,44.10%,52,N/A,35,16.7%,0.00,40,0,5,N/A,N/A,MA-16740,4.91
Dennis CDP,Massachusetts,1962,400,Barnstable Town,213164,79,39,40,46,106,201,26,N/A,N/A,N/A,25,38,66,54.21%,$93726,1.53%,N/A,N/A,$556200,N/A,N/A,42,36.90%,5%,24%,22%,88,23 mins,2.60%,3.70%,0.30%,Barnstable County,53.30%,39.80%,0.92%,0.0%,92.46%,0.46%,5.76%,Eastern Standard Time,60,3.4,31.10%,52,N/A,35,N/A,N/A,N/A,0,N/A,N/A,N/A,MA-16740,4.91
Dennis Port,Massachusetts,3523,1159,Barnstable Town,213164,78,38,40,48,107,202,23,60.7,41.9,15,13,21,52,31.98%,$48085,15.88%,N/A,N/A,$363600,N/A,N/A,55,18.10%,5%,25%,21%,89,20 mins,2.60%,3.70%,-7.30%,Barnstable County,53.30%,39.80%,0.23%,7.35%,83.74%,6.3%,6.56%,Eastern Standard Time,60,3.4,60.20%,41,N/A,43,19.4%,28.31,N/A,0,3,N/A,N/A,MA-16810,3.04
East Dennis,Massachusetts,3068,634,Barnstable Town,213164,79,39,40,46,106,204,26,61.2,42.4,N/A,10,16,62,48.82%,$74325,7.99%,N/A,N/A,$505800,N/A,N/A,39,46.50%,5%,25%,21%,91,23 mins,2.60%,3.70%,-15.10%,Barnstable County,53.30%,39.80%,0.78%,1.04%,93.09%,2.61%,3.85%,Eastern Standard Time,60,3.4,33.10%,29,N/A,12,17.1%,0.00,39,0,6,N/A,N/A,MA-18840,4.84
East Falmouth,Massachusetts,6163,1133,Barnstable Town,213164,80,38,42,49,112,200,25,60.7,41.9,13,12,19,56,38.61%,$59423,6.28%,N/A,N/A,$380400,N/A,N/A,44,45.40%,6%,27%,21%,86,22 mins,2.60%,3.70%,1.60%,Barnstable County,53.30%,39.80%,1.12%,0.65%,92.81%,0.97%,3.8%,Eastern Standard Time,60,3.4,49.30%,55,N/A,45,20.9%,5.30,40,0,15,N/A,N/A,MA-18980,5.44
East Harwich,Massachusetts,4756,593,Barnstable Town,213164,78,38,40,48,108,198,26,60.7,41.9,15,9,15,58,37.23%,$88125,1.81%,N/A,N/A,$410900,N/A,N/A,38,53.20%,5%,25%,21%,90,23 mins,2.60%,3.70%,8.70%,Barnstable County,53.30%,39.80%,0.29%,1.64%,96.49%,0.38%,6.81%,Eastern Standard Time,60,3.4,41.90%,18,N/A,23,22.6%,0.00,38,0,1,N/A,N/A,MA-19400,8.02
East Sandwich,Massachusetts,3628,482,Barnstable Town,213164,79,38,41,47,105,203,29,60.7,41.9,14,9,14,57,54.63%,$102258,9.08%,N/A,N/A,$475300,N/A,N/A,37,59.40%,5%,24%,20%,88,31 mins,2.60%,3.70%,-4.70%,Barnstable County,53.30%,39.80%,1.21%,0.0%,98.35%,0.44%,2.62%,Eastern Standard Time,60,3.4,36.60%,23,N/A,47,23.7%,0.00,N/A,0,11,N/A,N/A,MA-20380,7.52
Eastham,Massachusetts,4908,352,Barnstable Town,213164,78,38,40,48,108,201,26,N/A,N/A,15,16,23,59,50.63%,$62452,N/A,N/A,N/A,$470400,N/A,N/A,41,34.60%,5%,22%,18%,89,20 mins,2.60%,3.70%,-3.00%,Barnstable County,53.30%,39.80%,2.5%,2.2%,92.0%,1.4%,N/A,Eastern Standard Time,60,3.4,40.80%,39,N/A,46,N/A,0.00,36,0,1,N/A,N/A,MA-19295,13.94
Falmouth,Massachusetts,3751,1795,Barnstable Town,213164,80,38,42,49,111,201,27,N/A,N/A,13,18,32,62,52.21%,$49253,11.33%,N/A,N/A,$849000,1899,$447,44,49.60%,7%,27%,20%,86,24 mins,2.60%,3.70%,-1.70%,Barnstable County,53.30%,39.80%,1.39%,1.57%,86.64%,2.64%,11.41%,Eastern Standard Time,60,3.4,45.00%,74,N/A,64,20.9%,0.00,40,0,15,N/A,N/A,MA-23070,2.09
Forestdale,Massachusetts,3744,983,Barnstable Town,213164,79,38,41,48,104,197,25,60.1,41,13,8,12,52,30.45%,$89236,2.16%,N/A,N/A,$366900,N/A,N/A,37,79.70%,5%,25%,22%,88,25 mins,2.60%,3.70%,5.00%,Barnstable County,53.30%,39.80%,0.37%,0.0%,97.62%,1.31%,1.87%,Eastern Standard Time,60,3.4,41.30%,12,N/A,10,22.7%,2.23,39,0,17,N/A,N/A,MA-24190,3.81
