City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Armona,California,4437,2164,Hanford-Corcoran,152692,$49158,13.13%,25,$240000,1137,$211,34,60.05%,$1098,47.36%,N/A,N/A,20.41%,5.61%,57.39%,Kings County,39.70%,52.70%,0.47%,4.37%,9.56%,82.11%,27.27%,Pacific Standard Time,N/A,N/A,N/A,8.16,41,0,6.0,64,248,5.5,2.05,CA-02700,36.3166073,-119.7053799,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.13,4.38
Avenal,California,13033,669,Hanford-Corcoran,152692,$49781,6.3%,29,$350000,1955,$179,35,48.23%,$882,53.48%,531,446,27.45%,11.57%,43.63%,Kings County,39.70%,52.70%,0.34%,4.38%,8.4%,87.0%,39.71%,Pacific Standard Time,N/A,N/A,N/A,8.19,39,0,6.0,79,248,5.5,19.48,CA-03302,36.0311166,-120.1161604,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.16,4.25
Corcoran,California,22078,2960,Hanford-Corcoran,152692,$42997,4.06%,35,$301000,1835,$164,41,44.11%,$870,66.4%,552,1273,28.84%,11.76%,27.07%,Kings County,39.70%,52.70%,0.8%,12.19%,15.3%,69.32%,19.69%,Pacific Standard Time,N/A,N/A,N/A,7.55,39,0,6.0,63,248,5.5,7.46,CA-16224,36.0840629,-119.5612734,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.13,4.2
Grangeville,California,324,506,Hanford-Corcoran,152692,$79688,51.24%,42,$900000,2941,$306,44,91.05%,$1342,35.32%,N/A,N/A,0.0%,0.0%,47.76%,Kings County,39.70%,52.70%,1.85%,4.63%,78.7%,14.81%,0.0%,Pacific Standard Time,N/A,N/A,N/A,8.16,41,0,6.0,64,248,5.5,0.64,CA-30686,36.3438978,-119.707467,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.13,4.38
Hanford,California,57339,3295,Hanford-Corcoran,152692,$65974,18.89%,33,$325000,1540,$211,35,59.45%,$1026,47.14%,449,2170,13.74%,8.35%,61.85%,Kings County,39.70%,52.70%,4.46%,5.46%,37.29%,49.41%,17.66%,Pacific Standard Time,N/A,N/A,N/A,8.16,41,0,6.0,48,248,5.5,17.4,CA-31960,36.3274245,-119.6548869,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.13,4.38
Hardwick,California,155,1107,Hanford-Corcoran,152692,$18250,3.13%,22,N/A,N/A,N/A,24,29.61%,$1342,59.4%,N/A,N/A,38.06%,9.64%,63.36%,Kings County,39.70%,52.70%,0.0%,13.55%,28.39%,58.06%,70.32%,Pacific Standard Time,N/A,N/A,N/A,8.74,41,0,6.0,60,248,5.5,0.14,CA-32156,36.402596,-119.7207704,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.14,4.71
Home Garden,California,1590,3614,Hanford-Corcoran,152692,$35197,1.1%,26,N/A,N/A,N/A,51,50.31%,$1041,57.27%,N/A,N/A,28.62%,15.33%,51.53%,Kings County,39.70%,52.70%,0.57%,2.45%,8.55%,83.46%,20.31%,Pacific Standard Time,N/A,N/A,N/A,7.55,41,0,6.0,48,248,5.5,0.44,CA-34281,36.3028319,-119.637073,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.13,4.2
Kettleman City,California,1245,5929,Hanford-Corcoran,152692,$54444,0.0%,37,N/A,N/A,N/A,40,28.03%,$907,36.79%,N/A,N/A,23.86%,8.44%,69.57%,Kings County,39.70%,52.70%,0.0%,0.0%,0.0%,100.0%,52.05%,Pacific Standard Time,N/A,N/A,N/A,8.19,39,0,6.0,73,248,5.5,0.21,CA-38394,36.0089852,-119.9628518,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.16,4.25
Lemoore,California,25867,2936,Hanford-Corcoran,152692,$68658,21.97%,31,$330000,1564,$211,34,56.26%,$1097,48.65%,471,1391,13.47%,6.85%,64.55%,Kings County,39.70%,52.70%,7.87%,6.37%,38.52%,43.97%,14.4%,Pacific Standard Time,N/A,N/A,N/A,8.19,41,0,6.0,60,248,5.5,8.81,CA-41152,36.2949228,-119.7983307,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.12,4.41
Lemoore Station,California,6756,1597,Hanford-Corcoran,152692,$57593,17.38%,23,N/A,N/A,N/A,23,0.0%,$1472,40.4%,N/A,N/A,2.8%,7.08%,84.51%,Kings County,39.70%,52.70%,6.79%,19.35%,47.38%,18.61%,4.97%,Pacific Standard Time,N/A,N/A,N/A,6.05,41,0,6.0,73,248,5.5,4.23,CA-41166,36.2632764,-119.9048364,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.05,3.31
Stratford,California,771,1101,Hanford-Corcoran,152692,$67865,5.07%,24,N/A,N/A,N/A,29,45.91%,$1190,66.67%,N/A,N/A,22.05%,6.44%,66.26%,Kings County,39.70%,52.70%,0.0%,0.0%,38.26%,61.74%,16.99%,Pacific Standard Time,N/A,N/A,N/A,8.19,41,0,6.0,73,248,5.5,0.7,CA-75252,36.1884645,-119.8222464,76%,95%,49%,40%,22%,5.8,46,52,N/A,N/A,0.12,4.41
