City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Byhalia,Mississippi,1643,229,Memphis,1085953,$29400,11.1%,39,N/A,N/A,N/A,38,56.31%,$519,66.36%,N/A,N/A,30.64%,8.31%,49.76%,Marshall County,54.10%,44.40%,0.0%,54.72%,29.52%,14.97%,7.0%,Central Standard Time,91,50,41,60.37,2.1,8.1,63,351,4.8,7.17,MS-10060,34.8690482,-89.6890404,63%,74%,52%,56%,56%,53.4,50,68,71,30,12.94,15.43,30.22%,27.58%,35.22%,0
Holly Springs,Mississippi,7727,605,Memphis,1085953,$34779,11.21%,38,$135000,1274,$106,42,58.72%,$670,73.02%,N/A,N/A,25.2%,7.78%,47.58%,Marshall County,54.10%,44.40%,0.0%,79.49%,17.87%,0.82%,0.79%,Central Standard Time,89,51,38,55.28,2.2,8.1,57,444,4.8,12.78,MS-33100,34.7767868,-89.4465609,63%,74%,52%,56%,56%,53.4,50,68,68,29,10.97,15.74,32.63%,29.23%,37.22%,2
Potts Camp,Mississippi,438,452,Memphis,1085953,$34167,12.54%,50,N/A,N/A,N/A,42,61.42%,$768,64.53%,N/A,N/A,30.59%,2.27%,48.62%,Marshall County,54.10%,44.40%,0.0%,38.58%,60.5%,0.68%,0.68%,Central Standard Time,89,51,38,55.28,2.2,6.4,64,444,4.8,0.97,MS-59720,34.6491878,-89.3064238,63%,74%,52%,57%,56%,53.4,50,68,68,29,10.97,15.74,32.63%,29.23%,37.22%,2
