City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Black Hammer,Minnesota,209,6,La Crosse-Onalaska,137134,$57813,N/A,N/A,N/A,N/A,N/A,69,68.50%,N/A,38.90%,N/A,N/A,N/A,2.90%,N/A,Houston County,39.10%,53.00%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,81,24,57,35,100,44,8.5,87,838,3.3,34.83,MN-06292,43.6304399,-91.6707546,52%,64%,45%,60%,57%,38.4,37,60
Brownsville,Minnesota,689,372,La Crosse-Onalaska,137134,$58750,21.36%,43,N/A,N/A,N/A,63,93.61%,$545,31.64%,N/A,N/A,10.19%,3.23%,71.26%,Houston County,39.10%,53.00%,2.76%,0.0%,92.31%,0.29%,2.76%,Central Standard Time,83,26,57,35,112,43,8.5,84,838,3.3,1.85,MN-08218,43.6992767,-91.2822795,52%,64%,45%,60%,57%,38.4,37,60
Brownsville township,Minnesota,689,372,La Crosse-Onalaska,137134,$58750,21.36%,43,N/A,N/A,N/A,63,93.61%,$545,31.64%,N/A,N/A,10.19%,3.23%,71.26%,Houston County,39.10%,53.00%,2.76%,0.0%,92.31%,0.29%,2.76%,Central Standard Time,83,26,57,35,113,42,8.5,84,838,3.3,1.85,MN-08218,43.6992767,-91.2822795,52%,64%,45%,60%,57%,38.4,37,60
Caledonia,Minnesota,2759,978,La Crosse-Onalaska,137134,$51144,14.17%,48,$146000,1304,$112,55,73.87%,$661,47.28%,N/A,N/A,9.34%,1.55%,68.19%,Houston County,39.10%,53.00%,0.0%,3.01%,96.59%,0.25%,0.14%,Central Standard Time,81,24,57,36,99,43,8.5,83,838,3.3,2.82,MN-09226,43.6344088,-91.5009201,52%,64%,45%,60%,57%,38.4,37,60
Caledonia township,Minnesota,2759,978,La Crosse-Onalaska,137134,$51144,14.17%,48,$146000,1304,$112,55,73.87%,$661,47.28%,N/A,N/A,9.34%,1.55%,68.19%,Houston County,39.10%,53.00%,0.0%,3.01%,96.59%,0.25%,0.14%,Central Standard Time,81,24,57,36,99,43,8.5,85,838,3.3,2.82,MN-09226,43.6344088,-91.5009201,52%,64%,45%,60%,57%,38.4,37,60
Crooked Creek,Minnesota,271,9,La Crosse-Onalaska,137134,$65500,N/A,N/A,N/A,N/A,N/A,46,71.80%,N/A,30.10%,N/A,N/A,N/A,2.90%,N/A,Houston County,39.10%,53.00%,6.6%,0.0%,93.4%,0.0%,N/A,Central Standard Time,83,25,58,35,108,43,8.5,87,838,3.3,30.11,MN-13816,43.6068578,-91.3224932,52%,64%,45%,60%,57%,38.4,37,60
Eitzen,Minnesota,279,457,La Crosse-Onalaska,137134,$42143,20.99%,37,N/A,N/A,N/A,54,76.7%,N/A,48.72%,N/A,N/A,8.6%,4.13%,62.05%,Houston County,39.10%,53.00%,0.0%,0.0%,84.95%,2.51%,3.58%,Central Standard Time,82,25,57,36,103,42,8.5,87,838,3.3,0.61,MN-18368,43.5080986,-91.463617,52%,64%,45%,60%,57%,38.4,37,60
Hokah,Minnesota,592,846,La Crosse-Onalaska,137134,$41771,9.76%,36,$125000,1033,$121,65,66.39%,$766,56.95%,N/A,N/A,6.76%,0.0%,74.24%,Houston County,39.10%,53.00%,0.0%,6.25%,89.86%,2.36%,0.0%,Central Standard Time,83,26,57,35,113,41,8.5,84,838,3.3,0.7,MN-29510,43.7599193,-91.3499239,52%,64%,45%,60%,57%,38.4,37,60
Hokah township,Minnesota,592,846,La Crosse-Onalaska,137134,$41771,9.76%,36,$125000,1033,$121,39,66.39%,$766,56.95%,N/A,N/A,6.76%,0.0%,74.24%,Houston County,39.10%,53.00%,0.0%,6.25%,89.86%,2.36%,0.0%,Central Standard Time,83,26,57,35,113,41,8.5,84,838,3.3,0.7,MN-29510,43.7599193,-91.3499239,52%,64%,45%,60%,57%,38.4,37,60
Houston,Minnesota,984,800,La Crosse-Onalaska,137134,$43958,16.17%,42,N/A,N/A,N/A,67,60.45%,$658,59.41%,N/A,N/A,19.83%,5.3%,59.45%,Houston County,39.10%,53.00%,0.0%,0.0%,97.36%,0.0%,0.0%,Central Standard Time,81,25,56,35,106,43,8.5,86,838,3.3,1.23,MN-30230,43.7583395,-91.5705542,52%,64%,45%,60%,57%,38.4,37,60
