City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Abbyville,Kansas,60,222,Hutchinson,101005,$40000,12.5%,65,N/A,N/A,N/A,74,93.33%,N/A,22.81%,N/A,N/A,5.0%,0.0%,56.14%,Reno County,27.90%,63.20%,0.0%,0.0%,91.67%,6.67%,0.0%,N/A,93,44,49,28.85,10.2,N/A,79,1554,4.9,0.27,KS-00100,37.9705757,-98.2029613,64%,73%,59%,55%,51%,53.7,43,62,68,19,10.69,2.84,18.6%,23.63%,11.78%,6,101
Albion township (Reno Cnty),Kansas,781,21,Hutchinson,101005,$41544,N/A,N/A,N/A,N/A,N/A,71,69.70%,N/A,30.30%,N/A,N/A,N/A,3.80%,N/A,Reno County,27.90%,63.20%,N/A,N/A,N/A,1.00%,N/A,N/A,93,44,49,31.68,10.2,N/A,77,1359,4.9,37.19,KS-00875,37.7791853,-97.972813,64%,73%,59%,55%,51%,53.7,43,62,68,19,12.16,3.15,21.37%,26.26%,14.33%,6,101
Arlington,Kansas,585,476,Hutchinson,101005,$31058,11.59%,39,$99000,1303,$76,64,52.99%,$678,44.02%,N/A,N/A,32.82%,4.38%,54.33%,Reno County,27.90%,63.20%,0.0%,0.17%,94.53%,3.25%,1.71%,N/A,93,44,49,30.68,10.2,N/A,79,1449,4.9,1.23,KS-02325,37.8962897,-98.1780642,64%,73%,59%,55%,51%,53.7,43,62,68,19,11.46,3.2,16.38%,20.44%,9.89%,6,101
Arlington township,Kansas,585,476,Hutchinson,101005,$31058,11.59%,39,$99000,1303,$76,64,52.99%,$678,44.02%,N/A,N/A,32.82%,4.38%,54.33%,Reno County,27.90%,63.20%,0.0%,0.17%,94.53%,3.25%,1.71%,N/A,93,44,49,30.68,10.2,N/A,79,1449,4.9,1.23,KS-02325,37.8962897,-98.1780642,64%,73%,59%,55%,51%,53.7,43,62,68,19,11.46,3.2,16.38%,20.44%,9.89%,6,101
Bell township (Reno Cnty),Kansas,40,1,Hutchinson,101005,$11500,N/A,N/A,N/A,N/A,N/A,78,24.70%,N/A,50.00%,N/A,N/A,N/A,3.80%,N/A,Reno County,27.90%,63.20%,N/A,N/A,N/A,N/A,N/A,N/A,93,45,48,31.35,10.2,N/A,79,1581,4.9,40.0,KS-05350,37.7786408,-98.3005786,64%,73%,59%,55%,51%,53.7,43,62,69,20,12.02,3.12,16.38%,20.44%,9.89%,6,101
Buhler,Kansas,1247,1732,Hutchinson,101005,$55859,26.6%,45,$100000,1010,$99,63,82.28%,$736,34.63%,N/A,N/A,5.05%,2.35%,52.91%,Reno County,27.90%,63.20%,0.16%,0.0%,93.26%,3.13%,1.44%,N/A,93,45,48,33.29,13.1,8.0,77,1377,4.9,0.72,KS-09200,38.1384263,-97.7705685,64%,73%,59%,55%,51%,53.7,43,62,68,20,12.39,3.31,23.21%,28.02%,15.56%,7,101
Castleton,Kansas,366,7,Hutchinson,101005,$74688,N/A,N/A,N/A,N/A,N/A,49,73.50%,N/A,7.50%,N/A,N/A,N/A,3.80%,N/A,Reno County,27.90%,63.20%,N/A,N/A,N/A,N/A,N/A,N/A,93,44,49,32.62,10.2,8.0,76,1353,4.9,52.29,KS-11000,37.8684458,-97.9493046,64%,73%,59%,55%,51%,53.7,43,62,68,19,12.53,3.32,20.63%,25.27%,14.22%,6,101
Center township (Reno Cnty),Kansas,872,24,Hutchinson,101005,$49243,N/A,N/A,N/A,N/A,N/A,65,68.70%,N/A,53.70%,N/A,N/A,N/A,3.80%,N/A,Reno County,27.90%,63.20%,N/A,N/A,N/A,4.10%,N/A,N/A,93,44,49,30.55,13.1,8.0,74,1416,4.9,36.33,KS-12050,37.9556432,-98.0869918,64%,73%,59%,55%,51%,53.7,43,62,68,19,11.52,3.03,19.62%,23.74%,13.33%,7,101
Clay township (Reno Cnty),Kansas,1959,64,Hutchinson,101005,$58802,N/A,N/A,N/A,N/A,N/A,46,89.60%,N/A,35.00%,N/A,N/A,N/A,3.80%,N/A,Reno County,27.90%,63.20%,N/A,N/A,N/A,2.50%,N/A,N/A,93,45,48,27.02,13.1,8.0,76,1410,4.9,30.61,KS-13600,38.0212096,-97.867036,64%,73%,59%,55%,51%,53.7,43,62,68,20,10.3,2.64,22.11%,28.24%,12.56%,7,101
Enterprise township (Reno Cnty),Kansas,163,243,Hutchinson,101005,$68304,N/A,N/A,N/A,N/A,N/A,78,100.00%,N/A,33.80%,N/A,N/A,N/A,3.80%,N/A,Reno County,27.90%,63.20%,N/A,N/A,N/A,N/A,N/A,N/A,93,43,50,28.85,13.1,N/A,80,1554,4.9,0.67,KS-21475,38.042845,-98.1971465,64%,73%,59%,55%,51%,53.7,43,62,68,20,10.69,2.84,18.6%,23.63%,11.78%,7,101
