City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Austintown,Ohio,29467,2536,Youngstown-Warren-Boardman,635886,$45923,19.48%,43,$145000,1261,$115,55,69.09%,$703,51.92%,N/A,N/A,14.39%,6.35%,64.76%,Mahoning County,49.50%,46.20%,0.4%,7.18%,85.52%,5.34%,0.96%,Eastern Standard Time,83,35,48,45.53,75.1,8.5,63,999,3.6,11.62,OH-03184,41.0932124,-80.7404763,47%,64%,31%,61%,56%,33.0,39,58,59,17,12.41,9.24,38.3%,37.14%,42.44%,52,85
Austintown township,Ohio,29467,2536,Youngstown-Warren-Boardman,635886,$45923,19.48%,43,$145000,1261,$115,55,69.09%,$703,51.92%,N/A,N/A,14.39%,6.35%,64.76%,Mahoning County,49.50%,46.20%,0.4%,7.18%,85.52%,5.34%,0.96%,Eastern Standard Time,83,35,48,45.53,75.1,8.5,64,999,3.6,11.62,OH-03184,41.0932124,-80.7404763,47%,64%,31%,61%,56%,33.0,39,58,59,17,12.41,9.24,38.3%,37.14%,42.44%,52,85
Beaver township (Mahoning Cnty),Ohio,6531,16746,Youngstown-Warren-Boardman,635886,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mahoning County,49.50%,46.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,87,37,50,43.8,75.1,8.5,74,1134,3.6,0.39,OH-04668,40.9447419,-80.6883938,42%,52%,29%,61%,56%,33.0,39,58,61,20,13.04,8.92,38.3%,37.14%,42.44%,52,92
Beloit,Ohio,1171,1195,Youngstown-Warren-Boardman,635886,$40588,10.47%,41,$145000,2132,$68,77,78.05%,$593,54.57%,N/A,N/A,9.95%,7.04%,66.29%,Mahoning County,49.50%,46.20%,0.0%,0.17%,93.42%,3.93%,0.0%,Eastern Standard Time,85,34,51,43.8,49.5,8.5,75,1134,3.6,0.98,OH-05410,40.9195385,-80.9963383,47%,64%,31%,61%,56%,33.0,39,58,61,17,13.04,8.92,49.4%,43.3%,59.78%,23,88
Berlin township (Mahoning Cnty),Ohio,1751,458,Youngstown-Warren-Boardman,635886,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mahoning County,49.50%,46.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,35,48,43.04,49.5,8.5,74,951,3.6,3.82,OH-05858,41.0249553,-80.9538376,47%,64%,31%,61%,56%,33.0,39,58,59,17,12.72,8.8,38.3%,37.14%,42.44%,23,85
Boardman,Ohio,34717,2295,Youngstown-Warren-Boardman,635886,N/A,N/A,N/A,$167000,1621,$103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mahoning County,49.50%,46.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,35,48,45.53,75.1,8.5,59,999,3.6,15.13,OH-07454,41.033361,-80.6670719,42%,52%,29%,61%,56%,33.0,39,58,59,17,12.41,9.24,38.3%,37.14%,42.44%,52,85
Boardman township,Ohio,39750,1691,Youngstown-Warren-Boardman,635886,N/A,N/A,N/A,$167000,1621,$103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mahoning County,49.50%,46.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,35,48,45.53,75.1,8.5,61,999,3.6,23.51,OH-07454,41.033361,-80.6670719,42%,52%,29%,61%,56%,33.0,39,58,59,17,12.41,9.24,38.3%,37.14%,42.44%,52,85
Campbell,Ohio,7847,2109,Youngstown-Warren-Boardman,635886,$31017,14.35%,40,$68000,1447,$47,65,62.64%,$663,59.79%,N/A,N/A,30.06%,16.21%,57.64%,Mahoning County,49.50%,46.20%,0.0%,22.15%,50.94%,24.85%,4.63%,Eastern Standard Time,87,37,50,45.53,75.1,8.5,64,999,3.6,3.72,OH-11066,41.0776944,-80.5903158,42%,52%,29%,61%,56%,33.0,39,58,61,20,12.41,9.24,47.89%,40.11%,61.89%,52,92
Canfield,Ohio,7226,1414,Youngstown-Warren-Boardman,635886,$88941,44.41%,48,$300000,2069,$145,49,93.51%,$586,42.18%,N/A,N/A,4.96%,5.3%,60.05%,Mahoning County,49.50%,46.20%,2.19%,2.66%,86.65%,3.18%,4.61%,Eastern Standard Time,83,35,48,45.53,75.1,8.5,65,999,3.6,5.11,OH-11360,41.0290688,-80.7697539,47%,64%,31%,61%,56%,33.0,39,58,59,17,12.41,9.24,38.3%,37.14%,42.44%,52,85
Canfield township,Ohio,7226,1414,Youngstown-Warren-Boardman,635886,$88941,44.41%,48,$300000,2069,$145,49,93.51%,$586,42.18%,N/A,N/A,4.96%,5.3%,60.05%,Mahoning County,49.50%,46.20%,2.19%,2.66%,86.65%,3.18%,4.61%,Eastern Standard Time,83,35,48,45.53,75.1,8.5,69,999,3.6,5.11,OH-11360,41.0290688,-80.7697539,47%,64%,31%,61%,56%,33.0,39,58,59,17,12.41,9.24,38.3%,37.14%,42.44%,52,85
