City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Mineral,Illinois,219,398,Ottawa-Peru,145590,84,30,54,37,103,191,28,60.6,40.9,9,12,21,41,9.33%,$38125,12.33%,$900,N/A,$45700,N/A,N/A,78,81.74%,1%,10%,2%,84,20 mins,5.38%,2.30%,9.60%,Bureau County,36.40%,56.00%,0.0%,0.46%,96.8%,0.0%,0.0%,N/A,N/A,3.7,49.60%,3,N/A,27,14.7%,0.00,3,2,0,N/A,N/A,IL-49516,0.55,71.82%
Mineral township,Illinois,219,398,Ottawa-Peru,145590,84,30,54,37,102,193,28,N/A,N/A,N/A,11,19,41,9.33%,$38125,12.33%,$900,N/A,$64700,N/A,N/A,78,81.74%,1%,10%,2%,84,35 mins,5.38%,2.30%,-7.10%,Bureau County,36.40%,56.00%,0.0%,0.46%,96.8%,0.0%,0.0%,N/A,N/A,3.7,40.80%,0,N/A,26,N/A,0.00,4,2,0,N/A,N/A,IL-49516,0.55,71.82%
Neponset,Illinois,382,375,Ottawa-Peru,145590,84,30,54,37,105,196,23,60.6,40.9,9,6,5,37,10.61%,$54750,20.16%,$658,N/A,$50200,N/A,N/A,59,90.58%,1%,10%,2%,84,26 mins,3.09%,2.30%,16.60%,Bureau County,36.40%,56.00%,1.57%,1.05%,92.67%,3.93%,4.71%,N/A,N/A,3.7,45.30%,27,N/A,29,17.8%,0.00,4,2,0,N/A,N/A,IL-51999,1.02,65.76%
Neponset township,Illinois,382,375,Ottawa-Peru,145590,84,30,54,37,105,193,23,N/A,N/A,N/A,10,17,37,10.61%,$54750,20.16%,$658,N/A,$76700,N/A,N/A,63,90.58%,1%,10%,2%,84,26 mins,3.09%,2.30%,-3.10%,Bureau County,36.40%,56.00%,1.57%,1.05%,92.67%,3.93%,4.71%,N/A,N/A,3.7,35.30%,0,N/A,21,N/A,0.00,4,2,0,N/A,N/A,IL-51999,1.02,65.76%
New Bedford,Illinois,57,356,Ottawa-Peru,145590,85,30,55,38,92,194,30,60.5,40.5,9,12,20,60,4.55%,$47500,26.32%,N/A,N/A,$44900,N/A,N/A,78,87.72%,1%,10%,2%,84,20 mins,3.85%,2.30%,14.30%,Bureau County,36.40%,56.00%,0.0%,0.0%,96.49%,3.51%,0.0%,N/A,N/A,3.7,49.30%,0,N/A,20,12.2%,0.00,2,2,1,N/A,N/A,IL-52155,0.16,49.06%
Ohio,Illinois,509,679,Ottawa-Peru,145590,84,29,55,38,97,196,28,60.6,40.9,8,12,21,45,11.73%,$60208,12.97%,$602,N/A,$60900,N/A,N/A,78,78.77%,1%,10%,2%,84,24 mins,8.78%,2.30%,-7.00%,Bureau County,36.40%,56.00%,0.0%,3.54%,96.07%,0.39%,0.39%,N/A,N/A,3.7,45.40%,24,N/A,27,13.0%,0.00,2,2,2,N/A,N/A,IL-55379,0.75,68.9%
Ohio township,Illinois,509,679,Ottawa-Peru,145590,84,29,55,38,97,193,28,N/A,N/A,N/A,12,20,45,11.73%,$60208,12.97%,$602,N/A,$68700,N/A,N/A,78,78.77%,1%,10%,2%,84,25 mins,8.78%,2.30%,4.00%,Bureau County,36.40%,56.00%,0.0%,3.54%,96.07%,0.39%,0.39%,N/A,N/A,3.7,41.20%,0,N/A,24,N/A,0.00,2,2,2,N/A,N/A,IL-55379,0.75,68.9%
Princeton,Illinois,7589,921,Ottawa-Peru,145590,85,31,54,37,93,194,25,60.6,40.9,8,12,26,48,27.19%,$51844,13.65%,$643,N/A,$101700,N/A,N/A,58,70.53%,2%,12%,4%,70,14 mins,3.95%,2.30%,-2.40%,Bureau County,36.40%,56.00%,0.01%,0.07%,92.98%,5.39%,2.33%,N/A,N/A,3.7,47.40%,64,N/A,58,16.7%,0.00,4,2,2,N/A,N/A,IL-61899,8.24,58.16%
Princeton township,Illinois,7589,921,Ottawa-Peru,145590,85,31,54,37,93,193,25,N/A,N/A,N/A,13,26,48,27.19%,$51844,13.65%,$643,N/A,$92800,N/A,N/A,51,70.53%,1%,10%,2%,71,14 mins,3.95%,2.30%,-3.30%,Bureau County,36.40%,56.00%,0.01%,0.07%,92.98%,5.39%,2.33%,N/A,N/A,3.7,43.90%,49,N/A,39,N/A,0.00,4,2,2,N/A,N/A,IL-61899,8.24,58.16%
Walnut,Illinois,1340,1675,Ottawa-Peru,145590,84,30,54,38,96,192,29,60.6,40.9,9,8,13,42,19.77%,$48382,8.69%,$599,N/A,$78300,N/A,N/A,65,86.86%,1%,10%,1%,84,22 mins,6.58%,2.30%,6.30%,Bureau County,36.40%,56.00%,0.0%,0.0%,97.76%,0.97%,0.67%,N/A,N/A,3.7,35.50%,33,N/A,N/A,14.6%,0.00,2,2,1,N/A,N/A,IL-78526,0.8,64.31%
Walnut township,Illinois,1340,1675,Ottawa-Peru,145590,84,30,54,38,96,193,29,N/A,N/A,N/A,11,19,42,19.77%,$48382,8.69%,$599,N/A,$78200,N/A,N/A,66,86.86%,1%,10%,2%,84,25 mins,6.58%,2.30%,5.20%,Bureau County,36.40%,56.00%,0.0%,0.0%,97.76%,0.97%,0.67%,N/A,N/A,3.7,33.40%,0,N/A,25,N/A,0.00,2,2,1,N/A,N/A,IL-78526,0.8,64.31%
Westfield township (Bureau Cnty),Illinois,863,881,Ottawa-Peru,145590,85,30,55,38,102,193,25,N/A,N/A,N/A,12,20,N/A,N/A,$51813,N/A,N/A,N/A,$72500,N/A,N/A,74,75.20%,1%,10%,2%,84,29 mins,4.00%,2.30%,-4.90%,Bureau County,36.40%,56.00%,0.0%,0.6%,95.8%,3.4%,N/A,N/A,N/A,3.7,39.70%,0,N/A,24,N/A,N/A,N/A,2,N/A,N/A,N/A,IL-80268,0.98,N/A
Wheatland township (Bureau Cnty),Illinois,130,7,Ottawa-Peru,145590,86,32,54,38,98,193,21,N/A,N/A,N/A,8,14,N/A,N/A,$68646,N/A,N/A,N/A,$91300,N/A,N/A,72,100.00%,1%,10%,2%,83,20 mins,4.00%,2.30%,56.60%,Bureau County,36.40%,56.00%,0.0%,0.0%,91.5%,0.0%,N/A,N/A,N/A,3.7,16.50%,0,N/A,20,N/A,N/A,N/A,2,N/A,N/A,N/A,IL-81009,18.57,N/A
Wyanet,Illinois,1227,1292,Ottawa-Peru,145590,85,31,54,37,93,191,27,60.6,40.9,9,60,19,37,8.58%,$47454,18.55%,$773,N/A,$73900,N/A,N/A,73,71.64%,1%,12%,3%,83,23 mins,7.8%,2.30%,-4.80%,Bureau County,36.40%,56.00%,0.41%,0.24%,86.06%,6.68%,0.57%,N/A,N/A,3.7,44.70%,31,N/A,33,15.2%,0.00,4,2,1,N/A,N/A,IL-83622,0.95,74.4%
Wyanet township,Illinois,1227,1292,Ottawa-Peru,145590,85,31,54,37,93,193,27,N/A,N/A,N/A,12,21,37,8.58%,$47454,18.55%,$773,N/A,$71700,N/A,N/A,75,71.64%,1%,10%,2%,83,23 mins,7.8%,2.30%,1.20%,Bureau County,36.40%,56.00%,0.41%,0.24%,86.06%,6.68%,0.57%,N/A,N/A,3.7,38.90%,0,N/A,N/A,N/A,0.00,4,2,1,N/A,N/A,IL-83622,0.95,74.4%
