City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Cheyney University,Pennsylvania,194,719,Philadelphia-Camden-Wilmington,6215222,N/A,14.29%,20,N/A,N/A,N/A,N/A,0.0%,N/A,100.0%,N/A,N/A,0.0%,0.0%,38.66%,Delaware County,59.30%,37.00%,0.0%,32.99%,51.03%,13.4%,0.52%,Eastern Standard Time,87,40,47,65,21,55%,55%,43,63,91,55%,62%,50%,51.19,15.93,10.95,28.88%,29.01%,30.44%,27.8,13,7.4,29.3,68,324,4,0.27,PA-13418,39.9342454,-75.5305951
Clifton Heights,Pennsylvania,6700,10635,Philadelphia-Camden-Wilmington,6215222,$54238,17.94%,34,$205000,1589,$129,67,67.77%,$975,54.16%,N/A,N/A,20.43%,13.35%,65.89%,Delaware County,59.30%,37.00%,3.22%,31.13%,62.81%,0.49%,12.25%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,52.92,15.96,11.88,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,45,297,3.8,0.63,PA-14264,39.9301495,-75.2958268
Collingdale,Pennsylvania,8776,10087,Philadelphia-Camden-Wilmington,6215222,$48170,14.21%,36,$186000,1248,$149,69,56.53%,$1134,73.87%,N/A,N/A,22.17%,9.38%,72.51%,Delaware County,59.30%,37.00%,1.95%,58.06%,32.32%,4.51%,11.41%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,44,9,3.8,0.87,PA-15232,39.9150652,-75.2776296
Colwyn,Pennsylvania,2541,9773,Philadelphia-Camden-Wilmington,6215222,$49597,14.99%,28,$199000,1150,$173,69,44.39%,$1056,73.44%,N/A,N/A,23.61%,12.44%,66.59%,Delaware County,59.30%,37.00%,0.0%,90.79%,7.48%,4.72%,19.28%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,50,9,3.8,0.26,PA-15432,39.9118095,-75.2530768
Concord township (Delaware Cnty),Pennsylvania,17580,1290,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,38,47,68,25,55%,55%,43,63,87,55%,62%,50%,51.19,15.93,10.95,28.88%,29.01%,30.44%,22.0,9,7.4,29.3,65,324,3.8,13.63,PA-15488,39.8741431,-75.5134683
Darby,Pennsylvania,9297,11068,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,$95000,1218,$78,N/A,N/A,N/A,N/A,734,1901,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,51,9,3.8,0.84,PA-18164,39.893986,-75.265034
Darby borough,Pennsylvania,10710,12750,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,$95000,1218,$78,N/A,N/A,N/A,N/A,734,1901,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,48,9,3.8,0.84,PA-18164,39.893986,-75.265034
Drexel Hill,Pennsylvania,27925,8727,Philadelphia-Camden-Wilmington,6215222,$72645,41.98%,37,$300000,1829,$164,71,70.21%,$1090,52.26%,N/A,N/A,7.68%,6.51%,73.52%,Delaware County,59.30%,37.00%,4.38%,18.24%,69.51%,4.82%,9.79%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,52.92,15.96,11.88,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,46,297,3.8,3.2,PA-19920,39.9494982,-75.3038763
East Lansdowne,Pennsylvania,2661,12671,Philadelphia-Camden-Wilmington,6215222,$51250,18.94%,32,$275000,1809,$152,N/A,63.62%,$1319,62.0%,N/A,N/A,9.04%,10.48%,69.11%,Delaware County,59.30%,37.00%,15.48%,57.95%,14.99%,2.89%,24.28%,Eastern Standard Time,90,43,47,72,28,54%,53%,42,62,96,55%,62%,50%,51.72,15.83,11.18,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,48,54,3.8,0.21,PA-21384,39.9439708,-75.2607999
Eddystone,Pennsylvania,2407,2407,Philadelphia-Camden-Wilmington,6215222,$42841,8.29%,30,$165000,1352,$122,75,50.31%,$1039,75.05%,873,7321,24.29%,7.16%,59.1%,Delaware County,59.30%,37.00%,1.83%,13.92%,71.13%,5.82%,3.86%,Eastern Standard Time,89,42,47,71,27,55%,55%,43,63,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,29.3,62,9,3.8,1.0,PA-22296,39.8565604,-75.3342282
Edgmont,Pennsylvania,4040,416,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,87,40,47,65,21,55%,55%,43,63,91,55%,62%,50%,50.29,15.12,11.31,32.27%,31.87%,33.56%,25.2,10,7.4,29.3,65,357,3.8,9.71,PA-22584,39.9525669,-75.4618275
Folcroft,Pennsylvania,6629,5303,Philadelphia-Camden-Wilmington,6215222,$56169,16.17%,33,$228000,1407,$162,63,60.52%,$1203,59.39%,N/A,N/A,16.32%,11.82%,69.44%,Delaware County,59.30%,37.00%,1.52%,45.71%,46.25%,6.59%,10.15%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,53,9,3.8,1.25,PA-26408,39.889066,-75.2769763
Folsom,Pennsylvania,8706,6965,Philadelphia-Camden-Wilmington,6215222,$84252,30.88%,37,$295000,1425,$207,64,79.73%,$1311,41.95%,N/A,N/A,9.57%,2.82%,70.92%,Delaware County,59.30%,37.00%,0.17%,5.8%,87.37%,7.27%,2.96%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,49,9,3.8,1.25,PA-26432,39.8923812,-75.3286659
Glenolden,Pennsylvania,7094,7239,Philadelphia-Camden-Wilmington,6215222,$63036,24.07%,38,$255000,1645,$155,69,79.45%,$1050,56.09%,N/A,N/A,14.42%,3.68%,69.84%,Delaware County,59.30%,37.00%,0.79%,11.83%,79.42%,3.26%,3.47%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,51,9,3.8,0.98,PA-29720,39.8996266,-75.2919542
Haverford,Pennsylvania,49089,4934,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,90,43,47,72,28,54%,53%,42,62,96,55%,62%,50%,52.92,15.96,11.88,32.27%,31.87%,33.56%,25.2,10,7.4,28.3,50,297,3.8,9.95,PA-33144,39.9867397,-75.3163949
Haverford College,Pennsylvania,1243,4143,Philadelphia-Camden-Wilmington,6215222,$176397,94.07%,20,$1250000,5365,$233,N/A,0.0%,$1401,91.35%,N/A,N/A,0.0%,4.98%,54.71%,Delaware County,59.30%,37.00%,7.56%,9.65%,68.3%,4.91%,5.63%,Eastern Standard Time,89,42,47,68,23,54%,53%,42,62,94,55%,62%,50%,52.92,15.96,11.88,32.27%,31.87%,33.56%,25.2,10,7.4,28.3,56,297,3.8,0.3,PA-33154,40.0081481,-75.3064363
Lansdowne,Pennsylvania,10637,9014,Philadelphia-Camden-Wilmington,6215222,$63224,41.36%,45,$290000,1835,$158,78,69.89%,$1062,56.24%,169,2297,9.46%,7.21%,69.29%,Delaware County,59.30%,37.00%,3.97%,46.49%,41.13%,3.97%,11.7%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,52.92,15.96,11.88,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,50,297,3.8,1.18,PA-41440,39.9407588,-75.27603
Lima,Pennsylvania,2051,1395,Philadelphia-Camden-Wilmington,6215222,$44821,37.75%,79,$250000,1214,$206,38,56.32%,$2548,63.94%,N/A,N/A,6.71%,7.03%,22.97%,Delaware County,59.30%,37.00%,0.83%,1.85%,94.59%,2.73%,2.97%,Eastern Standard Time,87,40,47,65,21,55%,55%,43,63,91,55%,62%,50%,50.29,15.12,11.31,28.88%,29.01%,30.44%,25.2,10,7.4,29.3,62,357,3.8,1.47,PA-43272,39.9194496,-75.4415329
