City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
South Windsor,Connecticut,25802,919,Hartford-West Hartford-East Hartford,1201483,$94217,49.38%,N/A,N/A,N/A,N/A,37,79.70%,$1620,40.90%,49,1272,N/A,3.10%,N/A,Hartford County,59.10%,36.40%,10.2%,2.7%,80.4%,5.4%,N/A,Eastern Standard Time,84,35,49,49,120,190,36,N/A,N/A,6,67,179,3.3,28.08,CT-71390
Southington,Connecticut,43817,1220,Hartford-West Hartford-East Hartford,1201483,$81285,39.51%,N/A,N/A,N/A,N/A,44,78.00%,$1273,42.80%,59,1235,N/A,2.80%,N/A,Hartford County,59.10%,36.40%,2.7%,1.2%,91.9%,3.6%,N/A,Eastern Standard Time,85,37,48,51,108,191,35,N/A,N/A,7,60,179,3.3,35.92,CT-70550
Southwood Acres,Connecticut,8352,1573,Hartford-West Hartford-East Hartford,1201483,$96932,38.17%,45,$238000,1392,$171,56,90.85%,$1447,42.40%,N/A,N/A,6.49%,2.31%,67.07%,Hartford County,59.10%,36.40%,2.59%,3.74%,79.99%,11.12%,5.21%,Eastern Standard Time,83,33,50,46,117,190,37,59,39,N/A,61,179,3.3,5.31,CT-71460
Suffield,Connecticut,15675,371,Hartford-West Hartford-East Hartford,1201483,$94610,43.44%,N/A,N/A,N/A,N/A,44,80.50%,N/A,50.50%,31,393,N/A,2.90%,N/A,Hartford County,59.10%,36.40%,2.2%,8.1%,80.2%,7.8%,N/A,Eastern Standard Time,83,33,50,47,118,190,37,N/A,N/A,6,66,179,3.3,42.25,CT-74540
Tariffville,Connecticut,1810,2785,Hartford-West Hartford-East Hartford,1201483,$73400,35.99%,38,$266000,1503,$177,63,68.51%,$1045,49.60%,N/A,N/A,12.33%,13.95%,84.28%,Hartford County,59.10%,36.40%,3.7%,1.33%,79.61%,9.56%,6.8%,Eastern Standard Time,83,33,50,51,120,190,37,59,39,6,72,179,3.3,0.65,CT-75100
Terramuggus,Connecticut,921,801,Hartford-West Hartford-East Hartford,1201483,$131600,65.88%,43,$280000,1152,$243,45,88.93%,N/A,30.30%,N/A,N/A,3.47%,5.85%,73.15%,Hartford County,59.10%,36.40%,0.0%,1.63%,98.37%,0.0%,4.34%,Eastern Standard Time,81,35,46,51,112,192,35,59,39,N/A,77,179,3.3,1.15,CT-75200
Thompsonville,Connecticut,8563,4198,Hartford-West Hartford-East Hartford,1201483,$50417,23.51%,36,$274000,2491,$110,73,45.62%,$1146,64.60%,N/A,N/A,18.11%,13.19%,67.93%,Hartford County,59.10%,36.40%,3.11%,9.58%,60.92%,14.14%,8.14%,Eastern Standard Time,83,33,50,46,117,188,37,59,39,6,58,179,3.3,2.04,CT-75940
Weatogue,Connecticut,2396,799,Hartford-West Hartford-East Hartford,1201483,$132109,72.85%,47,$374000,1724,$217,46,84.56%,$1484,35.40%,N/A,N/A,1.18%,0.0%,64.19%,Hartford County,59.10%,36.40%,5.55%,0.13%,88.65%,5.68%,13.77%,Eastern Standard Time,84,35,49,53,119,190,36,59,39,6,72,179,3.3,3.0,CT-80770
West Hartford,Connecticut,63023,2886,Hartford-West Hartford-East Hartford,1201483,$105230,64.76%,41,$367000,1739,$211,66,73.92%,$1361,48.50%,57,2236,6.37%,3.91%,68.41%,Hartford County,59.10%,36.40%,8.37%,6.97%,70.84%,12.01%,17.33%,Eastern Standard Time,84,36,48,50,120,190,37,59,39,6,58,179,3.3,21.84,CT-82660
West Simsbury,Connecticut,3131,676,Hartford-West Hartford-East Hartford,1201483,$152681,59.68%,55,$647000,3301,$196,47,91.45%,$2000,30.40%,N/A,N/A,7.15%,3.23%,54.69%,Hartford County,59.10%,36.40%,2.84%,0.06%,94.0%,3.1%,5.3%,Eastern Standard Time,83,35,48,53,119,188,36,59,39,6,78,179,3.3,4.63,CT-83990
Wethersfield,Connecticut,26068,2119,Hartford-West Hartford-East Hartford,1201483,$90881,47.28%,45,$353000,2052,$172,61,84.81%,$1093,45.60%,88,1349,5.81%,4.47%,68.19%,Hartford County,59.10%,36.40%,3.35%,6.27%,79.47%,8.74%,14.03%,Eastern Standard Time,84,36,48,50,109,190,38,N/A,N/A,7,60,179,3.3,12.3,CT-84970
Windsor,Connecticut,29037,984,Hartford-West Hartford-East Hartford,1201483,$79244,41.05%,N/A,N/A,N/A,N/A,50,78.30%,$1598,47.50%,41,2106,N/A,3.50%,N/A,Hartford County,59.10%,36.40%,4.9%,35.4%,48.2%,9.6%,N/A,Eastern Standard Time,84,36,48,49,120,190,37,N/A,N/A,6,60,179,3.3,29.51,CT-87000
Windsor Locks,Connecticut,12732,1412,Hartford-West Hartford-East Hartford,1201483,$72090,25.2%,43,$237000,1362,$174,57,85.01%,$1174,51.30%,61,1083,7.96%,7.9%,71.2%,Hartford County,59.10%,36.40%,8.03%,5.59%,77.89%,5.02%,11.15%,Eastern Standard Time,84,34,50,45,118,190,35,N/A,N/A,6,58,179,3.3,9.02,CT-87140
