City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Barboursville,West Virginia,4232,1055,Huntington-Ashland,354085,$57599,30.39%,38,N/A,N/A,N/A,40,63.85%,$792,57.2%,N/A,N/A,4.78%,0.55%,47.91%,Cabell County,34.10%,59.10%,2.81%,3.66%,90.29%,2.34%,1.68%,Eastern Standard Time,87,43,44,45,130,160,18,62.4,44.3,5,57,565,4.1,4.01,WV-04276,38.4067501,-82.2962871
Culloden,West Virginia,2790,710,Huntington-Ashland,354085,$77648,28.75%,42,N/A,N/A,N/A,34,85.6%,$681,33.48%,N/A,N/A,10.29%,7.73%,57.45%,Cabell County,34.10%,59.10%,0.14%,0.04%,98.06%,0.0%,1.08%,Eastern Standard Time,87,43,44,44,133,164,18,62.5,44.3,5,63,565,4.1,3.93,WV-19516,38.4154379,-82.0704178
Huntington,West Virginia,46139,2845,Huntington-Ashland,354085,$33012,29.25%,36,N/A,N/A,N/A,65,54.71%,$727,64.02%,722,3923,32.11%,7.4%,51.79%,Cabell County,34.10%,59.10%,1.78%,8.07%,84.42%,1.84%,2.35%,Eastern Standard Time,87,43,44,44,135,162,14,62.7,44.6,5,36,565,4.1,16.22,WV-39460,38.4108896,-82.4345904
Lesage,West Virginia,745,122,Huntington-Ashland,354085,$41742,1.4%,55,N/A,N/A,N/A,54,67.25%,$602,56.57%,N/A,N/A,12.62%,0.0%,59.14%,Cabell County,34.10%,59.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,86,42,44,44,138,163,13,62.5,44.5,5,61,565,4.1,6.1,WV-46420,38.4870082,-82.2929673
Milton,West Virginia,2813,1428,Huntington-Ashland,354085,$35145,17.09%,46,N/A,N/A,N/A,39,57.98%,$743,56.04%,347,2666,11.73%,8.62%,49.37%,Cabell County,34.10%,59.10%,0.14%,0.0%,97.55%,0.89%,0.14%,Eastern Standard Time,87,43,44,44,133,160,18,62.3,44.1,5,63,565,4.1,1.97,WV-54484,38.4347417,-82.145875
Pea Ridge,West Virginia,6854,2954,Huntington-Ashland,354085,$47321,38.34%,37,N/A,N/A,N/A,45,67.68%,$844,52.03%,N/A,N/A,17.24%,5.23%,62.41%,Cabell County,34.10%,59.10%,0.19%,1.66%,94.57%,0.44%,0.95%,Eastern Standard Time,87,43,44,45,131,160,14,62.5,44.4,N/A,48,565,4.1,2.32,WV-62488,38.4154569,-82.3194401
Salt Rock,West Virginia,158,51,Huntington-Ashland,354085,$43631,0.0%,66,N/A,N/A,N/A,41,77.85%,N/A,22.78%,N/A,N/A,0.0%,0.0%,50.63%,Cabell County,34.10%,59.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,43,44,45,135,163,22,62.4,44.3,5,64,565,4.1,3.07,WV-71476,38.3243113,-82.2172228
