City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Adamstown,Pennsylvania,2286,1657,Reading,421017,$77321,27.93%,31,$190000,1900,$100,42,83.68%,$960,40.60%,N/A,N/A,9.26%,0.41%,72.49%,Lancaster County,37.20%,56.30%,6.52%,2.14%,84.34%,5.03%,4.64%,Eastern Standard Time,85,38,47,46,123,200,27,60.9,41.9,7,66,260,3.8,1.38,PA-00364
Akron,Pennsylvania,4006,3257,Lancaster,546192,$69886,21.56%,42,$253000,1946,$130,53,64.09%,$972,38.40%,N/A,N/A,8.14%,4.63%,71.81%,Lancaster County,37.20%,56.30%,0.27%,0.7%,92.84%,6.19%,2.17%,Eastern Standard Time,85,38,47,43,124,199,25,61.1,42.2,N/A,63,351,3.8,1.23,PA-00540
Bainbridge,Pennsylvania,1399,614,Lancaster,546192,$91058,19.68%,35,$255000,2107,$121,37,93.64%,N/A,36.90%,N/A,N/A,4.5%,5.4%,78.38%,Lancaster County,37.20%,56.30%,0.0%,4.93%,91.64%,2.72%,0.71%,Eastern Standard Time,86,39,47,42,120,198,24,61.3,42.3,7,66,351,3.8,2.28,PA-03800
Bart,Pennsylvania,3286,200,Lancaster,546192,$48344,8.04%,N/A,N/A,N/A,N/A,44,73.40%,N/A,32.40%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.4%,1.0%,93.2%,5.1%,N/A,Eastern Standard Time,85,38,47,47,127,198,29,N/A,N/A,7,73,351,3.8,16.43,PA-04376
Bird-in-Hand,Pennsylvania,352,568,Lancaster,546192,$61736,18.81%,33,$473000,2938,$161,78,38.64%,N/A,32.90%,N/A,N/A,5.4%,0.0%,80.97%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,124,198,25,61.3,42.3,7,58,351,3.8,0.62,PA-06496
Blue Ball,Pennsylvania,1095,920,Lancaster,546192,$114867,15.56%,33,N/A,N/A,N/A,46,59.0%,$1565,37.40%,N/A,N/A,0.0%,1.71%,80.21%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,38,47,46,126,198,28,61.3,42.3,7,70,351,3.8,1.19,PA-07208
Bowmansville,Pennsylvania,2684,1260,Lancaster,546192,$83969,16.58%,42,$278000,1616,$172,31,91.92%,$825,44.70%,N/A,N/A,4.51%,6.32%,84.7%,Lancaster County,37.20%,56.30%,0.0%,0.0%,98.85%,1.08%,0.0%,Eastern Standard Time,85,38,47,46,123,198,28,61.1,42.1,7,69,351,3.8,2.13,PA-07896
Brecknock township (Lancaster Cnty),Pennsylvania,7432,302,Lancaster,546192,$64851,N/A,N/A,N/A,N/A,N/A,31,82.90%,N/A,38.80%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.7%,0.0%,97.1%,0.9%,N/A,Eastern Standard Time,85,38,47,46,122,198,28,N/A,N/A,N/A,69,351,3.8,24.61,PA-08352
Brickerville,Pennsylvania,1274,587,Lancaster,546192,$68750,16.97%,48,N/A,N/A,N/A,44,96.31%,$1200,35.00%,N/A,N/A,7.14%,0.0%,77.89%,Lancaster County,37.20%,56.30%,2.59%,0.0%,90.66%,1.1%,4.24%,Eastern Standard Time,85,38,47,43,121,202,21,61.3,42.3,7,68,351,3.8,2.17,PA-08504
Brownstown,Pennsylvania,3160,1269,Lancaster,546192,$90192,31.13%,28,$286000,1505,$190,36,90.36%,$1348,37.10%,N/A,N/A,2.44%,7.01%,78.96%,Lancaster County,37.20%,56.30%,8.77%,0.82%,85.06%,3.07%,2.75%,Eastern Standard Time,85,38,47,43,124,198,25,57,38.6,7,68,351,3.8,2.49,PA-09416
Caernarvon township (Lancaster Cnty),Pennsylvania,4794,209,Lancaster,546192,$64659,N/A,N/A,N/A,N/A,N/A,37,73.90%,N/A,36.80%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.0%,98.6%,1.1%,N/A,Eastern Standard Time,85,38,47,47,126,198,28,N/A,N/A,N/A,72,351,3.8,22.94,PA-10704
Christiana,Pennsylvania,977,1843,Lancaster,546192,$67188,22.6%,41,$292000,1640,$178,78,61.22%,$1031,52.00%,N/A,N/A,9.57%,3.16%,59.25%,Lancaster County,37.20%,56.30%,0.41%,5.83%,88.02%,1.33%,1.02%,Eastern Standard Time,85,38,47,47,127,197,29,61.3,42.3,7,73,351,3.8,0.53,PA-13512
Churchtown,Pennsylvania,467,247,Lancaster,546192,$71413,23.55%,31,N/A,N/A,N/A,56,74.52%,N/A,28.80%,N/A,N/A,6.42%,0.0%,43.67%,Lancaster County,37.20%,56.30%,24.41%,0.0%,75.59%,0.0%,1.71%,Eastern Standard Time,85,38,47,47,126,198,28,61.3,42.3,7,72,351,3.8,1.89,PA-13632
Clay,Pennsylvania,1665,743,Lancaster,546192,$72548,23.97%,37,$330000,1549,$213,32,67.21%,$682,29.30%,N/A,N/A,2.22%,3.11%,67.8%,Lancaster County,37.20%,56.30%,2.04%,0.0%,96.34%,0.0%,5.41%,Eastern Standard Time,85,38,47,43,124,198,25,61.3,42.3,7,68,351,3.8,2.24,PA-13952
Clay township (Lancaster Cnty),Pennsylvania,1665,743,Lancaster,546192,$72548,23.97%,37,$330000,1549,$213,32,67.21%,$682,29.70%,N/A,N/A,2.22%,3.11%,67.8%,Lancaster County,37.20%,56.30%,2.04%,0.0%,96.34%,0.0%,5.41%,Eastern Standard Time,85,38,47,43,122,198,25,N/A,N/A,N/A,68,351,3.8,2.24,PA-13952
Colerain township (Lancaster Cnty),Pennsylvania,3808,134,Lancaster,546192,$61100,N/A,N/A,N/A,N/A,N/A,36,73.10%,N/A,33.40%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.4%,99.3%,0.0%,N/A,Eastern Standard Time,84,38,46,47,126,198,28,N/A,N/A,N/A,73,351,3.8,28.42,PA-15056
Columbia borough,Pennsylvania,10369,4302,Lancaster,546192,$41607,15.81%,39,$195000,1444,$135,78,55.14%,$888,53.60%,N/A,N/A,20.74%,5.39%,58.61%,Lancaster County,37.20%,56.30%,0.3%,11.1%,70.73%,18.52%,2.99%,Eastern Standard Time,85,38,47,43,121,201,20,N/A,N/A,N/A,52,351,3.8,2.41,PA-15384
Conestoga,Pennsylvania,1128,542,Lancaster,546192,$69125,25.09%,48,$370000,2056,$180,48,95.92%,N/A,36.60%,N/A,N/A,10.02%,0.0%,72.5%,Lancaster County,37.20%,56.30%,7.62%,0.0%,89.1%,2.22%,2.39%,Eastern Standard Time,85,38,47,42,120,198,20,61.3,42.3,7,68,351,3.8,2.08,PA-15584
Conestoga township,Pennsylvania,1128,542,Lancaster,546192,$69125,25.09%,48,$370000,2056,$180,48,95.92%,N/A,32.70%,N/A,N/A,10.02%,0.0%,72.5%,Lancaster County,37.20%,56.30%,7.62%,0.0%,89.1%,2.22%,2.39%,Eastern Standard Time,86,38,48,42,121,198,20,N/A,N/A,N/A,68,351,3.8,2.08,PA-15584
Conoy,Pennsylvania,3418,235,Lancaster,546192,$70515,23.59%,N/A,N/A,N/A,N/A,37,84.30%,N/A,40.10%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.4%,0.0%,95.1%,4.2%,N/A,Eastern Standard Time,86,38,48,42,120,198,24,N/A,N/A,7,66,351,3.8,14.54,PA-15824
Denver,Pennsylvania,3847,3005,Lancaster,546192,$65847,22.03%,39,$245000,1441,$170,49,79.69%,$897,43.20%,N/A,N/A,9.19%,8.0%,71.75%,Lancaster County,37.20%,56.30%,3.51%,1.04%,90.36%,4.08%,6.16%,Eastern Standard Time,85,38,47,45,119,201,28,61.1,42.1,7,15,351,3.8,1.28,PA-18888
Drumore,Pennsylvania,2631,109,Lancaster,546192,$60455,14.00%,N/A,N/A,N/A,N/A,39,71.80%,N/A,31.00%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.2%,0.2%,97.0%,1.9%,N/A,Eastern Standard Time,85,38,47,44,121,198,21,N/A,N/A,7,74,351,3.8,24.14,PA-20032
Earl township (Lancaster Cnty),Pennsylvania,7177,327,Lancaster,546192,$50532,N/A,N/A,N/A,N/A,N/A,34,58.50%,N/A,40.80%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,2.5%,0.7%,94.6%,2.2%,N/A,Eastern Standard Time,85,38,47,45,126,198,27,N/A,N/A,N/A,69,351,3.8,21.95,PA-20688
