City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Allisonia,Virginia,115,35,Blacksburg-Christiansburg-Radford,167244,$35000,16.9%,57,N/A,N/A,N/A,49,54.78%,N/A,21.74%,N/A,N/A,0.0%,0.0%,51.09%,Pulaski County,27.50%,68.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,83,43,40,43,119,21,6.6,80,2080,4.6,3.3,VA-01256,36.9342277,-80.7255036,59%,64%,54%,51%,54%,33.8,43,62
Belspring,Virginia,186,194,Blacksburg-Christiansburg-Radford,167244,$57596,0.0%,42,$45000,1071,$42,78,53.23%,N/A,37.04%,N/A,N/A,5.91%,0.0%,49.38%,Pulaski County,27.50%,68.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,84,42,42,39,118,24,6.6,75,2080,4.6,0.96,VA-06424,37.1939001,-80.6097052,59%,64%,54%,51%,54%,33.8,43,62
Draper,Virginia,679,314,Blacksburg-Christiansburg-Radford,167244,$71731,19.04%,53,N/A,N/A,N/A,34,76.44%,N/A,46.35%,N/A,N/A,9.57%,0.0%,67.02%,Pulaski County,27.50%,68.10%,0.0%,8.25%,83.36%,0.0%,0.0%,Eastern Standard Time,83,43,40,39,113,18,6.6,79,2080,4.6,2.16,VA-23408,37.0012321,-80.7372323,59%,64%,54%,51%,54%,33.8,43,62
Dublin,Virginia,2610,1933,Blacksburg-Christiansburg-Radford,167244,$50667,8.67%,37,$233000,1701,$137,48,58.92%,$693,60.42%,115,1267,17.61%,2.67%,34.4%,Pulaski County,27.50%,68.10%,0.34%,12.03%,83.33%,2.15%,1.84%,Eastern Standard Time,83,43,40,39,121,21,6.6,73,2080,4.6,1.35,VA-23648,37.0877812,-80.6822205,59%,64%,54%,51%,54%,33.8,43,62
Fairlawn,Virginia,2656,843,Blacksburg-Christiansburg-Radford,167244,$56554,31.97%,52,$285000,1875,$152,47,72.29%,$896,42.02%,N/A,N/A,3.54%,4.77%,58.42%,Pulaski County,27.50%,68.10%,0.0%,5.65%,92.02%,2.33%,1.51%,Eastern Standard Time,84,42,42,38,113,21,6.6,75,2080,4.6,3.15,VA-26736,37.1475451,-80.5567187,59%,64%,54%,51%,54%,33.8,43,62
Hiwassee,Virginia,229,45,Blacksburg-Christiansburg-Radford,167244,$72829,5.11%,52,N/A,N/A,N/A,57,26.2%,N/A,31.18%,N/A,N/A,0.0%,8.49%,56.99%,Pulaski County,27.50%,68.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,83,43,40,43,119,21,6.6,80,2080,4.6,5.14,VA-37544,36.9682567,-80.7044948,59%,64%,54%,51%,54%,33.8,43,62
New River,Virginia,370,949,Blacksburg-Christiansburg-Radford,167244,$94063,69.0%,52,N/A,N/A,N/A,50,100.0%,N/A,36.49%,N/A,N/A,10.27%,8.75%,86.49%,Pulaski County,27.50%,68.10%,0.0%,24.86%,70.0%,0.0%,0.0%,Eastern Standard Time,84,42,42,38,113,21,6.6,75,2080,4.6,0.39,VA-56048,37.140943,-80.5931098,59%,64%,54%,51%,54%,33.8,43,62
Parrott,Virginia,301,91,Blacksburg-Christiansburg-Radford,167244,$16295,32.74%,31,N/A,N/A,N/A,64,28.24%,N/A,77.19%,N/A,N/A,14.95%,0.0%,52.63%,Pulaski County,27.50%,68.10%,13.62%,0.0%,67.44%,0.0%,2.66%,Eastern Standard Time,84,42,42,38,113,18,6.6,75,2080,4.6,3.31,VA-60840,37.2168532,-80.6241578,59%,64%,54%,51%,54%,33.8,43,62
Pulaski,Virginia,8744,1084,Blacksburg-Christiansburg-Radford,167244,$50417,14.0%,41,$140000,1333,$105,61,54.54%,$775,53.73%,391,3201,24.48%,6.62%,57.27%,Pulaski County,27.50%,68.10%,0.56%,6.3%,85.35%,2.79%,2.07%,Eastern Standard Time,83,43,40,38,109,18,6.6,77,2080,4.6,8.07,VA-64880,37.0528099,-80.7624155,59%,64%,54%,51%,54%,33.8,43,62
Snowville,Virginia,65,30,Blacksburg-Christiansburg-Radford,167244,$19306,16.98%,59,N/A,N/A,N/A,31,81.54%,N/A,75.38%,N/A,N/A,46.15%,0.0%,24.62%,Pulaski County,27.50%,68.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,82,41,41,43,119,21,6.6,80,2080,4.6,2.17,VA-73376,37.0259715,-80.5739249,59%,64%,54%,51%,54%,33.8,43,62
