City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Clarence Center,New York,3211,1421,Buffalo-Cheektowaga-Niagara Falls,1125637,$119430,67.4%,37,$365000,1816,$201,35,99.1%,N/A,35.50%,N/A,N/A,0.0%,4.46%,71.27%,Erie County,50.90%,44.50%,0.0%,0.0%,97.32%,0.0%,1.65%,Eastern Standard Time,81,32,49,39,161,154,84,57.3,38.6,8,81,706,3.3,2.26,NY-15836
Colden,New York,3310,93,Buffalo-Cheektowaga-Niagara Falls,1125637,$75701,28.07%,N/A,$150000,1546,$97,59,76.10%,N/A,38.10%,N/A,N/A,N/A,4.20%,N/A,Erie County,50.90%,44.50%,0.5%,0.0%,96.2%,3.3%,N/A,Eastern Standard Time,78,30,48,45,161,157,116,N/A,N/A,8,88,706,3.3,35.59,NY-16870
Collins,New York,6583,137,Buffalo-Cheektowaga-Niagara Falls,1125637,$52932,11.87%,N/A,$165000,1587,$104,67,66.20%,N/A,62.10%,N/A,N/A,N/A,4.20%,N/A,Erie County,50.90%,44.50%,0.8%,14.9%,71.8%,8.4%,N/A,Eastern Standard Time,81,34,47,45,151,157,91,N/A,N/A,9,88,706,3.3,48.05,NY-17200
Concord,New York,8550,122,Buffalo-Cheektowaga-Niagara Falls,1125637,$48871,23.56%,N/A,$512000,1087,$471,56,65.10%,N/A,41.90%,N/A,N/A,N/A,4.20%,N/A,Erie County,50.90%,44.50%,0.3%,0.8%,95.8%,1.2%,N/A,Eastern Standard Time,78,30,48,45,174,157,107,N/A,N/A,N/A,83,706,3.3,70.08,NY-17585
Depew,New York,15069,2966,Buffalo-Cheektowaga-Niagara Falls,1125637,$62740,21.27%,42,$212000,1359,$156,58,75.47%,$893,49.50%,N/A,N/A,7.22%,5.57%,65.97%,Erie County,50.90%,44.50%,0.36%,3.94%,91.04%,3.25%,2.1%,Eastern Standard Time,81,32,49,39,162,158,85,57.3,38.6,8,70,706,3.3,5.08,NY-20313
East Aurora,New York,6172,2459,Buffalo-Cheektowaga-Niagara Falls,1125637,$76393,52.14%,50,$477000,2741,$174,78,77.23%,$826,45.50%,N/A,N/A,3.59%,3.44%,58.75%,Erie County,50.90%,44.50%,0.47%,1.05%,96.21%,0.91%,2.03%,Eastern Standard Time,79,31,48,43,160,159,116,57.3,38.6,8,83,706,3.3,2.51,NY-21589
Eden,New York,3157,565,Buffalo-Cheektowaga-Niagara Falls,1125637,$82330,27.16%,50,$223000,1843,$121,60,87.11%,$664,45.30%,N/A,N/A,6.24%,1.14%,63.23%,Erie County,50.90%,44.50%,1.93%,0.38%,93.54%,2.69%,1.9%,Eastern Standard Time,79,32,47,47,160,157,104,N/A,N/A,9,73,706,3.3,5.59,NY-23404
Eggertsville,New York,14806,5177,Buffalo-Cheektowaga-Niagara Falls,1125637,$70689,52.84%,42,$242000,1415,$171,65,80.45%,$861,48.30%,N/A,N/A,10.5%,4.56%,67.54%,Erie County,50.90%,44.50%,7.59%,11.74%,71.04%,5.98%,13.3%,Eastern Standard Time,81,32,49,39,162,157,84,57.3,38.6,9,66,706,3.3,2.86,NY-23701
Elma,New York,11735,340,Buffalo-Cheektowaga-Niagara Falls,1125637,$74814,42.24%,N/A,$467000,2699,$173,50,77.40%,N/A,39.60%,N/A,N/A,N/A,4.20%,N/A,Erie County,50.90%,44.50%,0.2%,0.0%,99.6%,0.1%,N/A,Eastern Standard Time,79,31,48,43,164,157,113,N/A,N/A,8,84,706,3.3,34.51,NY-24130
Elma Center,New York,3806,606,Buffalo-Cheektowaga-Niagara Falls,1125637,$94583,52.29%,41,$467000,2289,$204,48,92.08%,$1075,40.30%,N/A,N/A,0.63%,5.67%,62.37%,Erie County,50.90%,44.50%,0.0%,0.0%,99.47%,0.53%,2.52%,Eastern Standard Time,79,31,48,43,165,157,113,57.3,38.6,N/A,84,706,3.3,6.28,NY-24141
