City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Benton,Louisiana,2408,1115,Shreveport-Bossier City,395086,$59744,18.74%,39,$220000,1571,$140,37,78.95%,$829,47.15%,N/A,N/A,19.23%,3.23%,60.34%,Bossier County,25.40%,71.20%,0.25%,34.43%,45.39%,4.94%,1.0%,Central Standard Time,93,55,38,73,34,58%,56%,54,70,103,58%,69%,50%,53.24,11.74,14.31,26.74%,24.84%,30.67%,1.4,0,7.3,55.9,50,183,5.7,2.16,LA-06925,32.6906152,-93.7401029
Bossier City,Louisiana,62832,1435,Shreveport-Bossier City,395086,$55130,24.44%,35,$221000,1590,$139,41,53.63%,$1097,54.7%,790,4670,20.38%,5.91%,61.39%,Bossier County,25.40%,71.20%,2.82%,26.75%,55.0%,12.21%,5.65%,Central Standard Time,95,59,36,76,38,58%,56%,54,70,110,58%,69%,50%,46.26,9.84,12.43,26.74%,24.84%,30.67%,1.0,0,7.3,55.9,38,165,5.7,43.8,LA-08920,32.5223958,-93.6667985
Eastwood,Louisiana,4057,639,Shreveport-Bossier City,395086,$80000,27.41%,47,$203000,1515,$134,28,77.52%,N/A,41.32%,N/A,N/A,11.31%,1.57%,56.19%,Bossier County,25.40%,71.20%,0.17%,10.5%,76.46%,8.48%,1.85%,Central Standard Time,94,57,37,73,36,58%,56%,54,70,106,58%,69%,50%,50.32,10.78,13.3,26.36%,24.07%,31.33%,0.7,0,7.3,55.9,47,141,5.7,6.35,LA-22610,32.560704,-93.5624893
Haughton,Louisiana,4473,783,Shreveport-Bossier City,395086,$49411,20.04%,32,$238000,1556,$153,27,79.43%,$1012,59.33%,N/A,N/A,14.87%,7.13%,68.91%,Bossier County,25.40%,71.20%,0.0%,26.18%,71.97%,1.3%,0.0%,Central Standard Time,94,57,37,73,36,58%,56%,54,70,106,58%,69%,50%,49.8,10.66,14.05,20.08%,19.23%,23.0%,0.7,0,7.3,55.9,46,159,5.7,5.71,LA-33420,32.5275704,-93.5042161
Plain Dealing,Louisiana,852,539,Shreveport-Bossier City,395086,$31298,15.31%,54,$162000,2104,$77,51,64.47%,$493,62.45%,N/A,N/A,25.18%,8.61%,40.21%,Bossier County,25.40%,71.20%,0.0%,37.09%,62.21%,0.47%,0.0%,Central Standard Time,93,55,38,73,34,58%,56%,54,70,103,58%,69%,50%,52.69,10.87,13.83,26.99%,22.97%,32.33%,1.5,0,7.3,55.9,55,231,5.7,1.58,LA-60670,32.907423,-93.6990728
Red Chute,Louisiana,7418,805,Shreveport-Bossier City,395086,$79119,29.58%,34,$275000,1698,$162,26,85.78%,$1821,40.47%,N/A,N/A,14.07%,4.46%,60.19%,Bossier County,25.40%,71.20%,1.2%,11.57%,76.07%,11.19%,7.1%,Central Standard Time,95,59,36,76,38,58%,56%,54,70,110,58%,69%,50%,46.26,9.84,12.43,26.74%,24.84%,30.67%,1.2,0,7.3,55.9,50,165,5.7,9.22,LA-63855,32.5731476,-93.6059684
