City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible
Coburg,Oregon,1384,1344,Eugene,382986,$55900,22.5%,42,N/A,N/A,N/A,42,85.76%,$882,43.18%,346,1816,10.2%,7.32%,54.29%,Lane County,53.50%,35.00%,2.24%,0.0%,87.86%,4.84%,4.12%,Pacific Standard Time,83,46,37,47,151,156,4,51,43.7,4,65,373,3.1,1.03,OR-14400,44.1393732,-123.0589,50%,67%,30%
Cottage Grove,Oregon,10302,2669,Eugene,382986,$50765,22.24%,39,$351000,1227,$286,48,62.56%,$823,53.46%,N/A,N/A,18.96%,7.92%,61.56%,Lane County,53.50%,35.00%,1.16%,1.25%,80.57%,9.71%,3.1%,Pacific Standard Time,81,46,35,47,155,159,2,50.6,43.5,4,69,373,3.1,3.86,OR-15950,43.7960851,-123.0573106,50%,67%,30%
Creswell,Oregon,5445,3184,Eugene,382986,$72305,24.35%,39,$460000,1586,$290,23,68.35%,$1116,41.07%,N/A,N/A,6.03%,1.85%,67.19%,Lane County,53.50%,35.00%,0.18%,0.0%,84.44%,6.78%,4.1%,Pacific Standard Time,81,46,35,47,158,157,2,50.7,43.8,4,68,373,3.1,1.71,OR-16950,43.9212424,-123.016064,50%,67%,30%
Dunes City,Oregon,1208,449,Eugene,382986,$70104,32.66%,61,N/A,N/A,N/A,41,86.09%,$1117,36.84%,N/A,N/A,4.8%,1.1%,42.38%,Lane County,53.50%,35.00%,3.06%,0.0%,86.34%,5.22%,3.31%,Pacific Standard Time,71,48,23,78,159,156,1,51.7,45.5,N/A,86,373,3.1,2.69,OR-21150,43.9080037,-124.0984642,50%,67%,30%
Eugene,Oregon,170457,3858,Eugene,382986,$52689,43.01%,35,$469000,1646,$285,42,50.52%,$1075,60.21%,389,3570,20.29%,7.48%,63.16%,Lane County,53.50%,35.00%,4.43%,1.43%,77.59%,10.38%,7.41%,Pacific Standard Time,82,46,36,47,151,155,3,51,44,4,40,373,3.1,44.18,OR-23850,44.0564829,-123.1173982,50%,67%,30%
Florence,Oregon,9037,1667,Eugene,382986,$48944,28.25%,61,$410000,1362,$301,29,64.13%,$951,48.14%,185,2471,12.32%,5.53%,38.06%,Lane County,53.50%,35.00%,1.96%,0.98%,88.67%,5.53%,8.68%,Pacific Standard Time,71,48,23,78,160,160,1,52,46.3,N/A,73,373,3.1,5.42,OR-26050,43.9915883,-124.1063608,50%,67%,30%
Junction City,Oregon,6140,1866,Eugene,382986,$59411,18.46%,34,$477000,2065,$231,43,62.37%,$787,57.67%,N/A,N/A,13.31%,3.42%,66.36%,Lane County,53.50%,35.00%,0.0%,0.21%,83.22%,13.32%,3.44%,Pacific Standard Time,83,46,37,47,152,155,5,51.1,44.2,4,71,373,3.1,3.29,OR-38000,44.2232648,-123.2266505,50%,67%,30%
Lowell,Oregon,1027,1180,Eugene,382986,$55795,19.31%,48,$484000,1913,$253,30,86.56%,$852,39.62%,N/A,N/A,5.16%,2.29%,47.64%,Lane County,53.50%,35.00%,2.04%,0.0%,94.64%,0.29%,3.51%,Pacific Standard Time,81,46,35,53,162,158,2,50.9,43.6,4,75,373,3.1,0.87,OR-44050,43.9207666,-122.7819489,50%,67%,30%
Oakridge,Oregon,3336,1544,Eugene,382986,$32583,14.04%,40,$236000,971,$243,50,53.93%,$786,66.91%,N/A,N/A,37.71%,17.47%,40.77%,Lane County,53.50%,35.00%,0.0%,0.0%,89.42%,0.48%,0.51%,Pacific Standard Time,83,42,41,58,145,160,3,48.8,41.2,4,83,373,3.1,2.16,OR-54100,43.7450991,-122.4639657,50%,67%,30%
Springfield,Oregon,62729,3958,Eugene,382986,$49938,18.87%,37,$445000,1540,$289,45,53.94%,$969,54.6%,299,3118,18.32%,8.05%,65.66%,Lane County,53.50%,35.00%,1.99%,0.7%,79.92%,11.28%,4.9%,Pacific Standard Time,83,46,37,50,157,158,4,50.9,43.9,4,43,373,3.1,15.85,OR-69600,44.0537504,-122.981115,50%,67%,30%
Veneta,Oregon,5010,1949,Eugene,382986,$49240,17.68%,45,$375000,1284,$292,40,79.41%,$1072,49.09%,N/A,N/A,8.17%,3.58%,58.4%,Lane County,53.50%,35.00%,5.31%,0.84%,77.66%,12.36%,5.33%,Pacific Standard Time,83,46,37,47,148,159,3,51,44,4,76,373,3.1,2.57,OR-77050,44.0471499,-123.351335,50%,67%,30%
Westfir,Oregon,315,1016,Eugene,382986,$44453,9.51%,57,N/A,N/A,N/A,67,89.84%,$860,46.62%,N/A,N/A,11.43%,15.44%,48.75%,Lane County,53.50%,35.00%,0.0%,0.0%,95.24%,3.49%,3.49%,Pacific Standard Time,83,42,41,58,146,156,3,48.9,41.2,4,83,373,3.1,0.31,OR-79950,43.7579218,-122.509416,50%,67%,30%
