City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Athens,Texas,12667,710,Athens,154428,$37533,19.06%,36,$300000,1786,$168,45,56.41%,$816,52.91%,366,2209,29.46%,6.55%,52.01%,Henderson County,18.90%,78.70%,2.08%,17.31%,49.7%,28.63%,11.04%,N/A,96,58,38,45.36,0.9,7.3,57,411,5.7,17.83,TX-04504,32.2040533,-95.8321615,61%,71%,56%,54%,50%,43.1,53,68,74,34,8.78,11.03,22.79%,19.01%,26.44%,0
Berryville,Texas,1286,982,Athens,154428,$48438,8.28%,39,N/A,N/A,N/A,37,87.79%,$725,38.88%,N/A,N/A,7.0%,2.78%,53.73%,Henderson County,18.90%,78.70%,0.0%,6.69%,74.42%,15.55%,0.31%,N/A,96,59,37,47.95,0.3,7.3,62,372,5.7,1.31,TX-07852,32.0884379,-95.4731551,61%,71%,56%,54%,50%,55.9,54,70,73,35,10.02,11.71,26.6%,23.74%,29.78%,0
Brownsboro,Texas,1556,657,Athens,154428,$57500,15.34%,27,$480000,2623,$183,33,56.75%,$971,35.31%,77,77,14.8%,6.2%,74.1%,Henderson County,18.90%,78.70%,0.0%,5.14%,84.58%,8.93%,3.66%,N/A,96,58,38,43.01,0.9,7.3,62,498,5.7,2.37,TX-10756,32.29842,-95.6130416,61%,71%,56%,54%,50%,43.1,53,68,75,37,9.29,10.54,25.12%,21.43%,29.0%,0
Caney City,Texas,125,109,Athens,154428,$34583,29.46%,60,$488000,2150,$227,35,76.0%,$647,41.6%,N/A,N/A,20.0%,3.57%,45.53%,Henderson County,18.90%,78.70%,0.0%,32.8%,54.4%,0.0%,0.0%,N/A,96,58,38,45.63,0.9,7.3,60,426,5.7,1.15,TX-12472,32.2096194,-96.0381418,61%,71%,56%,54%,50%,43.1,53,68,74,34,8.89,10.69,22.79%,19.01%,26.44%,0
Chandler,Texas,3085,508,Athens,154428,$51071,22.71%,47,$393000,2456,$160,26,78.47%,$775,42.9%,0,381,7.87%,8.64%,53.86%,Henderson County,18.90%,78.70%,0.13%,7.88%,84.76%,5.93%,2.66%,N/A,96,58,38,43.01,0.9,7.3,63,498,5.7,6.07,TX-14224,32.306486,-95.4781147,61%,71%,56%,54%,50%,55.9,54,70,75,37,9.29,10.54,25.12%,21.43%,29.0%,0
Coffee City,Texas,267,138,Athens,154428,$56250,19.91%,63,N/A,N/A,N/A,33,84.27%,$1016,71.15%,N/A,N/A,10.11%,0.0%,43.08%,Henderson County,18.90%,78.70%,3.75%,21.35%,67.42%,2.62%,1.87%,N/A,96,58,38,47.95,0.3,7.3,62,372,5.7,1.93,TX-15820,32.1254987,-95.4796705,61%,71%,56%,54%,50%,55.9,54,70,75,37,10.02,11.71,25.12%,21.43%,29.0%,0
Enchanted Oaks,Texas,254,635,Athens,154428,$60625,37.44%,62,$670000,1898,$353,40,88.19%,$1000,25.2%,N/A,N/A,2.76%,1.96%,42.32%,Henderson County,18.90%,78.70%,0.0%,0.39%,95.67%,1.57%,0.0%,N/A,96,58,38,44.11,0.9,7.3,61,369,5.7,0.4,TX-24228,32.2666007,-96.1089894,61%,71%,56%,54%,50%,43.1,53,68,74,34,8.28,9.47,25.81%,19.67%,28.56%,0
Eustace,Texas,1326,453,Athens,154428,$38558,14.07%,42,$129000,963,$134,32,61.46%,$642,47.42%,N/A,N/A,12.51%,2.87%,53.37%,Henderson County,18.90%,78.70%,1.13%,9.13%,78.43%,8.37%,6.11%,N/A,96,58,38,45.03,0.9,7.3,62,534,5.7,2.93,TX-24828,32.3075425,-96.0138002,61%,71%,56%,54%,50%,45.7,51,67,74,34,9.56,10.85,26.05%,21.43%,29.89%,0
Gun Barrel City,Texas,6160,986,Athens,154428,$52453,12.29%,51,$255000,1401,$182,35,83.44%,$754,46.12%,159,1753,14.84%,7.47%,47.27%,Henderson County,18.90%,78.70%,0.0%,0.44%,92.13%,6.48%,1.4%,N/A,96,58,38,45.03,0.9,7.3,62,534,5.7,6.25,TX-31592,32.3276784,-96.1288169,61%,71%,56%,54%,50%,45.7,51,67,74,34,9.56,10.85,25.81%,19.67%,28.56%,0
Log Cabin,Texas,869,828,Athens,154428,$30938,30.74%,58,N/A,N/A,N/A,30,80.44%,$786,46.21%,N/A,N/A,19.82%,2.23%,37.99%,Henderson County,18.90%,78.70%,0.0%,0.0%,80.55%,4.95%,4.72%,N/A,96,58,38,45.63,0.9,7.3,58,426,5.7,1.05,TX-43354,32.2230887,-96.022264,61%,71%,56%,54%,50%,43.1,53,68,74,34,8.89,10.69,22.79%,19.01%,26.44%,0
Malakoff,Texas,2558,891,Athens,154428,$34605,9.15%,32,$560000,1600,$350,45,45.91%,$759,55.9%,N/A,N/A,35.91%,6.9%,64.22%,Henderson County,18.90%,78.70%,0.0%,22.67%,57.23%,16.77%,4.22%,N/A,96,58,38,45.63,0.9,7.3,57,426,5.7,2.87,TX-46224,32.1727473,-96.0162295,61%,71%,56%,54%,50%,43.1,53,68,74,34,8.89,10.69,22.79%,19.01%,26.44%,0
Moore Station,Texas,154,122,Athens,154428,$36250,6.72%,47,N/A,N/A,N/A,41,75.32%,N/A,56.46%,N/A,N/A,14.29%,0.0%,39.46%,Henderson County,18.90%,78.70%,0.0%,93.51%,6.49%,0.0%,0.0%,N/A,96,58,38,43.01,0.9,7.3,62,498,5.7,1.26,TX-49272,32.190556,-95.5703918,61%,71%,56%,54%,50%,43.1,53,68,75,37,9.29,10.54,25.12%,21.43%,29.0%,0
Murchison,Texas,348,220,Athens,154428,$46250,17.92%,48,$195000,899,$217,42,70.69%,$783,33.22%,N/A,N/A,10.34%,5.42%,57.44%,Henderson County,18.90%,78.70%,0.57%,3.16%,64.37%,31.9%,9.48%,N/A,96,58,38,45.36,0.9,7.3,63,411,5.7,1.58,TX-50076,32.2751725,-95.7560672,61%,71%,56%,54%,50%,43.1,53,68,74,34,8.78,11.03,22.79%,19.01%,26.44%,0
Payne Springs,Texas,710,336,Athens,154428,$37105,12.64%,50,$525000,1996,$263,40,80.56%,$950,52.0%,N/A,N/A,11.52%,2.3%,49.27%,Henderson County,18.90%,78.70%,0.56%,0.0%,88.03%,9.3%,1.41%,N/A,96,58,38,45.03,0.9,7.3,61,534,5.7,2.11,TX-56276,32.2721309,-96.0871625,61%,71%,56%,54%,50%,43.1,53,68,74,34,9.56,10.85,25.81%,19.67%,28.56%,0
