City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Clay township (Bartholomew Cnty),Indiana,3477,6439,Columbus,2495935,$57076,N/A,N/A,N/A,N/A,N/A,34,78.40%,N/A,38.70%,N/A,N/A,N/A,2.60%,N/A,Bartholomew County,30.10%,63.10%,N/A,N/A,N/A,4.20%,N/A,Eastern Standard Time,86,39,47,49.63,118,14.0,7.8,73,594,3.7,0.54,IN-12970,39.2247356,-85.8145732,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,10.63,34.74%,33.08%,36.33%,11
Clifford,Indiana,270,3000,Columbus,2495935,$54659,4.81%,36,N/A,N/A,N/A,48,52.59%,$638,55.1%,N/A,N/A,10.89%,1.08%,76.54%,Bartholomew County,30.10%,63.10%,0.0%,7.04%,90.74%,2.22%,0.37%,Eastern Standard Time,86,39,47,49.63,118,14.0,7.8,76,594,3.7,0.09,IN-13582,39.2826378,-85.8690512,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,10.63,34.74%,33.08%,36.33%,11
Clifty,Indiana,1213,53,Columbus,2495935,$49224,N/A,N/A,N/A,N/A,N/A,45,74.20%,N/A,39.70%,N/A,N/A,N/A,2.60%,N/A,Bartholomew County,30.10%,63.10%,N/A,N/A,N/A,2.60%,N/A,Eastern Standard Time,86,39,47,49.63,118,14.0,8.3,75,594,3.7,22.89,IN-13618,39.2251355,-85.7294439,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,10.63,34.74%,33.08%,36.33%,11
Columbus,Indiana,48820,1737,Columbus,2495935,$67387,41.81%,36,$242000,1906,$127,41,64.46%,$956,48.27%,N/A,N/A,12.61%,4.97%,65.19%,Bartholomew County,30.10%,63.10%,13.1%,2.24%,74.24%,7.49%,15.58%,Eastern Standard Time,86,39,47,49.69,118,14.0,7.8,57,558,3.7,28.1,IN-14734,39.2093418,-85.9182692,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,11.28,34.74%,33.08%,36.33%,11
Columbus township,Indiana,48820,1737,Columbus,2495935,$67387,41.81%,36,$242000,1906,$127,41,64.46%,$956,48.27%,N/A,N/A,12.61%,4.97%,65.19%,Bartholomew County,30.10%,63.10%,13.1%,2.24%,74.24%,7.49%,15.58%,Eastern Standard Time,86,39,47,49.69,118,14.0,7.8,57,558,3.7,28.1,IN-14734,39.2093418,-85.9182692,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,11.28,34.74%,33.08%,36.33%,11
Elizabethtown,Indiana,518,1992,Columbus,2495935,$52143,2.73%,34,$277000,2328,$119,53,61.39%,$637,51.39%,N/A,N/A,24.13%,4.46%,68.62%,Bartholomew County,30.10%,63.10%,0.0%,9.65%,86.87%,2.9%,4.83%,Eastern Standard Time,86,39,47,49.69,114,14.0,7.8,74,558,3.7,0.26,IN-20692,39.1350791,-85.8124379,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,11.28,34.74%,33.08%,36.33%,11
Flat Rock,Indiana,1561,50,Columbus,2495935,$55804,21.61%,N/A,N/A,N/A,N/A,49,78.70%,N/A,50.20%,N/A,N/A,N/A,2.60%,N/A,Bartholomew County,30.10%,63.10%,N/A,1.41%,N/A,N/A,N/A,Eastern Standard Time,86,39,47,49.63,118,14.0,8.3,76,594,3.7,31.22,IN-23548,39.2996806,-85.8490807,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,10.63,34.74%,33.08%,36.33%,11
German township (Bartholomew Cnty),Indiana,7503,240,Columbus,2495935,$42667,N/A,N/A,N/A,N/A,N/A,38,77.30%,N/A,44.00%,N/A,N/A,N/A,2.60%,N/A,Bartholomew County,30.10%,63.10%,N/A,N/A,N/A,20.20%,N/A,Eastern Standard Time,86,39,47,49.63,118,14.0,7.8,72,594,3.7,31.26,IN-27432,39.3067131,-85.9398187,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,10.63,34.74%,33.08%,36.33%,11
Harrison township (Bartholomew Cnty),Indiana,4051,174,Columbus,2495935,$109318,N/A,N/A,N/A,N/A,N/A,29,82.50%,N/A,29.90%,N/A,N/A,N/A,2.60%,N/A,Bartholomew County,30.10%,63.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,39,47,49.69,118,14.0,7.8,72,558,3.7,23.28,IN-31612,39.1875972,-86.033208,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,11.28,34.74%,33.08%,36.33%,11
Hartsville,Indiana,416,1261,Columbus,2495935,$58750,11.28%,38,$234000,1232,$190,80,78.85%,N/A,50.32%,N/A,N/A,16.83%,3.9%,52.74%,Bartholomew County,30.10%,63.10%,1.2%,0.0%,97.84%,0.0%,1.2%,Eastern Standard Time,84,37,47,49.63,117,14.0,8.3,76,594,3.7,0.33,IN-32332,39.2669637,-85.6991885,51%,64%,41%,60%,57%,41.0,42,63,66,22,13.82,10.63,33.32%,32.42%,34.78%,11
Haw Creek,Indiana,4058,109,Columbus,2495935,$50091,15.24%,N/A,N/A,N/A,N/A,58,75.40%,N/A,44.10%,N/A,N/A,N/A,2.60%,N/A,Bartholomew County,30.10%,63.10%,N/A,1.10%,N/A,N/A,N/A,Eastern Standard Time,86,39,47,49.63,118,14.0,8.3,76,594,3.7,37.23,IN-32530,39.3059244,-85.7425591,51%,64%,41%,60%,57%,41.0,42,63,65,22,13.82,10.63,34.74%,33.08%,36.33%,11
