City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents
Allenspark,Colorado,503,42,Boulder,327171,78,34,44,18,123,244,130,44.3,28.5,7,13,24,62,N/A,$47466,2.9%,N/A,N/A,$471300,1309,$360,62,20.40%,3%,46%,51%,93,22 mins,2.40%,2.70%,9.60%,Boulder County,70.30%,22.00%,0.0%,0.8%,95.0%,2.8%,2.2%,Mountain Standard Time,5332,5.8,41.80%,18,N/A,7,13.2%,50.89,0,0,0,N/A,N/A
Altona,Colorado,385,228,Boulder,327171,85,44,41,19,90,245,79,44.3,28.5,N/A,11,20,61,N/A,$91125,10.6%,$2351,817,$1100000,2637,$417,39,91.90%,6%,55%,67%,86,22 mins,2.40%,2.70%,27.50%,Boulder County,70.30%,22.00%,0.0%,0.0%,100.0%,0.0%,11.3%,Mountain Standard Time,5332,5.8,26.10%,6,N/A,19,20.6%,0.00,0,2,6,N/A,N/A
Bonanza Mountain Estates,Colorado,195,1161,Boulder,327171,77,34,43,19,111,245,118,44.3,28.5,N/A,10,17,47,N/A,$43854,0%,N/A,N/A,$506700,N/A,N/A,31,100.00%,6%,56%,68%,92,22 mins,2.40%,2.70%,-16.30%,Boulder County,70.30%,22.00%,0.0%,0.0%,70.8%,0.0%,0%,Mountain Standard Time,5332,5.8,37.60%,0,N/A,N/A,40.5%,0.00,0,1,4,N/A,N/A
Boulder,Colorado,106271,4042,Boulder,327171,88,45,43,18,88,245,71,44.3,28.5,6,13,40,28,76.05%,$58062,6.7%,$2171,824,$899700,1898,$474,42,45.10%,6%,57%,70%,74,19 mins,2.30%,2.70%,9.50%,Boulder County,70.30%,22.00%,5.3%,1.0%,81.0%,9.3%,11.4%,Mountain Standard Time,5332,5.8,66.50%,57,49,86,18.3%,7.96,0,2,9,256,3026
