City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation
Apple Creek,North Dakota,2863,82,Bismarck,129641,$94042,36.47%,N/A,N/A,N/A,N/A,15,89.20%,N/A,22.50%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.6%,4.0%,92.2%,1.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,87,N/A,N/A,90,1697,3,34.91,ND-02780,46.7651985,-100.6449232,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,27.75%,31.76%,28.33%
Bismarck,North Dakota,70536,2034,Bismarck,129641,$57660,35.72%,N/A,N/A,N/A,N/A,35,58.50%,N/A,49.80%,305,2782,5.3%,2.10%,N/A,Burleigh County,22.70%,67.80%,0.9%,2.0%,89.0%,2.3%,2.6%,Central Standard Time,N/A,N/A,N/A,N/A,87,N/A,N/A,74,1697,3,34.68,ND-07203,46.7297164,-100.7601265,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,27.75%,31.76%,28.33%
Boyd,North Dakota,138,4,Bismarck,129641,$84583,N/A,N/A,N/A,N/A,N/A,41,75.00%,N/A,48.80%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.0%,0.0%,89.9%,0.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,83,N/A,N/A,92,1697,3,34.5,ND-08780,46.7650829,-100.5209281,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,27.75%,31.76%,28.33%
Canfield,North Dakota,8,0,Bismarck,129641,$0,N/A,N/A,N/A,N/A,N/A,32,100.00%,N/A,100.00%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,78,N/A,N/A,95,1697,3,N/A,ND-11940,47.2001379,-100.4316972,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,28.74%,34.4%,29.89%
Christiania,North Dakota,29,1,Bismarck,129641,$74375,N/A,N/A,N/A,N/A,N/A,62,83.30%,N/A,25.00%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.0%,0.0%,96.6%,0.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,76,N/A,N/A,92,1697,3,29.0,ND-14060,46.9382405,-100.265504,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,23.42%,30.0%,16.78%
Clear Lake township (Burleigh Cnty),North Dakota,48,1,Bismarck,129641,$24792,N/A,N/A,N/A,N/A,N/A,52,100.00%,N/A,27.00%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,77,N/A,N/A,92,1697,3,48.0,ND-14380,46.9379233,-100.1390601,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,23.42%,30.0%,16.78%
Crofte,North Dakota,204,6,Bismarck,129641,$79375,N/A,N/A,N/A,N/A,N/A,33,75.00%,N/A,32.70%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.0%,0.0%,98.5%,1.5%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,77,N/A,N/A,95,1697,3,34.0,ND-16860,47.0264306,-100.6859878,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,28.74%,34.4%,29.89%
Cromwell,North Dakota,21,1,Bismarck,129641,$68750,N/A,N/A,N/A,N/A,N/A,31,100.00%,N/A,35.00%,N/A,N/A,N/A,2.00%,N/A,Burleigh County,22.70%,67.80%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,78,N/A,N/A,95,1697,3,21.0,ND-16900,47.0260139,-100.5588046,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,28.74%,34.4%,29.89%
Driscoll CDP,North Dakota,85,147,Bismarck,129641,$35982,11.48%,43,N/A,N/A,N/A,55,75.29%,N/A,55.88%,N/A,N/A,31.76%,2.94%,50.0%,Burleigh County,22.70%,67.80%,0.0%,0.0%,92.94%,0.0%,0.0%,Central Standard Time,N/A,N/A,N/A,N/A,77,N/A,N/A,92,1697,3,0.58,ND-20500,46.8426826,-100.1439053,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,23.42%,30.0%,16.78%
Driscoll township,North Dakota,85,147,Bismarck,129641,$35982,11.48%,43,N/A,N/A,N/A,55,75.29%,N/A,55.88%,N/A,N/A,31.76%,2.94%,50.0%,Burleigh County,22.70%,67.80%,0.0%,0.0%,92.94%,0.0%,0.0%,Central Standard Time,N/A,N/A,N/A,N/A,77,N/A,N/A,92,1697,3,0.58,ND-20500,46.8426826,-100.1439053,59%,71%,50%,58%,50%,33.6,30,53,N/A,N/A,N/A,N/A,23.42%,30.0%,16.78%
