City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Irvington,New Jersey,54715,18674,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,518,1880,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,41,47,70,26,53%,51%,41,61,91,55%,62%,50%,50.18,15.11,11.35,33.64%,34.18%,36.11%,32.2,12,7.4,25.9,30,219,3.7,2.93,NJ-34440,40.7241996,-74.231807
Livingston,New Jersey,29955,2175,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,1176,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,67,23,53%,51%,41,61,91,55%,62%,50%,52.51,15.54,11.99,34.93%,39.34%,31.22%,31.3,9,7.4,25.9,54,165,3.7,13.77,NJ-40920,40.7856527,-74.329121
Maplewood,New Jersey,24706,6368,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,1719,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,67,23,53%,51%,41,61,91,55%,62%,50%,50.18,15.11,11.35,34.93%,39.34%,31.22%,31.3,9,7.4,25.9,41,219,3.7,3.88,NJ-43830,40.7329712,-74.271251
Millburn,New Jersey,20387,2185,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,2160,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,67,23,53%,51%,41,61,91,55%,62%,50%,52.51,15.54,11.99,34.93%,39.34%,31.22%,32.2,12,7.4,25.9,51,165,3.7,9.33,NJ-46410,40.7394673,-74.324067
Montclair,New Jersey,38572,6113,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,$739000,1621,$456,N/A,N/A,N/A,N/A,150,1232,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,47,327,3.7,6.31,NJ-47490,40.8255311,-74.211092
Newark,New Jersey,306247,12686,New York-Newark-Jersey City,20011812,$41335,15.98%,35,$403000,2067,$195,54,26.68%,$1167,65.91%,618,1640,25.78%,11.25%,61.75%,Essex County,77.00%,20.20%,1.86%,48.19%,9.95%,36.77%,33.95%,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,52.68,15.18,12.43,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,26,21,3.7,24.14,NJ-51000,40.7244769,-74.1725452
North Caldwell,New Jersey,6633,2161,New York-Newark-Jersey City,20011812,$172419,75.58%,47,$652000,1847,$353,50,99.47%,N/A,31.57%,75,331,0.27%,5.47%,64.6%,Essex County,77.00%,20.20%,9.51%,1.21%,79.87%,6.06%,13.39%,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,57,327,3.7,3.07,NJ-52620,40.8648215,-74.2582027
Nutley,New Jersey,28829,8529,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,$561000,1520,$369,N/A,N/A,N/A,N/A,98,577,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,54.8,16.31,12.07,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,38,327,3.7,3.38,NJ-53670,40.8192428,-74.157191
Roseland,New Jersey,6240,1724,New York-Newark-Jersey City,20011812,$145994,63.96%,45,$675000,2368,$285,43,80.93%,$2598,32.1%,34,583,1.41%,5.57%,67.63%,Essex County,77.00%,20.20%,8.54%,0.21%,79.07%,5.5%,11.12%,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,45.8,14.21,9.69,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,56,159,3.7,3.62,NJ-64590,40.8208011,-74.3086794
Short Hills,New Jersey,14500,2757,New York-Newark-Jersey City,20011812,$250001,88.23%,41,$1800000,3061,$588,64,90.77%,$3279,24.69%,N/A,N/A,2.96%,4.06%,67.28%,Essex County,77.00%,20.20%,35.56%,1.29%,54.1%,4.15%,28.86%,Eastern Standard Time,88,40,48,67,23,53%,51%,41,61,91,55%,62%,50%,52.51,15.54,11.99,34.93%,39.34%,31.22%,32.2,12,7.4,25.9,54,165,3.7,5.26,NJ-67320,40.738806,-74.3278234
Silver Lake (Essex Cnty),New Jersey,4159,12603,New York-Newark-Jersey City,20011812,$55690,24.58%,34,$378000,1890,$200,72,38.59%,$1366,46.3%,N/A,N/A,16.57%,7.81%,57.81%,Essex County,77.00%,20.20%,19.76%,16.54%,17.17%,42.15%,38.42%,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,52.68,15.18,12.43,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,38,21,3.7,0.33,NJ-67590,40.7804347,-74.1828149
South Orange Village,New Jersey,16503,5770,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77,1666,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,67,23,53%,51%,41,61,91,55%,62%,50%,50.18,15.11,11.35,34.93%,39.34%,31.22%,31.3,9,7.4,25.9,42,219,3.7,2.86,NJ-69255,40.749051,-74.260376
Upper Montclair,New Jersey,12033,5056,New York-Newark-Jersey City,20011812,$235637,82.89%,42,$1601000,2704,$592,N/A,89.45%,$2241,32.57%,N/A,N/A,1.86%,6.12%,70.4%,Essex County,77.00%,20.20%,4.2%,4.42%,79.01%,6.9%,12.76%,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,50,327,3.7,2.38,NJ-75020,40.843268,-74.2006386
Verona,New Jersey,13585,4922,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,366,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,50,327,3.7,2.76,NJ-75800,40.8329967,-74.243377
West Caldwell,New Jersey,10932,2160,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,$529000,1547,$342,N/A,N/A,N/A,N/A,18,498,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,45.8,14.21,9.69,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,57,159,3.7,5.06,NJ-78500,40.8485221,-74.296955
West Orange,New Jersey,47609,3951,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192,1411,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,67,23,53%,51%,41,61,91,55%,62%,50%,50.18,15.11,11.35,34.93%,39.34%,31.22%,31.3,9,7.4,25.9,47,219,3.7,12.05,NJ-79790,40.7894864,-74.262767
