City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Brownsville,Indiana,655,23,Cincinnati,2232907,$45385,16.74%,N/A,N/A,N/A,N/A,78,67.00%,N/A,35.70%,N/A,N/A,N/A,3.40%,N/A,Union County,21.70%,74.30%,0.0%,0.0%,100.0%,0.0%,N/A,Eastern Standard Time,85,37,48,42,133,21,8.3,79,550,3.7,28.48,IN-08542,39.6918656,-84.9811057,53%,66%,41%,60%,55%,38.6,41,61
Center township (Union Cnty),Indiana,2934,105,Cincinnati,2232907,$41667,N/A,N/A,N/A,N/A,N/A,51,52.20%,N/A,53.10%,N/A,N/A,N/A,3.40%,N/A,Union County,21.70%,74.30%,1.2%,0.2%,94.1%,0.0%,N/A,Eastern Standard Time,85,36,49,42,134,21,8.3,79,550,3.7,27.94,IN-11656,39.6252527,-84.880554,53%,66%,41%,60%,55%,38.6,41,61
Harmony township (Union Cnty),Indiana,571,696,Cincinnati,2232907,$63854,N/A,N/A,N/A,N/A,N/A,36,58.20%,N/A,33.00%,N/A,N/A,N/A,3.40%,N/A,Union County,21.70%,74.30%,0.0%,0.0%,100.0%,0.0%,N/A,Eastern Standard Time,87,39,48,42,134,21,8.3,79,550,3.7,0.82,IN-31522,39.5535359,-84.9826063,53%,66%,41%,59%,56%,38.6,41,61
Harrison township (Union Cnty),Indiana,395,13,Cincinnati,2232907,$29770,N/A,N/A,N/A,N/A,N/A,46,89.80%,N/A,44.40%,N/A,N/A,N/A,3.40%,N/A,Union County,21.70%,74.30%,0.0%,0.0%,100.0%,0.0%,N/A,Eastern Standard Time,85,37,48,42,134,21,8.3,79,550,3.7,30.38,IN-32008,39.6904253,-84.8709369,53%,66%,41%,60%,55%,38.6,41,61
Liberty,Indiana,1655,1924,Cincinnati,2232907,$48836,17.71%,45,N/A,N/A,N/A,62,66.04%,$818,47.47%,N/A,N/A,7.52%,0.96%,58.74%,Union County,21.70%,74.30%,0.91%,0.24%,92.27%,3.14%,4.29%,Eastern Standard Time,87,39,48,42,134,21,8.3,79,550,3.7,0.86,IN-43434,39.6348565,-84.9260533,53%,66%,41%,60%,55%,38.6,41,61
Liberty township (Union Cnty),Indiana,1655,1924,Cincinnati,2232907,$48836,17.71%,45,N/A,N/A,N/A,62,66.04%,$818,47.47%,N/A,N/A,7.52%,0.96%,58.74%,Union County,21.70%,74.30%,0.91%,0.24%,92.27%,3.14%,4.29%,Eastern Standard Time,87,39,48,42,134,21,8.3,79,550,3.7,0.86,IN-43434,39.6348565,-84.9260533,53%,66%,41%,60%,55%,38.6,41,61
Union township (Union Cnty),Indiana,1502,665,Cincinnati,2232907,$53785,N/A,N/A,N/A,N/A,N/A,55,56.50%,N/A,56.00%,N/A,N/A,N/A,3.40%,N/A,Union County,21.70%,74.30%,0.0%,0.0%,91.7%,0.0%,N/A,Eastern Standard Time,87,39,48,42,134,20,8.3,79,550,3.7,2.26,IN-77678,39.5598372,-84.8717211,53%,66%,41%,59%,56%,38.6,41,61
West College Corner,Indiana,505,1870,Cincinnati,2232907,$50833,35.15%,31,N/A,N/A,N/A,64,61.78%,$760,48.96%,N/A,N/A,7.92%,0.0%,60.16%,Union County,21.70%,74.30%,0.99%,2.57%,89.5%,9.31%,0.99%,Eastern Standard Time,87,39,48,42,134,19,8.3,79,550,3.7,0.27,IN-82556,39.5694147,-84.8189735,53%,66%,41%,59%,56%,38.6,41,61
