City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible
Arkoma,Oklahoma,1841,531,Fort Smith,250434,$26852,8.35%,35,N/A,N/A,N/A,50,54.64%,$586,62.52%,N/A,N/A,35.02%,12.87%,47.97%,Le Flore County,18.90%,77.60%,0.16%,1.03%,78.22%,3.86%,0.6%,Central Standard Time,93,50,43,48,90,216,4,67,50.2,6,49,463,4.6,3.47,OK-02650,35.33746,-94.4438442,61%,72%,53%
Bokoshe,Oklahoma,473,860,Fort Smith,250434,$29821,9.25%,33,N/A,N/A,N/A,42,70.19%,$569,48.33%,N/A,N/A,28.57%,10.32%,43.79%,Le Flore County,18.90%,77.60%,0.0%,0.85%,55.18%,0.42%,0.42%,Central Standard Time,94,52,42,47,82,220,3,66.9,50.5,6,52,463,4.6,0.55,OK-07450,35.1903714,-94.7904063,61%,72%,53%
Cameron,Oklahoma,332,223,Fort Smith,250434,$36750,6.36%,30,N/A,N/A,N/A,44,63.86%,$733,58.48%,N/A,N/A,40.66%,0.74%,50.75%,Le Flore County,18.90%,77.60%,0.0%,0.0%,84.34%,0.6%,0.0%,Central Standard Time,94,51,43,48,89,214,4,66.7,50.3,6,57,463,4.6,1.49,OK-11300,35.1374572,-94.5392862,61%,72%,53%
Cowlington,Oklahoma,72,79,Fort Smith,250434,$27500,6.98%,33,N/A,N/A,N/A,35,63.89%,$625,36.21%,N/A,N/A,29.17%,15.0%,34.48%,Le Flore County,18.90%,77.60%,0.0%,8.33%,55.56%,0.0%,0.0%,Central Standard Time,93,51,42,48,80,214,4,66.7,50.3,N/A,53,463,4.6,0.91,OK-17850,35.3104852,-94.7877432,61%,72%,53%
Fort Coffee,Oklahoma,475,73,Fort Smith,250434,$29464,19.12%,41,N/A,N/A,N/A,31,69.89%,$717,54.72%,N/A,N/A,22.93%,4.08%,54.14%,Le Flore County,18.90%,77.60%,0.0%,45.89%,28.63%,1.68%,0.0%,Central Standard Time,94,51,43,47,89,219,4,66.7,50.3,N/A,52,463,4.6,6.53,OK-27150,35.2941971,-94.5731403,61%,72%,53%
Heavener,Oklahoma,3298,672,Fort Smith,250434,$38923,11.33%,33,N/A,N/A,N/A,48,64.89%,$610,53.03%,273,1308,32.97%,4.93%,53.1%,Le Flore County,18.90%,77.60%,2.7%,1.33%,51.91%,30.35%,15.37%,Central Standard Time,93,51,42,49,86,219,2,66.7,50.4,6,62,463,4.6,4.91,OK-33400,34.8918588,-94.607497,61%,72%,53%
Le Flore,Oklahoma,144,110,Fort Smith,250434,$36429,11.0%,40,N/A,N/A,N/A,47,74.31%,N/A,36.44%,N/A,N/A,25.0%,12.73%,50.46%,Le Flore County,18.90%,77.60%,0.0%,0.0%,62.5%,1.39%,0.0%,Central Standard Time,94,52,42,51,83,219,3,66.3,50,6,56,463,4.6,1.31,OK-42150,34.8980544,-94.9771756,61%,72%,53%
Panama,Oklahoma,1401,620,Fort Smith,250434,$39423,7.65%,34,N/A,N/A,N/A,38,51.32%,$723,50.33%,N/A,N/A,25.45%,2.99%,54.62%,Le Flore County,18.90%,77.60%,1.64%,0.86%,67.45%,3.21%,2.64%,Central Standard Time,94,51,43,48,89,219,3,66.9,50.1,6,52,463,4.6,2.26,OK-56900,35.1711764,-94.6689527,61%,72%,53%
Pocola,Oklahoma,4094,135,Fort Smith,250434,$48000,11.54%,40,N/A,N/A,N/A,38,71.89%,$697,41.31%,96,678,17.57%,3.32%,58.35%,Le Flore County,18.90%,77.60%,0.81%,2.59%,77.16%,3.35%,1.66%,Central Standard Time,94,51,43,48,90,220,4,67,50.2,6,54,463,4.6,30.31,OK-59750,35.2454559,-94.4774252,61%,72%,53%
Poteau,Oklahoma,8866,333,Fort Smith,250434,$39964,16.41%,33,N/A,N/A,N/A,43,55.12%,$710,56.86%,412,3760,22.74%,5.06%,59.05%,Le Flore County,18.90%,77.60%,0.27%,1.13%,67.67%,15.71%,7.71%,Central Standard Time,93,51,42,48,85,221,3,67.3,50.9,6,48,463,4.6,26.61,OK-60350,35.0401728,-94.6122298,61%,72%,53%
Rock Island,Oklahoma,827,68,Fort Smith,250434,$37813,10.46%,44,N/A,N/A,N/A,33,71.46%,$667,39.09%,N/A,N/A,23.7%,6.21%,52.14%,Le Flore County,18.90%,77.60%,0.0%,0.0%,90.08%,0.97%,0.0%,Central Standard Time,94,51,43,48,90,220,4,66.9,50.4,N/A,55,463,4.6,12.17,OK-63600,35.1831549,-94.4810159,61%,72%,53%
Shady Point,Oklahoma,1128,441,Fort Smith,250434,$35114,10.8%,37,N/A,N/A,N/A,38,71.72%,$653,43.79%,100,200,33.95%,11.53%,46.67%,Le Flore County,18.90%,77.60%,0.09%,1.24%,76.24%,3.9%,0.35%,Central Standard Time,94,52,42,48,85,222,3,66.9,50.6,6,52,463,4.6,2.56,OK-66550,35.1276059,-94.6685558,61%,72%,53%
Spiro,Oklahoma,2323,989,Fort Smith,250434,$31207,14.32%,41,N/A,N/A,N/A,39,58.97%,$647,59.33%,276,783,22.88%,7.13%,45.48%,Le Flore County,18.90%,77.60%,1.68%,3.83%,74.34%,4.69%,1.16%,Central Standard Time,94,51,43,47,89,222,4,66.9,50.1,6,53,463,4.6,2.35,OK-69350,35.2410576,-94.6236969,61%,72%,53%
Whitesboro,Oklahoma,232,71,Fort Smith,250434,$32604,9.38%,50,N/A,N/A,N/A,44,57.76%,$479,57.53%,N/A,N/A,32.02%,4.94%,44.51%,Le Flore County,18.90%,77.60%,0.0%,0.0%,50.0%,0.0%,0.0%,Central Standard Time,92,51,41,52,89,218,2,66.2,50.2,6,61,463,4.6,3.28,OK-80900,34.6963564,-94.8789973,61%,72%,53%
Wister,Oklahoma,1054,558,Fort Smith,250434,$32865,10.5%,38,N/A,N/A,N/A,44,71.54%,$645,51.81%,N/A,N/A,29.84%,7.92%,42.0%,Le Flore County,18.90%,77.60%,0.0%,0.38%,73.91%,2.37%,0.38%,Central Standard Time,94,52,42,51,87,218,3,66.5,50.2,6,56,463,4.6,1.89,OK-81750,34.9694509,-94.7211809,61%,72%,53%
