City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation
Belleview,Florida,5028,1296,Ocala,373513,$41085,16.66%,41,$235000,1366,$172,36,56.86%,$846,64.98%,393,4089,18.82%,7.88%,55.89%,Marion County,35.30%,61.30%,0.0%,7.52%,79.63%,19.51%,2.51%,Eastern Standard Time,N/A,N/A,N/A,N/A,115,N/A,6.0,61,75,6.4,3.88,FL-05375,29.0608918,-82.0564552,69%,67%,65%,56%,61%,73.4,61,71,N/A,N/A,N/A,N/A,33.18%,56.26%,26.67%
Dunnellon,Florida,2329,264,Ocala,373513,$32500,20.08%,59,$249000,1297,$192,38,68.61%,$609,55.8%,437,5027,21.77%,9.24%,39.47%,Marion County,35.30%,61.30%,1.2%,7.04%,81.28%,5.15%,3.74%,Eastern Standard Time,N/A,N/A,N/A,N/A,113,N/A,6.0,68,75,6.4,8.82,FL-18675,29.0571987,-82.428915,69%,67%,65%,56%,61%,82.7,62,72,N/A,N/A,N/A,N/A,33.18%,56.26%,26.67%
McIntosh,Florida,339,477,Ocala,373513,$52174,36.22%,55,N/A,N/A,N/A,41,52.8%,N/A,47.23%,N/A,N/A,1.88%,0.0%,44.65%,Marion County,35.30%,61.30%,0.0%,0.0%,98.23%,1.77%,5.31%,Eastern Standard Time,N/A,N/A,N/A,N/A,112,N/A,6.0,59,75,6.4,0.71,FL-42150,29.4493435,-82.2211364,64%,65%,59%,56%,61%,73.4,61,71,N/A,N/A,N/A,N/A,38.79%,61.76%,32.44%
Ocala,Florida,3427,3497,Ocala,373513,$31094,1.76%,36,$268000,1540,$174,34,75.74%,$1268,64.37%,809,4181,23.17%,8.32%,39.32%,Marion County,35.30%,61.30%,1.28%,8.87%,50.16%,38.98%,22.29%,Eastern Standard Time,N/A,N/A,N/A,N/A,112,N/A,6.0,51,75,6.4,0.98,FL-50756,29.201763,-82.3097934,69%,67%,65%,56%,61%,73.4,61,71,N/A,N/A,N/A,N/A,33.18%,56.26%,26.67%
Reddick,Florida,517,410,Ocala,373513,$33750,12.36%,46,$118000,915,$129,54,52.61%,$839,67.21%,N/A,N/A,29.13%,6.98%,40.38%,Marion County,35.30%,61.30%,0.0%,54.55%,40.23%,3.09%,3.48%,Eastern Standard Time,N/A,N/A,N/A,N/A,112,N/A,6.0,59,75,6.4,1.26,FL-59675,29.3686985,-82.1975607,64%,65%,59%,56%,61%,73.4,61,71,N/A,N/A,N/A,N/A,38.79%,61.76%,32.44%
Silver Springs Shores,Florida,24911,1669,Ocala,373513,$48064,14.44%,37,$249000,1456,$171,30,69.77%,$987,50.91%,N/A,N/A,14.78%,6.13%,57.69%,Marion County,35.30%,61.30%,1.4%,28.79%,46.94%,19.91%,11.09%,Eastern Standard Time,N/A,N/A,N/A,N/A,113,N/A,6.0,54,75,6.4,14.93,FL-66175,29.1126269,-82.014869,69%,67%,65%,56%,61%,73.4,61,71,N/A,N/A,N/A,N/A,33.18%,56.26%,26.67%
