City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Coldwater,Mississippi,1609,676,Memphis,1085953,$36768,9.09%,41,N/A,N/A,N/A,45,65.38%,$799,60.96%,N/A,N/A,28.03%,6.04%,57.95%,Tate County,33.80%,64.50%,0.0%,80.36%,15.35%,7.33%,2.42%,Central Standard Time,91,51,40,58.47,0.6,8.1,64,219,4.9,2.38,MS-14900,34.6902402,-89.9757211,63%,74%,52%,56%,56%,53.4,50,68,71,30,12.6,15.76,30.49%,27.69%,33.11%,0
Senatobia,Mississippi,7759,499,Memphis,1085953,$56053,19.51%,29,$260000,1970,$132,29,69.55%,$693,60.17%,N/A,N/A,15.74%,4.81%,53.82%,Tate County,33.80%,64.50%,0.36%,41.15%,55.55%,2.26%,1.33%,Central Standard Time,91,51,40,57.71,0.6,8.1,54,303,4.9,15.56,MS-66440,34.6081551,-89.976194,63%,74%,52%,56%,56%,53.4,50,68,71,30,12.57,15.78,30.49%,27.69%,33.11%,0
