City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Albion,Maine,1976,51,Augusta-Waterville,122955,79,29,50,44,134,200,75,N/A,N/A,8,8,25,42,16.54%,$42262,N/A,N/A,N/A,$137400,N/A,N/A,37,76.70%,6%,19%,19%,91,25 mins,2.40%,0.20%,0.20%,Kennebec County,44.30%,47.80%,0.2%,0.3%,94.9%,0.8%,N/A,N/A,N/A,2.8,44.80%,17,N/A,21,N/A,0.00,23,0,16,N/A,N/A,N/A
Augusta,Maine,18626,338,Augusta-Waterville,122955,79,28,51,44,125,203,67,55.9,35,7,26,66,44,26.33%,$38263,13.2%,$806,772,$142500,N/A,N/A,55,46.70%,6%,18%,16%,79,17 mins,2.30%,0.00%,-2.70%,Kennebec County,44.30%,47.80%,1.1%,1.0%,93.1%,1.3%,3.5%,N/A,N/A,2.8,59.50%,25,N/A,30,17.6%,28.29,21,0,26,263,3151,N/A
Belgrade,Maine,3150,73,Augusta-Waterville,122955,79,28,51,44,133,200,73,N/A,N/A,7,8,25,44,34.42%,$62375,N/A,N/A,N/A,$212900,N/A,N/A,32,52.80%,6%,20%,20%,90,24 mins,2.40%,0.20%,-0.60%,Kennebec County,44.30%,47.80%,0.7%,0.0%,98.6%,0.0%,N/A,N/A,N/A,2.8,44.80%,7,N/A,18,N/A,0.00,19,0,22,N/A,N/A,N/A
Benton,Maine,2689,95,Augusta-Waterville,122955,80,28,52,45,127,200,71,N/A,N/A,7,7,22,51,20.05%,$42449,N/A,N/A,N/A,$125700,N/A,N/A,38,78.00%,6%,19%,18%,88,21 mins,2.40%,0.20%,-1.20%,Kennebec County,44.30%,47.80%,0.0%,0.0%,99.8%,0.0%,N/A,N/A,N/A,2.8,34.80%,4,N/A,23,N/A,0.00,23,0,14,N/A,N/A,N/A
Chelsea,Maine,2703,138,Augusta-Waterville,122955,79,28,51,44,125,200,67,N/A,N/A,9,8,26,48,20.76%,$56298,N/A,N/A,N/A,$125200,N/A,N/A,29,90.20%,6%,19%,19%,87,21 mins,2.40%,0.20%,0.00%,Kennebec County,44.30%,47.80%,0.1%,0.8%,96.9%,0.0%,N/A,N/A,N/A,2.8,50.70%,7,N/A,25,N/A,0.00,21,0,27,N/A,N/A,N/A
China,Maine,4266,86,Augusta-Waterville,122955,79,28,51,44,134,200,74,N/A,N/A,9,7,24,41,33.58%,$44961,N/A,N/A,N/A,$158000,N/A,N/A,39,64.50%,6%,18%,19%,90,28 mins,2.40%,0.20%,-1.20%,Kennebec County,44.30%,47.80%,0.0%,1.7%,96.2%,1.5%,N/A,N/A,N/A,2.8,40.00%,15,N/A,24,N/A,0.00,22,0,18,N/A,N/A,N/A
Clinton,Maine,3374,77,Augusta-Waterville,122955,79,27,52,43,129,200,73,N/A,N/A,7,13,21,45,17.47%,$44375,2.8%,N/A,N/A,$99700,N/A,N/A,37,64.30%,6%,20%,19%,89,24 mins,2.40%,0.20%,-3.40%,Kennebec County,44.30%,47.80%,0.0%,0.5%,93.8%,3.7%,5.2%,N/A,N/A,2.8,32.90%,24,N/A,32,15.0%,0.00,23,0,13,360,450,N/A
Farmingdale,Maine,2908,259,Augusta-Waterville,122955,79,29,50,45,128,200,69,N/A,N/A,9,10,32,49,41.40%,$36120,14.4%,N/A,N/A,$140000,N/A,N/A,39,58.80%,6%,19%,20%,83,23 mins,2.40%,0.20%,-1.30%,Kennebec County,44.30%,47.80%,0.0%,0.0%,99.8%,0.0%,0%,N/A,N/A,2.8,55.00%,15,N/A,N/A,18.1%,0.00,21,0,27,N/A,N/A,N/A
Fayette,Maine,1044,36,Augusta-Waterville,122955,78,27,51,48,132,200,86,N/A,N/A,N/A,7,23,51,35.64%,$56300,N/A,N/A,N/A,$155400,N/A,N/A,36,53.70%,6%,19%,19%,90,28 mins,2.40%,0.20%,-18.50%,Kennebec County,44.30%,47.80%,0.0%,0.0%,96.7%,0.0%,N/A,N/A,N/A,2.8,32.60%,10,N/A,23,N/A,0.00,19,0,22,N/A,N/A,N/A
Gardiner,Maine,5672,362,Augusta-Waterville,122955,79,29,50,45,128,199,69,56,35.1,9,12,37,37,24.23%,$46400,18.6%,N/A,N/A,$144500,N/A,N/A,61,55.60%,5%,17%,16%,81,24 mins,2.40%,0.20%,-3.80%,Kennebec County,44.30%,47.80%,0.2%,0.6%,94.2%,3.2%,1.8%,N/A,N/A,2.8,53.20%,69,N/A,39,20.8%,13.76,21,0,24,70,744,N/A
Hallowell,Maine,2453,418,Augusta-Waterville,122955,79,29,50,45,128,198,69,56.1,35.1,7,11,26,44,48.41%,$51346,1.8%,N/A,N/A,$191300,N/A,N/A,64,43.70%,4%,19%,18%,81,23 mins,2.40%,0.20%,-1.10%,Kennebec County,44.30%,47.80%,2.9%,0.3%,94.5%,0.0%,4.2%,N/A,N/A,2.8,53.00%,51,N/A,N/A,20.1%,3.87,21,0,28,168,506,N/A
