City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Leesburg,Georgia,3035,618,Albany,149298,$60110,22.73%,33,$163000,1417,$115,25,65.57%,$924,54.74%,N/A,N/A,19.23%,9.48%,70.61%,Lee County,22.40%,75.30%,1.42%,29.88%,64.48%,1.65%,3.89%,Eastern Standard Time,92,60,32,72,37,53%,54%,53,69,102,63%,67%,56%,51.4,15.92,15.11,27.53%,37.58%,30.11%,0.1,0,6.0,53.8,46,237,3.4,4.91,GA-45768,31.7324005,-84.1688128
Smithville,Georgia,462,182,Albany,149298,$32554,4.19%,43,N/A,N/A,N/A,37,48.27%,$600,37.08%,N/A,N/A,46.32%,3.94%,33.16%,Lee County,22.40%,75.30%,0.0%,53.25%,46.75%,0.0%,0.43%,Eastern Standard Time,92,60,32,72,37,53%,54%,53,69,102,63%,67%,56%,53.52,14.93,16.61,31.67%,40.33%,35.89%,0.1,0,6.0,53.8,54,363,3.4,2.54,GA-71464,31.9010982,-84.2551743
