City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
East Windsor,New Jersey,27675,1770,Trenton,405698,$83539,50.86%,N/A,N/A,N/A,N/A,42,58.00%,N/A,40.80%,58,665,N/A,2.40%,N/A,Mercer County,66.30%,29.20%,20.02%,8.67%,N/A,23.20%,N/A,Eastern Standard Time,88,41,47,50.17,26.0,7.4,53,99,4,15.64,NJ-19780,40.2565336,-74.5059103,55%,62%,50%,53%,51%,25.9,41,61,64,22,14.66,11.35,34.77%,36.81%,34.44%,12,91
Ewing,New Jersey,36437,2389,Trenton,405698,$77479,37.46%,N/A,$288000,1516,$190,56,60.90%,N/A,58.40%,165,1395,N/A,3.30%,N/A,Mercer County,66.30%,29.20%,4.58%,29.92%,N/A,8.50%,N/A,Eastern Standard Time,87,41,46,50.22,26.0,7.4,50,93,4,15.25,NJ-22180,40.2650815,-74.800599,55%,62%,50%,54%,53%,28.3,42,62,68,25,14.69,11.36,35.67%,36.59%,37.44%,12,90
Groveville,New Jersey,2953,1336,Trenton,405698,$78106,25.69%,49,$465000,1838,$253,63,82.99%,$865,49.45%,N/A,N/A,10.37%,12.01%,63.58%,Mercer County,66.30%,29.20%,1.25%,6.54%,90.15%,2.07%,5.79%,Eastern Standard Time,88,41,47,49.17,26.0,7.4,64,75,4,2.21,NJ-28620,40.1679507,-74.6522561,55%,62%,50%,54%,53%,28.3,42,62,64,22,14.6,11.14,34.77%,36.81%,34.44%,12,92
Hamilton Square,New Jersey,11526,2693,Trenton,405698,$110400,46.56%,46,$388000,1492,$260,53,97.41%,$1181,38.62%,N/A,N/A,1.54%,3.2%,66.59%,Mercer County,66.30%,29.20%,4.92%,2.44%,88.32%,3.51%,9.48%,Eastern Standard Time,88,41,47,49.17,26.0,7.4,50,75,4,4.28,NJ-29370,40.2248282,-74.6525834,55%,62%,50%,54%,53%,28.3,42,62,64,22,14.6,11.14,34.77%,36.81%,34.44%,12,92
Hamilton township (Mercer Cnty),New Jersey,89206,2258,Trenton,405698,$71197,N/A,N/A,N/A,N/A,N/A,55,67.00%,N/A,50.30%,N/A,N/A,N/A,3.00%,N/A,Mercer County,66.30%,29.20%,N/A,N/A,N/A,14.90%,N/A,Eastern Standard Time,88,41,47,49.17,26.0,7.4,49,75,4,39.51,NJ-29310,40.2045771,-74.6764753,55%,62%,50%,54%,53%,28.3,42,62,64,22,14.6,11.14,35.67%,36.59%,37.44%,12,92
Hightstown,New Jersey,5334,4337,Trenton,405698,$86291,37.08%,38,$324000,1385,$234,61,70.25%,$1372,43.47%,N/A,N/A,6.95%,4.79%,69.32%,Mercer County,66.30%,29.20%,7.67%,6.04%,56.82%,28.44%,32.21%,Eastern Standard Time,88,41,47,50.17,26.0,7.4,53,99,4,1.23,NJ-31620,40.2686078,-74.5252482,55%,62%,50%,53%,51%,25.9,41,61,64,22,14.66,11.35,34.77%,36.81%,34.44%,12,91
Hopewell borough,New Jersey,1857,2579,Trenton,405698,$121215,67.71%,44,$538000,1309,$411,78,79.27%,$1577,38.43%,N/A,N/A,4.71%,2.11%,76.47%,Mercer County,66.30%,29.20%,1.13%,0.16%,92.51%,4.85%,9.21%,Eastern Standard Time,86,39,47,51.9,26.0,7.4,53,243,4,0.72,NJ-33150,40.3893089,-74.7637985,55%,62%,50%,54%,53%,28.3,42,62,65,22,15.51,11.63,35.4%,38.46%,34.11%,12,88
Hopewell township (Mercer Cnty),New Jersey,1857,2579,Trenton,405698,$121215,67.71%,44,$538000,1309,$411,39,79.27%,$1577,38.43%,N/A,N/A,4.71%,2.11%,76.47%,Mercer County,66.30%,29.20%,1.13%,0.16%,92.51%,4.85%,9.21%,Eastern Standard Time,86,39,47,51.9,26.0,7.4,65,243,4,0.72,NJ-33150,40.3893089,-74.7637985,55%,62%,50%,54%,53%,28.3,42,62,65,22,15.51,11.63,35.4%,38.46%,34.11%,12,88
Lawrence township (Mercer Cnty),New Jersey,33288,1526,Trenton,405698,$88308,N/A,N/A,N/A,N/A,N/A,37,62.60%,N/A,47.90%,N/A,N/A,N/A,2.40%,N/A,Mercer County,66.30%,29.20%,N/A,N/A,N/A,8.60%,N/A,Eastern Standard Time,87,41,46,48.96,26.0,7.4,52,93,4,21.81,NJ-39510,40.2953902,-74.7205101,55%,62%,50%,54%,53%,28.3,42,62,68,25,14.88,10.95,35.67%,36.59%,37.44%,12,90
Lawrenceville,New Jersey,3515,3380,Trenton,405698,$89234,66.93%,51,$360000,1545,$233,37,89.27%,$1962,50.83%,N/A,N/A,3.81%,4.76%,68.93%,Mercer County,66.30%,29.20%,3.98%,1.71%,83.9%,7.62%,14.2%,Eastern Standard Time,87,41,46,51.91,26.0,7.4,59,195,4,1.04,NJ-39570,40.3017727,-74.7378382,55%,62%,50%,54%,53%,28.3,42,62,68,25,15.46,11.26,35.67%,36.59%,37.44%,12,90
