City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon)
Argenta,Illinois,1051,1617,Decatur,103015,$61905,15.2%,38,N/A,N/A,N/A,64,80.88%,$825,44.17%,N/A,N/A,6.81%,3.26%,65.88%,Macon County,38.20%,55.90%,0.0%,0.1%,94.67%,1.33%,0.95%,Central Standard Time,86,35,51,40,110,14,9,81,613,3.9,0.65,IL-01972,39.9855065,-88.8197243,54%,65%,46%,61%,58%
Austin,Illinois,197,5,Decatur,103015,$61111,N/A,N/A,N/A,N/A,N/A,68,81.70%,N/A,45.20%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,0.0%,0.0%,93.4%,0.0%,N/A,Central Standard Time,86,35,51,39,108,17,N/A,82,613,3.9,39.4,IL-03051,40.0056931,-89.0866456,54%,65%,46%,61%,58%
Blue Mound,Illinois,1135,1924,Decatur,103015,$49877,15.89%,38,N/A,N/A,N/A,62,82.73%,$900,42.58%,0,465,9.98%,4.26%,66.12%,Macon County,38.20%,55.90%,1.06%,0.26%,86.78%,1.85%,1.5%,Central Standard Time,87,35,52,40,100,14,8,82,613,3.9,0.59,IL-06756,39.7005625,-89.1185466,54%,65%,46%,61%,58%
Blue Mound township (Macon Cnty),Illinois,1135,1924,Decatur,103015,$49877,15.89%,38,N/A,N/A,N/A,62,82.73%,$900,42.58%,0,465,9.98%,4.26%,66.12%,Macon County,38.20%,55.90%,1.06%,0.26%,86.78%,1.85%,1.5%,Central Standard Time,87,35,52,39,100,14,N/A,82,613,3.9,0.59,IL-06756,39.7005625,-89.1185466,54%,65%,46%,61%,58%
Boody,Illinois,442,384,Decatur,103015,$51417,44.98%,34,N/A,N/A,N/A,68,73.98%,N/A,58.42%,N/A,N/A,4.52%,6.23%,86.53%,Macon County,38.20%,55.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,87,35,52,39,99,15,9,82,613,3.9,1.15,IL-07315,39.7643774,-89.0466713,54%,65%,46%,61%,58%
Decatur,Illinois,71857,1675,Decatur,103015,$45404,21.5%,40,N/A,N/A,N/A,61,63.25%,$688,58.05%,530,2763,19.39%,9.33%,57.49%,Macon County,38.20%,55.90%,1.05%,22.55%,68.3%,2.7%,2.49%,Central Standard Time,87,35,52,40,104,13,9,69,613,3.9,42.89,IL-18823,39.855685,-88.9342097,54%,65%,46%,61%,58%
Decatur township,Illinois,71857,1675,Decatur,103015,$45404,21.5%,40,N/A,N/A,N/A,61,63.25%,$688,58.05%,530,2763,19.39%,9.33%,57.49%,Macon County,38.20%,55.90%,1.05%,22.55%,68.3%,2.7%,2.49%,Central Standard Time,87,35,52,39,103,13,N/A,68,613,3.9,42.89,IL-18823,39.855685,-88.9342097,54%,65%,46%,61%,58%
Forsyth,Illinois,3474,1110,Decatur,103015,$95865,55.38%,41,N/A,N/A,N/A,28,93.93%,$1610,29.24%,N/A,N/A,9.07%,5.03%,59.35%,Macon County,38.20%,55.90%,5.21%,0.4%,88.37%,1.5%,5.01%,Central Standard Time,87,35,52,40,108,13,9,80,613,3.9,3.13,IL-27091,39.9259558,-88.9641048,54%,65%,46%,61%,58%
Friends Creek,Illinois,1603,33,Decatur,103015,$70114,18.94%,N/A,N/A,N/A,N/A,62,78.50%,N/A,30.60%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,0.0%,0.3%,95.0%,0.7%,N/A,Central Standard Time,86,35,51,40,110,14,N/A,81,613,3.9,48.58,IL-27988,40.0080756,-88.82344,54%,65%,46%,61%,58%
Harristown,Illinois,1294,719,Decatur,103015,$49542,16.89%,47,N/A,N/A,N/A,60,91.96%,$625,41.49%,N/A,N/A,12.63%,6.43%,56.29%,Macon County,38.20%,55.90%,0.7%,0.62%,97.06%,0.46%,0.7%,Central Standard Time,87,35,52,39,99,15,9,82,613,3.9,1.8,IL-33227,39.8428465,-89.0607136,54%,65%,46%,61%,58%
