City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Ansonia,Connecticut,18709,3108,New Haven-Milford,870186,$53709,23.09%,42,$305000,1848,$165,66,62.4%,$1117,59.39%,192,1484,14.67%,7.05%,63.21%,New Haven County,54.20%,42.00%,1.58%,13.89%,61.69%,21.62%,14.34%,Eastern Standard Time,83,37,46,51.22,114,35.6,7.8,59,126,3.5,6.02,CT-01150,41.3442507,-73.0689289,58%,63%,57%,59%,60%,20.9,41,61,64,19,13.59,11.84,32.99%,35.38%,31.78%,13
Beacon Falls,Connecticut,6108,631,New Haven-Milford,870186,$87273,35.54%,N/A,N/A,N/A,N/A,38,81.40%,$1429,51.10%,N/A,N/A,N/A,3.90%,N/A,New Haven County,54.20%,42.00%,N/A,1.41%,N/A,7.10%,N/A,Eastern Standard Time,83,37,46,51.29,114,35.6,7.8,67,300,3.5,9.68,CT-03250,41.4390242,-73.0567625,58%,63%,57%,59%,60%,20.9,41,61,64,19,13.85,12.78,33.32%,35.49%,32.22%,13
Bethany,Connecticut,5526,262,New Haven-Milford,870186,$97500,46.70%,N/A,N/A,N/A,N/A,46,88.30%,N/A,29.70%,N/A,N/A,N/A,3.90%,N/A,New Haven County,54.20%,42.00%,7.20%,1.49%,N/A,6.40%,N/A,Eastern Standard Time,83,37,46,51.29,124,35.6,7.8,68,300,3.5,21.09,CT-04580,41.4260554,-72.993082,58%,63%,57%,59%,60%,20.9,41,61,64,19,13.85,12.78,33.32%,35.49%,32.22%,13
Branford,Connecticut,28149,1289,New Haven-Milford,870186,$71058,45.03%,N/A,N/A,N/A,N/A,46,61.90%,$1326,49.50%,32,1378,N/A,3.10%,N/A,New Haven County,54.20%,42.00%,4.57%,1.36%,N/A,4.60%,N/A,Eastern Standard Time,84,39,45,41.32,108,35.6,7.8,62,3,3.5,21.84,CT-07310,41.2792791,-72.7965136,58%,63%,57%,59%,60%,20.9,41,61,67,24,11.01,9.36,32.99%,35.38%,31.78%,13
Cheshire,Connecticut,6491,1623,New Haven-Milford,870186,$91170,55.92%,51,$410000,2092,$196,59,87.74%,$974,47.97%,44,709,7.05%,5.97%,60.78%,New Haven County,54.20%,42.00%,10.0%,0.45%,82.73%,4.36%,11.66%,Eastern Standard Time,85,38,47,52.68,114,47.0,7.8,66,297,3.5,4.0,CT-14200,41.5040908,-72.896869,58%,63%,57%,53%,52%,19.9,38,59,64,20,14.22,12.89,33.32%,35.49%,32.22%,12
Derby,Connecticut,12420,2455,New Haven-Milford,870186,$58534,25.17%,47,$285000,1638,$174,59,66.63%,$1101,50.66%,192,1924,12.41%,8.38%,64.97%,New Haven County,54.20%,42.00%,1.82%,10.12%,67.3%,21.18%,11.4%,Eastern Standard Time,83,37,46,51.22,114,35.6,7.8,60,126,3.5,5.06,CT-19480,41.3265067,-73.0833063,58%,63%,57%,59%,60%,20.9,41,61,64,19,13.59,11.84,32.99%,35.38%,31.78%,13
Guilford,Connecticut,22377,475,New Haven-Milford,870186,$99441,58.39%,N/A,N/A,N/A,N/A,43,78.60%,N/A,38.40%,45,905,N/A,2.40%,N/A,New Haven County,54.20%,42.00%,3.99%,1.33%,N/A,3.60%,N/A,Eastern Standard Time,84,39,45,51.26,108,35.6,7.8,72,285,3.5,47.11,CT-34950,41.3315883,-72.7004785,58%,63%,57%,59%,60%,20.9,41,61,67,24,13.89,11.61,32.99%,35.38%,31.78%,13
Hamden,Connecticut,61493,1884,New Haven-Milford,870186,$67771,46.11%,N/A,N/A,N/A,N/A,54,57.50%,$1599,55.40%,327,2182,N/A,3.60%,N/A,New Haven County,54.20%,42.00%,5.15%,25.35%,N/A,11.00%,N/A,Eastern Standard Time,85,38,47,51.9,108,35.6,7.8,60,294,3.5,32.64,CT-35650,41.3960639,-72.9215202,58%,63%,57%,59%,60%,20.9,41,61,64,20,13.2,13.74,33.32%,35.49%,32.22%,13
Heritage Village,Connecticut,4465,1704,New Haven-Milford,870186,$51441,39.11%,73,$230000,1045,$220,45,72.79%,$1669,56.19%,N/A,N/A,7.25%,12.6%,31.72%,New Haven County,54.20%,42.00%,0.0%,6.23%,92.9%,1.7%,8.31%,Eastern Standard Time,86,37,49,52.34,119,35.6,7.8,71,438,3.5,2.62,CT-37930,41.4854554,-73.2348557,58%,63%,57%,59%,60%,20.9,41,61,65,21,14.94,12.76,38.38%,38.13%,39.33%,13
Madison,Connecticut,18247,505,New Haven-Milford,870186,$108231,64.62%,N/A,N/A,N/A,N/A,43,72.10%,N/A,37.40%,0,359,N/A,2.60%,N/A,New Haven County,54.20%,42.00%,2.44%,N/A,N/A,N/A,N/A,Eastern Standard Time,84,39,45,51.26,111,35.6,7.8,77,285,3.5,36.13,CT-44560,41.3400071,-72.6279893,58%,63%,57%,53%,52%,19.9,38,59,67,24,13.89,11.61,32.99%,35.38%,31.78%,13
