City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year
Beverly Hills,Florida,9484,3193,Homosassa Springs,153010,$35883,7.59%,50,$187000,1206,$155,40,61.64%,$877,60.16%,N/A,N/A,23.89%,8.04%,46.03%,Citrus County,28.30%,67.70%,1.18%,1.57%,85.13%,8.2%,8.67%,Eastern Standard Time,92,71,21,52,112,0,6.0,60,3,6.7,2.97,FL-06125,28.9175498,-82.4541346,69%,67%,65%,56%,61%,82.7
Black Diamond,Florida,1110,282,Homosassa Springs,153010,$117689,62.02%,67,$750000,2737,$274,23,100.0%,N/A,27.93%,N/A,N/A,0.0%,0.0%,47.12%,Citrus County,28.30%,67.70%,9.55%,0.0%,89.64%,0.81%,10.36%,Eastern Standard Time,92,71,21,52,112,0,6.0,71,3,6.7,3.94,FL-06667,28.9067111,-82.4946146,69%,67%,65%,56%,61%,82.7
Citrus Hills,Florida,7711,795,Homosassa Springs,153010,$62045,39.37%,70,$500000,2778,$180,21,92.33%,$1536,27.98%,N/A,N/A,8.87%,18.03%,26.39%,Citrus County,28.30%,67.70%,7.33%,3.44%,80.37%,8.25%,15.77%,Eastern Standard Time,92,71,21,52,112,0,6.0,68,3,6.7,9.7,FL-12412,28.8869959,-82.4311486,69%,67%,65%,56%,61%,82.7
Citrus Springs,Florida,9173,434,Homosassa Springs,153010,$51789,13.91%,46,$269000,1592,$169,22,82.01%,$1094,42.96%,N/A,N/A,6.54%,7.43%,50.85%,Citrus County,28.30%,67.70%,0.15%,7.86%,70.9%,15.71%,6.02%,Eastern Standard Time,92,71,21,52,112,0,6.0,72,3,6.7,21.15,FL-12450,28.9931667,-82.4594853,69%,67%,65%,56%,61%,82.7
Crystal River,Florida,3161,422,Homosassa Springs,153010,$29455,34.65%,65,$445000,1969,$226,34,65.21%,$595,49.52%,N/A,N/A,26.44%,9.4%,31.84%,Citrus County,28.30%,67.70%,0.0%,12.72%,82.66%,4.05%,7.05%,Eastern Standard Time,92,71,21,53,111,0,6.0,73,3,6.7,7.49,FL-15775,28.8964797,-82.5991937,69%,67%,65%,56%,61%,82.7
Floral City,Florida,5158,221,Homosassa Springs,153010,$45934,13.28%,59,$305000,1572,$194,35,81.39%,$717,43.82%,N/A,N/A,13.78%,9.68%,41.98%,Citrus County,28.30%,67.70%,0.41%,1.34%,89.78%,8.1%,5.99%,Eastern Standard Time,92,71,21,52,112,0,6.8,67,3,6.7,23.31,FL-22775,28.7064391,-82.3090539,69%,67%,65%,58%,62%,82.7
Hernando,Florida,8977,283,Homosassa Springs,153010,$34167,16.01%,58,$255000,1527,$167,34,85.07%,$691,54.67%,N/A,N/A,19.48%,3.06%,36.63%,Citrus County,28.30%,67.70%,6.85%,1.7%,87.71%,1.26%,3.11%,Eastern Standard Time,92,71,21,52,112,0,6.0,67,3,6.7,31.71,FL-29425,28.9450826,-82.378059,69%,67%,65%,56%,61%,82.7
Homosassa,Florida,1817,233,Homosassa Springs,153010,$48571,32.45%,67,$332000,1635,$203,34,94.08%,$1158,36.26%,N/A,N/A,12.85%,8.99%,30.26%,Citrus County,28.30%,67.70%,0.0%,0.0%,94.99%,3.8%,3.91%,Eastern Standard Time,92,71,21,52,111,0,6.8,75,3,6.7,7.81,FL-32375,28.7849241,-82.6079,69%,67%,65%,58%,62%,82.7
Homosassa Springs,Florida,14566,579,Homosassa Springs,153010,$40387,7.71%,51,$325000,1901,$171,34,81.5%,$750,48.39%,N/A,N/A,16.86%,10.34%,40.43%,Citrus County,28.30%,67.70%,0.08%,1.15%,93.06%,3.49%,2.78%,Eastern Standard Time,92,71,21,52,111,0,6.8,71,3,6.7,25.17,FL-32400,28.8118484,-82.5391788,69%,67%,65%,58%,62%,82.7
Inverness,Florida,7399,888,Homosassa Springs,153010,$30308,14.44%,61,$250000,1479,$169,35,64.56%,$786,60.29%,N/A,N/A,21.51%,10.57%,35.41%,Citrus County,28.30%,67.70%,2.66%,4.76%,88.65%,3.3%,2.73%,Eastern Standard Time,92,71,21,52,112,0,6.0,67,3,6.7,8.33,FL-33950,28.8415771,-82.3418321,69%,67%,65%,56%,61%,82.7
Inverness Highlands North,Florida,2722,1354,Homosassa Springs,153010,$48203,9.93%,37,N/A,N/A,N/A,32,93.79%,$955,59.5%,N/A,N/A,14.02%,0.89%,60.02%,Citrus County,28.30%,67.70%,0.0%,7.83%,88.8%,4.85%,0.96%,Eastern Standard Time,92,71,21,52,112,0,6.0,66,3,6.7,2.01,FL-33958,28.863705,-82.376557,69%,67%,65%,56%,61%,82.7
Inverness Highlands South,Florida,7114,1268,Homosassa Springs,153010,$47394,14.66%,52,$250000,1479,$169,35,83.83%,$988,46.01%,N/A,N/A,10.17%,3.81%,47.87%,Citrus County,28.30%,67.70%,0.42%,0.08%,93.42%,4.6%,3.71%,Eastern Standard Time,92,71,21,52,112,0,6.8,66,3,6.7,5.61,FL-33966,28.8006543,-82.3371263,69%,67%,65%,58%,62%,82.7
Lecanto,Florida,7224,268,Homosassa Springs,153010,$41405,14.25%,46,$550000,3107,$177,34,83.89%,$842,56.4%,N/A,N/A,10.06%,6.05%,35.49%,Citrus County,28.30%,67.70%,0.33%,6.84%,87.18%,3.65%,9.87%,Eastern Standard Time,92,71,21,52,112,0,6.0,70,3,6.7,26.93,FL-39825,28.8359414,-82.4879889,69%,67%,65%,56%,61%,82.7
Pine Ridge (Citrus Cnty),Florida,9578,385,Homosassa Springs,153010,$59503,29.09%,65,$1853000,3464,$535,20,89.27%,$925,31.5%,N/A,N/A,7.19%,6.61%,28.88%,Citrus County,28.30%,67.70%,1.8%,4.29%,83.42%,6.1%,6.36%,Eastern Standard Time,92,71,21,52,112,0,6.0,70,3,6.7,24.85,FL-57058,28.9329925,-82.4761795,69%,67%,65%,56%,61%,82.7
Sugarmill Woods,Florida,10424,364,Homosassa Springs,153010,$54309,27.89%,66,$373000,1963,$190,25,88.89%,$1142,32.9%,N/A,N/A,11.74%,9.14%,26.98%,Citrus County,28.30%,67.70%,2.75%,1.49%,87.05%,7.59%,6.11%,Eastern Standard Time,92,71,21,52,111,0,6.8,69,3,6.7,28.63,FL-68950,28.7299273,-82.5010076,69%,67%,65%,58%,62%,82.7
