City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Loleta,California,656,309,Eureka-Arcata-Fortuna,137014,$58438,28.27%,45,$250000,2577,$97,66,55.09%,$992,60.71%,N/A,N/A,4.33%,12.42%,56.78%,Humboldt County,55.30%,30.60%,0.0%,4.27%,82.16%,0.91%,3.81%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,41.96,1.17,19.55,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,89,60,5,2.12,CA-42328,40.640886,-124.2225559
Manila,California,826,1180,Eureka-Arcata-Fortuna,137014,$58950,46.82%,45,N/A,N/A,N/A,54,40.45%,$1444,42.56%,N/A,N/A,5.45%,7.14%,66.62%,Humboldt County,55.30%,30.60%,1.21%,0.0%,79.42%,16.1%,8.23%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,38.96,0.92,18.51,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,83,18,5,0.7,CA-45414,40.8514187,-124.1630547
McKinleyville,California,17152,821,Eureka-Arcata-Fortuna,137014,$66096,37.26%,39,$400000,1102,$363,28,69.34%,$1441,52.99%,N/A,N/A,14.81%,9.3%,57.89%,Humboldt County,55.30%,30.60%,3.31%,0.41%,70.05%,11.86%,3.74%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,48.08,1.43,22.4,41.32%,21.98%,56.0%,0.0,0,6.1,7.8,78,297,5,20.88,CA-44910,40.9486998,-124.0856456
Miranda,California,380,255,Eureka-Arcata-Fortuna,137014,N/A,26.51%,25,N/A,N/A,N/A,26,45.31%,N/A,100.0%,N/A,N/A,66.84%,0.0%,37.24%,Humboldt County,55.30%,30.60%,0.0%,0.0%,56.05%,0.0%,15.53%,N/A,73,54,19,52,41,38%,20%,N/A,N/A,71,N/A,N/A,N/A,61.54,0.96,30.5,33.34%,9.78%,50.22%,0.0,0,6.1,N/A,91,492,5,1.49,CA-48060,40.2288952,-123.817266
Myrtletown,California,5028,2394,Eureka-Arcata-Fortuna,137014,$55543,39.98%,46,$490000,1207,$406,41,42.74%,$1712,59.0%,N/A,N/A,20.27%,6.89%,52.79%,Humboldt County,55.30%,30.60%,6.21%,1.19%,73.77%,11.97%,9.17%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,45.61,1.33,21.1,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,82,177,5,2.1,CA-50188,40.788798,-124.1286035
Orick,California,301,63,Eureka-Arcata-Fortuna,137014,$43250,12.97%,42,N/A,N/A,N/A,63,35.55%,$735,71.77%,N/A,N/A,20.49%,7.79%,63.11%,Humboldt County,55.30%,30.60%,0.0%,0.0%,51.5%,8.97%,1.99%,N/A,66,56,10,49,40,47%,28%,40,48,64,N/A,N/A,N/A,59.14,1.58,28.1,43.62%,25.16%,58.22%,0.0,0,4.1,7.8,91,264,5,4.75,CA-54218,41.290917,-124.0691392
Phillipsville,California,102,142,Eureka-Arcata-Fortuna,137014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.43%,N/A,0.0%,N/A,N/A,0.0%,0.0%,0.0%,Humboldt County,55.30%,30.60%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,73,54,19,52,41,38%,20%,N/A,N/A,71,N/A,N/A,N/A,61.54,0.96,30.5,33.34%,9.78%,50.22%,0.0,0,6.1,N/A,91,492,5,0.72,CA-56854,40.2117358,-123.7844529
Pine Hills,California,3200,316,Eureka-Arcata-Fortuna,137014,$83791,24.98%,48,$475000,1578,$301,44,80.39%,$1697,54.12%,N/A,N/A,22.17%,1.64%,47.19%,Humboldt County,55.30%,30.60%,2.72%,0.25%,79.28%,10.78%,6.06%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,45.61,1.33,21.1,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,84,177,5,10.12,CA-57204,40.7312875,-124.1550965
Redcrest,California,15,25,Eureka-Arcata-Fortuna,137014,N/A,0.0%,N/A,N/A,N/A,N/A,67,100.0%,N/A,100.0%,N/A,N/A,100.0%,0.0%,0.0%,Humboldt County,55.30%,30.60%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,73,54,19,52,41,38%,20%,40,48,71,N/A,N/A,N/A,45.5,1.08,22.28,33.34%,9.78%,50.22%,0.0,0,6.1,7.8,92,126,5,0.6,CA-59906,40.3987747,-123.9474151
Redway,California,1276,1021,Eureka-Arcata-Fortuna,137014,N/A,0.0%,51,N/A,N/A,N/A,67,90.8%,$631,60.78%,N/A,N/A,30.88%,9.86%,61.07%,Humboldt County,55.30%,30.60%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,73,54,19,52,41,38%,20%,N/A,N/A,71,N/A,N/A,N/A,59.23,1.03,30.18,33.34%,9.78%,50.22%,0.0,0,6.1,N/A,92,873,5,1.25,CA-60088,40.1208531,-123.8220567
Rio Dell,California,3371,1479,Eureka-Arcata-Fortuna,137014,$46055,9.57%,32,$297000,952,$312,53,63.67%,$1057,49.72%,324,1798,12.76%,9.87%,67.44%,Humboldt County,55.30%,30.60%,3.11%,1.96%,53.16%,31.92%,4.15%,N/A,73,54,19,52,41,38%,20%,40,48,71,N/A,N/A,N/A,45.5,1.08,22.28,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,92,126,5,2.28,CA-60900,40.5023624,-124.1105212
Samoa,California,163,194,Eureka-Arcata-Fortuna,137014,$44569,4.29%,24,$415000,1199,$346,82,0.0%,$1131,68.46%,N/A,N/A,3.68%,21.74%,70.77%,Humboldt County,55.30%,30.60%,0.0%,0.0%,65.03%,33.74%,7.98%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,38.96,0.92,18.51,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,83,18,5,0.84,CA-64392,40.8146096,-124.1892147
Scotia,California,565,753,Eureka-Arcata-Fortuna,137014,$77500,35.0%,32,$360000,1506,$239,82,4.29%,$1206,70.99%,N/A,N/A,8.67%,8.63%,56.04%,Humboldt County,55.30%,30.60%,0.0%,0.0%,67.43%,12.39%,0.0%,N/A,73,54,19,52,41,38%,20%,40,48,71,N/A,N/A,N/A,45.5,1.08,22.28,33.34%,9.78%,50.22%,0.0,0,6.1,7.8,92,126,5,0.75,CA-70518,40.4774959,-124.1031807
Shelter Cove,California,764,131,Eureka-Arcata-Fortuna,137014,$46066,21.07%,53,$425000,1239,$343,27,70.45%,N/A,53.42%,N/A,N/A,15.18%,0.0%,42.56%,Humboldt County,55.30%,30.60%,1.18%,4.71%,79.58%,0.0%,2.23%,N/A,73,54,19,52,41,38%,20%,N/A,N/A,71,N/A,N/A,N/A,86.05,0.75,43.85,33.34%,9.78%,50.22%,0.0,0,6.1,N/A,92,885,5,5.83,CA-71372,40.0389552,-124.0558258
Trinidad,California,424,865,Eureka-Arcata-Fortuna,137014,$99107,66.75%,60,N/A,N/A,N/A,52,59.48%,$1050,36.06%,N/A,N/A,15.09%,4.12%,43.48%,Humboldt County,55.30%,30.60%,0.0%,0.0%,77.59%,16.27%,1.18%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,52.26,1.34,24.24,41.51%,18.46%,59.89%,0.0,0,6.1,7.8,91,165,5,0.49,CA-80448,41.057563,-124.1432761
Weott,California,84,112,Eureka-Arcata-Fortuna,137014,N/A,0.0%,N/A,$210000,798,$263,55,100.0%,N/A,100.0%,N/A,N/A,100.0%,100.0%,57.14%,Humboldt County,55.30%,30.60%,0.0%,0.0%,57.14%,0.0%,0.0%,N/A,73,54,19,52,41,38%,20%,40,48,71,N/A,N/A,N/A,61.54,0.96,30.5,33.34%,9.78%,50.22%,0.0,0,6.1,7.8,91,492,5,0.75,CA-84004,40.3226035,-123.9208758
Westhaven-Moonstone,California,1374,170,Eureka-Arcata-Fortuna,137014,$63843,57.52%,44,$850000,3125,$272,40,69.43%,$1926,62.17%,N/A,N/A,13.99%,15.96%,63.41%,Humboldt County,55.30%,30.60%,0.66%,0.0%,80.28%,4.73%,2.47%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,59.14,1.58,28.1,41.51%,18.46%,59.89%,0.0,0,6.1,7.8,91,264,5,8.09,CA-84385,41.0446996,-124.1022911
Willow Creek,California,949,31,Eureka-Arcata-Fortuna,137014,$43056,26.68%,61,$820000,1834,$447,43,52.46%,N/A,52.58%,N/A,N/A,19.92%,7.97%,43.62%,Humboldt County,55.30%,30.60%,0.0%,0.0%,82.4%,5.8%,2.85%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,49.15,1.27,25.04,41.32%,21.98%,56.0%,0.0,0,6.1,7.8,90,600,5,30.31,CA-85642,40.9384728,-123.6411847
