City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Ahtanum,Washington,3701,463,Yakima,251879,$70179,18.72%,37,$398000,1638,$243,43,82.98%,$1162,36.97%,N/A,N/A,14.97%,7.87%,65.3%,Yakima County,39.20%,52.30%,0.46%,0.0%,70.66%,26.48%,11.75%,Pacific Standard Time,88,36,52,9,74,201,18,46.5,36.4,5,69,1066,2.6,8.0,WA-00800,46.5572208,-120.6138565
Buena,Washington,845,971,Yakima,251879,$33349,4.73%,33,N/A,N/A,N/A,49,73.34%,N/A,73.89%,N/A,N/A,37.16%,0.0%,67.02%,Yakima County,39.20%,52.30%,0.36%,0.0%,49.11%,49.82%,19.41%,Pacific Standard Time,89,37,52,8,66,201,16,47.1,37,6,88,1066,2.6,0.87,WA-08640,46.4276872,-120.3182444
Cliffdell,Washington,136,74,Yakima,251879,$30568,0.0%,47,N/A,N/A,N/A,78,28.24%,$819,79.26%,N/A,N/A,29.63%,0.86%,85.93%,Yakima County,39.20%,52.30%,0.0%,0.0%,98.53%,0.0%,0.0%,Pacific Standard Time,89,37,52,9,82,201,22,46.5,36.4,N/A,91,1066,2.6,1.84,WA-13015,46.9221986,-121.04302
Cowiche,Washington,662,798,Yakima,251879,$34302,0.0%,43,$301000,926,$325,47,5.29%,$760,86.13%,N/A,N/A,19.34%,0.0%,56.4%,Yakima County,39.20%,52.30%,0.0%,0.0%,27.19%,72.81%,35.35%,Pacific Standard Time,87,36,51,9,80,201,20,45.9,35.7,5,90,1066,2.6,0.83,WA-15325,46.6718985,-120.7119359
Eschbach,Washington,307,260,Yakima,251879,$86420,30.94%,44,N/A,N/A,N/A,44,81.43%,$908,38.35%,N/A,N/A,0.0%,7.11%,77.29%,Yakima County,39.20%,52.30%,0.0%,0.0%,67.75%,25.08%,9.45%,Pacific Standard Time,88,36,52,9,72,201,18,46.5,36.4,N/A,82,1066,2.6,1.18,WA-22150,46.6670684,-120.6337668
Gleed,Washington,3006,556,Yakima,251879,$71875,22.09%,47,N/A,N/A,N/A,44,86.18%,$885,31.7%,N/A,N/A,9.18%,5.52%,66.71%,Yakima County,39.20%,52.30%,0.0%,0.67%,82.4%,11.14%,4.82%,Pacific Standard Time,88,36,52,9,74,201,19,46.5,36.4,5,76,1066,2.6,5.41,WA-26945,46.6593426,-120.6025243
Grandview,Washington,11075,1720,Yakima,251879,$50444,5.27%,28,$350000,1882,$186,45,53.74%,$870,50.37%,89,1824,13.41%,6.92%,71.76%,Yakima County,39.20%,52.30%,0.43%,0.27%,13.07%,85.8%,31.49%,Pacific Standard Time,90,38,52,8,63,197,9,46.8,37.4,8,67,1066,2.6,6.44,WA-27925,46.244308,-119.9090917
Granger,Washington,3806,2200,Yakima,251879,$54107,7.13%,22,N/A,N/A,N/A,39,62.8%,$876,62.23%,N/A,N/A,17.05%,19.47%,72.76%,Yakima County,39.20%,52.30%,0.03%,0.32%,7.75%,90.65%,27.85%,Pacific Standard Time,90,38,52,8,63,198,10,47.2,37.4,6,86,1066,2.6,1.73,WA-27960,46.3454725,-120.1924828
Harrah,Washington,626,2319,Yakima,251879,$62500,11.08%,33,$270000,1656,$163,38,60.86%,$841,54.34%,N/A,N/A,14.24%,7.74%,69.71%,Yakima County,39.20%,52.30%,0.48%,0.96%,16.93%,62.46%,22.52%,Pacific Standard Time,89,37,52,8,72,201,17,47.7,37.2,6,85,1066,2.6,0.27,WA-29710,46.4061187,-120.5409613
Mabton,Washington,2192,2610,Yakima,251879,$43971,1.23%,24,N/A,N/A,N/A,41,71.95%,$757,52.87%,N/A,N/A,23.72%,8.7%,61.7%,Yakima County,39.20%,52.30%,2.42%,0.0%,1.14%,98.18%,38.05%,Pacific Standard Time,90,38,52,8,63,202,9,47.3,37.7,7,91,1066,2.6,0.84,WA-40980,46.2115462,-119.9939116
