City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon)
Aberdeen,North Carolina,7862,775,Pinehurst-Southern Pines,103352,$58770,36.04%,37,$380000,2360,$161,24,76.66%,$805,42.72%,519,3813,6.97%,4.12%,64.34%,Moore County,33.50%,62.60%,0.01%,13.89%,78.86%,4.3%,2.12%,N/A,90,52,38,47,110,2,6,62,N/A,4.9,10.15,NC-00160,35.1350178,-79.4325282,59%,61%,55%,53%,56%
Cameron,North Carolina,476,393,Pinehurst-Southern Pines,103352,$60729,27.16%,39,$310000,1856,$167,65,91.39%,$775,52.88%,N/A,N/A,2.73%,5.33%,79.6%,Moore County,33.50%,62.60%,0.0%,43.91%,46.43%,9.66%,0.42%,N/A,90,53,37,46,106,2,6,67,N/A,4.9,1.21,NC-09800,35.3258723,-79.2541781,59%,61%,55%,53%,56%
Carthage,North Carolina,2518,379,Pinehurst-Southern Pines,103352,$41731,19.23%,44,$330000,2463,$134,32,77.43%,$747,54.36%,158,2852,10.49%,2.01%,59.98%,Moore County,33.50%,62.60%,0.0%,15.41%,77.52%,3.02%,2.03%,N/A,90,52,38,47,107,3,6,67,N/A,4.9,6.65,NC-10680,35.3225285,-79.4114102,59%,61%,55%,53%,56%
Foxfire,North Carolina,1757,249,Pinehurst-Southern Pines,103352,$62750,32.66%,39,$488000,2380,$205,32,75.53%,$818,39.12%,N/A,N/A,1.71%,4.17%,44.78%,Moore County,33.50%,62.60%,4.38%,12.01%,71.03%,1.65%,3.93%,N/A,90,52,38,47,110,2,6,68,N/A,4.9,7.06,NC-24570,35.1790008,-79.5639507,59%,61%,55%,53%,56%
Pinebluff,North Carolina,1694,647,Pinehurst-Southern Pines,103352,$61023,21.15%,41,$372000,2480,$150,40,62.34%,$980,39.4%,N/A,N/A,4.66%,4.96%,68.21%,Moore County,33.50%,62.60%,0.0%,18.42%,73.97%,4.49%,2.54%,N/A,90,52,38,47,110,2,7,67,N/A,4.9,2.62,NC-51840,35.1088274,-79.4713913,59%,61%,55%,53%,56%
Pinehurst,North Carolina,16382,980,Pinehurst-Southern Pines,103352,$87609,60.69%,60,$475000,2083,$228,27,83.86%,$1554,29.17%,66,683,4.23%,4.0%,43.06%,Moore County,33.50%,62.60%,2.38%,2.61%,90.1%,2.58%,5.77%,N/A,90,52,38,47,109,3,7,63,N/A,4.9,16.71,NC-51940,35.192241,-79.4683699,59%,61%,55%,53%,56%
Robbins,North Carolina,1615,1016,Pinehurst-Southern Pines,103352,$42743,4.86%,26,$163000,1199,$136,49,45.15%,$538,49.87%,N/A,N/A,27.51%,11.4%,63.97%,Moore County,33.50%,62.60%,1.18%,8.36%,49.35%,40.06%,27.49%,N/A,89,51,38,47,107,2,6,67,N/A,4.9,1.59,NC-57000,35.4277233,-79.5829284,59%,61%,55%,53%,56%
Seven Lakes,North Carolina,4438,529,Pinehurst-Southern Pines,103352,$75430,49.07%,64,$390000,2321,$168,26,92.61%,$1071,29.99%,N/A,N/A,4.24%,1.31%,44.67%,Moore County,33.50%,62.60%,0.0%,4.48%,89.7%,0.0%,0.77%,N/A,90,52,38,47,109,2,6,68,N/A,4.9,8.39,NC-60515,35.264715,-79.5864782,59%,61%,55%,53%,56%
Southern Pines,North Carolina,14347,837,Pinehurst-Southern Pines,103352,$70549,55.02%,39,$435000,2231,$195,27,67.04%,$961,49.22%,316,2519,13.01%,8.06%,56.34%,Moore County,33.50%,62.60%,3.42%,13.37%,73.96%,6.59%,6.06%,N/A,90,52,38,47,109,3,7,61,N/A,4.9,17.14,NC-63120,35.1927093,-79.4039226,59%,61%,55%,53%,56%
Taylortown,North Carolina,1054,781,Pinehurst-Southern Pines,103352,$52917,19.9%,50,N/A,N/A,N/A,28,84.35%,$946,61.88%,N/A,N/A,9.58%,10.8%,60.02%,Moore County,33.50%,62.60%,3.98%,49.05%,41.27%,2.85%,2.28%,N/A,90,52,38,47,109,2,N/A,65,N/A,4.9,1.35,NC-66980,35.2146218,-79.4916449,59%,61%,55%,53%,56%
Vass,North Carolina,906,279,Pinehurst-Southern Pines,103352,$36506,16.59%,30,$404000,2376,$170,43,81.24%,$666,42.99%,N/A,N/A,10.49%,5.81%,69.41%,Moore County,33.50%,62.60%,0.0%,26.6%,49.12%,4.64%,1.77%,N/A,90,53,37,46,111,2,6,67,N/A,4.9,3.25,NC-69840,35.2531742,-79.2845444,59%,61%,55%,53%,56%
Whispering Pines,North Carolina,3357,900,Pinehurst-Southern Pines,103352,$88029,51.71%,36,$418000,2375,$176,23,75.81%,$1720,25.5%,0,915,4.86%,0.99%,57.92%,Moore County,33.50%,62.60%,1.43%,5.36%,86.12%,5.15%,1.94%,N/A,90,52,38,47,107,3,6,67,N/A,4.9,3.73,NC-73140,35.2536902,-79.3754382,59%,61%,55%,53%,56%
